Time,Open,High,Low,Close,Volume
2015-11-20T06:00:00+0000,58.32,58.32,58.32,58.32,0
2015-11-23T06:00:00+0000,58.61,58.61,58.61,58.61,0
2015-11-24T06:00:00+0000,59.87,59.87,59.87,59.87,0
2015-11-25T06:00:00+0000,59.84,59.84,59.84,59.84,0
2015-11-27T06:00:00+0000,59.32,59.32,59.32,59.32,0
2015-11-30T06:00:00+0000,59.11,59.11,59.11,59.11,0
2015-12-01T06:00:00+0000,59.03,59.03,59.03,59.03,0
2015-12-02T06:00:00+0000,58.75,58.75,58.75,58.75,0
2015-12-03T06:00:00+0000,59.35,59.35,59.35,59.35,0
2015-12-04T06:00:00+0000,59.36,59.36,59.36,59.36,0
2015-12-07T06:00:00+0000,59.11,59.11,59.11,59.11,0
2015-12-08T06:00:00+0000,59.06,59.06,59.06,59.06,0
2015-12-09T06:00:00+0000,58.96,58.96,58.96,58.96,0
2015-12-10T06:00:00+0000,59.16,59.16,59.16,59.16,0
2015-12-11T06:00:00+0000,58.46,58.46,58.46,58.46,0
2015-12-14T06:00:00+0000,57.3,57.3,57.3,57.3,0
2015-12-15T06:00:00+0000,57.37,57.37,57.37,57.37,0
2015-12-16T06:00:00+0000,56.98,56.98,56.98,56.98,0
2015-12-17T06:00:00+0000,56.8,56.8,56.8,56.8,0
2015-12-18T06:00:00+0000,56.51,56.51,56.51,56.51,0
2015-12-21T06:00:00+0000,55.84,55.84,55.84,55.84,0
2015-12-22T06:00:00+0000,54.96,54.96,54.96,54.96,0
2015-12-23T06:00:00+0000,55.08,55.08,55.08,55.08,0
2015-12-24T06:00:00+0000,56.02,56.02,56.02,56.02,0
2015-12-28T06:00:00+0000,55.63,55.63,55.63,55.63,0
2015-12-29T06:00:00+0000,56.36,56.36,56.36,56.36,0
2015-12-30T06:00:00+0000,55.69,55.69,55.69,55.69,0
2015-12-31T06:00:00+0000,56.24,56.24,56.24,56.24,0
2016-01-04T06:00:00+0000,56.07,56.07,56.07,56.07,0
2016-01-05T06:00:00+0000,55.56,55.56,55.56,55.56,0
2016-01-06T06:00:00+0000,54.39,54.39,54.39,54.39,0
2016-01-07T06:00:00+0000,53.46,53.46,53.44,53.46,0
2016-01-08T06:00:00+0000,53.38,53.38,53.38,53.38,0
2016-01-11T06:00:00+0000,52.15,52.15,52.15,52.15,0
2016-01-12T06:00:00+0000,56.79,56.79,51.15,51.15,1
2016-01-13T06:00:00+0000,50.3,50.3,50.3,50.3,0
2016-01-14T06:00:00+0000,50.79,50.79,50.79,50.79,0
2016-01-15T06:00:00+0000,48.79,48.79,48.79,48.79,0
2016-01-19T06:00:00+0000,47.53,47.53,47.53,47.53,0
2016-01-20T06:00:00+0000,48.99,48.99,47.15,47.15,7
2016-01-21T06:00:00+0000,47.53,47.53,47.53,47.53,0
2016-01-22T06:00:00+0000,49.49,49.49,49.49,49.49,0
2016-01-25T06:00:00+0000,49.74,49.74,49.74,49.74,0
2016-01-26T06:00:00+0000,50.61,50.61,50.61,50.61,0
2016-01-27T06:00:00+0000,51.2,51.2,51.2,51.2,0
2016-01-28T06:00:00+0000,51.6,51.6,51.6,51.6,0
2016-01-29T06:00:00+0000,52.56,52.56,52.56,52.56,0
2016-02-01T06:00:00+0000,51.29,51.29,51.29,51.29,0
2016-02-02T06:00:00+0000,50.56,50.56,50.56,50.56,0
2016-02-03T06:00:00+0000,51.41,51.41,51.41,51.41,0
2016-02-04T06:00:00+0000,51.87,51.87,51.87,51.87,0
2016-02-05T06:00:00+0000,51.78,51.78,51.78,51.78,0
2016-02-08T06:00:00+0000,51.4,51.4,51.4,51.4,0
2016-02-09T06:00:00+0000,49.03,49.03,49.03,49.03,0
2016-02-10T06:00:00+0000,49.44,49.44,49.44,49.44,0
2016-02-11T06:00:00+0000,49.48,49.48,49.48,49.48,0
2016-02-12T06:00:00+0000,51.95,51.95,51.95,51.95,0
2016-02-16T06:00:00+0000,50.78,50.78,50.78,50.78,0
2016-02-17T06:00:00+0000,51.67,51.67,51.67,51.67,0
2016-02-18T06:00:00+0000,51.18,51.18,51.18,51.18,0
2016-02-19T06:00:00+0000,50.23,50.23,50.23,50.23,0
2016-02-22T06:00:00+0000,51.2,51.2,51.2,51.2,0
2016-02-23T06:00:00+0000,50.16,50.16,50.16,50.16,0
2016-02-24T06:00:00+0000,50.45,50.45,50.45,50.45,0
2016-02-25T06:00:00+0000,50.76,50.76,50.76,50.76,0
2016-02-26T06:00:00+0000,49.82,49.82,49.82,49.82,0
2016-02-29T06:00:00+0000,50.86,50.86,50.86,50.86,0
2016-03-01T06:00:00+0000,51.09,51.09,51.09,51.09,0
2016-03-02T06:00:00+0000,50.87,50.87,50.87,50.87,0
2016-03-03T06:00:00+0000,50.64,50.64,50.64,50.64,0
2016-03-04T06:00:00+0000,51.31,51.31,51.31,51.31,0
2016-03-07T06:00:00+0000,52.21,52.21,52.21,52.21,0
2016-03-08T06:00:00+0000,50.91,50.91,50.91,50.91,0
2016-03-09T06:00:00+0000,51.83,51.83,51.83,51.83,0
2016-03-10T06:00:00+0000,51.55,51.55,51.55,51.55,0
2016-03-11T06:00:00+0000,51.87,51.87,51.87,51.87,0
2016-03-14T05:00:00+0000,51.08,51.08,51.08,51.08,0
2016-03-15T05:00:00+0000,50.99,50.99,50.99,50.99,0
2016-03-16T05:00:00+0000,51.58,51.58,51.58,51.58,0
2016-03-17T05:00:00+0000,51.58,51.58,51.58,51.58,0
2016-03-18T05:00:00+0000,51.86,51.86,51.86,51.86,0
2016-03-21T05:00:00+0000,52.11,52.11,52.11,52.11,0
2016-03-22T05:00:00+0000,52.29,52.29,52.29,52.29,0
2016-03-23T05:00:00+0000,51.9,51.9,51.9,51.9,0
2016-03-24T05:00:00+0000,51.59,51.59,51.59,51.59,0
2016-03-28T05:00:00+0000,51.55,51.55,51.55,51.55,0
2016-03-29T05:00:00+0000,51.65,51.65,51.65,51.65,0
2016-03-30T05:00:00+0000,52.35,52.35,52.35,52.35,0
2016-03-31T05:00:00+0000,52.72,52.72,52.72,52.72,0
2016-04-01T05:00:00+0000,51.59,51.59,51.59,51.59,0
2016-04-04T05:00:00+0000,50.9,50.9,50.9,50.9,0
