Time,Open,High,Low,Close,Volume
2023-11-09T06:00:00+0000,2.6676,2.6789,2.6286,2.647,24711
2023-11-10T06:00:00+0000,2.6416,2.7081,2.6277,2.6695,16486
2023-11-13T06:00:00+0000,2.6664,2.7462,2.642,2.7425,18003
2023-11-14T06:00:00+0000,2.7511,2.7785,2.7152,2.7465,23840
2023-11-15T06:00:00+0000,2.7349,2.7639,2.7129,2.7537,23866
2023-11-16T06:00:00+0000,2.7503,2.7613,2.6276,2.6376,27034
2023-11-17T06:00:00+0000,2.6371,2.707,2.6163,2.6843,27930
2023-11-20T06:00:00+0000,2.6622,2.7671,2.6603,2.7552,19770
2023-11-21T06:00:00+0000,2.7533,2.827,2.7306,2.8137,33378
2023-11-22T06:00:00+0000,2.8212,2.8236,2.7074,2.7675,31116
2023-11-24T06:00:00+0000,2.7591,2.7861,2.7089,2.7253,15344
2023-11-27T06:00:00+0000,2.7149,2.7563,2.6884,2.7122,22718
2023-11-28T06:00:00+0000,2.7123,2.7881,2.7088,2.7743,33547
2023-11-29T06:00:00+0000,2.7528,2.7865,2.6998,2.7684,38007
2023-11-30T06:00:00+0000,2.7653,2.8283,2.6788,2.7162,38740
2023-12-01T06:00:00+0000,2.7034,2.725,2.6282,2.6298,36028
2023-12-04T06:00:00+0000,2.6416,2.6713,2.6035,2.6256,31163
2023-12-05T06:00:00+0000,2.6284,2.6679,2.5933,2.6048,32061
2023-12-06T06:00:00+0000,2.595,2.6188,2.5237,2.5377,35909
2023-12-07T06:00:00+0000,2.5385,2.5801,2.5162,2.5181,40834
2023-12-08T06:00:00+0000,2.535,2.5841,2.5243,2.5508,32896
2023-12-11T06:00:00+0000,2.5494,2.5909,2.5332,2.5789,42646
2023-12-12T06:00:00+0000,2.5776,2.5983,2.4735,2.4803,42359
2023-12-13T06:00:00+0000,2.4895,2.5401,2.459,2.5226,38217
2023-12-14T06:00:00+0000,2.5302,2.5885,2.53,2.5669,36804
2023-12-15T06:00:00+0000,2.5726,2.628,2.5557,2.5971,51528
2023-12-18T06:00:00+0000,2.6066,2.7038,2.5837,2.6509,49877
2023-12-19T06:00:00+0000,2.6583,2.7034,2.6275,2.6894,44692
2023-12-20T06:00:00+0000,2.7003,2.7376,2.6695,2.6842,50154
2023-12-21T06:00:00+0000,2.6689999999999996,2.6898,2.6347,2.6702,37298
2023-12-22T06:00:00+0000,2.677,2.7025,2.6269,2.6358,44734
2023-12-26T06:00:00+0000,2.6284,2.7036,2.6210000000000004,2.6467,47790
2023-12-27T06:00:00+0000,2.6401,2.6667,2.5987,2.6025,44214
2023-12-28T06:00:00+0000,2.5985,2.614,2.5336,2.5403,53555
2023-12-29T06:00:00+0000,2.5425,2.58,2.517,2.5289,56688
2024-01-02T06:00:00+0000,2.5533,2.5956,2.5108,2.5258,55842
2024-01-03T06:00:00+0000,2.53,2.6232,2.5075,2.6044,49206
2024-01-04T06:00:00+0000,2.6063,2.6287,2.5554,2.5884,50752
2024-01-05T06:00:00+0000,2.5907,2.6232,2.5841,2.6085,47229
2024-01-08T06:00:00+0000,2.6212,2.63,2.5282,2.5679,22803
