Time,Open,High,Low,Close,Volume
2023-11-09T06:00:00+0000,1.077,1.0786,1.0721,1.0728,1089
2023-11-10T06:00:00+0000,1.0728,1.0753,1.0717,1.0741,975
2023-11-13T06:00:00+0000,1.0749,1.0767,1.0726,1.0763,1379
2023-11-14T06:00:00+0000,1.0757,1.0947,1.0754,1.0942,2364
2023-11-15T06:00:00+0000,1.0943,1.0944,1.0893,1.0906,3486
2023-11-16T06:00:00+0000,1.0908,1.0953,1.089,1.0913,2106
2023-11-17T06:00:00+0000,1.0908,1.097,1.0883,1.0958,1935
2023-11-20T06:00:00+0000,1.099,1.1008,1.0955,1.1003,1891
2023-11-21T06:00:00+0000,1.1,1.1021,1.0958,1.0972,2571
2023-11-22T06:00:00+0000,1.0973,1.0977,1.091,1.0941,2681
2023-11-24T06:00:00+0000,1.0943,1.1,1.0943,1.0996,5724
2023-11-27T06:00:00+0000,1.1,1.1025,1.0979999999999999,1.1011,2144
2023-11-28T06:00:00+0000,1.1008,1.1063,1.099,1.1046,2297
2023-11-29T06:00:00+0000,1.1048,1.107,1.1014,1.1037,3126
2023-11-30T06:00:00+0000,1.1022,1.1035,1.093,1.0941,5039
2023-12-01T06:00:00+0000,1.0942,1.0962,1.088,1.0924,2042
2023-12-04T06:00:00+0000,1.0934,1.0946,1.0853,1.0878,2366
2023-12-05T06:00:00+0000,1.0885,1.0896,1.0829,1.0834,2732
2023-12-06T06:00:00+0000,1.085,1.0852,1.0807,1.0816,2704
2023-12-07T06:00:00+0000,1.0812,1.0863,1.0802,1.0845,3053
2023-12-08T06:00:00+0000,1.0843,1.0846,1.0769,1.0805,4195
2023-12-11T06:00:00+0000,1.081,1.0825,1.0788,1.0808,3949
2023-12-12T06:00:00+0000,1.081,1.0877,1.0807,1.0836,5689
2023-12-13T06:00:00+0000,1.0839,1.0942,1.0818,1.0933,8826
2023-12-14T06:00:00+0000,1.0919,1.1053,1.0919,1.1036,15512
2023-12-15T06:00:00+0000,1.1038,1.1047,1.0932,1.0943,35303
2023-12-18T06:00:00+0000,1.0942,1.0974,1.0935,1.0959,20757
2023-12-19T06:00:00+0000,1.0967,1.1029,1.0957,1.1018,23626
2023-12-20T06:00:00+0000,1.1024,1.1027,1.097,1.0987,24735
2023-12-21T06:00:00+0000,1.0983,1.1073,1.0973,1.1039,28212
2023-12-22T06:00:00+0000,1.1047,1.1084,1.1033,1.1055,26022
2023-12-26T06:00:00+0000,1.1052,1.1085,1.1048,1.1084,10590
2023-12-27T06:00:00+0000,1.1083,1.1161,1.1068,1.1139,21476
2023-12-28T06:00:00+0000,1.1143,1.1174,1.109,1.11,27225
2023-12-29T06:00:00+0000,1.1098,1.1119,1.1068,1.1075,26162
2024-01-02T06:00:00+0000,1.1071,1.1092,1.0972,1.0979999999999999,31923
2024-01-03T06:00:00+0000,1.0974,1.0998,1.0926,1.095,36810
2024-01-04T06:00:00+0000,1.0956,1.1004,1.0948,1.0979999999999999,24696
2024-01-05T06:00:00+0000,1.0977,1.103,1.0908,1.0977,34871
2024-01-08T06:00:00+0000,1.0976,1.1006,1.0954,1.1,16380
