Time,Open,High,Low,Close,Volume
2022-12-30T06:00:00+0000,16370,16370,16370,16370,0
2023-01-03T06:00:00+0000,16330,16330,16330,16330,0
2023-01-04T06:00:00+0000,16465,16465,16465,16465,0
2023-01-05T06:00:00+0000,16520,16520,16520,16520,0
2023-01-06T06:00:00+0000,16560,16560,16560,16560,0
2023-01-09T06:00:00+0000,16865,16865,16865,16865,0
2023-01-10T06:00:00+0000,17130,17130,17130,17130,0
2023-01-11T06:00:00+0000,17210,17210,17210,17210,0
2023-01-12T06:00:00+0000,18685,18685,18685,18685,0
2023-01-13T06:00:00+0000,19090,19090,19090,19090,0
2023-01-17T06:00:00+0000,20965,20965,20965,20965,0
2023-01-18T06:00:00+0000,20325,20325,20325,20325,0
2023-01-19T06:00:00+0000,20695,20695,20695,20695,0
2023-01-20T06:00:00+0000,21850,21850,21850,21850,0
2023-01-23T06:00:00+0000,22565,22565,22565,22565,0
2023-01-24T06:00:00+0000,22580,22580,22580,22580,0
2023-01-25T06:00:00+0000,23200,23200,23200,23200,0
2023-01-26T06:00:00+0000,23565,23565,23565,23565,0
2023-01-27T06:00:00+0000,23555,23555,23555,23555,0
2023-01-30T06:00:00+0000,23125,23125,23125,23125,0
2023-01-31T06:00:00+0000,23540,23540,23540,23540,0
2023-02-01T06:00:00+0000,23995,23995,23995,23995,0
2023-02-02T06:00:00+0000,24290,24290,24290,24290,0
2023-02-03T06:00:00+0000,23785,23785,23785,23785,0
2023-02-06T06:00:00+0000,23445,23445,23445,23445,0
2023-02-07T06:00:00+0000,23650,23650,23650,23650,0
2023-02-08T06:00:00+0000,23270,23270,23270,23270,0
2023-02-09T06:00:00+0000,22415,22415,22415,22415,0
2023-02-10T06:00:00+0000,22140,22140,22140,22140,0
2023-02-13T06:00:00+0000,22065,22065,22065,22065,0
2023-02-14T06:00:00+0000,22670,22670,22670,22670,0
2023-02-15T06:00:00+0000,24605,24605,24605,24605,0
2023-02-16T06:00:00+0000,25015,25015,25015,25015,0
2023-02-17T06:00:00+0000,25280,25280,25280,25280,0
2023-02-21T06:00:00+0000,26250,26250,26250,26250,0
2023-02-22T06:00:00+0000,25150,25150,25150,25150,0
2023-02-23T06:00:00+0000,25225,25225,25225,25225,0
2023-02-24T06:00:00+0000,25000,25000,24720,24720,2
2023-02-27T06:00:00+0000,24820,24820,24820,24820,0
2023-02-28T06:00:00+0000,24780,24780,24780,24780,0
2023-03-01T06:00:00+0000,24905,24905,24905,24905,0
2023-03-02T06:00:00+0000,24960,24960,24960,24960,0
2023-03-03T06:00:00+0000,24500,24500,23700,23725,11
2023-03-06T06:00:00+0000,23775,23775,23775,23775,0
2023-03-07T06:00:00+0000,23450,23450,23450,23450,0
2023-03-08T06:00:00+0000,23500,23500,23485,23485,2
2023-03-09T06:00:00+0000,22000,22000,21330,21330,2
2023-03-10T06:00:00+0000,21500,21500,21235,21235,2
2023-03-13T05:00:00+0000,25905,25905,25905,25905,0
2023-03-14T05:00:00+0000,26720,26720,26720,26720,0
