Time,Open,High,Low,Close,Volume
2023-11-09T06:00:00+0000,75.45,76.9,75.05,75.57,787
2023-11-10T06:00:00+0000,75.37,77.5,75.23,76.93,664
2023-11-13T06:00:00+0000,76.93,78.27,76.0,77.99,623
2023-11-14T06:00:00+0000,78.23,79.37,77.58,77.98,478
2023-11-15T06:00:00+0000,77.88,78.44,76.49,76.8,760
2023-11-16T06:00:00+0000,76.6,76.8,72.48,73.19,1905
2023-11-17T06:00:00+0000,73.3,76.24,73.02,76.11,3559
2023-11-20T06:00:00+0000,75.9,78.48,75.5,77.9,2697
2023-11-21T06:00:00+0000,77.7,78.04,77.04,77.92,2383
2023-11-22T06:00:00+0000,77.86,78.12,73.99,77.25,6518
2023-11-24T06:00:00+0000,76.92,77.25,75.33,75.77,4376
2023-11-27T06:00:00+0000,75.45,76.4,74.35,75.09,3796
2023-11-28T06:00:00+0000,75.31,77.14,74.88,76.59,3542
2023-11-29T06:00:00+0000,76.63,78.18,75.87,77.99,3968
2023-11-30T06:00:00+0000,77.78,79.66,75.16,76.05,7999
2023-12-01T06:00:00+0000,75.81,76.8,74.14,74.25,4430
2023-12-04T06:00:00+0000,74.7,75.2,72.88,73.32,7168
2023-12-05T06:00:00+0000,73.54,74.35,72.25,72.53,5981
2023-12-06T06:00:00+0000,72.3,72.83,69.39,69.65,8345
2023-12-07T06:00:00+0000,69.56,70.69,69.09,69.59,6037
2023-12-08T06:00:00+0000,70.0,71.8,69.76,71.44,5687
2023-12-11T06:00:00+0000,71.47,72.03,70.61,71.56,8353
2023-12-12T06:00:00+0000,71.74,72.21,68.48,68.85,14120
2023-12-13T06:00:00+0000,69.22,70.14,67.97,69.72,15846
2023-12-14T06:00:00+0000,70.14,72.72,69.83,71.91,28613
2023-12-15T06:00:00+0000,72.02,72.56,70.64,71.78,68903
2023-12-18T06:00:00+0000,72.13,74.62,70.98,72.82,110593
2023-12-19T06:00:00+0000,72.96,74.47,72.13,73.94,70170
2023-12-20T06:00:00+0000,74.2,75.37,73.61,74.22,86388
2023-12-21T06:00:00+0000,73.8,74.59,72.45,73.89,94310
2023-12-22T06:00:00+0000,73.88,74.98,73.39,73.56,78832
2023-12-26T06:00:00+0000,73.58,76.19,73.13,75.57,79574
2023-12-27T06:00:00+0000,75.45,75.66,73.77,74.11,84670
2023-12-28T06:00:00+0000,73.83,74.41,71.72,71.77,94862
2023-12-29T06:00:00+0000,72.13,72.63,71.25,71.65,78837
2024-01-02T06:00:00+0000,71.7,73.64,70.06,70.38,114592
2024-01-03T06:00:00+0000,70.53,73.26,69.29,72.7,97567
2024-01-04T06:00:00+0000,73.1,73.99,71.06,72.19,101237
2024-01-05T06:00:00+0000,72.38,74.24,72.21,73.81,88007
2024-01-08T06:00:00+0000,73.74,73.95,70.13,70.77,80692
