Time,Open,High,Low,Close,Volume
2023-11-09T06:00:00+0000,34471,34599,34232,34258,186
2023-11-10T06:00:00+0000,34275,34691,34241,34657,346
2023-11-13T06:00:00+0000,34615,34775,34526,34705,262
2023-11-14T06:00:00+0000,34700,35300,34665,35207,794
2023-11-15T06:00:00+0000,35368,35424,35220,35374,191
2023-11-16T06:00:00+0000,35364,35407,35210,35340,273
2023-11-17T06:00:00+0000,35365,35482,35273,35337,218
2023-11-20T06:00:00+0000,35330,35615,35287,35557,795
2023-11-21T06:00:00+0000,35553,35576,35429,35478,208
2023-11-22T06:00:00+0000,35452,35689,35449,35649,316
2023-11-24T06:00:00+0000,35622,35768,35605,35757,313
2023-11-27T06:00:00+0000,35749,35780,35648,35704,260
2023-11-28T06:00:00+0000,35705,35876,35658,35775,345
2023-11-29T06:00:00+0000,35779,35975,35779,35823,718
2023-11-30T06:00:00+0000,35900,36360,35896,36349,1248
2023-12-01T06:00:00+0000,36301,36682,36198,36643,1929
2023-12-04T06:00:00+0000,36680,36680,36431,36610,1631
2023-12-05T06:00:00+0000,36562,36586,36417,36539,2206
2023-12-06T06:00:00+0000,36517,36704,36428,36462,2514
2023-12-07T06:00:00+0000,36451,36563,36375,36518,3644
2023-12-08T06:00:00+0000,36498,36695,36363,36643,18488
2023-12-11T06:00:00+0000,36646,36818,36603,36806,40327
2023-12-12T06:00:00+0000,36804,36999,36758,36967,45952
2023-12-13T06:00:00+0000,36975,37532,36918,37488,54933
2023-12-14T06:00:00+0000,37486,37696,37425,37643,73566
2023-12-15T06:00:00+0000,37603,37784,37524,37661,76233
2023-12-18T06:00:00+0000,37669,37771,37644,37678,39571
2023-12-19T06:00:00+0000,37651,37939,37637,37931,40763
2023-12-20T06:00:00+0000,37915,38014,37390,37445,72756
2023-12-21T06:00:00+0000,37460,37765,37460,37756,74560
2023-12-22T06:00:00+0000,37704,37881,37586,37740,59512
2023-12-26T06:00:00+0000,37718,37961,37681,37894,27001
2023-12-27T06:00:00+0000,37920,38026,37819,38006,43701
2023-12-28T06:00:00+0000,38003,38088,37924,38029,37997
2023-12-29T06:00:00+0000,38024,38089,37841,38012,47415
2024-01-02T06:00:00+0000,37969,38112,37758,37993,77671
2024-01-03T06:00:00+0000,37991,38017,37666,37697,84931
2024-01-04T06:00:00+0000,37718,37984,37699,37715,68943
2024-01-05T06:00:00+0000,37752,37882,37504,37719,88859
2024-01-08T06:00:00+0000,37678,37707,37470,37606,51827
