Time,Open,High,Low,Close,Volume
2018-11-19T06:00:00+0000,55.88,55.88,55.88,55.88,0
2018-11-20T06:00:00+0000,53.04,53.04,53.04,53.04,0
2018-11-21T06:00:00+0000,53.81,53.81,53.81,53.81,0
2018-11-23T06:00:00+0000,52.46,52.46,52.46,52.46,0
2018-11-26T06:00:00+0000,52.95,52.95,52.95,52.95,0
2018-11-27T06:00:00+0000,53.73,53.73,53.73,53.73,0
2018-11-28T06:00:00+0000,53.9,53.9,53.9,53.9,0
2018-11-29T06:00:00+0000,54.19,54.19,54.19,54.19,0
2018-11-30T06:00:00+0000,52.66,52.66,52.66,52.66,0
2018-12-03T06:00:00+0000,53.92,53.92,53.92,53.92,0
2018-12-04T06:00:00+0000,54.07,54.07,54.07,54.07,0
2018-12-05T06:00:00+0000,53.76,53.76,53.76,53.76,0
2018-12-06T06:00:00+0000,53.17,53.17,53.17,53.17,0
2018-12-07T06:00:00+0000,52.67,52.67,52.67,52.67,0
2018-12-10T06:00:00+0000,51.54,51.54,51.54,51.54,0
2018-12-11T06:00:00+0000,51.62,51.62,51.62,51.62,0
2018-12-12T06:00:00+0000,51.77,51.77,51.77,51.77,0
2018-12-13T06:00:00+0000,52.45,52.45,52.45,52.45,0
2018-12-14T06:00:00+0000,52.02,52.02,52.02,52.02,0
2018-12-17T06:00:00+0000,52.19,52.19,52.19,52.19,0
2018-12-18T06:00:00+0000,50.64,50.64,50.64,50.64,0
2018-12-19T06:00:00+0000,51.62,51.62,51.62,51.62,0
2018-12-20T06:00:00+0000,51.19,51.19,51.19,51.19,0
2018-12-21T06:00:00+0000,51.51,51.51,51.51,51.51,0
2018-12-24T06:00:00+0000,50.87,50.87,50.87,50.87,0
2018-12-26T06:00:00+0000,53.74,53.74,53.74,53.74,0
2018-12-27T06:00:00+0000,52.18,52.18,52.18,52.18,0
2018-12-28T06:00:00+0000,52.09,52.09,52.09,52.09,0
2018-12-31T06:00:00+0000,53.07,53.07,53.07,53.07,0
2019-01-02T06:00:00+0000,53.89,53.89,53.89,53.89,0
2019-01-03T06:00:00+0000,54.13,54.13,54.13,54.13,0
2019-01-04T06:00:00+0000,54.28,54.28,54.28,54.28,0
