Time,Open,High,Low,Close,Volume
2020-11-30T06:00:00+0000,1.2963,1.2963,1.2963,1.2963,0
2020-12-01T06:00:00+0000,1.2665,1.2665,1.2665,1.2665,0
2020-12-02T06:00:00+0000,1.2703,1.2703,1.2703,1.2703,0
2020-12-03T06:00:00+0000,1.2654,1.2654,1.2654,1.2654,0
2020-12-04T06:00:00+0000,1.2766,1.2766,1.2766,1.2766,0
2020-12-07T06:00:00+0000,1.2788,1.2788,1.2788,1.2788,0
2020-12-08T06:00:00+0000,1.2801,1.2801,1.2801,1.2801,0
2020-12-09T06:00:00+0000,1.2805,1.2805,1.2805,1.2805,0
2020-12-10T06:00:00+0000,1.3003,1.3003,1.3003,1.3003,0
2020-12-11T06:00:00+0000,1.2922,1.2922,1.2922,1.2922,0
2020-12-14T06:00:00+0000,1.3004,1.3004,1.3004,1.3004,0
2020-12-15T06:00:00+0000,1.3102,1.3102,1.3102,1.3102,0
2020-12-16T06:00:00+0000,1.3218,1.3218,1.3218,1.3218,0
2020-12-17T06:00:00+0000,1.3377,1.3377,1.3377,1.3377,0
2020-12-18T06:00:00+0000,1.3472,1.3472,1.3472,1.3472,0
2020-12-21T06:00:00+0000,1.3271,1.3271,1.3271,1.3271,0
2020-12-22T06:00:00+0000,1.311,1.311,1.311,1.311,0
2020-12-23T06:00:00+0000,1.3313,1.3313,1.3313,1.3313,0
2020-12-24T06:00:00+0000,1.3341,1.3341,1.3341,1.3341,0
2020-12-28T06:00:00+0000,1.3219,1.3219,1.3219,1.3219,0
2020-12-29T06:00:00+0000,1.3335,1.3335,1.3335,1.3335,0
2020-12-30T06:00:00+0000,1.3442,1.3442,1.3442,1.3442,0
2020-12-31T06:00:00+0000,1.3455,1.3455,1.3455,1.3455,0
2021-01-04T06:00:00+0000,1.3269,1.3269,1.3269,1.3269,0
2021-01-05T06:00:00+0000,1.3730000000000002,1.3730000000000002,1.3730000000000002,1.3730000000000002,0
2021-01-06T06:00:00+0000,1.3717,1.3717,1.3717,1.3717,0
2021-01-07T06:00:00+0000,1.3746,1.3746,1.3746,1.3746,0
2021-01-08T06:00:00+0000,1.3931,1.3931,1.3931,1.3931,0
2021-01-11T06:00:00+0000,1.3817,1.3817,1.3817,1.3817,0
2021-01-12T06:00:00+0000,1.3977,1.3977,1.3977,1.3977,0
2021-01-13T06:00:00+0000,1.3912,1.3912,1.3912,1.3912,0
2021-01-14T06:00:00+0000,1.4129,1.4129,1.4129,1.4129,0
2021-01-15T06:00:00+0000,1.3999,1.3999,1.3999,1.3999,0
2021-01-19T06:00:00+0000,1.4045,1.4045,1.4045,1.4045,0
2021-01-20T06:00:00+0000,1.4032,1.4032,1.4032,1.4032,0
2021-01-21T06:00:00+0000,1.4087,1.4087,1.4087,1.4087,0
2021-01-22T06:00:00+0000,1.3916,1.3916,1.3916,1.3916,0
2021-01-25T06:00:00+0000,1.3975,1.3975,1.3975,1.3975,0
2021-01-26T06:00:00+0000,1.3964,1.3964,1.3964,1.3964,0
2021-01-27T06:00:00+0000,1.3998,1.3998,1.3998,1.3998,0
2021-01-28T06:00:00+0000,1.3952,1.3952,1.3952,1.3952,0
2021-01-29T06:00:00+0000,1.3883,1.3883,1.3883,1.3883,0
2021-02-01T06:00:00+0000,1.4153,1.4153,1.4153,1.4153,0
2021-02-02T06:00:00+0000,1.4299,1.4299,1.4299,1.4299,0
2021-02-03T06:00:00+0000,1.4413,1.4413,1.4413,1.4413,0
2021-02-04T06:00:00+0000,1.4492,1.4492,1.4492,1.4492,0
2021-02-05T06:00:00+0000,1.4517,1.4517,1.4517,1.4517,0
2021-02-08T06:00:00+0000,1.4780000000000002,1.4780000000000002,1.4780000000000002,1.4780000000000002,0
2021-02-09T06:00:00+0000,1.4868,1.4868,1.4868,1.4868,0
2021-02-10T06:00:00+0000,1.4854,1.4854,1.4854,1.4854,0
2021-02-11T06:00:00+0000,1.4807,1.4807,1.4807,1.4807,0
2021-02-12T06:00:00+0000,1.4942,1.4942,1.4942,1.4942,0
2021-02-16T06:00:00+0000,1.5215,1.5215,1.5215,1.5215,0
2021-02-17T06:00:00+0000,1.5306,1.5306,1.5306,1.5306,0
2021-02-18T06:00:00+0000,1.5265,1.5265,1.5265,1.5265,0
2021-02-19T06:00:00+0000,1.5149,1.5149,1.5149,1.5149,0
2021-02-22T06:00:00+0000,1.5501,1.5501,1.5501,1.5501,0
2021-02-23T06:00:00+0000,1.5591,1.5591,1.5591,1.5591,0
2021-02-24T06:00:00+0000,1.5581,1.5581,1.5581,1.5581,0
2021-02-25T06:00:00+0000,1.5647,1.5647,1.5647,1.5647,0
2021-02-26T06:00:00+0000,1.5279,1.5279,1.5279,1.5279,0
2021-03-01T06:00:00+0000,1.5221,1.5221,1.5221,1.5221,0
2021-03-02T06:00:00+0000,1.5233,1.5233,1.5233,1.5233,0
2021-03-03T06:00:00+0000,1.5465,1.5465,1.5465,1.5465,0
2021-03-04T06:00:00+0000,1.5791,1.5791,1.5791,1.5791,0
2021-03-05T06:00:00+0000,1.6065,1.6065,1.6065,1.6065,0
2021-03-08T06:00:00+0000,1.5987,1.5987,1.5987,1.5987,0
2021-03-09T06:00:00+0000,1.5971,1.5971,1.5971,1.5971,0
2021-03-10T06:00:00+0000,1.6133,1.6133,1.6133,1.6133,0
2021-03-11T06:00:00+0000,1.6422,1.6422,1.6422,1.6422,0
2021-03-12T06:00:00+0000,1.6458,1.6458,1.6458,1.6458,0
2021-03-15T05:00:00+0000,1.6376,1.6376,1.6376,1.6376,0
2021-03-16T05:00:00+0000,1.6381,1.6381,1.6381,1.6381,0
2021-03-17T05:00:00+0000,1.6372,1.6372,1.6372,1.6372,0
2021-03-18T05:00:00+0000,1.565,1.565,1.565,1.565,0
2021-03-19T05:00:00+0000,1.5771,1.5771,1.5771,1.5771,0
2021-03-22T05:00:00+0000,1.5853,1.5853,1.5853,1.5853,0
2021-03-23T05:00:00+0000,1.5406,1.5406,1.5406,1.5406,0
2021-03-24T05:00:00+0000,1.5969,1.5969,1.5969,1.5969,0
2021-03-25T05:00:00+0000,1.5419999999999998,1.5419999999999998,1.5419999999999998,1.5419999999999998,0
2021-03-26T05:00:00+0000,1.5673,1.5673,1.5673,1.5673,0
2021-03-29T05:00:00+0000,1.5731,1.5731,1.5731,1.5731,0
2021-03-30T05:00:00+0000,1.5611,1.5611,1.5611,1.5611,0
2021-03-31T05:00:00+0000,1.544,1.544,1.544,1.544,0
2021-04-01T05:00:00+0000,1.5914,1.5914,1.5914,1.5914,0
2021-04-05T05:00:00+0000,1.5521,1.5521,1.5521,1.5521,0
2021-04-06T05:00:00+0000,1.5664,1.5664,1.5664,1.5664,0
2021-04-07T05:00:00+0000,1.5578,1.5578,1.5578,1.5578,0
2021-04-08T05:00:00+0000,1.5568,1.5568,1.5568,1.5568,0
2021-04-09T05:00:00+0000,1.5594,1.5594,1.5594,1.5594,0
2021-04-12T05:00:00+0000,1.5663,1.5663,1.5663,1.5663,0
2021-04-13T05:00:00+0000,1.5753,1.5753,1.5753,1.5753,0
2021-04-14T05:00:00+0000,1.5939,1.5939,1.5939,1.5939,0
2021-04-15T05:00:00+0000,1.5829,1.5829,1.5829,1.5829,0
2021-04-16T05:00:00+0000,1.5805,1.5805,1.5805,1.5805,0
2021-04-19T05:00:00+0000,1.5827,1.5827,1.5827,1.5827,0
2021-04-20T05:00:00+0000,1.5659,1.5659,1.5659,1.5659,0
2021-04-21T05:00:00+0000,1.5517,1.5517,1.5517,1.5517,0
2021-04-22T05:00:00+0000,1.5502,1.5502,1.5502,1.5502,0
2021-04-23T05:00:00+0000,1.5752,1.5752,1.5752,1.5752,0
2021-04-26T05:00:00+0000,1.5731,1.5731,1.5731,1.5731,0
2021-04-27T05:00:00+0000,1.599,1.599,1.599,1.599,0
2021-04-28T05:00:00+0000,1.6244,1.6244,1.6244,1.6244,0
2021-04-29T05:00:00+0000,1.6372,1.6372,1.6372,1.6372,0
