Time,Open,High,Low,Close,Volume
2022-12-28T06:00:00+0000,115.29,115.29,115.29,115.29,0
2022-12-29T06:00:00+0000,115.45,115.45,115.45,115.45,0
2022-12-30T06:00:00+0000,115.96,115.96,115.96,115.96,0
2023-01-03T06:00:00+0000,115.87,115.87,115.87,115.87,0
2023-01-04T06:00:00+0000,115.96,115.96,115.96,115.96,0
2023-01-05T06:00:00+0000,115.98,115.98,115.98,115.98,0
2023-01-06T06:00:00+0000,116.52,116.52,116.52,116.52,0
2023-01-09T06:00:00+0000,116.78,116.78,116.78,116.78,0
2023-01-10T06:00:00+0000,117.42,117.42,117.42,117.42,0
2023-01-11T06:00:00+0000,117.52,117.52,117.52,117.52,0
2023-01-12T06:00:00+0000,118.16,118.16,118.16,118.16,0
2023-01-13T06:00:00+0000,117.78,117.78,117.78,117.78,0
2023-01-17T06:00:00+0000,116.97,116.97,116.97,116.97,0
2023-01-18T06:00:00+0000,117.25,117.25,117.25,117.25,0
2023-01-19T06:00:00+0000,117.74,117.74,117.74,117.74,0
2023-01-20T06:00:00+0000,118.03,118.03,118.03,118.03,0
2023-01-23T06:00:00+0000,117.19,117.19,117.19,117.19,0
2023-01-24T06:00:00+0000,117.25,117.25,117.25,117.25,0
2023-01-25T06:00:00+0000,117.51,117.51,117.51,117.51,0
2023-01-26T06:00:00+0000,117.46,117.46,117.46,117.46,0
2023-01-27T06:00:00+0000,117.43,117.43,117.43,117.43,0
2023-01-30T06:00:00+0000,117.26,117.26,117.26,117.26,0
2023-01-31T06:00:00+0000,117.04,117.04,117.04,117.04,0
2023-02-01T06:00:00+0000,117.02,117.02,117.02,117.02,0
2023-02-02T06:00:00+0000,116.64,116.64,116.64,116.64,0
2023-02-03T06:00:00+0000,116.21,116.21,116.21,116.21,0
2023-02-06T06:00:00+0000,116.02,116.02,116.02,116.02,0
2023-02-07T06:00:00+0000,116.06,116.06,116.06,116.06,0
2023-02-08T06:00:00+0000,116.17,116.17,116.17,116.17,0
2023-02-09T06:00:00+0000,116.41,116.41,116.41,116.41,0
2023-02-10T06:00:00+0000,116.42,116.42,116.42,116.42,0
2023-02-13T06:00:00+0000,116.27,116.27,116.27,116.27,0
2023-02-14T06:00:00+0000,115.92,115.92,115.92,115.92,0
2023-02-15T06:00:00+0000,116.18,116.18,116.18,116.18,0
2023-02-16T06:00:00+0000,116.44,116.44,116.44,116.44,0
2023-02-17T06:00:00+0000,116.42,116.42,116.42,116.42,0
2023-02-21T06:00:00+0000,115.98,115.98,115.98,115.98,0
2023-02-22T06:00:00+0000,116.16,116.16,116.16,116.16,0
2023-02-23T06:00:00+0000,116.31,116.31,116.31,116.31,0
2023-02-24T06:00:00+0000,115.83,115.83,115.83,115.83,0
2023-02-27T06:00:00+0000,116.21,116.21,116.21,116.21,0
2023-02-28T06:00:00+0000,116.15,116.15,116.15,116.15,0
2023-03-01T06:00:00+0000,116.73,116.73,116.73,116.73,0
2023-03-02T06:00:00+0000,116.73,116.73,116.73,116.73,0
2023-03-03T06:00:00+0000,117.73,117.73,117.73,117.73,0
2023-03-06T06:00:00+0000,117.76,117.76,117.76,117.76,0
2023-03-07T06:00:00+0000,117.3,117.3,117.3,117.3,0
2023-03-08T06:00:00+0000,117.43,117.43,117.43,117.43,0
2023-03-09T06:00:00+0000,117.52,117.52,117.52,117.52,0
2023-03-10T06:00:00+0000,117.26,117.26,117.26,117.26,0
2023-03-13T05:00:00+0000,117.04,117.04,117.04,117.04,0
2023-03-14T05:00:00+0000,116.44,116.44,116.44,116.44,0
2023-03-15T05:00:00+0000,115.89,115.89,115.89,115.89,0
2023-03-16T05:00:00+0000,115.87,115.87,115.87,115.87,0
2023-03-17T05:00:00+0000,116.11,116.11,116.11,116.11,0
2023-03-20T05:00:00+0000,115.85,115.85,115.85,115.85,0
2023-03-21T05:00:00+0000,115.95,115.95,115.95,115.95,0
2023-03-22T05:00:00+0000,116.17,116.17,116.17,116.17,0
2023-03-23T05:00:00+0000,116.59,116.59,116.59,116.59,0
2023-03-24T05:00:00+0000,116.36,116.36,116.36,116.36,0
2023-03-27T05:00:00+0000,116.69,116.69,116.69,116.69,0
2023-03-28T05:00:00+0000,116.53,116.53,116.53,116.53,0
2023-03-29T05:00:00+0000,116.01,116.01,116.01,116.01,0
2023-03-30T05:00:00+0000,116.33,116.33,116.33,116.33,0
2023-03-31T05:00:00+0000,116.25,116.25,116.25,116.25,0
2023-04-03T05:00:00+0000,116.1,116.1,116.1,116.1,0
2023-04-04T05:00:00+0000,116.16,116.16,116.16,116.16,0
2023-04-05T05:00:00+0000,116.41,116.41,116.41,116.41,0
2023-04-06T05:00:00+0000,116.8,116.8,116.8,116.8,0
2023-04-07T05:00:00+0000,116.92,116.92,116.92,116.92,0
2023-04-10T05:00:00+0000,116.74,116.74,116.74,116.74,0
2023-04-11T05:00:00+0000,116.72,116.72,116.72,116.72,0
2023-04-12T05:00:00+0000,116.86,116.86,116.86,116.86,0
2023-04-13T05:00:00+0000,117.31,117.31,117.31,117.31,0
2023-04-14T05:00:00+0000,117.07,117.07,117.07,117.07,0
2023-04-17T05:00:00+0000,116.87,116.87,116.87,116.87,0
2023-04-18T05:00:00+0000,116.8,116.8,116.8,116.8,0
2023-04-19T05:00:00+0000,116.7,116.7,116.7,116.7,0
2023-04-20T05:00:00+0000,116.91,116.91,116.91,116.91,0
2023-04-21T05:00:00+0000,116.91,116.91,116.91,116.91,0
2023-04-24T05:00:00+0000,117.11,117.11,117.11,117.11,0
2023-04-25T05:00:00+0000,116.85,116.85,116.85,116.85,0
2023-04-26T05:00:00+0000,117.3,117.3,117.3,117.3,0
2023-04-27T05:00:00+0000,117.48,117.48,117.48,117.48,0
2023-04-28T05:00:00+0000,117.45,117.45,117.45,117.45,0
2023-05-01T05:00:00+0000,117.31,117.31,117.31,117.31,0
2023-05-02T05:00:00+0000,117.52,117.52,117.52,117.52,0
2023-05-03T05:00:00+0000,117.59,117.59,117.59,117.59,0
2023-05-04T05:00:00+0000,117.63,117.63,117.63,117.63,0
2023-05-05T05:00:00+0000,117.68,117.68,117.68,117.68,0
2023-05-08T05:00:00+0000,117.61,117.61,117.61,117.61,0
2023-05-09T05:00:00+0000,117.24,117.24,117.24,117.24,0
2023-05-10T05:00:00+0000,117.43,117.43,117.43,117.43,0
2023-05-11T05:00:00+0000,117.18,117.18,117.18,117.18,0
2023-05-12T05:00:00+0000,117.07,117.07,117.07,117.07,0
2023-05-15T05:00:00+0000,117.26,117.26,117.26,117.26,0
2023-05-16T05:00:00+0000,117.0,117.0,117.0,117.0,0
2023-05-17T05:00:00+0000,117.02,117.02,117.02,117.02,0
2023-05-18T05:00:00+0000,116.68,116.68,116.68,116.68,0
2023-05-19T05:00:00+0000,116.6,116.6,116.6,116.6,0
2023-05-22T05:00:00+0000,116.62,116.62,116.62,116.62,0
2023-05-23T05:00:00+0000,116.58,116.58,116.58,116.58,0
2023-05-24T05:00:00+0000,116.83,116.83,116.83,116.83,0
2023-05-25T05:00:00+0000,116.93,116.93,116.93,116.93,0
2023-05-26T05:00:00+0000,117.11,117.11,117.11,117.11,0
2023-05-30T05:00:00+0000,117.14,117.14,117.14,117.14,0
2023-05-31T05:00:00+0000,117.3,117.3,117.3,117.3,0
2023-06-01T05:00:00+0000,117.86,117.86,117.86,117.86,0
2023-06-02T05:00:00+0000,117.58,117.58,117.58,117.58,0
2023-06-05T05:00:00+0000,117.57,117.57,117.57,117.57,0
2023-06-06T05:00:00+0000,117.57,117.57,117.57,117.57,0
2023-06-07T05:00:00+0000,117.5,117.5,117.5,117.5,0
2023-06-08T05:00:00+0000,117.64,117.64,117.64,117.64,0
2023-06-09T05:00:00+0000,117.69,117.69,117.69,117.69,0
2023-06-12T05:00:00+0000,117.88,117.88,117.88,117.88,0
2023-06-13T05:00:00+0000,118.04,118.04,118.04,118.04,0
2023-06-14T05:00:00+0000,118.56,118.56,118.56,118.56,0
2023-06-15T05:00:00+0000,118.67,118.67,118.67,118.67,0
2023-06-16T05:00:00+0000,118.64,118.64,118.64,118.64,0
2023-06-20T05:00:00+0000,118.49,118.49,118.49,118.49,0
2023-06-21T05:00:00+0000,118.6,118.6,118.6,118.6,0
2023-06-22T05:00:00+0000,118.46,118.46,118.46,118.46,0
2023-06-23T05:00:00+0000,118.44,118.44,118.44,118.44,0
2023-06-26T05:00:00+0000,118.48,118.48,118.48,118.48,0
2023-06-27T05:00:00+0000,118.33,118.33,118.33,118.33,0
2023-06-28T05:00:00+0000,118.6,118.6,118.6,118.6,0
2023-06-29T05:00:00+0000,118.68,118.68,118.68,118.68,0
2023-06-30T05:00:00+0000,118.85,118.85,118.85,118.85,0
2023-07-03T05:00:00+0000,118.98,118.98,118.98,118.98,0
2023-07-05T05:00:00+0000,118.39,118.39,118.39,118.39,0
2023-07-06T05:00:00+0000,117.9,117.9,117.9,117.9,0
2023-07-07T05:00:00+0000,118.17,118.17,118.17,118.17,0
2023-07-10T05:00:00+0000,118.22,118.22,118.22,118.22,0
2023-07-11T05:00:00+0000,118.41,118.41,118.41,118.41,0
2023-07-12T05:00:00+0000,118.84,118.84,118.84,118.84,0
2023-07-13T05:00:00+0000,118.78,118.78,118.78,118.78,0
2023-07-14T05:00:00+0000,118.68,118.68,118.68,118.68,0
2023-07-17T05:00:00+0000,118.83,118.83,118.83,118.83,0
2023-07-18T05:00:00+0000,118.79,118.79,118.79,118.79,0
2023-07-19T05:00:00+0000,118.86,118.86,118.86,118.86,0
2023-07-20T05:00:00+0000,118.85,118.85,118.85,118.85,0
2023-07-21T05:00:00+0000,118.89,118.89,118.89,118.89,0
2023-07-24T05:00:00+0000,119.29,119.29,119.29,119.29,0
2023-07-25T05:00:00+0000,119.09,119.09,119.09,119.09,0
2023-07-26T05:00:00+0000,119.14,119.14,119.14,119.14,0
2023-07-27T05:00:00+0000,118.73,118.73,118.73,118.73,0
2023-07-28T05:00:00+0000,118.67,118.67,118.67,118.67,0
2023-07-31T05:00:00+0000,118.77,118.77,118.77,118.77,0
2023-08-01T05:00:00+0000,118.7,118.7,118.7,118.7,0
2023-08-02T05:00:00+0000,118.16,118.16,118.16,118.16,0
2023-08-03T05:00:00+0000,118.09,118.09,118.09,118.09,0
2023-08-04T05:00:00+0000,118.26,118.26,118.26,118.26,0
2023-08-07T05:00:00+0000,118.08,118.08,118.08,118.08,0
2023-08-08T05:00:00+0000,117.8,117.8,117.8,117.8,0
2023-08-09T05:00:00+0000,117.81,117.81,117.81,117.81,0
2023-08-10T05:00:00+0000,118.04,118.04,118.04,118.04,0
2023-08-11T05:00:00+0000,117.78,117.78,117.78,117.78,0
2023-08-14T05:00:00+0000,117.49,117.49,117.49,117.49,0
2023-08-15T05:00:00+0000,117.15,117.15,117.15,117.15,0
2023-08-16T05:00:00+0000,117.42,117.42,117.42,117.42,0
2023-08-17T05:00:00+0000,117.43,117.43,117.43,117.43,0
2023-08-18T05:00:00+0000,117.44,117.44,117.44,117.44,0
2023-08-21T05:00:00+0000,117.52,117.52,117.52,117.52,0
2023-08-22T05:00:00+0000,117.6,117.6,117.6,117.6,0
2023-08-23T05:00:00+0000,118.58,118.58,118.58,118.58,0
2023-08-24T05:00:00+0000,118.27,118.27,118.27,118.27,0
2023-08-25T05:00:00+0000,118.42,118.42,118.42,118.42,0
2023-08-28T05:00:00+0000,118.24,118.24,118.24,118.24,0
2023-08-29T05:00:00+0000,118.31,118.31,118.31,118.31,0
2023-08-30T05:00:00+0000,118.18,118.18,118.18,118.18,0
2023-08-31T05:00:00+0000,118.17,118.17,118.17,118.17,0
2023-09-01T05:00:00+0000,118.2,118.2,118.2,118.2,0
2023-09-05T05:00:00+0000,117.56,117.56,117.56,117.56,0
2023-09-06T05:00:00+0000,117.45,117.45,117.45,117.45,0
2023-09-07T05:00:00+0000,117.46,117.46,117.46,117.46,0
2023-09-08T05:00:00+0000,117.75,117.75,117.75,117.75,0
2023-09-11T05:00:00+0000,117.79,117.79,117.79,117.79,0
2023-09-12T05:00:00+0000,117.97,117.97,117.97,117.97,0
2023-09-13T05:00:00+0000,117.76,117.76,117.76,117.76,0
