Time,Open,High,Low,Close,Volume
2020-04-14T05:00:00+0000,37.45,37.45,37.45,37.45,0
2020-04-15T05:00:00+0000,37.9,37.9,37.9,37.9,0
2020-04-16T05:00:00+0000,38.8,38.8,38.8,38.8,0
2020-04-17T05:00:00+0000,38.8,38.8,38.8,38.8,0
2020-04-20T05:00:00+0000,38.8,38.8,38.8,38.8,0
2023-10-30T05:00:00+0000,78.85,78.85,78.85,78.85,0
2023-10-31T05:00:00+0000,78.85,78.85,78.85,78.85,0
2023-11-01T05:00:00+0000,78.8,78.8,78.8,78.8,0
2023-11-02T05:00:00+0000,78.7,78.7,78.7,78.7,0
2023-11-03T05:00:00+0000,78.65,78.65,78.65,78.65,0
2023-11-06T06:00:00+0000,78.4,78.4,78.4,78.4,0
2023-11-07T06:00:00+0000,78.15,78.15,78.15,78.15,0
2023-11-08T06:00:00+0000,77.6,77.6,77.6,77.6,0
2023-11-09T06:00:00+0000,77.6,77.6,77.6,77.6,0
2023-11-10T06:00:00+0000,78.1,78.1,78.1,78.1,0
2023-11-13T06:00:00+0000,78.8,78.8,78.8,78.8,0
2023-11-14T06:00:00+0000,78.9,78.9,78.9,78.9,0
2023-11-15T06:00:00+0000,78.8,78.8,78.8,78.8,0
2023-11-16T06:00:00+0000,81.2,81.2,81.2,81.2,0
2023-11-17T06:00:00+0000,82.75,82.75,82.75,82.75,0
2023-11-20T06:00:00+0000,84.3,84.3,84.3,84.3,0
2023-11-21T06:00:00+0000,85.85,85.85,85.85,85.85,0
2023-11-22T06:00:00+0000,85.6,85.6,85.6,85.6,0
2023-11-24T06:00:00+0000,85.6,85.6,85.6,85.6,0
2023-11-27T06:00:00+0000,85.55,85.55,85.55,85.55,0
2023-11-28T06:00:00+0000,85.7,85.7,85.7,85.7,0
2023-11-29T06:00:00+0000,85.7,85.7,85.7,85.7,0
2023-11-30T06:00:00+0000,85.1,85.1,85.1,85.1,0
2023-12-01T06:00:00+0000,86.05,86.05,86.05,86.05,0
2023-12-04T06:00:00+0000,85.85,85.85,85.85,85.85,0
2023-12-05T06:00:00+0000,85.9,85.9,85.9,85.9,0
2023-12-06T06:00:00+0000,86.3,86.3,86.3,86.3,0
2023-12-07T06:00:00+0000,86.35,86.35,86.35,86.35,0
2023-12-08T06:00:00+0000,87.1,87.1,87.1,87.1,0
2023-12-11T06:00:00+0000,87.6,87.6,87.6,87.6,0
2023-12-12T06:00:00+0000,90.0,90.0,90.0,90.0,0
2023-12-13T06:00:00+0000,90.0,90.0,90.0,90.0,0
2023-12-14T06:00:00+0000,90.0,90.0,90.0,90.0,0
2023-12-15T06:00:00+0000,91.5,91.5,91.5,91.5,0
2023-12-18T06:00:00+0000,92.1,92.1,92.1,92.1,0
2023-12-19T06:00:00+0000,93.15,93.15,93.15,93.15,0
2023-12-20T06:00:00+0000,94.15,94.15,94.15,94.15,0
2023-12-21T06:00:00+0000,94.15,94.15,94.15,94.15,0
2023-12-22T06:00:00+0000,95.35,95.35,95.35,95.35,0
2023-12-26T06:00:00+0000,95.35,95.35,95.35,95.35,0
2023-12-27T06:00:00+0000,95.35,95.35,95.35,95.35,0
2023-12-28T06:00:00+0000,95.35,95.35,95.35,95.35,0
2023-12-29T06:00:00+0000,95.35,95.35,95.35,95.35,0
2024-01-02T06:00:00+0000,95.55,95.55,95.55,95.55,0
2024-01-03T06:00:00+0000,95.85,95.85,95.85,95.85,0
2024-01-04T06:00:00+0000,96.2,96.2,96.2,96.2,0
2024-01-05T06:00:00+0000,95.45,95.45,95.45,95.45,0
2024-01-08T06:00:00+0000,95.45,95.45,95.45,95.45,0
