Time,Open,High,Low,Close,Volume
2020-12-14T06:00:00+0000,34.83,34.83,34.83,34.83,0
2020-12-15T06:00:00+0000,34.92,34.92,34.92,34.92,0
2020-12-16T06:00:00+0000,34.8,34.8,34.8,34.8,0
2020-12-17T06:00:00+0000,35.08,35.08,35.08,35.08,0
2020-12-18T06:00:00+0000,34.99,34.99,34.99,34.99,0
2020-12-21T06:00:00+0000,34.87,34.87,34.87,34.87,0
2020-12-22T06:00:00+0000,35.13,35.13,35.13,35.13,0
2020-12-23T06:00:00+0000,35.28,35.28,35.28,35.28,0
2020-12-24T06:00:00+0000,35.28,35.28,35.28,35.28,0
2020-12-28T06:00:00+0000,34.98,34.98,34.98,34.98,0
2020-12-29T06:00:00+0000,35.05,35.05,35.05,35.05,0
2020-12-30T06:00:00+0000,35.54,35.54,35.54,35.54,0
2020-12-31T06:00:00+0000,36.04,36.04,36.04,36.04,0
2021-01-04T06:00:00+0000,35.97,35.97,35.97,35.97,0
2021-01-05T06:00:00+0000,36.91,36.91,36.91,36.91,0
2021-01-06T06:00:00+0000,37.32,37.32,37.32,37.32,0
2021-01-07T06:00:00+0000,37.42,37.42,37.42,37.42,0
2021-01-08T06:00:00+0000,37.84,37.84,37.84,37.84,0
2021-01-11T06:00:00+0000,37.2,37.2,37.2,37.2,0
2021-01-12T06:00:00+0000,37.06,37.06,37.06,37.06,0
2021-01-13T06:00:00+0000,36.82,36.82,36.82,36.82,0
2021-01-14T06:00:00+0000,37.0,37.0,37.0,37.0,0
2021-01-15T06:00:00+0000,36.3,36.3,36.3,36.3,0
2021-01-19T06:00:00+0000,35.68,35.68,35.68,35.68,0
2021-01-20T06:00:00+0000,35.71,35.71,35.71,35.71,0
2021-01-21T06:00:00+0000,36.26,36.26,36.26,36.26,0
2021-01-22T06:00:00+0000,35.77,35.77,35.77,35.77,0
2021-01-25T06:00:00+0000,35.82,35.82,35.82,35.82,0
2021-01-26T06:00:00+0000,36.64,36.64,36.64,36.64,0
2021-01-27T06:00:00+0000,37.01,37.01,37.01,37.01,0
2021-01-28T06:00:00+0000,36.88,36.88,36.88,36.88,0
2021-01-29T06:00:00+0000,37.08,37.08,37.08,37.08,0
2021-02-01T06:00:00+0000,37.39,37.39,37.39,37.39,0
2021-02-02T06:00:00+0000,36.98,36.98,36.98,36.98,0
2021-02-03T06:00:00+0000,36.78,36.78,36.78,36.78,0
2021-02-04T06:00:00+0000,37.11,37.11,37.11,37.11,0
2021-02-05T06:00:00+0000,37.21,37.21,37.21,37.21,0
2021-02-08T06:00:00+0000,37.73,37.73,37.73,37.73,0
