Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
AW,Bloomberg Commodity Index Futures,100,USD,Ags,1.87,0,0,US
GD,S&P-GSCI Commodity Index Futures,250,USD,Ags,2.97,0,0,US
CB,Cash-settled Butter Futures,20000,USD,Ags,2.97,0,0,US
GNF,Nonfat Dry Milk Futures,44000,USD,Ags,2.97,0,0,US
GDK,Class IV Milk Futures,200000,USD,Ags,2.97,0,0,US
DY,Dry Whey Futures,44000,USD,Ags,2.97,0,0,US
ZC,Corn Futures,5000,USD,Ags,2.97,0,0,US
ZW,Chicago SRW Wheat Futures,5000,USD,Ags,2.97,0,0,US
KE,KC HRW Wheat Futures,5000,USD,Ags,2.97,0,0,US
ZR,Rough Rice Futures,2000,USD,Ags,2.97,0,0,US
XC,Mini-Corn Futures,1000,USD,Ags,1.9,0,0,US
ZO,Oats Futures,5000,USD,Ags,2.97,0,0,US
XW,Mini-sized Chicago SRW Wheat Futures,1000,USD,Ags,1.9,0,0,US
LE,Live Cattle Futures,40000,USD,Ags,2.97,0,0,US
HE,Lean Hog Futures,40000,USD,Ags,2.97,0,0,US
GF,Feeder Cattle Futures,50000,USD,Ags,2.97,0,0,US
LBR,Lumber Futures,27500,USD,Ags,2.37,0,0,US
ZS,Soybean Futures,5000,USD,Ags,2.97,0,0,US
ZM,Soybean Meal Futures,100,USD,Ags,2.97,0,0,US
ZL,Soybean Oil Futures,60000,USD,Ags,2.97,0,0,US
XK,Mini Soybean Futures,1000,USD,Ags,1.9,0,0,US
BTC,Bitcoin Futures,5,USD,Cryptocurrencies,11.02,0,0,US
MBT,Micro Bitcoin Futures,0.1,USD,Cryptocurrencies,3.27,0,0,US
MET,Micro Ether Futures,0.1,USD,Cryptocurrencies,0.32,0,0,US
ETH,Ether Futures,50,USD,Cryptocurrencies,7.02,0,0,US
CL,Crude Oil Futures,1000,USD,Energy,2.37,0,0,US
BZ,Brent Last Day Financial Futures,1000,USD,Energy,1.22,0,0,US
MCL,Micro WTI Crude Oil Futures,100,USD,Energy,0.77,0,0,US
QM,E-mini Crude Oil Futures,500,USD,Energy,2.07,0,0,US
NG,Henry Hub Natural Gas Futures,10000,USD,Energy,2.37,0,0,US
HH,Natural Gas (Henry Hub) Last-day Financial Futures,10000,USD,Energy,2.32,0,0,US
QG,E-mini Natural Gas Futures,2500,USD,Energy,1.37,0,0,US
RB,RBOB Gasoline Futures,42000,USD,Energy,2.37,0,0,US
HO,NY Harbor ULSD Futures,42000,USD,Energy,2.37,0,0,US
QU,E-mini RBOB Gasoline Futures,21000,USD,Energy,2.07,0,0,US
MRB,Micro RBOB Gasoline Futures,4200,USD,Energy,0.87,0,0,US
QH,E-mini NY Harbor ULSD Futures,21000,USD,Energy,2.07,0,0,US
YM,E-mini Dow Jones Industrial Average Index Futures,5,USD,Equity,2.2,0,0,US
RX,Dow Jones Real Estate Futures,100,USD,Equity,2.2,0,0,US
