Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
30YRCONF,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,11.0
30YRJUMBO,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,9.0
AEX,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
AEX_mini,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
ALUMINIUM,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
ALUMINIUM_LME,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
AMERIBOR-1M,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
AMERIBOR-3M,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
AMERIBOR-T30,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
AMX,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,14.0
ASX,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,18.0
ATX,HMUZ,-5.0,1,HMUZ,16.0
AUD,HMUZ,-5.0,1,HMUZ,17.0
AUD-ICE,HMUZ,-5.0,1,HMUZ,16.0
AUD-SGX,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,12.0
AUDCAD,HMUZ,-5.0,1,HMUZ,16.0
AUDJPY,HMUZ,-5.0,1,HMUZ,17.0
AUDJPY-SGX,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,13.0
AUD_micro,HMUZ,-5.0,1,HMUZ,17.0
AUSCASH,FGHJKMNQUVXZ,-20.0,1,FGHJKMNQUVXZ,30.0
BARLEY,FHKNUX,-5.0,1,FHKNUX,14.0
BB3M,HMUZ,-90.0,-1,HMUZ,15.0
BBCOMM,HMUZ,-5.0,1,HMUZ,15.0
BEL20,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
BITCOIN,FGHJKMNQUVXZ,-4.0,1,FGHJKMNQUVXZ,26.0
BITCOIN-BAKKT,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,28.0
BOBL,HMUZ,-5.0,1,HMUZ,6.0
BONO,HMUZ,-5.0,1,HMUZ,6.0
BONO-MEFF,HMUZ,-5.0,1,HMUZ,13.0
BONO10,HMUZ,-5.0,1,HMUZ,28.0
BONO3,HMUZ,-5.0,1,HMUZ,25.0
BOVESPA,GJMQVZ,-5.0,1,GJMQVZ,15.0
BRE,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,17.0
BRENT,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
BRENT-LAST,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,-32.0
BRENT_W,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,14.0
BRR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,26.0
BRREUR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,21.0
BTP,HMUZ,-5.0,1,HMUZ,6.0
BTP3,HMUZ,-5.0,1,HMUZ,10.0
BTP5,HMUZ,-5.0,1,HMUZ,10.0
BUND,HMUZ,-5.0,1,HMUZ,6.0
BUTTER,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,15.0
BUXL,HMUZ,-5.0,1,HMUZ,6.0
CAC,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,20.0
CAD,HMUZ,-5.0,1,HMUZ,17.0
CAD10,HMUZ,-20.0,1,HMUZ,20.0
CAD2,HMUZ,-20.0,1,HMUZ,20.0
CAD5,HMUZ,-20.0,1,HMUZ,20.0
CADJPY,HMUZ,-5.0,1,HMUZ,17.0
CADJPY2,HMUZ,-5.0,1,HMUZ,16.0
CADSTIR,HMUZ,-200.0,-1,FGHJKMNQUVXZ,15.0
CAD_micro,HMUZ,-5.0,1,HMUZ,17.0
CAN-ENERGY,HMUZ,-5.0,1,HMUZ,16.0
CAN-FINANCE,HMUZ,-5.0,1,HMUZ,15.0
CAN-GOLD,HMUZ,-5.0,1,HMUZ,16.0
CAN-TECH,HMUZ,-5.0,1,HMUZ,16.0
CANOLA,FHKNX,-60.0,-1,FHKNX,13.0
CETES,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,13.0
CH10,HMUZ,-5.0,1,HMUZ,6.0
CHEESE,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,15.0
CHF,HMUZ,-5.0,1,HMUZ,17.0
CHFJPY,HMUZ,-5.0,1,HMUZ,17.0
CHFJPY-ICE,HMUZ,-5.0,1,HMUZ,16.0
CHF_micro,HMUZ,-5.0,1,HMUZ,17.0
CHINA120,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,28.0
CHINAA-CON,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,18.0
CLP,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,1.0
CNH,FGHJKMNQUVXZ,-10.0,1,FGHJKMNQUVXZ,15.0
CNH-CME,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
CNH-CME_micro,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
CNH-HK,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,17.0
CNH-onshore,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
CNHEUR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,19.0
COAL,FGHJKMNQUVXZ,-90.0,-1,FGHJKMNQUVXZ,24.0
COAL-GEORDIE,FGHJKMNQUVXZ,-90.0,-1,FGHJKMNQUVXZ,27.0
COAL-RICH-BAY,FGHJKMNQUVXZ,-90.0,-1,FGHJKMNQUVXZ,27.0
COCOA,HKNUZ,-50.0,-1,HKNUZ,13.0
COCOA_LDN,HKNUZ,-50.0,-1,HKNUZ,13.0
COFFEE,HKNUZ,-50.0,-1,HKNUZ,19.0
COPPER,HNUZ,-30.0,1,FHJMNUVZ,27.0
COPPER-micro,HKNUZ,-30.0,1,FGHJKMNQUVXZ,15.0
COPPER-mini,HKNUZ,-30.0,1,HKNUZ,27.0
COPPER_LME,FGHJKMNQUVXZ,-45.0,1,FGHJKMNQUVXZ,14.0
CORN,Z,-60.0,-1,HKNUZ,14.0
CORN-EURO,HMQX,-35.0,-1,HMQX,6.0
CORN-JPN,FHKNUX,-5.0,1,FHKNUX,21.0
CORN_mini,HKNUZ,-30.0,1,HKNUZ,14.0
CORRA,HMUZ,-180.0,-1,HMUZ,19.0
COTTON,HKNVZ,-5.0,1,HKNVZ,15.0
COTTON2,HKNZ,-60.0,-1,HKNVZ,6.0
CRUDE_ICE,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,16.0
CRUDE_W,Z,-40.0,-1,FGHJKMNQUVXZ,-11.0
CRUDE_W_micro,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,-11.0
CRUDE_W_mini,FGHJKMNQUVXZ,-40.0,-1,FGHJKMNQUVXZ,-11.0
DAX,HMUZ,-5.0,1,HMUZ,15.0
DIVDAX,HMUZ,-5.0,1,HMUZ,19.0
DIVDAX-DIVI,HMUZ,-5.0,1,HMUZ,15.0
DIVDAX-DIVI2,Z,-5.0,1,Z,20.0
DJSTX-SMALL,HMUZ,-10.0,1,HMUZ,18.0
DJUBS,FGHJMNQUVXZ,-5.0,1,FGHJMNQUVXZ,18.0
DOW,HMUZ,-5.0,1,HMUZ,15.0
DOW_YEN,HMUZ,-5.0,1,HMUZ,17.0
DOW_mini,HMUZ,-5.0,1,HMUZ,15.0
DX,HMUZ,-30.0,1,HMUZ,13.0
EDOLLAR,HMUZ,-1100.0,-1,HMUZ,18.0
EPRA-EURO,HMU,-5.0,1,HMU,19.0
EPRA-EUROPE,HMUZ,-5.0,1,HMUZ,13.0
ETHANOL,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,-11.0
ETHER-micro,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
ETHEREUM,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
ETHRR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,20.0
ETHRREUR,FGHJKMNUXZ,-5.0,1,FGHJKMNUXZ,20.0
EU-AUTO,HMUZ,-5.0,1,HMUZ,15.0
EU-BANKS,HMUZ,-10.0,1,HMUZ,18.0
EU-BANKS-DIVI,MZ,-5.0,1,MZ,19.0
EU-BANKS2,HMUZ,-5.0,1,HMUZ,20.0
EU-BASIC,HMUZ,-5.0,1,HMUZ,15.0
EU-CHEM,HMUZ,-10.0,1,HMUZ,18.0
EU-CONSTRUCTION,HMUZ,-10.0,1,HMUZ,18.0
EU-DIV30,HMUZ,-5.0,1,HMUZ,15.0
EU-DIV30-DVP,Z,-5.0,1,Z,19.0
EU-DIV50,MZ,-60.0,1,MZ,15.0
EU-DJ-AUTO,HMUZ,-5.0,1,HMUZ,14.0
EU-DJ-BASIC,HMUZ,-5.0,1,HMUZ,16.0
EU-DJ-CHEM,HMUZ,-5.0,1,HMUZ,17.0
EU-DJ-CONSTRUCTION,HMUZ,-5.0,1,HMUZ,18.0
EU-DJ-FINANCE,HMUZ,-5.0,1,HMUZ,19.0
EU-DJ-FOOD,HMUZ,-5.0,1,HMUZ,15.0
EU-DJ-HEALTH,HMUZ,-5.0,1,HMUZ,14.0
EU-DJ-HOUSE,HMUZ,-5.0,1,HMUZ,18.0
EU-DJ-INDUSTRY,HMUZ,-5.0,1,HMUZ,20.0
EU-DJ-INDUSTRY2,HMUZ,-5.0,1,HMUZ,14.0
EU-DJ-INSURE,HMUZ,-5.0,1,HMUZ,17.0
EU-DJ-MEDIA,HMUZ,-5.0,1,HMUZ,17.0
EU-DJ-OIL,HMUZ,-5.0,1,HMUZ,15.0
EU-DJ-RETAIL,HMUZ,-5.0,1,HMUZ,19.0
EU-DJ-TECH,HMUZ,-5.0,1,HMUZ,15.0
EU-DJ-TELECOM,HMUZ,-5.0,1,HMUZ,15.0
EU-DJ-TRAVEL,HMUZ,-5.0,1,HMUZ,16.0
EU-DJ-UTIL,HMUZ,-5.0,1,HMUZ,15.0
EU-ESG,HMUZ,-5.0,1,HMUZ,18.0
EU-FINANCE,HMUZ,-5.0,1,HMUZ,17.0
EU-FOOD,HMUZ,-5.0,1,HMUZ,15.0
EU-HEALTH,HMUZ,-5.0,1,HMUZ,15.0
EU-HOUSE,HMUZ,-5.0,1,HMUZ,15.0
EU-INSURE,HMUZ,-10.0,1,HMUZ,18.0
EU-MEDIA,HMUZ,-5.0,1,HMUZ,15.0
EU-MID,HMUZ,-5.0,1,HMUZ,15.0
EU-OIL,HMUZ,-5.0,1,HMUZ,15.0
EU-REALESTATE,HMUZ,-5.0,1,HMUZ,15.0
EU-RETAIL,HMUZ,-5.0,1,HMUZ,15.0
EU-TECH,HMUZ,-5.0,1,HMUZ,15.0
EU-TELECOM,HMUZ,-5.0,1,HMUZ,19.0
EU-TRAVEL,HMUZ,-5.0,1,HMUZ,15.0
EU-UTILS,HMUZ,-5.0,1,HMUZ,15.0
EUA,Z,-270.0,-1,HMUZ,14.0
EUIRS10,HMUZ,-5.0,1,HMUZ,16.0
EUIRS2,HMUZ,-5.0,1,HMUZ,15.0
EUIRS5,HMUZ,-5.0,1,HMUZ,15.0
EUR,HMUZ,-5.0,1,HMUZ,17.0
EUR-ICE,HMUZ,-5.0,1,HMUZ,17.0
EURAUD,HMUZ,-5.0,1,HMUZ,17.0
EURAUD-ICE,HMUZ,-5.0,1,HMUZ,17.0
EURCAD,HMUZ,-5.0,1,HMUZ,15.0
EURCAD-ICE,HMUZ,-5.0,1,HMUZ,17.0
EURCHF,HMUZ,-5.0,1,HMUZ,17.0
EURCHF-ICE,HMUZ,-5.0,1,HMUZ,20.0
EURCZK,HMUZ,-5.0,1,HMUZ,20.0
EURHUF,HMUZ,-5.0,1,HMUZ,17.0
EURIBOR,HMUZ,-700.0,-1,HMUZ,15.0
EURIBOR-ICE,HMUZ,-700.0,-1,HMUZ,15.0
EURINR,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,18.0
EURMXP,FGHJKMNQUVXZ,-5.0,1,FGHJKMNQUVXZ,15.0
EURO600,HMUZ,-5.0,1,HMUZ,15.0
EURO600-ESG,HMUZ,-5.0,1,HMUZ,21.0
EUROFIRST100,HMU,-5.0,1,HMU,19.0
EUROFIRST80,HMU,-5.0,1,HMU,19.0
