Instrument,SpreadCost
AW,0.01
GD,0.05
CB,0.00025
GNF,0.00025
GDK,0.01
DY,0.00025
ZC,0.0025
ZW,0.0025
KE,0.0025
ZR,0.005
XC,0.00125
ZO,0.0025
XW,0.00125
LE,0.00025
HE,0.00025
GF,0.00025
LBR,0.5
ZS,0.0025
ZM,0.1
ZL,0.0001
XK,0.00125
BTC,5
MBT,5
MET,0.5
ETH,0.5
CL,0.01
BZ,0.01
MCL,0.01
QM,0.025
NG,0.00025
HH,0.00025
QG,0.005
RB,0.0001
HO,0.0001
QU,0.001
MRB,0.0001
QH,0.01
YM,1
RX,0.1
MYM,1
NQ,0.25
MNQ,0.25
RTY,0.1
M2K,0.1
RS1,0.1
R2G,0.1
RSG,0.1
ES,0.25
MES,0.25
EMD,0.1
XAF,0.05
XAE,0.1
XAI,0.1
XAU,0.1
XAV,0.1
XAP,0.1
XAK,0.1
XAR,0.05
XAB,0.1
XAY,0.1
XAZ,0.05
6M,1.00E-05
6L,5.00E-05
6Z,2.50E-05
SIR,0.0001
PLN,2.00E-05
KRW,1.00E-07
TRL,5.00E-06
ILS,1.00E-05
HUF,2.00E-07
CZK,2.00E-06
6E,5.00E-05
6B,0.0001
6J,5.00E-07
6C,5.00E-05
6A,5.00E-05
6S,5.00E-05
6N,5.00E-05
M6E,0.0001
E7,0.0001
M6A,0.0001
M6B,0.0001
MCD,0.0001
NOK,1.00E-05
SEK,1.00E-05
MSF,0.0001
J7,1.00E-06
MIR,0.0001
SR3,0.0025
GE,0.0025
ZQ,0.005
SR1,0.0025
ZF,0.0078125
ZN,0.015625
ZT,0.00390625
TN,0.015625
UB,0.03125
ZB,0.03125
Z3N,0.003906235
10Y,0.001
2YY,0.001
TWE,0.03125
30Y,0.001
5YY,0.001
HG,0.0005
ALI,0.25
MHG,0.0005
QC,0.002
HRC,1
UX,0.05
GC,0.1
SI,0.005
PL,0.1
MGC,0.1
PA,0.5
SIL,0.005
QO,0.25
QI,0.0125
SGU,0.1
SIL_syn,0.005
QI_syn,0.0125
MGC_syn,0.1
QO_syn,0.25
QC_syn,0.002
MCD_syn,0.0001
M6B_syn,0.0001
M6A_syn,0.0001
MSF_syn,0.0001
M6E_syn,0.0001
MES_syn,0.25
M2K_syn,0.1
MNQ_syn,0.25
MYM_syn,1
QH_syn,0.01
MRB_syn,0.0001
QU_syn,0.001
QG_syn,0.005
MCL_syn,0.01
QM_syn,0.025
MBT_syn,5
XK_syn,0.00125
XW_syn,0.00125
XC_syn,0.00125
