Date,Open,High,Low,Close,Vol,OI
11/29/2022,4.364,4.364,4.364,4.364,0,0
11/30/2022,4.322,4.322,4.322,4.322,0,0
12/1/2022,4.2010000000000005,4.2010000000000005,4.2010000000000005,4.2010000000000005,0,0
12/2/2022,4.28,4.335,4.28,4.28,16,0
12/5/2022,4.323,4.38,4.31,4.37,16,14
12/6/2022,4.357,4.365,4.321000000000001,4.3260000000000005,5,18
12/7/2022,4.32,4.32,4.216,4.216,40,28
12/8/2022,4.232,4.28,4.232,4.2780000000000005,5,33
12/9/2022,4.238,4.298,4.238,4.279,8,38
12/12/2022,4.289,4.35,4.283,4.336,15,47
12/13/2022,4.287,4.3,4.077,4.152,24,67
12/14/2022,4.1530000000000005,4.227,4.104,4.177,51,69
12/15/2022,4.16,4.189,4.15,4.171,21,85
12/16/2022,4.192,4.192,4.088,4.104,10,93
12/19/2022,4.12,4.176,4.093,4.176,50,123
12/20/2022,4.171,4.226,4.171,4.187,51,143
12/21/2022,4.2,4.2,4.135,4.1419999999999995,49,162
12/22/2022,4.138999999999999,4.196000000000001,4.118,4.166,44,191
12/23/2022,4.194,4.257,4.1930000000000005,4.228,101,254
12/27/2022,4.235,4.337,4.231,4.314,102,282
12/28/2022,4.3,4.3260000000000005,4.29,4.298,165,386
12/29/2022,4.288,4.33,4.288,4.314,309,651
12/30/2022,4.342,4.4,4.322,4.367,195,833
1/3/2023,4.35,4.354,4.305,4.342,197,891
1/4/2023,4.3180000000000005,4.338,4.275,4.332,213,949
1/5/2023,4.327,4.435,4.327,4.4,210,984
1/6/2023,4.4,4.442,4.2010000000000005,4.22,260,1077
1/9/2023,4.2219999999999995,4.256,4.1419999999999995,4.15,247,1045
1/10/2023,4.172,4.232,4.168,4.207,223,1047
1/11/2023,4.199,4.213,4.17,4.185,119,1037
1/12/2023,4.176,4.229,4.069,4.0889999999999995,81,1042
1/13/2023,4.096,4.185,4.07,4.18,315,1012
1/17/2023,4.173,4.205,4.129,4.148,125,1057
1/18/2023,4.138999999999999,4.15,4.026,4.061,116,1052
1/19/2023,4.037,4.085,3.998,4.066,158,1019
1/20/2023,4.065,4.14,4.065,4.126,62,1014
1/23/2023,4.104,4.175,4.085,4.1739999999999995,62,1010
1/24/2023,4.143,4.1819999999999995,4.127,4.137,137,950
1/25/2023,4.127,4.1530000000000005,4.115,4.14,383,736
1/26/2023,4.125,4.187,4.124,4.173,217,677
1/27/2023,4.169,4.218999999999999,4.169,4.208,199,610
1/30/2023,4.21,4.272,4.198,4.255,261,511
1/31/2023,4.23,4.244,4.203,4.206,533,189
