Date,Open,High,Low,Close,Vol,OI
7/28/2023,4.025,4.025,4.025,4.025,0,0
7/31/2023,4.024,4.024,4.024,4.024,0,0
8/1/2023,4.024,4.04,4.024,4.04,2,0
8/2/2023,4.156000000000001,4.156000000000001,4.156000000000001,4.156000000000001,2,2
8/3/2023,4.16,4.27,4.16,4.262,0,2
8/4/2023,4.192,4.192,4.192,4.192,4,5
8/7/2023,4.228,4.27,4.228,4.257,0,5
8/8/2023,4.2,4.2,4.2,4.2,4,4
8/9/2023,4.166,4.177,4.166,4.177,0,4
8/10/2023,4.224,4.224,4.224,4.224,1,4
8/11/2023,4.255,4.27,4.255,4.256,0,4
8/14/2023,4.258,4.281000000000001,4.254,4.258,2,5
8/15/2023,4.305,4.305,4.298,4.303,5,9
8/16/2023,4.342,4.37,4.342,4.342,4,10
8/17/2023,4.39,4.4,4.39,4.4,4,11
8/18/2023,4.362,4.368,4.345,4.368,2,13
8/21/2023,4.397,4.47,4.397,4.455,13,24
8/22/2023,4.456,4.457,4.4110000000000005,4.4110000000000005,21,23
8/23/2023,4.399,4.399,4.284,4.288,17,27
8/24/2023,4.274,4.2989999999999995,4.274,4.2989999999999995,20,30
8/25/2023,4.316,4.327,4.287,4.289,15,41
8/28/2023,4.289,4.308,4.245,4.296,9,40
8/29/2023,4.301,4.301,4.209,4.215,64,93
8/30/2023,4.254,4.254,4.206,4.209,56,125
8/31/2023,4.171,4.195,4.171,4.178,19,120
9/1/2023,4.221,4.29,4.218999999999999,4.284,16,106
9/5/2023,4.295,4.372,4.289,4.369,33,126
9/6/2023,4.359,4.369,4.35,4.357,22,128
9/7/2023,4.38,4.38,4.3469999999999995,4.35,23,141
9/8/2023,4.313,4.33,4.308,4.33,17,145
9/11/2023,4.376,4.376,4.376,4.376,7,151
9/12/2023,4.382,4.382,4.351,4.351,1,152
9/13/2023,4.372,4.383,4.346,4.346,7,154
9/14/2023,4.373,4.396,4.373,4.39,8,152
9/15/2023,4.395,4.413,4.386,4.407,46,192
9/18/2023,4.43,4.43,4.3919999999999995,4.3919999999999995,15,188
9/19/2023,4.3919999999999995,4.4239999999999995,4.3919999999999995,4.423,8,189
