Date,Open,High,Low,Close,Vol,OI
9/1/2020,1.3513,1.3513,1.3513,1.3513,0,0
9/2/2020,1.3463,1.3463,1.3463,1.3463,0,0
9/3/2020,1.34,1.34,1.34,1.34,0,0
9/4/2020,1.3434,1.3434,1.3434,1.3434,0,0
9/8/2020,1.3148,1.3148,1.3148,1.3148,0,0
9/9/2020,1.3136,1.3136,1.3136,1.3136,0,0
9/10/2020,1.2951,1.2951,1.2951,1.2951,0,0
9/11/2020,1.2945,1.2945,1.2945,1.2945,0,0
9/14/2020,1.3011,1.3011,1.3011,1.3011,0,0
9/15/2020,1.3051,1.3051,1.3051,1.3051,0,0
9/16/2020,1.3103,1.3103,1.3103,1.3103,0,0
9/17/2020,1.3151,1.3151,1.3151,1.3151,0,0
9/18/2020,1.3119,1.3119,1.3119,1.3119,0,0
9/21/2020,1.2983,1.2983,1.2983,1.2983,0,0
9/22/2020,1.2898,1.2898,1.2898,1.2898,0,0
9/23/2020,1.2878,1.2878,1.2878,1.2878,0,0
9/24/2020,1.2906,1.2906,1.2906,1.2906,0,0
9/25/2020,1.2903,1.2903,1.2903,1.2903,0,0
9/28/2020,1.3014,1.3014,1.3014,1.3014,0,0
9/29/2020,1.3034,1.3034,1.3034,1.3034,0,0
9/30/2020,1.3069,1.3069,1.3069,1.3069,0,0
10/1/2020,1.3057,1.3057,1.3057,1.3057,0,0
10/2/2020,1.3101,1.3101,1.3101,1.3101,0,0
10/5/2020,1.314,1.314,1.314,1.314,0,0
10/6/2020,1.3073,1.3073,1.3073,1.3073,0,0
10/7/2020,1.3087,1.3087,1.3087,1.3087,0,0
10/8/2020,1.3114,1.3114,1.3114,1.3114,0,0
10/9/2020,1.3225,1.3225,1.3225,1.3225,0,0
10/12/2020,1.3258,1.3258,1.3258,1.3258,0,0
10/13/2020,1.3118,1.3118,1.3118,1.3118,0,0
10/14/2020,1.3202,1.3202,1.3202,1.3202,0,0
10/15/2020,1.3097,1.3097,1.3097,1.3097,0,0
10/16/2020,1.3125,1.3125,1.3125,1.3125,0,0
10/19/2020,1.3152,1.3152,1.3152,1.3152,0,0
10/20/2020,1.3153,1.3153,1.3153,1.3153,0,0
10/21/2020,1.3355,1.3355,1.3355,1.3355,0,0
10/22/2020,1.3272,1.3272,1.3272,1.3272,0,0
10/23/2020,1.3229,1.3229,1.3229,1.3229,0,0
10/26/2020,1.32,1.32,1.32,1.32,0,0
10/27/2020,1.3255,1.3255,1.3255,1.3255,0,0
10/28/2020,1.3189,1.3189,1.3189,1.3189,0,0
10/29/2020,1.3139,1.3139,1.3139,1.3139,0,0
10/30/2020,1.3153,1.3153,1.3153,1.3153,0,0
11/2/2020,1.3104,1.3104,1.3104,1.3104,0,0
11/3/2020,1.3217,1.3217,1.3217,1.3217,0,0
11/4/2020,1.3176,1.3176,1.3176,1.3176,0,0
11/5/2020,1.3324,1.3324,1.3324,1.3324,0,0
11/6/2020,1.3343,1.3343,1.3343,1.3343,0,0
11/9/2020,1.3367,1.3367,1.3367,1.3367,0,0
11/10/2020,1.3438,1.3438,1.3438,1.3438,0,0
11/11/2020,1.3396,1.3396,1.3396,1.3396,0,0
11/12/2020,1.3297,1.3297,1.3297,1.3297,0,0
11/13/2020,1.3362,1.3362,1.3362,1.3362,0,0
11/16/2020,1.3381,1.3381,1.3381,1.3381,0,0
11/17/2020,1.3447,1.3447,1.3447,1.3447,0,0
11/18/2020,1.347,1.347,1.347,1.347,0,0
11/19/2020,1.3443,1.3443,1.3443,1.3443,0,0
11/20/2020,1.3475,1.3475,1.3475,1.3475,0,0
11/23/2020,1.3517,1.3517,1.3517,1.3517,0,0
11/24/2020,1.3543,1.3543,1.3543,1.3543,0,0
11/25/2020,1.3575,1.3575,1.3575,1.3575,0,0
11/27/2020,1.3512,1.3512,1.3512,1.3512,0,0
11/30/2020,1.3526,1.3526,1.3526,1.3526,0,0
12/1/2020,1.3612,1.3612,1.3612,1.3612,0,0
12/2/2020,1.3558,1.3558,1.3558,1.3558,0,0
12/3/2020,1.3649,1.3649,1.3649,1.3649,0,0
12/4/2020,1.3658,1.3658,1.3658,1.3658,0,0
12/7/2020,1.3623,1.3623,1.3623,1.3623,0,0
12/8/2020,1.3579,1.3579,1.3579,1.3579,0,0
12/9/2020,1.3626,1.3626,1.3626,1.3626,0,0
12/10/2020,1.3532,1.3532,1.3532,1.3532,0,0
12/11/2020,1.3452,1.3452,1.3452,1.3452,0,0
12/14/2020,1.3535,1.3535,1.3535,1.3535,0,0
12/15/2020,1.3635,1.3635,1.3635,1.3635,0,0
12/16/2020,1.368,1.368,1.368,1.368,0,0
12/17/2020,1.3777,1.3777,1.3777,1.3777,0,0
12/18/2020,1.3717,1.3717,1.3717,1.3717,0,0
12/21/2020,1.3699,1.3699,1.3699,1.3699,0,0
12/22/2020,1.3599,1.3599,1.3599,1.3599,0,0
12/23/2020,1.3693,1.3693,1.3693,1.3693,0,0
12/24/2020,1.3748,1.3748,1.3748,1.3748,0,0
12/28/2020,1.3657,1.3657,1.3657,1.3657,0,0
12/29/2020,1.3726,1.3726,1.3726,1.3726,0,0
12/30/2020,1.384,1.384,1.384,1.384,0,0
12/31/2020,1.3885,1.3885,1.3885,1.3885,0,0
1/4/2021,1.3818,1.3818,1.3818,1.3818,0,0
1/5/2021,1.3884,1.3884,1.3884,1.3884,0,0
1/6/2021,1.3886,1.3886,1.3886,1.3886,0,0
1/7/2021,1.3851,1.3851,1.3851,1.3851,0,0
1/8/2021,1.3866,1.3866,1.3866,1.3866,0,0
1/11/2021,1.3844,1.3844,1.3844,1.3844,0,0
1/12/2021,1.3966,1.3966,1.3966,1.3966,0,0
1/13/2021,1.3908,1.3908,1.3908,1.3908,0,0
1/14/2021,1.3966,1.3966,1.3966,1.3966,0,0
1/15/2021,1.3853,1.3853,1.3853,1.3853,0,0
1/19/2021,1.3899,1.3899,1.3899,1.3899,0,0
1/20/2021,1.3908,1.3908,1.3908,1.3908,0,0
1/21/2021,1.3979,1.3979,1.3979,1.3979,0,0
1/22/2021,1.3944,1.3944,1.3944,1.3944,0,0
1/25/2021,1.3932,1.3932,1.3932,1.3932,0,0
1/26/2021,1.4,1.4,1.4,1.4,0,0
1/27/2021,1.3941,1.3941,1.3941,1.3941,0,0
1/28/2021,1.4005,1.4005,1.4005,1.4005,0,0
1/29/2021,1.3953,1.3953,1.3953,1.3953,0,0
2/1/2021,1.3917,1.3917,1.3917,1.3917,0,0
2/2/2021,1.3908,1.3908,1.3908,1.3908,0,0
2/3/2021,1.3896,1.3896,1.3896,1.3896,0,0
2/4/2021,1.3899,1.3899,1.3899,1.3899,0,0
2/5/2021,1.3928,1.3928,1.3928,1.3928,0,0
2/8/2021,1.3963,1.3963,1.3963,1.3963,0,0
2/9/2021,1.403,1.403,1.403,1.403,0,0
2/10/2021,1.4039,1.4039,1.4039,1.4039,0,0
