Date,Open,High,Low,Close,Vol,OI
3/13/2023,1.12445,1.12445,1.12445,1.12445,0,0
3/14/2023,1.1232,1.1232,1.1232,1.1232,0,0
3/15/2023,1.1047,1.1047,1.1047,1.1047,0,0
3/16/2023,1.11645,1.11645,1.11645,1.11645,0,0
3/17/2023,1.1205,1.1205,1.1205,1.1205,0,0
3/20/2023,1.12905,1.12905,1.12905,1.12905,0,0
3/21/2023,1.13035,1.13035,1.13035,1.13035,0,0
3/22/2023,1.1403,1.1403,1.1403,1.1403,0,0
3/23/2023,1.1272,1.1272,1.1272,1.1272,0,0
3/24/2023,1.11905,1.11905,1.11905,1.11905,0,0
3/27/2023,1.12655,1.12655,1.12655,1.12655,0,0
3/28/2023,1.1332,1.1332,1.1332,1.1332,0,0
3/29/2023,1.13515,1.13515,1.13515,1.13515,0,0
3/30/2023,1.13735,1.13735,1.13735,1.13735,0,0
3/31/2023,1.1324,1.1324,1.1324,1.1324,0,0
4/3/2023,1.13225,1.13225,1.13225,1.13225,0,0
4/4/2023,1.13315,1.13315,1.13315,1.13315,0,0
4/5/2023,1.1284,1.1284,1.1284,1.1284,0,0
4/6/2023,1.1313,1.1313,1.1313,1.1313,0,0
4/7/2023,1.13065,1.13065,1.13065,1.13065,0,0
4/10/2023,1.13305,1.13305,1.13305,1.13305,0,0
4/11/2023,1.13355,1.13355,1.13355,1.13355,0,0
4/12/2023,1.13615,1.13615,1.13615,1.13615,0,0
4/13/2023,1.1414,1.1414,1.1414,1.1414,0,0
4/14/2023,1.13975,1.13975,1.13975,1.13975,0,0
4/17/2023,1.13455,1.13455,1.13455,1.13455,0,0
4/18/2023,1.1376,1.1376,1.1376,1.1376,0,0
4/19/2023,1.13595,1.13595,1.13595,1.13595,0,0
4/20/2023,1.1358,1.1358,1.1358,1.1358,0,0
4/21/2023,1.1369,1.1369,1.1369,1.1369,0,0
4/24/2023,1.13945,1.13945,1.13945,1.13945,0,0
4/25/2023,1.1298,1.1298,1.1298,1.1298,0,0
4/26/2023,1.1417,1.1417,1.1417,1.1417,0,0
4/27/2023,1.14275,1.14275,1.14275,1.14275,0,0
4/28/2023,1.14505,1.14505,1.14505,1.14505,0,0
5/1/2023,1.14495,1.14495,1.14495,1.14495,0,0
5/2/2023,1.1453,1.1453,1.1453,1.1453,0,0
5/3/2023,1.14795,1.14795,1.14795,1.14795,0,0
5/4/2023,1.14305,1.14305,1.14305,1.14305,0,0
5/5/2023,1.14665,1.14665,1.14665,1.14665,0,0
5/8/2023,1.14455,1.14455,1.14455,1.14455,0,0
5/9/2023,1.1414,1.1414,1.1414,1.1414,0,0
5/10/2023,1.14015,1.14015,1.14015,1.14015,0,0
5/11/2023,1.13395,1.13395,1.13395,1.13395,0,0
5/12/2023,1.1292,1.1292,1.1292,1.1292,0,0
5/15/2023,1.1318,1.1318,1.1318,1.1318,0,0
5/16/2023,1.13075,1.13075,1.13075,1.13075,0,0
5/17/2023,1.13,1.13,1.13,1.13,0,0
5/18/2023,1.1219,1.1219,1.1219,1.1219,0,0
5/19/2023,1.1282,1.1282,1.1282,1.1282,0,0
5/22/2023,1.13125,1.13125,1.13125,1.13125,0,0
5/23/2023,1.1262,1.1262,1.1262,1.1262,0,0
5/24/2023,1.12255,1.12255,1.12255,1.12255,0,0
5/25/2023,1.1229,1.1229,1.1229,1.1229,0,0
5/26/2023,1.1265,1.1265,1.1265,1.1265,0,0
5/30/2023,1.12865,1.12865,1.12865,1.12865,0,0
5/31/2023,1.12385,1.12385,1.12385,1.12385,0,0
6/1/2023,1.1313,1.1313,1.1313,1.1313,0,0
6/2/2023,1.13035,1.13035,1.13035,1.13035,0,0
