Date,Open,High,Low,Close,Vol,OI
6/13/2022,0.6205,0.6205,0.6205,0.6205,0,0
6/14/2022,0.6144,0.6144,0.6144,0.6144,0,0
6/15/2022,0.6182,0.6182,0.6182,0.6182,0,0
6/16/2022,0.6293,0.6293,0.6293,0.6293,0,0
6/17/2022,0.6222,0.6222,0.6222,0.6222,0,0
6/21/2022,0.6255,0.6255,0.6255,0.6255,0,0
6/22/2022,0.6209,0.6209,0.6209,0.6209,0,0
6/23/2022,0.6197,0.6197,0.6197,0.6197,0,0
6/24/2022,0.6243,0.6243,0.6243,0.6243,0,0
6/27/2022,0.6231,0.6231,0.6231,0.6231,0,0
6/28/2022,0.6183,0.6183,0.6183,0.6183,0,0
6/29/2022,0.6152,0.6152,0.6152,0.6152,0,0
6/30/2022,0.6179,0.6179,0.6179,0.6179,0,0
7/1/2022,0.6148,0.6148,0.6148,0.6148,0,0
7/5/2022,0.6095,0.6095,0.6095,0.6095,0,0
7/6/2022,0.61,0.61,0.61,0.61,0,0
7/7/2022,0.6135,0.6135,0.6135,0.6135,0,0
7/8/2022,0.6143,0.6143,0.6143,0.6143,0,0
7/11/2022,0.6071,0.6071,0.6071,0.6071,0,0
7/12/2022,0.6082,0.6082,0.6082,0.6082,0,0
7/13/2022,0.6098,0.6098,0.6098,0.6098,0,0
7/14/2022,0.6081,0.6081,0.6081,0.6081,0,0
7/15/2022,0.6105,0.6105,0.6105,0.6105,0,0
7/18/2022,0.6105,0.6105,0.6105,0.6105,0,0
7/19/2022,0.6167,0.6167,0.6167,0.6167,0,0
7/20/2022,0.6168,0.6168,0.6168,0.6168,0,0
7/21/2022,0.6156,0.6156,0.6156,0.6156,0,0
7/22/2022,0.6168,0.6168,0.6168,0.6168,0,0
7/25/2022,0.6202,0.6202,0.6202,0.6202,0,0
7/26/2022,0.6168,0.6168,0.6168,0.6168,0,0
7/27/2022,0.6205,0.6205,0.6205,0.6205,0,0
7/28/2022,0.6223,0.6223,0.6223,0.6223,0,0
7/29/2022,0.6248,0.6248,0.6248,0.6248,0,0
8/1/2022,0.6284,0.6284,0.6284,0.6284,0,0
8/2/2022,0.6223,0.6223,0.6223,0.6223,0,0
8/3/2022,0.6235,0.6235,0.6235,0.6235,0,0
8/4/2022,0.6276,0.6276,0.6276,0.6276,0,0
8/5/2022,0.6212,0.6212,0.6212,0.6212,0,0
8/8/2022,0.6259,0.6259,0.6259,0.6259,0,0
8/9/2022,0.6259,0.6259,0.6259,0.6259,0,0
8/10/2022,0.6389,0.6389,0.6389,0.6389,0,0
8/11/2022,0.6407,0.6407,0.6407,0.6407,0,0
8/12/2022,0.6429,0.6429,0.6429,0.6429,0,0
8/15/2022,0.6334,0.6334,0.6334,0.6334,0,0
8/16/2022,0.6325,0.6325,0.6325,0.6325,0,0
8/17/2022,0.6276,0.6276,0.6276,0.6276,0,0
8/18/2022,0.6243,0.6243,0.6243,0.6243,0,0
8/19/2022,0.6145,0.6145,0.6145,0.6145,0,0
8/22/2022,0.6145,0.6145,0.6145,0.6145,0,0
8/23/2022,0.618,0.618,0.618,0.618,0,0
8/24/2022,0.6159,0.6159,0.6159,0.6159,0,0
8/25/2022,0.62,0.62,0.62,0.62,0,0
8/26/2022,0.6116,0.6116,0.6116,0.6116,0,0
8/29/2022,0.6124,0.6124,0.6124,0.6124,0,0
8/30/2022,0.6114,0.6114,0.6114,0.6114,0,0
8/31/2022,0.61,0.61,0.61,0.61,0,0
9/1/2022,0.605,0.605,0.605,0.605,0,0
9/2/2022,0.6093,0.6093,0.6093,0.6093,0,0
9/6/2022,0.602,0.602,0.602,0.602,0,0
9/7/2022,0.6037,0.6037,0.6037,0.6037,0,0
9/8/2022,0.6036,0.6036,0.6036,0.6036,0,0
9/9/2022,0.6095,0.6095,0.6095,0.6095,0,0
9/12/2022,0.6124,0.6124,0.6124,0.6124,0,0
9/13/2022,0.6004,0.6004,0.6004,0.6004,0,0
9/14/2022,0.6014,0.6014,0.6014,0.6014,0,0
9/15/2022,0.5981,0.5981,0.5981,0.5981,0,0
9/16/2022,0.5986,0.5986,0.5986,0.5986,0,0
9/19/2022,0.5959,0.5959,0.5959,0.5959,0,0
9/20/2022,0.5907,0.5907,0.5907,0.5907,0,0
9/21/2022,0.5917,0.5917,0.5917,0.5917,0,0
9/22/2022,0.5854,0.5854,0.5854,0.5854,0,0
9/23/2022,0.5747,0.5747,0.5747,0.5747,0,0
9/26/2022,0.5654,0.5654,0.5654,0.5654,0,0
9/27/2022,0.5678,0.5678,0.5647,0.5647,1,0
9/28/2022,0.5728,0.5728,0.5728,0.5728,1,1
9/29/2022,0.5698,0.5698,0.5698,0.5698,0,1
9/30/2022,0.5608,0.5608,0.5608,0.5608,0,1
10/3/2022,0.5714,0.5714,0.5714,0.5714,0,1
10/4/2022,0.5743,0.5743,0.5743,0.5743,0,1
10/5/2022,0.5758,0.5758,0.5758,0.5758,0,1
10/6/2022,0.5658,0.5658,0.5658,0.5658,0,1
10/7/2022,0.5624,0.5624,0.5624,0.5624,0,1
10/10/2022,0.5574,0.5574,0.5574,0.5574,0,1
10/11/2022,0.5595,0.5595,0.5595,0.5595,0,1
10/12/2022,0.5609,0.5609,0.5609,0.5609,0,1
10/13/2022,0.5655,0.5655,0.5655,0.5655,0,1
10/14/2022,0.557,0.557,0.557,0.557,0,1
10/17/2022,0.5643,0.5643,0.5643,0.5643,0,1
10/18/2022,0.5672,0.5672,0.5672,0.5672,0,1
10/19/2022,0.5653,0.5653,0.5653,0.5653,0,1
10/20/2022,0.5669,0.5669,0.5669,0.5669,0,1
10/21/2022,0.5733,0.5733,0.5733,0.5733,0,1
10/24/2022,0.5681,0.5681,0.5681,0.5681,0,1
10/25/2022,0.5747,0.5747,0.5747,0.5747,0,1
10/26/2022,0.5826,0.5826,0.5826,0.5826,0,1
10/27/2022,0.5833,0.5833,0.5833,0.5833,0,1
10/28/2022,0.5814,0.5814,0.5814,0.5814,0,1
10/31/2022,0.5822,0.5822,0.5822,0.5822,0,1
11/1/2022,0.5856,0.5856,0.5856,0.5856,0,1
11/2/2022,0.5878,0.5878,0.5878,0.5878,0,1
11/3/2022,0.5797,0.5797,0.5797,0.5797,0,1
11/4/2022,0.5947,0.5947,0.5947,0.5947,0,1
11/7/2022,0.5949,0.5949,0.5949,0.5949,0,1
11/8/2022,0.5963,0.5963,0.5963,0.5963,0,1
11/9/2022,0.5883,0.5883,0.5883,0.5883,0,1
11/10/2022,0.6017,0.6017,0.6017,0.6017,0,1
11/11/2022,0.6136,0.6136,0.6136,0.6136,0,1
11/14/2022,0.6129,0.6129,0.6129,0.6129,0,1
11/15/2022,0.6185,0.6185,0.6185,0.6185,0,1
11/16/2022,0.6167,0.6167,0.6167,0.6167,0,1
11/17/2022,0.6139,0.6139,0.6139,0.6139,0,1
11/18/2022,0.6172,0.6172,0.6172,0.6172,0,1
11/21/2022,0.6112,0.6112,0.6112,0.6112,0,1
11/22/2022,0.6164,0.6164,0.6164,0.6164,0,1
