Date,Open,High,Low,Close,Vol,OI
6/5/2018,1.2001,1.2001,1.2001,1.2001,0,0
6/6/2018,1.1974,1.1974,1.1974,1.1974,0,0
6/7/2018,1.1989,1.1989,1.1989,1.1989,0,0
6/8/2018,1.195,1.195,1.195,1.195,0,0
6/11/2018,1.1973,1.1973,1.1973,1.1973,0,0
6/12/2018,1.1956,1.1956,1.1956,1.1956,0,0
6/13/2018,1.1948,1.1948,1.1948,1.1948,0,0
6/14/2018,1.1853,1.1853,1.1853,1.1853,0,0
6/15/2018,1.1844,1.1844,1.1844,1.1844,0,0
6/18/2018,1.1886,1.1886,1.1886,1.1886,0,0
6/19/2018,1.187,1.187,1.187,1.187,0,0
6/20/2018,1.1859,1.1859,1.1859,1.1859,0,0
6/21/2018,1.1915,1.1915,1.1915,1.1915,0,0
6/22/2018,1.1955,1.1955,1.1955,1.1955,0,0
6/25/2018,1.1958,1.1958,1.1958,1.1958,0,0
6/26/2018,1.1878,1.1878,1.1878,1.1878,0,0
6/27/2018,1.1785,1.1785,1.1785,1.1785,0,0
6/28/2018,1.1782,1.1782,1.1782,1.1782,0,0
6/29/2018,1.1864,1.1864,1.1864,1.1864,0,0
7/2/2018,1.184,1.184,1.184,1.184,0,0
7/3/2018,1.1898,1.1898,1.1898,1.1898,0,0
7/5/2018,1.1827,1.1827,1.1827,1.1827,0,0
7/6/2018,1.1871,1.1871,1.1871,1.1871,0,0
7/9/2018,1.1861,1.1861,1.1861,1.1861,0,0
7/10/2018,1.1851,1.1851,1.1851,1.1851,0,0
7/11/2018,1.179,1.179,1.179,1.179,0,0
7/12/2018,1.1715,1.1715,1.1715,1.1715,0,0
7/13/2018,1.1707,1.1707,1.1707,1.1707,0,0
7/16/2018,1.1767,1.1767,1.1767,1.1767,0,0
7/17/2018,1.1738,1.1738,1.1738,1.1738,0,0
7/18/2018,1.1749,1.1749,1.1749,1.1749,0,0
7/19/2018,1.1745,1.1745,1.1745,1.1745,0,0
7/20/2018,1.1831,1.1831,1.1831,1.1831,0,0
7/23/2018,1.184,1.184,1.184,1.184,0,0
7/24/2018,1.1833,1.1833,1.1833,1.1833,0,0
7/25/2018,1.1843,1.1843,1.1843,1.1843,0,0
7/26/2018,1.1836,1.1836,1.1836,1.1836,0,0
7/27/2018,1.1835,1.1835,1.1835,1.1835,0,0
7/30/2018,1.1893,1.1893,1.1893,1.1893,0,0
7/31/2018,1.1868,1.1868,1.1868,1.1868,0,0
8/1/2018,1.1857,1.1857,1.1857,1.1857,0,0
8/2/2018,1.1819,1.1819,1.1819,1.1819,0,0
8/3/2018,1.1832,1.1832,1.1832,1.1832,0,0
8/6/2018,1.1803,1.1803,1.1803,1.1803,0,0
8/7/2018,1.1823,1.1823,1.1823,1.1823,0,0
8/8/2018,1.185,1.185,1.185,1.185,0,0
8/9/2018,1.1837,1.1837,1.1837,1.1837,0,0
8/10/2018,1.1804,1.1804,1.1804,1.1804,0,0
8/13/2018,1.1822,1.1822,1.1822,1.1822,0,0
8/14/2018,1.1818,1.1818,1.1818,1.1818,0,0
8/15/2018,1.1835,1.1835,1.1835,1.1835,0,0
8/16/2018,1.1789,1.1789,1.1789,1.1789,0,0
8/17/2018,1.1808,1.1808,1.1808,1.1808,0,0
8/20/2018,1.1841,1.1841,1.1841,1.1841,0,0
8/21/2018,1.1926,1.1926,1.1926,1.1926,0,0
8/22/2018,1.193,1.193,1.193,1.193,0,0
8/23/2018,1.1885,1.1885,1.1885,1.1885,0,0
8/24/2018,1.1927,1.1927,1.1927,1.1927,0,0
8/27/2018,1.1974,1.1974,1.1974,1.1974,0,0
8/28/2018,1.2021,1.2021,1.2021,1.2021,0,0
8/29/2018,1.2089,1.2089,1.2089,1.2089,0,0
8/30/2018,1.212,1.212,1.212,1.212,0,0
8/31/2018,1.2105,1.2105,1.2105,1.2105,0,0
9/4/2018,1.2058,1.2058,1.2058,1.2058,0,0
9/5/2018,1.2072,1.2072,1.2072,1.2072,0,0
9/6/2018,1.2139,1.2139,1.2139,1.2139,0,0
9/7/2018,1.2138,1.2138,1.2138,1.2138,0,0
9/10/2018,1.2054,1.2054,1.2054,1.2054,0,0
9/11/2018,1.208,1.208,1.208,1.208,0,0
9/12/2018,1.2125,1.2125,1.2125,1.2125,0,0
9/13/2018,1.2165,1.2165,1.2165,1.2165,0,0
9/14/2018,1.2165,1.2165,1.2165,1.2165,0,0
