Date,Open,High,Low,Close,Vol,OI
12/19/2018,79.6,79.6,79.6,79.6,0,0
12/20/2018,78.8,78.8,78.8,78.8,0,0
12/21/2018,78.5,78.5,78.5,78.5,0,0
12/24/2018,77.7,77.7,77.7,77.7,0,0
12/26/2018,78.0,78.0,78.0,78.0,0,0
12/27/2018,77.7,77.7,77.7,77.7,0,0
12/28/2018,77.5,77.5,77.5,77.5,0,0
12/31/2018,76.6,76.6,76.6,76.6,0,0
1/2/2019,76.9,76.9,76.9,76.9,0,0
1/3/2019,77.4,77.4,77.4,77.4,0,0
1/4/2019,78.3,78.3,78.3,78.3,0,0
1/7/2019,78.4,78.4,78.4,78.4,0,0
1/8/2019,78.8,78.8,78.8,78.8,0,0
1/9/2019,79.8,79.8,79.8,79.8,0,0
1/10/2019,79.3,79.3,79.3,79.3,0,0
1/11/2019,79.5,79.5,79.5,79.5,0,0
1/14/2019,79.7,79.7,79.7,79.7,0,0
1/15/2019,80.3,80.3,80.3,80.3,0,0
1/16/2019,80.1,80.1,80.1,80.1,0,0
1/17/2019,80.3,80.3,80.3,80.3,0,0
1/18/2019,81.5,81.5,81.5,81.5,0,0
1/22/2019,80.2,80.2,80.2,80.2,0,0
1/23/2019,80.2,80.2,80.2,80.2,0,0
1/24/2019,80.2,80.2,80.2,80.2,0,0
1/25/2019,81.0,81.0,81.0,81.0,0,0
1/28/2019,79.9,79.9,79.9,79.9,0,0
1/29/2019,80.6,80.6,80.6,80.6,0,0
1/30/2019,81.1,81.1,81.1,81.1,0,0
1/31/2019,80.8,80.8,80.8,80.8,0,0
2/1/2019,81.0,81.0,81.0,81.0,0,0
2/4/2019,81.2,81.2,81.2,81.2,0,0
2/5/2019,81.0,81.0,81.0,81.0,0,0
2/6/2019,80.9,80.9,80.9,80.9,0,0
2/7/2019,79.9,79.9,79.9,79.9,0,0
2/8/2019,79.9,79.9,79.9,79.9,0,0
2/11/2019,79.5,79.5,79.5,79.5,0,0
2/12/2019,80.2,80.2,80.2,80.2,0,0
2/13/2019,80.0,80.0,80.0,80.0,0,0
2/14/2019,79.9,79.9,79.9,79.9,0,0
2/15/2019,81.0,81.0,81.0,81.0,0,0
2/19/2019,81.1,81.1,81.1,81.1,0,0
2/20/2019,81.4,81.4,81.4,81.4,0,0
2/21/2019,81.8,81.8,81.8,81.8,0,0
2/22/2019,82.1,82.1,82.1,82.1,0,0
2/25/2019,81.4,81.4,81.4,81.4,0,0
2/26/2019,81.2,81.2,81.2,81.2,0,0
2/27/2019,81.6,81.6,81.6,81.6,0,0
2/28/2019,81.2,81.2,81.2,81.2,0,0
3/1/2019,81.0,81.0,81.0,81.0,0,0
3/4/2019,80.7,80.7,80.7,80.7,0,0
3/5/2019,81.0,81.0,81.0,81.0,0,0
3/6/2019,80.8,80.8,80.8,80.8,0,0
3/7/2019,80.8,80.8,80.8,80.8,0,0
3/8/2019,80.2,80.2,80.2,80.2,0,0
3/11/2019,80.2,80.2,80.2,80.2,0,0
3/12/2019,80.9,80.9,80.9,80.9,0,0
3/13/2019,81.4,81.4,81.4,81.4,0,0
3/14/2019,81.4,81.4,81.4,81.4,0,0
3/15/2019,81.6,81.6,81.6,81.6,0,0
3/18/2019,82.1,82.1,82.1,82.1,0,0
3/19/2019,82.1,82.1,82.1,82.1,0,0
3/20/2019,82.8,82.8,82.8,82.8,0,0
3/21/2019,82.6,82.6,82.6,82.6,0,0
3/22/2019,81.7,81.7,81.7,81.7,0,0
3/25/2019,82.0,82.0,82.0,82.0,0,0
3/26/2019,82.1,82.1,82.1,82.1,0,0
3/27/2019,81.4,81.4,81.4,81.4,0,0
3/28/2019,81.2,81.2,81.2,81.2,0,0
3/29/2019,81.2,81.2,81.2,81.2,0,0
4/1/2019,81.8,81.8,81.8,81.8,0,0
4/2/2019,81.8,81.8,81.8,81.8,0,0
4/3/2019,82.3,82.3,82.3,82.3,0,0
4/4/2019,82.5,82.5,82.5,82.5,0,0
4/5/2019,82.3,82.3,82.3,82.3,0,0
4/8/2019,82.7,82.7,82.7,82.7,0,0
4/9/2019,82.5,82.5,82.5,82.5,0,0
4/10/2019,83.2,83.2,83.2,83.2,0,0
4/11/2019,82.2,82.2,82.2,82.2,0,0
4/12/2019,82.5,82.5,82.5,82.5,0,0
4/15/2019,82.3,82.3,82.3,82.3,0,0
4/16/2019,82.1,82.1,82.1,82.1,0,0
4/17/2019,81.6,81.6,81.6,81.6,0,0
4/18/2019,81.6,81.6,81.6,81.6,0,0
4/22/2019,81.9,81.9,81.9,81.9,0,0
4/23/2019,81.8,81.8,81.8,81.8,0,0
4/24/2019,81.5,81.5,81.5,81.5,0,0
4/25/2019,81.4,81.4,81.4,81.4,0,0
4/26/2019,80.8,80.8,80.8,80.8,0,0
4/29/2019,80.5,80.5,80.5,80.5,0,0
4/30/2019,80.6,80.6,80.6,80.6,0,0
5/1/2019,80.5,80.5,80.5,80.5,0,0
5/2/2019,79.9,79.9,79.9,79.9,0,0
5/3/2019,79.7,79.7,79.7,79.7,0,0
5/6/2019,79.3,79.3,79.3,79.3,0,0
5/7/2019,78.7,78.7,78.7,78.7,0,0
5/8/2019,79.0,79.0,79.0,79.0,0,0
