Date,Open,High,Low,Close,Vol,OI
7/28/2022,24175,24175,24175,24175,0,0
7/29/2022,24245,24245,24245,24245,0,0
8/1/2022,23245,23245,23245,23245,0,0
8/2/2022,23255,23255,23255,23255,0,0
8/3/2022,23755,23755,23755,23755,0,0
8/4/2022,22730,22730,22730,22730,0,0
8/5/2022,23215,23215,23215,23215,0,0
8/8/2022,24220,24220,24220,24220,0,0
8/9/2022,23340,23340,23340,23340,0,0
8/10/2022,23915,23915,23915,23915,0,0
8/11/2022,24490,24490,24490,24490,0,0
8/12/2022,24475,24475,24475,24475,0,0
8/15/2022,24260,24260,24260,24260,0,0
8/16/2022,24205,24205,24205,24205,0,0
8/17/2022,23545,23545,23545,23545,0,0
8/18/2022,23600,23600,23600,23600,0,0
8/19/2022,21590,21590,21590,21590,0,0
8/22/2022,21245,21245,21245,21245,0,0
8/23/2022,21745,21745,21745,21745,0,0
8/24/2022,21885,21885,21885,21885,0,0
8/25/2022,21750,21750,21730,21730,1,0
8/26/2022,20595,20645,20595,20645,1,1
8/29/2022,19800,20110,19800,20110,2,3
8/30/2022,19800,19945,19800,19945,5,4
8/31/2022,20230,20230,20230,20230,2,4
9/1/2022,19850,19850,19850,19850,0,4
9/2/2022,19925,19925,19925,19925,0,4
9/6/2022,18790,18790,18790,18790,0,4
9/7/2022,19075,19075,19075,19075,0,4
9/8/2022,19405,19405,19405,19405,0,4
9/9/2022,21460,21460,21460,21460,0,4
9/12/2022,22610,22610,22610,22610,0,4
9/13/2022,20385,20385,20385,20385,1,5
9/14/2022,20075,20075,20075,20075,0,5
9/15/2022,19865,19865,19865,19865,0,5
9/16/2022,19705,19705,19705,19705,0,5
9/19/2022,19600,19600,19600,19600,0,5
9/20/2022,19040,19040,19040,19040,0,5
9/21/2022,19045,19045,19045,19045,0,5
9/22/2022,19345,19345,19345,19345,0,5
9/23/2022,18780,18780,18780,18780,0,5
9/26/2022,19205,19205,19205,19205,0,5
9/27/2022,19095,19095,19095,19095,0,5
9/28/2022,19635,19635,19635,19635,0,5
9/29/2022,19505,19505,19505,19505,0,5
9/30/2022,19525,19525,19525,19525,0,5
10/3/2022,19590,19590,19590,19590,0,5
10/4/2022,20310,20310,20310,20310,0,5
10/5/2022,20175,20340,20020,20160,0,5
10/6/2022,20195,20195,19965,20065,8,7
10/7/2022,19765,19765,19495,19495,5,6
10/10/2022,19385,19385,19100,19185,3,6
10/11/2022,19020,19025,18850,18955,5,8
10/12/2022,19060,19125,19045,19125,10,17
10/13/2022,18630,19375,18060,19350,3,19
10/14/2022,19420,19480,19135,19135,19,26
10/17/2022,19520,19520,19520,19520,2,28
10/18/2022,19515,19515,19205,19205,0,28
10/19/2022,19165,19215,19165,19215,3,31
10/20/2022,19275,19335,19045,19045,14,33
10/21/2022,19015,19185,18980,19185,2,31
10/24/2022,19350,19350,19285,19340,7,31
10/25/2022,19265,20315,19265,20315,7,28
10/26/2022,20730,20975,20730,20830,11,30
10/27/2022,20770,20805,20460,20765,93,57
10/28/2022,20305,20760,20185,20705,127,112
10/31/2022,20545,20795,20285,20385,46,103
11/1/2022,20540,20550,20385,20480,46,111
11/2/2022,20460,20850,20260,20270,5,115
11/3/2022,20070,20350,20070,20285,21,117
11/4/2022,20635,21300,20635,21150,10,119
11/7/2022,21045,21045,20670,20865,45,125
11/8/2022,20180,20615,17535,18090,20,133
11/9/2022,18370,18370,15000,15605,222,200
11/10/2022,15545,17655,15470,17655,247,236
11/11/2022,16495,16725,15675,15770,228,243
11/14/2022,15580,16110,15000,15790,80,254
11/15/2022,16065,16605,16000,16490,91,258
11/16/2022,16045,16045,15815,16040,381,318
11/17/2022,15885,16300,15875,16230,115,379
11/18/2022,16290,16365,16190,16200,44,402
11/21/2022,15835,15900,15000,15290,16,403
11/22/2022,15300,15635,15300,15595,212,430
11/23/2022,16000,16255,15820,16255,2233,1091
11/25/2022,16270,16380,16065,16220,2336,2197
11/28/2022,16160,16160,15615,15890,167,2202
11/29/2022,15840,16285,15820,16165,321,2206
11/30/2022,16085,17035,16085,16985,264,2249
12/1/2022,17030,17140,16725,16775,499,2287
12/2/2022,16835,17000,16215,16940,351,2297
12/5/2022,17010,17375,16720,16775,306,2386
12/6/2022,16915,16935,16745,16875,255,2415
12/7/2022,16910,17000,16530,16635,196,2459
12/8/2022,16640,17170,16615,17100,196,2474
12/9/2022,17145,17260,16955,16965,343,2529
12/12/2022,16960,17115,16745,17020,198,2574
12/13/2022,17070,17905,17015,17640,186,2591
12/14/2022,17705,18285,17630,17705,534,2606
12/15/2022,17740,17785,17200,17285,516,2689
12/16/2022,17305,17345,16595,16685,466,2833
12/19/2022,16580,16635,16320,16390,365,2906
12/20/2022,16185,16920,16185,16725,428,2990
12/21/2022,16650,16720,16560,16590,475,2966
12/22/2022,16595,16705,16315,16575,599,3151
12/23/2022,16595,16725,16545,16650,1339,3720
12/27/2022,16690,16815,16345,16435,3803,5785
