Date,Open,High,Low,Close,Vol,OI
11/2/2020,50.65,50.65,50.65,50.65,0,0
11/3/2020,50.53,50.53,50.53,50.53,0,0
11/4/2020,51.23,51.23,51.23,51.23,0,0
11/5/2020,50.85,50.85,50.85,50.85,0,0
11/6/2020,50.03,50.03,50.03,50.03,0,0
11/9/2020,51.39,51.39,51.39,51.39,0,0
11/10/2020,51.37,51.37,51.37,51.37,0,0
11/11/2020,51.82,51.82,51.82,51.82,0,0
11/12/2020,51.44,51.44,51.44,51.44,0,0
11/13/2020,50.83,50.83,50.83,50.83,0,0
11/16/2020,51.01,51.01,51.01,51.01,0,0
11/17/2020,50.64,50.64,50.64,50.64,0,0
11/18/2020,50.82,50.82,50.82,50.82,0,0
11/19/2020,50.48,50.48,50.48,50.48,0,0
11/20/2020,50.59,50.59,50.59,50.59,0,0
11/23/2020,50.85,50.85,50.85,50.85,0,0
11/24/2020,50.85,50.85,50.85,50.85,0,0
11/25/2020,51.66,51.66,51.66,51.66,0,0
11/27/2020,51.57,51.57,51.57,51.57,0,0
11/30/2020,51.26,51.26,51.26,51.26,0,0
12/1/2020,50.07,50.07,50.07,50.07,0,0
12/2/2020,49.39,49.39,49.39,49.39,0,0
12/3/2020,47.95,47.95,47.95,47.95,0,0
12/4/2020,48.64,48.64,48.64,48.64,0,0
12/7/2020,48.66,48.66,48.66,48.66,0,0
12/8/2020,48.82,48.82,48.82,48.82,0,0
12/9/2020,48.57,48.57,48.57,48.57,0,0
12/10/2020,48.55,48.55,48.55,48.55,0,0
12/11/2020,48.37,48.37,48.37,48.37,0,0
12/14/2020,48.85,48.85,48.85,48.85,0,0
12/15/2020,49.32,49.32,49.32,49.32,0,0
12/16/2020,49.41,49.41,49.41,49.41,0,0
12/17/2020,49.92,49.92,49.92,49.92,0,0
12/18/2020,50.0,50.0,50.0,50.0,0,0
12/21/2020,49.49,49.49,49.49,49.49,0,0
12/22/2020,49.12,49.12,49.12,49.12,0,0
12/23/2020,49.72,49.72,49.72,49.72,0,0
12/24/2020,49.97,49.97,49.97,49.97,0,0
12/28/2020,49.45,49.45,49.45,49.45,0,0
12/29/2020,49.58,49.58,49.58,49.58,0,0
12/30/2020,49.57,49.57,49.57,49.57,0,0
12/31/2020,49.18,49.18,49.18,49.18,0,0
1/4/2021,48.82,48.82,48.82,48.82,0,0
1/5/2021,48.96,48.96,48.96,48.96,0,0
1/6/2021,48.41,48.41,48.41,48.41,0,0
1/7/2021,48.77,48.77,48.77,48.77,0,0
1/8/2021,49.07,49.07,49.07,49.07,0,0
1/11/2021,49.28,49.28,49.28,49.28,0,0
1/12/2021,49.56,49.56,49.56,49.56,0,0
1/13/2021,50.17,50.17,50.17,50.17,0,0
1/14/2021,50.4,50.4,50.4,50.4,0,0
1/15/2021,50.31,50.31,50.31,50.31,0,0
1/19/2021,50.33,50.33,50.33,50.33,0,0
1/20/2021,50.12,50.12,50.12,50.12,0,0
1/21/2021,50.06,50.06,50.06,50.06,0,0
1/22/2021,49.75,49.75,49.75,49.75,0,0
1/25/2021,49.98,49.98,49.98,49.98,0,0
1/26/2021,49.85,49.85,49.85,49.85,0,0
1/27/2021,50.12,50.12,50.12,50.12,0,0
1/28/2021,49.78,49.78,49.78,49.78,0,0
1/29/2021,49.8,49.8,49.8,49.8,0,0
2/1/2021,50.25,50.25,50.25,50.25,0,0
2/2/2021,50.48,50.48,50.48,50.48,0,0
2/3/2021,50.44,50.44,50.44,50.44,0,0
2/4/2021,50.59,50.59,50.59,50.59,0,0
2/5/2021,50.85,50.85,50.85,50.85,0,0
2/8/2021,51.67,51.67,51.67,51.67,0,0
2/9/2021,51.87,51.87,51.87,51.87,0,0
2/10/2021,52.13,52.13,52.13,52.13,0,0
2/11/2021,52.11,52.11,52.11,52.11,0,0
2/12/2021,52.19,52.19,52.19,52.19,0,0
2/16/2021,52.53,52.53,52.53,52.53,0,0
2/17/2021,52.9,52.9,52.9,52.9,0,0
2/18/2021,53.01,53.01,53.01,53.01,0,0
2/19/2021,53.38,53.38,53.38,53.38,0,0
2/22/2021,54.31,54.31,54.31,54.31,0,0
2/23/2021,54.39,54.39,54.39,54.39,0,0
2/24/2021,55.17,55.17,55.17,55.17,0,0
2/25/2021,54.93,54.93,54.93,54.93,0,0
2/26/2021,53.95,53.95,53.95,53.95,0,0
3/1/2021,53.59,53.59,53.59,53.59,0,0
