Date,Open,High,Low,Close,Vol,OI
6/5/2023,1.08255,1.08255,1.08255,1.08255,0,0
6/6/2023,1.08055,1.08055,1.08055,1.08055,0,0
6/7/2023,1.08115,1.08115,1.08115,1.08115,0,0
6/8/2023,1.08875,1.08875,1.08875,1.08875,0,0
6/9/2023,1.08575,1.08575,1.08575,1.08575,0,0
6/12/2023,1.0865,1.0865,1.0865,1.0865,0,0
6/13/2023,1.08975,1.08975,1.08975,1.08975,0,0
6/14/2023,1.09395,1.09395,1.09395,1.09395,0,0
6/15/2023,1.10505,1.10505,1.10505,1.10505,0,0
6/16/2023,1.1043,1.1043,1.1043,1.1043,0,0
6/20/2023,1.1029,1.1035,1.0994,1.1015,73,0
6/21/2023,1.1018,1.1085,1.1008,1.1082,73,55
6/22/2023,1.108,1.1086,1.1046,1.1053,32,54
6/23/2023,1.1052,1.1053,1.0942,1.0985,11,55
6/26/2023,1.0994,1.1012,1.098,1.1008,82,92
6/27/2023,1.1005,1.1065,1.1005,1.1053,20,89
6/28/2023,1.1033,1.1051,1.1002,1.1016,14,93
6/29/2023,1.1006,1.1031,1.0957,1.096,9,99
6/30/2023,1.0958,1.1017,1.0932,1.1002,52,100
7/3/2023,1.0999,1.1015,1.0964,1.1001,29,100
7/5/2023,1.0989,1.0991,1.0941,1.0941,92,158
7/6/2023,1.0939,1.0987,1.0926,1.0968,83,168
7/7/2023,1.0971,1.1056,1.0957,1.1056,88,191
7/10/2023,1.1043,1.1087,1.1032,1.1086,48,182
7/11/2023,1.1093,1.1113,1.1064,1.1085,33,202
7/12/2023,1.1105,1.1224,1.1105,1.1224,37,215
7/13/2023,1.1223,1.1307,1.1223,1.1306,89,250
7/14/2023,1.1305,1.1321,1.1291,1.1317,89,266
7/17/2023,1.1309,1.1329,1.1298,1.1326,127,264
7/18/2023,1.1337,1.1352,1.1293,1.1312,72,300
7/19/2023,1.1297,1.1315,1.1259,1.1284,83,337
7/20/2023,1.1282,1.1308,1.12,1.1206,28,330
7/21/2023,1.1216,1.1219,1.1191,1.1204,88,332
7/24/2023,1.1205,1.1224,1.1143,1.115,23,330
7/25/2023,1.1143,1.1158,1.11,1.1124,45,327
7/26/2023,1.1131,1.1182,1.1131,1.1182,41,345
7/27/2023,1.1162,1.1225,1.1043,1.1049,44,355
7/28/2023,1.1056,1.1115,1.102,1.11,80,356
7/31/2023,1.1097,1.1115,1.1073,1.1074,158,325
8/1/2023,1.1057,1.1058,1.1028,1.1048,94,382
8/2/2023,1.1074,1.1074,1.0992,1.1017,19,379
8/3/2023,1.1004,1.1034,1.0986,1.1015,69,392
8/4/2023,1.1024,1.1113,1.1009,1.1081,73,396
8/7/2023,1.1077,1.1082,1.1041,1.1078,32,401
8/8/2023,1.1036,1.1036,1.1,1.103,31,415
8/9/2023,1.1031,1.1065,1.1031,1.1045,93,348
8/10/2023,1.1049,1.113,1.1049,1.1058,21,345
8/11/2023,1.1054,1.107,1.1011,1.1018,176,457
8/14/2023,1.0997,1.1016,1.0944,1.097,63,470
8/15/2023,1.0971,1.1016,1.0964,1.097,296,439
8/16/2023,1.097,1.0993,1.0942,1.0945,287,437
8/17/2023,1.0931,1.0979,1.09195,1.092,87,399
8/18/2023,1.095,1.0952,1.0914,1.0941,46,386
8/21/2023,1.0936,1.0974,1.0935,1.0961,29,388
8/22/2023,1.0962,1.0989,1.0895,1.0914,37,387
8/23/2023,1.0913,1.093,1.0866,1.0921,73,389
8/24/2023,1.0927,1.093,1.0866,1.087,134,417
8/25/2023,1.086,1.09,1.0832,1.0868,79,447
8/28/2023,1.087,1.0878,1.0862,1.0871,110,492
8/29/2023,1.0884,1.0949,1.0843,1.093,17,498
8/30/2023,1.0941,1.1,1.0913,1.0981,122,498
8/31/2023,1.0974,1.0974,1.0892,1.0901,153,502
9/1/2023,1.09,1.094,1.083,1.0834,144,524
9/5/2023,1.084,1.0862,1.0761,1.0776,130,556
9/6/2023,1.0778,1.0798,1.0757,1.0779,168,584
9/7/2023,1.078,1.0783,1.074,1.0746,451,738
9/8/2023,1.0748,1.0792,1.0746,1.0748,157,782
9/11/2023,1.0763,1.0808,1.0757,1.0795,617,1246
9/12/2023,1.0802,1.083,1.0755,1.0781,1615,2579
9/13/2023,1.0806,1.0811,1.076,1.078,1405,3531
9/14/2023,1.0777,1.0797,1.0676,1.0678,1479,4481
9/15/2023,1.0687,1.0731,1.0675,1.0704,6358,8198
9/18/2023,1.0707,1.074,1.0697,1.072,4962,9299
9/19/2023,1.0732,1.0759,1.0717,1.0719,3049,9524
