Date,Open,High,Low,Close,Vol,OI
6/4/2021,4052.5,4052.5,4052.5,4052.5,0,0
6/7/2021,4050.25,4050.25,4050.25,4050.25,0,0
6/8/2021,4126.5,4144.75,4126.5,4144.75,0,0
6/9/2021,4138.0,4138.0,4138.0,4138.0,0,0
6/10/2021,4158.0,4158.0,4158.0,4158.0,0,0
6/11/2021,4163.5,4163.5,4163.5,4163.5,0,0
6/14/2021,4171.25,4171.25,4171.25,4171.25,0,0
6/15/2021,4162.5,4162.5,4162.5,4162.5,0,0
6/16/2021,4142.5,4142.5,4142.5,4142.5,0,0
6/17/2021,4140.75,4140.75,4140.75,4140.75,0,0
6/18/2021,4085.25,4085.25,4085.25,4085.25,0,0
6/21/2021,4144.25,4144.25,4144.25,4144.25,0,0
6/22/2021,4165.0,4165.0,4165.0,4165.0,0,0
6/23/2021,4177.5,4177.5,4177.5,4177.5,0,0
6/24/2021,4202.0,4202.0,4202.0,4202.0,0,0
6/25/2021,4216.5,4216.5,4216.5,4216.5,0,0
6/28/2021,4226.25,4226.25,4226.25,4226.25,0,0
6/29/2021,4227.75,4227.75,4227.75,4227.75,0,0
6/30/2021,4234.5,4234.5,4234.5,4234.5,0,0
7/1/2021,4254.5,4254.5,4254.5,4254.5,0,0
7/2/2021,4287.0,4287.0,4287.0,4287.0,0,0
7/6/2021,4279.5,4279.5,4279.5,4279.5,0,0
7/7/2021,4281.0,4281.0,4281.0,4281.0,0,0
7/8/2021,4243.0,4243.0,4243.0,4243.0,0,0
7/9/2021,4292.0,4292.0,4292.0,4292.0,0,0
7/12/2021,4308.0,4308.0,4308.0,4308.0,0,0
7/13/2021,4291.75,4291.75,4291.75,4291.75,0,0
7/14/2021,4298.0,4298.0,4298.0,4298.0,0,0
7/15/2021,4284.0,4284.0,4284.0,4284.0,0,0
7/16/2021,4251.5,4251.5,4251.5,4251.5,0,0
7/19/2021,4183.25,4183.25,4162.25,4162.25,0,0
7/20/2021,4234.0,4234.0,4234.0,4234.0,0,0
7/21/2021,4268.5,4268.5,4268.5,4268.5,0,0
7/22/2021,4277.0,4277.0,4277.0,4277.0,0,0
7/23/2021,4321.25,4321.25,4321.25,4321.25,0,0
7/26/2021,4331.75,4331.75,4331.75,4331.75,0,0
7/27/2021,4311.5,4311.5,4311.5,4311.5,0,0
7/28/2021,4312.75,4312.75,4312.75,4312.75,0,0
7/29/2021,4329.0,4329.0,4329.0,4329.0,0,0
7/30/2021,4306.25,4306.25,4306.25,4306.25,0,0
8/2/2021,4296.75,4296.75,4296.75,4296.75,0,0
8/3/2021,4332.5,4332.5,4332.5,4332.5,0,0
8/4/2021,4314.0,4314.0,4314.0,4314.0,0,0
8/5/2021,4339.5,4339.5,4339.5,4339.5,0,0
8/6/2021,4347.0,4347.0,4347.0,4347.0,0,0
8/9/2021,4359.25,4359.25,4359.25,4359.25,0,0
8/10/2021,4363.75,4363.75,4363.75,4363.75,0,0
8/11/2021,4374.25,4374.25,4374.25,4374.25,0,0
8/12/2021,4387.5,4387.5,4387.5,4387.5,0,0
8/13/2021,4394.75,4394.75,4394.75,4394.75,0,0
8/16/2021,4406.25,4406.25,4406.25,4406.25,0,0
8/17/2021,4375.0,4375.0,4375.0,4375.0,0,0
8/18/2021,4326.0,4326.0,4326.0,4326.0,0,0
8/19/2021,4332.5,4332.5,4332.5,4332.5,0,0
8/20/2021,4370.0,4370.0,4370.0,4370.0,0,0
8/23/2021,4406.5,4406.5,4406.5,4406.5,0,0
8/24/2021,4419.0,4419.0,4419.0,4419.0,0,0
8/25/2021,4424.75,4424.75,4424.75,4424.75,0,0
8/26/2021,4408.5,4408.5,4408.5,4408.5,0,0
8/27/2021,4441.5,4441.5,4441.5,4441.5,0,0
8/30/2021,4459.5,4459.5,4459.5,4459.5,0,0
8/31/2021,4454.0,4454.0,4454.0,4454.0,0,0
9/1/2021,4452.75,4452.75,4452.75,4452.75,0,0
9/2/2021,4468.5,4468.5,4468.5,4468.5,0,0
9/3/2021,4468.75,4468.75,4468.75,4468.75,0,0
9/7/2021,4454.25,4454.25,4454.25,4454.25,0,0
9/8/2021,4447.5,4447.5,4447.5,4447.5,0,0
9/9/2021,4427.5,4427.5,4427.5,4427.5,0,0
9/10/2021,4393.0,4393.0,4393.0,4393.0,0,0
9/13/2021,4404.25,4404.25,4404.25,4404.25,0,0
9/14/2021,4377.25,4377.25,4377.25,4377.25,0,0
9/15/2021,4414.75,4414.75,4414.75,4414.75,0,0
9/16/2021,4408.75,4408.75,4408.75,4408.75,0,0
9/17/2021,4370.0,4370.0,4370.0,4370.0,0,0
9/20/2021,4293.5,4370.0,4293.5,4370.0,0,0
9/21/2021,4289.5,4289.5,4289.5,4289.5,0,0
9/22/2021,4328.5,4328.5,4328.5,4328.5,0,0
9/23/2021,4379.0,4379.0,4379.0,4379.0,0,0
9/24/2021,4401.75,4401.75,4401.75,4401.75,0,0
9/27/2021,4388.75,4388.75,4388.75,4388.75,0,0
9/28/2021,4300.75,4300.75,4300.75,4300.75,0,0
9/29/2021,4307.25,4307.25,4307.25,4307.25,0,0
9/30/2021,4257.75,4257.75,4257.75,4257.75,0,0
10/1/2021,4300.75,4300.75,4300.75,4300.75,0,0
10/4/2021,4249.25,4249.25,4249.25,4249.25,0,0
10/5/2021,4293.0,4293.0,4293.0,4293.0,0,0
10/6/2021,4313.0,4313.0,4313.0,4313.0,0,0
10/7/2021,4348.25,4348.25,4347.25,4347.25,0,0
10/8/2021,4344.0,4344.0,4344.0,4344.0,0,0
10/11/2021,4315.0,4315.0,4315.0,4315.0,0,0
10/12/2021,4319.25,4319.25,4319.25,4319.25,0,0
10/13/2021,4333.25,4333.25,4333.25,4333.25,0,0
