Date,Open,High,Low,Close,Vol,OI
7/28/2022,1742.5,1742.5,1742.5,1742.5,0,0
7/29/2022,1740.0,1740.0,1740.0,1740.0,0,0
8/1/2022,1636.5,1636.5,1636.5,1636.5,0,0
8/2/2022,1652.5,1652.5,1652.5,1652.5,0,0
8/3/2022,1669.5,1669.5,1669.5,1669.5,0,0
8/4/2022,1595.0,1595.0,1595.0,1595.0,0,0
8/5/2022,1686.0,1686.0,1686.0,1686.0,0,0
8/8/2022,1765.0,1765.0,1765.0,1765.0,0,0
8/9/2022,1646.5,1646.5,1646.5,1646.5,0,0
8/10/2022,1786.5,1786.5,1786.5,1786.5,9,7
8/11/2022,1893.0,1893.0,1858.0,1877.0,0,7
8/12/2022,1911.5,1911.5,1911.5,1911.5,7,14
8/15/2022,1875.0,1875.0,1875.0,1875.0,0,14
8/16/2022,1860.0,1860.0,1860.0,1860.0,0,14
8/17/2022,1824.5,1824.5,1824.5,1824.5,0,14
8/18/2022,1857.5,1857.5,1857.5,1857.5,0,14
8/19/2022,1693.5,1693.5,1693.5,1693.5,0,14
8/22/2022,1551.5,1551.5,1551.5,1551.5,0,14
8/23/2022,1640.5,1640.5,1640.5,1640.5,0,14
8/24/2022,1666.5,1666.5,1666.5,1666.5,0,14
8/25/2022,1694.5,1694.5,1694.5,1694.5,0,14
8/26/2022,1540.5,1540.5,1540.5,1540.5,0,14
8/29/2022,1509.5,1509.5,1509.5,1509.5,0,14
8/30/2022,1524.5,1524.5,1524.5,1524.5,0,14
8/31/2022,1557.5,1557.5,1557.5,1557.5,0,14
9/1/2022,1544.5,1544.5,1543.0,1543.0,0,14
9/2/2022,1536.5,1536.5,1536.5,1536.5,2,12
9/6/2022,1566.5,1566.5,1566.5,1566.5,0,12
9/7/2022,1555.0,1555.0,1555.0,1555.0,0,12
9/8/2022,1637.0,1637.0,1637.0,1637.0,0,12
9/9/2022,1719.0,1719.0,1719.0,1719.0,0,12
9/12/2022,1715.0,1715.0,1715.0,1715.0,0,12
9/13/2022,1567.5,1590.5,1567.5,1590.5,0,12
9/14/2022,1590.0,1590.0,1590.0,1590.0,4,8
9/15/2022,1506.0,1506.0,1506.0,1506.0,0,8
9/16/2022,1433.5,1433.5,1433.5,1433.5,0,8
9/19/2022,1367.5,1367.5,1367.5,1367.5,0,8
9/20/2022,1356.5,1356.5,1356.5,1356.5,0,8
9/21/2022,1327.5,1327.5,1327.5,1327.5,0,8
9/22/2022,1329.0,1329.0,1329.0,1329.0,0,8
9/23/2022,1297.0,1297.0,1297.0,1297.0,0,8
9/26/2022,1330.0,1330.0,1330.0,1330.0,0,8
9/27/2022,1329.5,1329.5,1329.5,1329.5,0,8
9/28/2022,1335.0,1335.0,1335.0,1335.0,0,8
9/29/2022,1332.5,1332.5,1332.5,1332.5,0,8
9/30/2022,1337.5,1337.5,1337.5,1337.5,0,8
