Date,Open,High,Low,Close,Vol,OI
8/15/2023,573.45,573.45,573.45,573.45,0,0
8/16/2023,574.2,574.2,574.2,574.2,0,0
8/17/2023,572.5,572.5,572.5,572.5,0,0
8/18/2023,581.65,581.65,581.65,581.65,0,0
8/22/2023,578.2,578.2,578.2,578.2,0,0
8/23/2023,573.2,573.2,573.2,573.2,0,0
8/24/2023,578.35,578.35,578.35,578.35,0,0
8/25/2023,580.15,580.15,580.15,580.15,0,0
8/29/2023,581.3,581.3,581.3,581.3,0,0
8/30/2023,586.3,586.3,586.3,586.3,0,0
8/31/2023,586.05,586.05,586.05,586.05,0,0
9/1/2023,598.8,598.8,598.8,598.8,0,0
9/5/2023,599.3,599.3,599.3,599.3,0,0
9/6/2023,604.65,604.65,604.65,604.65,0,0
9/7/2023,599.75,599.75,599.75,599.75,0,0
9/8/2023,608.3,608.3,608.3,608.3,0,0
9/12/2023,613.1,613.1,613.1,613.1,0,0
9/13/2023,608.95,608.95,608.95,608.95,0,0
9/14/2023,621.6,621.6,621.6,621.6,0,0
9/15/2023,616.4,616.4,616.4,616.4,0,0
9/19/2023,616.0,616.0,616.0,616.0,0,0
