Date,Open,High,Low,Close,Vol,OI
3/18/2013,95.995,95.995,95.995,95.995,0,0
3/19/2013,96.055,96.055,96.055,96.055,0,0
3/20/2013,96.005,96.005,96.005,96.005,0,0
3/21/2013,96.0,96.0,96.0,96.0,0,0
3/22/2013,95.995,95.995,95.995,95.995,0,0
3/25/2013,96.01,96.01,96.01,96.01,0,0
3/26/2013,96.02,96.02,96.02,96.02,0,0
3/27/2013,96.1,96.1,96.1,96.1,0,0
3/28/2013,96.075,96.075,96.075,96.075,0,0
4/1/2013,96.1,96.1,96.1,96.1,0,0
4/2/2013,96.075,96.075,96.075,96.075,0,0
4/3/2013,96.115,96.115,96.115,96.115,0,0
4/4/2013,96.205,96.205,96.205,96.205,0,0
4/5/2013,96.305,96.305,96.305,96.305,0,0
4/8/2013,96.21,96.21,96.21,96.21,0,0
4/9/2013,96.21,96.21,96.21,96.21,0,0
4/10/2013,96.12,96.12,96.12,96.12,0,0
4/11/2013,96.135,96.135,96.135,96.135,0,0
4/12/2013,96.18,96.18,96.18,96.18,0,0
4/15/2013,96.24,96.24,96.24,96.24,0,0
4/16/2013,96.21,96.225,96.21,96.225,8,0
4/17/2013,96.26,96.26,96.26,96.26,13,11
4/18/2013,96.3,96.3,96.3,96.3,0,11
4/19/2013,96.28,96.28,96.28,96.28,120,105
4/22/2013,96.29,96.29,96.29,96.29,20,105
4/23/2013,96.285,96.285,96.285,96.285,0,105
4/24/2013,96.265,96.265,96.265,96.265,0,105
4/25/2013,96.265,96.265,96.265,96.265,0,105
4/26/2013,96.325,96.325,96.325,96.325,0,105
4/29/2013,96.335,96.335,96.335,96.335,0,105
4/30/2013,96.4,96.405,96.295,96.325,0,105
5/1/2013,96.355,96.355,96.355,96.355,331,135
5/2/2013,96.345,96.345,96.345,96.345,40,135
5/3/2013,96.185,96.185,96.185,96.185,0,135
5/6/2013,96.17,96.17,96.17,96.17,0,135
5/7/2013,96.16,96.16,96.16,96.16,0,135
5/8/2013,96.185,96.185,96.185,96.185,0,135
5/9/2013,96.16,96.16,96.16,96.16,0,135
5/10/2013,96.055,96.055,96.055,96.055,0,135
5/13/2013,96.005,96.005,96.005,96.005,78,167
5/14/2013,95.955,95.955,95.955,95.955,0,167
5/15/2013,95.96,95.96,95.96,95.96,0,167
5/16/2013,96.09,96.09,96.09,96.09,230,285
5/17/2013,95.985,95.985,95.985,95.985,29,288
5/20/2013,95.965,95.965,95.965,95.965,0,288
5/21/2013,95.985,95.985,95.985,95.985,29,288
5/22/2013,95.85,95.85,95.85,95.85,29,288
5/23/2013,95.87,95.87,95.87,95.87,3,289
5/24/2013,95.88,95.88,95.88,95.88,3,289
5/28/2013,95.775,95.775,95.73,95.73,3,289
5/29/2013,95.725,95.755,95.725,95.755,229,436
5/30/2013,95.735,95.735,95.735,95.735,196,548
5/31/2013,95.685,95.685,95.685,95.685,19,558
6/3/2013,95.71,95.71,95.71,95.71,22,557
6/4/2013,95.7,95.7,95.7,95.7,12,557
6/5/2013,95.755,95.755,95.755,95.755,12,557
6/6/2013,95.83,95.83,95.83,95.83,50,563
