Date,Open,High,Low,Close,Vol,OI
3/30/2023,221.0,222.2,221.0,222.2,0,0
3/31/2023,223.35,223.35,223.35,223.35,0,0
4/3/2023,223.05,223.55,223.0,223.3,11,0
4/4/2023,223.2,223.325,223.2,223.2,11,4
4/5/2023,223.0,223.0,223.0,223.0,11,10
4/6/2023,225.5,225.8,225.0,225.75,7,14
4/10/2023,226.1,226.15,226.1,226.15,0,33
4/11/2023,226.65,228.775,226.65,228.775,6,36
4/12/2023,229.5,230.575,229.5,230.25,68,75
4/13/2023,231.675,231.725,230.175,230.175,35,95
4/14/2023,228.8,229.825,228.8,229.75,35,116
4/17/2023,229.7,230.5,229.7,230.3,16,123
4/18/2023,230.975,231.25,230.975,230.975,6,126
4/19/2023,230.8,230.95,230.7,230.95,2,127
4/20/2023,230.6,232.35,230.6,231.8,5,128
4/21/2023,232.65,232.8,232.25,232.8,50,136
4/24/2023,231.45,233.0,231.45,232.625,54,157
4/25/2023,232.625,233.3,230.75,231.0,24,164
4/26/2023,230.675,232.55,230.1,232.525,120,200
4/27/2023,233.15,234.5,233.15,234.45,69,211
4/28/2023,234.45,234.75,233.85,233.85,51,212
5/1/2023,233.85,234.225,232.325,232.6,61,240
5/2/2023,231.825,232.15,228.45,228.625,129,258
5/3/2023,226.85,228.425,226.575,226.825,104,289
5/4/2023,227.05,227.25,226.325,227.05,233,357
5/5/2023,226.75,228.05,226.175,226.85,73,376
5/8/2023,227.225,228.625,227.225,228.625,172,393
5/9/2023,229.25,232.025,229.05,232.025,30,389
5/10/2023,231.7,231.875,231.1,231.35,152,412
5/11/2023,231.75,232.9,231.6,232.225,119,440
5/12/2023,232.725,234.325,231.825,234.325,66,450
5/15/2023,234.75,235.65,233.95,235.0,281,489
5/16/2023,235.475,235.625,235.2,235.2,205,550
5/17/2023,235.05,235.525,233.5,233.725,84,561
5/18/2023,234.875,236.725,234.3,236.525,194,638
5/19/2023,236.3,237.675,235.25,237.225,219,656
5/22/2023,235.525,237.925,235.525,237.825,168,655
5/23/2023,237.4,237.675,237.05,237.5,102,668
5/24/2023,235.75,239.325,235.75,239.225,54,673
5/25/2023,239.325,240.225,238.425,239.3,176,670
5/26/2023,238.325,239.6,238.0,238.525,57,682
5/30/2023,239.9,242.35,239.9,241.55,33,680
5/31/2023,241.35,243.55,241.35,243.1,101,696
6/1/2023,242.3,247.575,241.1,247.3,79,700
6/2/2023,248.075,249.075,246.7,247.425,176,726
