Date,Open,High,Low,Close,Vol,OI
2/14/2023,101.85,101.85,101.85,101.85,0,0
2/15/2023,101.925,101.925,101.925,101.925,0,0
2/16/2023,102.0,102.0,102.0,102.0,0,0
2/17/2023,102.1,102.1,102.1,102.1,0,0
2/21/2023,102.5,102.5,102.5,102.5,0,0
2/22/2023,102.6,102.6,102.6,102.6,0,0
2/23/2023,102.3,102.3,102.3,102.3,0,0
2/24/2023,101.75,101.75,101.75,101.75,0,0
2/27/2023,101.85,101.85,101.85,101.85,0,0
2/28/2023,102.275,102.275,102.275,102.275,0,0
3/1/2023,102.0,102.0,102.0,102.0,0,0
3/2/2023,100.4,100.4,100.4,100.4,0,0
3/3/2023,100.4,100.4,98.975,98.975,3,0
3/6/2023,98.875,98.875,98.875,98.875,3,3
3/7/2023,98.625,98.625,98.625,98.625,0,3
3/8/2023,99.325,99.325,99.325,99.325,0,3
3/9/2023,98.575,98.575,98.575,98.575,0,3
3/10/2023,99.05,99.05,99.05,99.05,0,3
3/13/2023,99.05,99.05,99.05,99.05,0,3
3/14/2023,98.7,98.7,98.7,98.7,0,3
3/15/2023,96.25,96.25,96.25,96.25,0,3
3/16/2023,96.0,96.0,96.0,96.0,0,3
3/17/2023,94.575,94.575,94.575,94.575,0,3
3/20/2023,94.5,94.5,94.5,94.5,0,3
3/21/2023,94.2,94.2,94.2,94.2,0,3
3/22/2023,92.7,92.7,92.7,92.7,0,3
3/23/2023,92.7,92.7,92.7,92.7,0,3
3/24/2023,94.2,94.2,94.2,94.2,0,3
3/27/2023,95.775,95.775,95.775,95.775,1,2
3/28/2023,96.0,96.0,96.0,96.0,0,2
3/29/2023,96.05,96.05,96.05,96.05,4,5
3/30/2023,95.5,95.5,95.5,95.5,0,5
3/31/2023,95.825,95.825,95.825,95.825,0,5
4/3/2023,96.05,96.05,96.05,96.05,0,5
4/4/2023,95.4,95.4,95.4,95.4,4,6
4/5/2023,94.9,94.9,94.9,94.9,0,6
4/6/2023,94.325,94.6,94.2,94.575,0,6
4/10/2023,95.35,95.35,95.35,95.35,0,14
4/11/2023,94.55,94.55,94.55,94.55,0,14
4/12/2023,94.2,94.2,94.2,94.2,0,14
4/13/2023,93.55,93.55,93.55,93.55,0,14
4/14/2023,93.85,93.85,93.85,93.85,0,14
4/17/2023,94.5,94.5,94.5,94.5,0,14
4/18/2023,93.525,93.525,93.525,93.525,0,14
4/19/2023,94.275,94.275,94.275,94.275,0,14
4/20/2023,93.8,93.8,93.8,93.8,0,14
4/21/2023,94.0,94.0,94.0,94.0,0,14
4/24/2023,95.0,95.0,95.0,95.0,5,18
4/25/2023,95.125,95.125,95.125,95.125,0,18
4/26/2023,95.625,95.625,95.625,95.625,1,18
4/27/2023,95.5,95.5,95.45,95.45,1,18
4/28/2023,95.925,96.0,95.925,96.0,6,24
5/1/2023,95.5,95.5,95.225,95.225,7,29
5/2/2023,95.5,95.5,95.5,95.5,2,29
5/3/2023,96.0,96.0,95.2,95.35,4,31
5/4/2023,94.55,94.55,94.55,94.55,11,39
5/5/2023,93.6,93.6,93.0,93.0,0,39
5/8/2023,92.65,92.65,92.65,92.65,7,36
5/9/2023,93.25,93.25,93.25,93.25,0,36
5/10/2023,93.25,93.25,93.25,93.25,0,36
5/11/2023,91.725,91.725,91.725,91.725,0,36
5/12/2023,91.7,91.7,91.5,91.625,0,36
5/15/2023,93.125,94.125,93.125,94.125,9,40
5/16/2023,94.25,94.25,93.275,93.45,23,51
5/17/2023,93.075,93.075,92.975,92.975,12,57
5/18/2023,92.975,92.975,92.975,92.975,17,67
5/19/2023,92.625,92.625,92.625,92.625,1,68
5/22/2023,92.15,92.15,91.725,91.775,15,75
5/23/2023,91.075,91.075,90.4,91.0,24,90
5/24/2023,91.15,91.15,91.15,91.15,155,172
5/25/2023,90.5,90.825,90.3,90.6,0,172
5/26/2023,90.15,90.5,89.625,90.175,42,184
5/30/2023,90.7,91.875,90.7,91.875,50,199
5/31/2023,92.05,92.725,92.05,92.725,37,189
6/1/2023,92.625,92.625,92.625,92.625,13,186
6/2/2023,93.0,93.375,92.775,93.0,2,185
6/5/2023,92.675,93.825,92.675,93.825,59,198
6/6/2023,94.475,95.0,94.475,94.975,17,200
6/7/2023,94.425,94.7,94.425,94.575,29,204
6/8/2023,94.4,94.85,93.9,94.725,22,213
6/9/2023,94.275,95.075,94.275,94.9,37,248
6/12/2023,94.975,95.275,94.725,95.225,25,255
6/13/2023,95.475,96.275,95.35,95.85,60,267
6/14/2023,96.1,96.25,95.95,96.1,73,290
6/15/2023,95.9,96.6,95.875,95.875,41,296
6/16/2023,96.45,96.45,95.775,95.775,8,299
6/20/2023,96.9,97.075,96.75,97.05,25,291
6/21/2023,97.125,97.2,96.975,97.0,40,293
6/22/2023,97.0,97.0,96.0,96.525,38,320
6/23/2023,97.0,97.0,96.325,96.6,25,325
6/26/2023,97.5,98.45,97.375,98.375,40,343
6/27/2023,98.35,98.35,96.5,97.275,44,354
6/28/2023,96.35,96.525,95.75,96.1,71,386
6/29/2023,95.45,95.85,95.175,95.725,143,486
6/30/2023,96.0,96.0,95.05,95.825,80,540
7/3/2023,96.15,96.15,94.75,94.925,47,545
7/5/2023,95.3,95.45,95.0,95.1,57,566
7/6/2023,95.15,95.575,95.075,95.55,112,602
7/7/2023,95.7,95.7,94.85,95.1,47,598
7/10/2023,95.325,95.35,94.325,94.425,124,650
7/11/2023,94.85,94.85,94.05,94.125,191,728
7/12/2023,94.5,94.5,93.3,93.425,135,792
7/13/2023,93.875,94.375,93.6,93.925,101,810
7/14/2023,93.9,94.775,93.7,94.575,103,855
7/17/2023,94.575,94.775,94.125,94.625,55,857
7/18/2023,94.625,95.4,94.5,94.85,272,928
7/19/2023,94.775,95.15,94.15,95.0,309,990
7/20/2023,95.8,96.275,95.65,95.75,287,1089
7/21/2023,95.75,95.75,94.975,95.5,269,1220
7/24/2023,95.825,95.9,95.225,95.475,285,1370
7/25/2023,96.0,96.175,95.675,95.95,76,1368
7/26/2023,95.075,95.8,95.025,95.675,86,1354
7/27/2023,95.975,95.975,95.275,95.425,123,1355
7/28/2023,95.1,96.1,95.1,96.05,188,1406
7/31/2023,96.05,96.05,95.3,95.475,106,1414
8/1/2023,95.475,95.475,94.825,95.0,204,1454
8/2/2023,95.0,95.175,94.85,95.075,313,1557
8/3/2023,95.075,95.075,93.375,94.45,97,1567
8/4/2023,94.45,94.975,94.35,94.95,200,1592
8/7/2023,94.95,96.0,94.825,95.95,131,1572
8/8/2023,95.95,95.975,94.8,95.6,159,1603
8/9/2023,95.6,95.6,94.7,94.85,114,1640
8/10/2023,94.85,94.85,93.55,94.1,57,1646
8/11/2023,94.1,94.4,93.6,94.225,194,1691
8/14/2023,94.25,94.6,92.975,93.0,73,1700
8/15/2023,93.0,93.0,92.25,92.325,66,1716
8/16/2023,92.325,92.55,92.0,92.05,108,1766
8/17/2023,92.425,92.975,92.425,92.75,107,1794
8/18/2023,93.1,94.075,92.775,94.05,157,1762
8/21/2023,94.05,94.2,93.6,93.975,246,1772
8/22/2023,93.975,94.0,93.0,93.05,126,1795
8/23/2023,93.05,93.25,92.35,92.675,256,1809
8/24/2023,92.625,93.175,92.575,93.1,213,1834
8/25/2023,93.825,94.825,92.675,93.0,61,1831
8/28/2023,92.975,93.875,92.425,93.8,161,1826
8/29/2023,93.95,94.3,93.8,94.15,63,1833
8/30/2023,94.15,95.5,93.2,95.475,101,1829
8/31/2023,95.425,95.8,94.925,95.75,164,1825
9/1/2023,95.75,96.175,95.1,96.05,247,1816
9/5/2023,96.275,96.3,95.6,95.775,162,1869
9/6/2023,96.025,96.3,95.325,95.7,208,1887
9/7/2023,96.1,96.4,95.975,96.075,218,1907
9/8/2023,96.075,96.075,95.35,95.875,133,1937
9/11/2023,95.95,96.7,95.95,96.6,270,1984
9/12/2023,96.6,96.975,96.275,96.725,592,2091
9/13/2023,96.725,96.9,96.4,96.825,981,2369
9/14/2023,96.625,97.0,96.225,96.4,300,2367
9/15/2023,96.4,96.8,96.375,96.525,275,2422
9/18/2023,96.525,96.65,95.75,96.125,182,2492
9/19/2023,96.125,97.15,96.125,97.05,217,2552
