Date,Open,High,Low,Close,Vol,OI
5/30/2019,2.734,2.734,2.734,2.734,0,0
5/31/2019,2.7115,2.7115,2.7115,2.7115,0,0
6/3/2019,2.7255,2.7255,2.7255,2.7255,0,0
6/4/2019,2.7445,2.7445,2.7445,2.7445,0,0
6/5/2019,2.699,2.699,2.699,2.699,0,0
6/6/2019,2.7245,2.7245,2.7245,2.7245,0,0
6/7/2019,2.699,2.699,2.699,2.699,0,0
6/10/2019,2.732,2.732,2.732,2.732,0,0
6/11/2019,2.7455,2.7455,2.7455,2.7455,0,0
6/12/2019,2.7285,2.7285,2.7285,2.7285,0,0
6/13/2019,2.7285,2.7285,2.7285,2.7285,0,0
6/14/2019,2.698,2.698,2.698,2.698,0,0
6/17/2019,2.7045,2.7045,2.7045,2.7045,0,0
6/18/2019,2.7555,2.7555,2.7555,2.7555,0,0
6/19/2019,2.7395,2.7395,2.7395,2.7395,0,0
6/20/2019,2.771,2.771,2.771,2.771,0,0
6/21/2019,2.772,2.772,2.772,2.772,0,0
6/24/2019,2.775,2.775,2.775,2.775,0,0
6/25/2019,2.808,2.808,2.808,2.808,0,0
6/26/2019,2.793,2.793,2.793,2.793,0,0
6/27/2019,2.7935,2.7935,2.7935,2.7935,0,0
6/28/2019,2.793,2.793,2.793,2.793,0,0
7/1/2019,2.7685,2.7685,2.7685,2.7685,0,0
7/2/2019,2.749,2.749,2.749,2.749,0,0
7/3/2019,2.761,2.761,2.761,2.761,0,0
7/5/2019,2.745,2.745,2.745,2.745,0,0
7/8/2019,2.745,2.745,2.745,2.745,0,0
7/9/2019,2.71,2.71,2.71,2.71,0,0
7/10/2019,2.775,2.775,2.775,2.775,0,0
7/11/2019,2.7715,2.7715,2.7715,2.7715,0,0
7/12/2019,2.7775,2.7775,2.7775,2.7775,0,0
7/15/2019,2.7905,2.7905,2.7905,2.7905,0,0
7/16/2019,2.7795,2.7795,2.7795,2.7795,0,0
7/17/2019,2.794,2.794,2.794,2.794,0,0
7/18/2019,2.787,2.787,2.787,2.787,0,0
7/19/2019,2.8315,2.8315,2.8315,2.8315,0,0
7/22/2019,2.8085,2.8085,2.8085,2.8085,0,0
7/23/2019,2.782,2.782,2.782,2.782,0,0
7/24/2019,2.7965,2.7965,2.7965,2.7965,0,0
7/25/2019,2.791,2.791,2.791,2.791,0,0
7/26/2019,2.772,2.772,2.772,2.772,0,0
7/29/2019,2.8005,2.8005,2.8005,2.8005,0,0
7/30/2019,2.7645,2.7645,2.7645,2.7645,0,0
7/31/2019,2.755,2.755,2.755,2.755,0,0
8/1/2019,2.7555,2.7555,2.7555,2.7555,0,0
8/2/2019,2.6625,2.6625,2.6625,2.6625,0,0
8/5/2019,2.636,2.636,2.636,2.636,0,0
8/6/2019,2.6475,2.6475,2.6475,2.6475,0,0
8/7/2019,2.661,2.661,2.661,2.661,0,0
8/8/2019,2.6935,2.6935,2.6935,2.6935,0,0
8/9/2019,2.6755,2.6755,2.6755,2.6755,0,0
8/12/2019,2.672,2.672,2.672,2.672,0,0
8/13/2019,2.7155,2.7155,2.7155,2.7155,0,0
8/14/2019,2.6775,2.6775,2.6775,2.6775,0,0
8/15/2019,2.682,2.682,2.682,2.682,0,0
8/16/2019,2.6805,2.6805,2.6805,2.6805,0,0
8/19/2019,2.6865,2.6865,2.6865,2.6865,0,0
8/20/2019,2.663,2.663,2.663,2.663,0,0
8/21/2019,2.67,2.67,2.67,2.67,0,0
8/22/2019,2.647,2.647,2.647,2.647,0,0
8/23/2019,2.617,2.617,2.617,2.617,0,0
8/26/2019,2.629,2.629,2.629,2.629,0,0
8/27/2019,2.6305,2.6305,2.6305,2.6305,0,0
8/28/2019,2.641,2.641,2.641,2.641,0,0
8/29/2019,2.6525,2.6525,2.6525,2.6525,0,0
8/30/2019,2.6285,2.6285,2.6285,2.6285,0,0
9/3/2019,2.605,2.605,2.605,2.605,0,0
9/4/2019,2.67,2.67,2.67,2.67,0,0
9/5/2019,2.719,2.719,2.719,2.719,0,0
9/6/2019,2.7105,2.7105,2.7105,2.7105,0,0
9/9/2019,2.7015,2.7015,2.7015,2.7015,0,0
9/10/2019,2.7025,2.7025,2.7025,2.7025,0,0
9/11/2019,2.693,2.693,2.693,2.693,0,0
9/12/2019,2.717,2.717,2.717,2.717,0,0
9/13/2019,2.7745,2.7745,2.7745,2.7745,0,0
