Date,Open,High,Low,Close,Vol,OI
11/30/2020,1.5433,1.5433,1.5433,1.5433,0,0
12/1/2020,1.5227,1.5227,1.5227,1.5227,0,0
12/2/2020,1.5225,1.5225,1.5225,1.5225,0,0
12/3/2020,1.5089,1.5089,1.5089,1.5089,0,0
12/4/2020,1.5192,1.5192,1.5192,1.5192,0,0
12/7/2020,1.5151,1.5151,1.5151,1.5151,0,0
12/8/2020,1.5136,1.5136,1.5136,1.5136,0,0
12/9/2020,1.5078,1.5078,1.5078,1.5078,0,0
12/10/2020,1.527,1.527,1.527,1.527,0,0
12/11/2020,1.523,1.523,1.523,1.523,0,0
12/14/2020,1.5328,1.5328,1.5328,1.5328,0,0
12/15/2020,1.5462,1.5462,1.5462,1.5462,0,0
12/16/2020,1.5507,1.5507,1.5507,1.5507,0,0
12/17/2020,1.5629,1.5629,1.5629,1.5629,0,0
12/18/2020,1.5776,1.5776,1.5776,1.5776,0,0
12/21/2020,1.5521,1.5521,1.5521,1.5521,0,0
12/22/2020,1.5471,1.5471,1.5471,1.5471,0,0
12/23/2020,1.5689,1.5689,1.5689,1.5689,0,0
12/24/2020,1.5697,1.5697,1.5697,1.5697,0,0
12/28/2020,1.5566,1.5566,1.5566,1.5566,0,0
12/29/2020,1.5682,1.5682,1.5682,1.5682,0,0
12/30/2020,1.5702,1.5702,1.5702,1.5702,0,0
12/31/2020,1.5671,1.5671,1.5671,1.5671,0,0
1/4/2021,1.5523,1.5523,1.5523,1.5523,0,0
1/5/2021,1.5801,1.5801,1.5801,1.5801,0,0
1/6/2021,1.5689,1.5689,1.5689,1.5689,0,0
1/7/2021,1.5721,1.5721,1.5721,1.5721,0,0
1/8/2021,1.5864,1.5864,1.5864,1.5864,0,0
1/11/2021,1.5834,1.5834,1.5834,1.5834,0,0
1/12/2021,1.5988,1.5988,1.5988,1.5988,0,0
1/13/2021,1.6024,1.6024,1.6024,1.6024,0,0
1/14/2021,1.617,1.617,1.617,1.617,0,0
1/15/2021,1.6006,1.6006,1.6006,1.6006,0,0
1/19/2021,1.604,1.604,1.604,1.604,0,0
1/20/2021,1.6028,1.6028,1.6028,1.6028,0,0
1/21/2021,1.6011,1.6011,1.6011,1.6011,0,0
1/22/2021,1.5867,1.5867,1.5867,1.5867,0,0
1/25/2021,1.5997,1.5997,1.5997,1.5997,0,0
1/26/2021,1.5973,1.5973,1.5973,1.5973,0,0
1/27/2021,1.6074,1.6074,1.6074,1.6074,0,0
1/28/2021,1.598,1.598,1.598,1.598,0,0
1/29/2021,1.5941,1.5941,1.5941,1.5941,0,0
2/1/2021,1.6212,1.6212,1.6212,1.6212,0,0
2/2/2021,1.6323,1.6323,1.6323,1.6323,0,0
2/3/2021,1.6348,1.6348,1.6348,1.6348,0,0
2/4/2021,1.6445,1.6445,1.6445,1.6445,0,0
2/5/2021,1.6513,1.6513,1.6513,1.6513,0,0
2/8/2021,1.6722,1.6722,1.6722,1.6722,0,0
2/9/2021,1.6785,1.6785,1.6785,1.6785,0,0
2/10/2021,1.6839,1.6839,1.6839,1.6839,0,0
2/11/2021,1.6747,1.6747,1.6747,1.6747,0,0
2/12/2021,1.6911,1.6911,1.6911,1.6911,0,0
2/16/2021,1.7109,1.7109,1.7109,1.7109,0,0
2/17/2021,1.713,1.713,1.713,1.713,0,0
2/18/2021,1.7157,1.7157,1.7157,1.7157,0,0
2/19/2021,1.7108,1.7108,1.7108,1.7108,0,0
2/22/2021,1.7428,1.7428,1.7428,1.7428,0,0
2/23/2021,1.7483,1.7483,1.7483,1.7483,0,0
2/24/2021,1.7748,1.7748,1.7748,1.7748,0,0
2/25/2021,1.7756,1.7756,1.7756,1.7756,0,0
2/26/2021,1.7372,1.7372,1.7372,1.7372,0,0
3/1/2021,1.7278,1.7278,1.7278,1.7278,0,0
3/2/2021,1.7336,1.7336,1.7336,1.7336,0,0
3/3/2021,1.7571,1.7571,1.7571,1.7571,0,0
3/4/2021,1.7794,1.7794,1.7794,1.7794,0,0
3/5/2021,1.817,1.817,1.817,1.817,0,0
3/8/2021,1.803,1.803,1.803,1.803,0,0
3/9/2021,1.8029,1.8029,1.8029,1.8029,0,0
3/10/2021,1.8139,1.8139,1.8139,1.8139,0,0
3/11/2021,1.8337,1.8337,1.8337,1.8337,0,0
3/12/2021,1.8334,1.8334,1.8334,1.8334,0,0
3/15/2021,1.8181,1.8181,1.8181,1.8181,0,0
3/16/2021,1.814,1.814,1.814,1.814,0,0
3/17/2021,1.8177,1.8177,1.8177,1.8177,0,0
3/18/2021,1.7504,1.7504,1.7504,1.7504,0,0
3/19/2021,1.7706,1.7706,1.7706,1.7706,0,0
3/22/2021,1.7865,1.7865,1.7865,1.7865,0,0
3/23/2021,1.7354,1.7354,1.7354,1.7354,0,0
3/24/2021,1.7817,1.7817,1.7817,1.7817,0,0
