Date,Open,High,Low,Close,Vol,OI
9/6/2023,0.0069905,0.0069905,0.0069905,0.0069905,0,0
9/7/2023,0.0070115,0.0070115,0.0070115,0.0070115,0,0
9/8/2023,0.0069795,0.0069795,0.0069795,0.0069795,0,0
9/11/2023,0.0070385,0.0070385,0.0070385,0.0070385,0,0
9/12/2023,0.00701,0.00701,0.00701,0.00701,0,0
9/13/2023,0.0069915,0.0069915,0.0069915,0.0069915,0,0
9/14/2023,0.006988,0.006988,0.006988,0.006988,0,0
9/15/2023,0.006968,0.006968,0.006968,0.006968,0,0
9/18/2023,0.006973,0.006973,0.0069725,0.006973,0,0
9/19/2023,0.006967,0.006976,0.006966,0.006968,11,0
