Date,Open,High,Low,Close,Vol,OI
7/14/2021,621.0,621.0,621.0,621.0,0,0
7/15/2021,630.5,630.5,630.5,630.5,0,0
7/16/2021,637.0,637.0,637.0,637.0,0,0
7/19/2021,637.5,637.5,637.5,637.5,0,0
7/20/2021,642.25,642.25,642.25,642.25,0,0
7/21/2021,649.75,649.75,649.75,649.75,0,0
7/22/2021,636.5,636.5,636.5,636.5,0,0
7/23/2021,631.5,631.5,631.5,631.5,0,0
7/26/2021,625.5,625.5,625.5,625.5,0,0
7/27/2021,626.75,626.75,626.75,626.75,0,0
7/28/2021,635.0,635.0,635.0,635.0,0,0
7/29/2021,647.0,647.0,647.0,647.0,0,0
7/30/2021,646.25,646.25,646.25,646.25,0,0
8/2/2021,660.0,660.0,660.0,660.0,0,0
8/3/2021,659.5,659.5,659.5,659.5,0,0
8/4/2021,654.25,654.25,654.25,654.25,0,0
8/5/2021,650.0,650.0,650.0,650.0,0,0
8/6/2021,660.0,660.0,660.0,660.0,0,0
8/9/2021,661.0,661.0,661.0,661.0,0,0
8/10/2021,664.0,664.0,664.0,664.0,0,0
8/11/2021,655.0,655.0,655.0,655.0,0,0
8/12/2021,667.25,667.25,667.25,667.25,0,0
8/13/2021,666.0,666.0,666.0,666.0,0,0
8/16/2021,664.25,664.25,664.25,664.25,0,0
8/17/2021,663.75,663.75,663.75,663.75,0,0
8/18/2021,665.0,665.0,665.0,665.0,0,0
8/19/2021,662.25,662.25,662.25,662.25,0,0
8/20/2021,654.75,654.75,654.75,654.75,0,0
8/23/2021,658.0,658.0,658.0,658.0,0,0
8/24/2021,661.5,661.5,661.5,661.5,0,0
8/25/2021,658.75,658.75,658.75,658.75,0,0
8/26/2021,659.25,659.25,659.25,659.25,0,0
8/27/2021,662.0,662.0,662.0,662.0,0,0
8/30/2021,660.25,660.25,660.25,660.25,0,0
8/31/2021,665.75,665.75,665.75,665.75,0,0
9/1/2021,665.0,665.0,665.0,665.0,0,0
9/2/2021,664.25,664.25,664.25,664.25,0,0
9/3/2021,672.75,672.75,672.75,672.75,0,0
9/7/2021,668.75,668.75,668.75,668.75,0,0
9/8/2021,663.75,663.75,663.75,663.75,0,0
9/9/2021,654.5,654.5,654.5,654.5,0,0
9/10/2021,659.75,659.75,659.75,659.75,0,0
9/13/2021,661.5,661.5,661.5,661.5,0,0
9/14/2021,678.25,678.25,678.25,678.25,0,0
9/15/2021,693.0,693.0,693.0,693.0,0,0
9/16/2021,697.0,697.0,697.0,697.0,0,0
9/17/2021,693.25,693.25,693.25,693.25,0,0
9/20/2021,685.0,685.0,685.0,685.0,0,0
9/21/2021,680.25,680.25,680.25,680.25,0,0
9/22/2021,690.0,690.0,690.0,690.0,0,0
9/23/2021,700.75,700.75,700.75,700.75,0,0
9/24/2021,699.5,699.5,699.5,699.5,0,0
9/27/2021,698.5,698.5,698.5,698.5,0,0
9/28/2021,683.0,683.0,683.0,683.0,0,0
9/29/2021,687.25,687.25,687.25,687.25,0,0
9/30/2021,703.0,703.0,703.0,703.0,0,0
10/1/2021,705.0,722.0,705.0,722.0,1,0
10/4/2021,723.75,723.75,723.75,723.75,1,1
10/5/2021,716.25,716.25,716.25,716.25,0,1
10/6/2021,722.0,722.0,722.0,722.0,0,1
10/7/2021,709.75,709.75,709.75,709.75,0,1
10/8/2021,710.0,715.25,710.0,715.25,0,1
10/11/2021,705.5,705.5,705.5,705.5,2,2
10/12/2021,709.0,709.0,709.0,709.0,0,2
10/13/2021,694.25,694.25,694.25,694.25,0,2
10/14/2021,708.25,708.25,708.25,708.25,0,2
10/15/2021,718.5,718.5,718.5,718.5,0,2
10/18/2021,721.5,721.5,721.5,721.5,0,2
10/19/2021,720.25,720.25,720.25,720.25,0,2
10/20/2021,734.25,734.25,734.25,734.25,0,2
10/21/2021,723.75,723.75,723.75,723.75,0,2
10/22/2021,738.0,738.0,738.0,738.0,0,2
10/25/2021,739.75,739.75,739.75,739.75,0,2
10/26/2021,740.0,740.0,738.75,738.75,0,2
10/27/2021,748.75,748.75,748.75,748.75,2,4
10/28/2021,748.5,748.5,748.5,748.5,0,4
10/29/2021,747.75,747.75,747.75,747.75,0,4
11/1/2021,759.25,759.25,759.25,759.25,0,4
11/2/2021,750.0,755.75,750.0,755.75,0,4
11/3/2021,751.75,751.75,751.75,751.75,1,5
11/4/2021,747.0,750.5,747.0,750.5,0,5
11/5/2021,750.0,750.0,744.75,744.75,10,10
11/8/2021,748.75,748.75,748.75,748.75,2,11
11/9/2021,745.5,760.0,745.0,760.0,0,11
11/10/2021,762.25,763.0,762.25,763.0,5,16
