Date,Open,High,Low,Close,Vol,OI
12/19/2022,0.0007814,0.0007814,0.0007814,0.0007814,0,0
12/20/2022,0.0007917,0.0007917,0.0007917,0.0007917,0,0
12/21/2022,0.0007949,0.0007949,0.0007949,0.0007949,0,0
12/22/2022,0.0007884,0.0007884,0.0007884,0.0007884,0,0
12/23/2022,0.0007936,0.0007936,0.0007936,0.0007936,0,0
12/27/2022,0.0008001,0.0008001,0.0008001,0.0008001,0,0
12/28/2022,0.0007986,0.0007986,0.0007986,0.0007986,0,0
12/29/2022,0.0008052,0.0008052,0.0008052,0.0008052,0,0
12/30/2022,0.0008067,0.0008067,0.0008067,0.0008067,0,0
1/3/2023,0.0007964,0.0007964,0.0007964,0.0007964,0,0
1/4/2023,0.0008,0.0008,0.0008,0.0008,0,0
1/5/2023,0.0007982,0.0007982,0.0007982,0.0007982,0,0
1/6/2023,0.0008112,0.0008112,0.0008112,0.0008112,0,0
1/9/2023,0.0008219,0.0008219,0.0008219,0.0008219,0,0
1/10/2023,0.0008177,0.0008177,0.0008177,0.0008177,0,0
1/11/2023,0.0008164,0.0008164,0.0008164,0.0008164,0,0
1/12/2023,0.0008209,0.0008209,0.0008209,0.0008209,0,0
1/13/2023,0.0008199,0.0008199,0.0008199,0.0008199,0,0
1/17/2023,0.0008221,0.0008221,0.0008221,0.0008221,0,0
1/18/2023,0.0008214,0.0008214,0.0008214,0.0008214,0,0
1/19/2023,0.0008235,0.0008235,0.0008235,0.0008235,0,0
1/20/2023,0.0008245,0.0008245,0.0008245,0.0008245,0,0
1/23/2023,0.0008251,0.0008251,0.0008251,0.0008251,0,0
1/24/2023,0.0008244,0.0008244,0.0008244,0.0008244,0,0
1/25/2023,0.0008233,0.0008233,0.0008233,0.0008233,0,0
1/26/2023,0.0008231,0.0008231,0.0008231,0.0008231,0,0
1/27/2023,0.0008254,0.0008254,0.0008254,0.0008254,0,0
1/30/2023,0.0008252,0.0008252,0.0008252,0.0008252,0,0
1/31/2023,0.0008241,0.0008241,0.0008241,0.0008241,0,0
2/1/2023,0.0008309,0.0008309,0.0008309,0.0008309,0,0
2/2/2023,0.0008285,0.0008285,0.0008285,0.0008285,0,0
2/3/2023,0.000813,0.000813,0.000813,0.000813,0,0
2/6/2023,0.0008058,0.0008058,0.0008058,0.0008058,0,0
2/7/2023,0.0008093,0.0008093,0.0008093,0.0008093,0,0
2/8/2023,0.0008058,0.0008058,0.0008058,0.0008058,0,0
2/9/2023,0.0008042,0.0008042,0.0008042,0.0008042,0,0
2/10/2023,0.0008011,0.0008011,0.0008011,0.0008011,0,0
2/13/2023,0.0007977,0.0007977,0.0007977,0.0007977,0,0
2/14/2023,0.0007989,0.0007989,0.0007989,0.0007989,0,0
2/15/2023,0.0007909,0.0007909,0.0007909,0.0007909,0,0
2/16/2023,0.0007895,0.0007895,0.0007895,0.0007895,0,0
2/17/2023,0.0007848,0.0007848,0.0007848,0.0007848,0,0
2/21/2023,0.0007786,0.0007786,0.0007786,0.0007786,0,0
2/22/2023,0.0007812,0.0007812,0.0007812,0.0007812,0,0
2/23/2023,0.000785,0.000785,0.000785,0.000785,0,0
2/24/2023,0.0007736,0.0007736,0.0007736,0.0007736,0,0
2/27/2023,0.0007729,0.0007729,0.0007729,0.0007729,0,0
2/28/2023,0.0007703,0.0007703,0.0007703,0.0007703,0,0
3/1/2023,0.0007793,0.0007793,0.0007793,0.0007793,0,0
3/2/2023,0.0007756,0.0007756,0.0007756,0.0007756,0,0
3/3/2023,0.0007844,0.0007844,0.0007844,0.0007844,0,0
3/6/2023,0.0007828,0.0007828,0.0007828,0.0007828,0,0
3/7/2023,0.0007719,0.0007719,0.0007719,0.0007719,0,0
3/8/2023,0.0007731,0.0007731,0.0007731,0.0007731,0,0
3/9/2023,0.0007693,0.0007693,0.0007693,0.0007693,0,0
3/10/2023,0.0007723,0.0007723,0.0007723,0.0007723,0,0
3/13/2023,0.0007861,0.0007861,0.0007861,0.0007861,0,0
3/14/2023,0.0007793,0.0007793,0.0007793,0.0007793,0,0
3/15/2023,0.000771,0.000771,0.000771,0.000771,0,0
3/16/2023,0.0007787,0.0007787,0.0007787,0.0007787,0,0
3/17/2023,0.0007783,0.0007783,0.0007783,0.0007783,0,0
3/20/2023,0.0007784,0.0007784,0.0007784,0.0007784,0,0
3/21/2023,0.0007788,0.0007788,0.0007788,0.0007788,0,0
3/22/2023,0.0007796,0.0007796,0.0007796,0.0007796,0,0
3/23/2023,0.0007931,0.0007931,0.0007931,0.0007931,0,0
3/24/2023,0.0007839,0.0007839,0.0007839,0.0007839,0,0
3/27/2023,0.0007825,0.0007825,0.0007825,0.0007825,0,0
3/28/2023,0.0007829,0.0007829,0.0007829,0.0007829,0,0
3/29/2023,0.0007779,0.0007779,0.0007779,0.0007779,0,0
3/30/2023,0.0007837,0.0007837,0.0007837,0.0007837,0,0
3/31/2023,0.0007782,0.0007782,0.0007782,0.0007782,0,0
4/3/2023,0.0007751,0.0007751,0.0007751,0.0007751,0,0
4/4/2023,0.0007731,0.0007731,0.0007731,0.0007731,0,0
4/5/2023,0.0007714,0.0007714,0.0007714,0.0007714,0,0
4/6/2023,0.0007717,0.0007717,0.0007717,0.0007717,0,0
4/10/2023,0.0007701,0.0007701,0.0007701,0.0007701,0,0
4/11/2023,0.0007688,0.0007688,0.0007688,0.0007688,0,0
4/12/2023,0.0007692,0.0007692,0.0007692,0.0007692,0,0
4/13/2023,0.0007808,0.0007808,0.0007808,0.0007808,0,0
4/14/2023,0.0007789,0.0007789,0.0007789,0.0007789,0,0
4/17/2023,0.0007706,0.0007706,0.0007706,0.0007706,0,0
4/18/2023,0.0007708,0.0007708,0.0007708,0.0007708,0,0
4/19/2023,0.0007638,0.0007638,0.0007638,0.0007638,0,0
4/20/2023,0.0007669,0.0007669,0.0007669,0.0007669,0,0
4/21/2023,0.0007635,0.0007635,0.0007635,0.0007635,0,0
4/24/2023,0.0007622,0.0007622,0.0007622,0.0007622,0,0
4/25/2023,0.0007566,0.0007566,0.0007566,0.0007566,0,0
4/26/2023,0.0007592,0.0007592,0.0007592,0.0007592,0,0
4/27/2023,0.000758,0.000758,0.000758,0.000758,0,0
4/28/2023,0.0007592,0.0007592,0.0007592,0.0007592,0,0
5/1/2023,0.0007563,0.0007563,0.0007563,0.0007563,0,0
5/2/2023,0.0007567,0.0007567,0.0007567,0.0007567,0,0
5/3/2023,0.0007628,0.0007628,0.0007628,0.0007628,0,0
5/4/2023,0.0007667,0.0007667,0.0007667,0.0007667,0,0
5/5/2023,0.0007702,0.0007702,0.0007702,0.0007702,0,0
5/8/2023,0.0007677,0.0007677,0.0007677,0.0007677,0,0
5/9/2023,0.000765,0.000765,0.000765,0.000765,0,0
5/10/2023,0.0007688,0.0007688,0.0007688,0.0007688,0,0
5/11/2023,0.0007613,0.0007613,0.0007613,0.0007613,0,0
5/12/2023,0.000756,0.000756,0.000756,0.000756,0,0
5/15/2023,0.0007595,0.0007595,0.0007595,0.0007595,0,0
5/16/2023,0.000756,0.000756,0.000756,0.000756,0,0
5/17/2023,0.0007603,0.0007603,0.0007603,0.0007603,0,0
5/18/2023,0.0007587,0.0007587,0.0007587,0.0007587,0,0
5/19/2023,0.0007643,0.0007643,0.0007643,0.0007643,0,0
5/22/2023,0.0007716,0.0007716,0.0007716,0.0007716,0,0
5/23/2023,0.0007679,0.0007679,0.0007679,0.0007679,0,0
5/24/2023,0.0007681,0.0007681,0.0007681,0.0007681,0,0
5/25/2023,0.0007625,0.0007625,0.0007625,0.0007625,0,0
5/26/2023,0.0007663,0.0007663,0.0007663,0.0007663,0,0
5/30/2023,0.0007684,0.0007684,0.0007684,0.0007684,0,0
5/31/2023,0.0007658,0.0007658,0.0007658,0.0007658,0,0
6/1/2023,0.000771,0.000771,0.000771,0.000771,0,0
6/2/2023,0.0007766,0.0007766,0.0007766,0.0007766,0,0
6/5/2023,0.0007775,0.0007775,0.0007775,0.0007775,0,0
6/6/2023,0.0007792,0.0007792,0.0007792,0.0007792,0,0
6/7/2023,0.0007751,0.0007751,0.0007751,0.0007751,0,0
6/8/2023,0.0007815,0.0007815,0.0007815,0.0007815,0,0
6/9/2023,0.0007866,0.0007866,0.0007866,0.0007866,0,0
6/12/2023,0.0007885,0.0007885,0.0007885,0.0007885,0,0
6/13/2023,0.0007976,0.0007976,0.0007976,0.0007976,0,0
6/14/2023,0.0007968,0.0007968,0.0007968,0.0007968,0,0
6/15/2023,0.0007973,0.0007973,0.0007973,0.0007973,0,0
6/16/2023,0.0007929,0.0007929,0.0007929,0.0007929,0,0
6/20/2023,0.0007865,0.0007865,0.0007865,0.0007865,0,0
6/21/2023,0.000786,0.000786,0.000786,0.000786,0,0
6/22/2023,0.0007788,0.0007788,0.0007788,0.0007788,0,0
6/23/2023,0.0007735,0.0007735,0.0007735,0.0007735,0,0
6/26/2023,0.0007753,0.0007753,0.0007753,0.0007753,0,0
6/27/2023,0.0007792,0.0007792,0.0007792,0.0007792,0,0
6/28/2023,0.0007733,0.0007733,0.0007733,0.0007733,0,0
6/29/2023,0.0007662,0.0007662,0.0007662,0.0007662,0,0
6/30/2023,0.0007677,0.0007677,0.0007677,0.0007677,0,0
7/3/2023,0.0007743,0.0007743,0.0007743,0.0007743,0,0
7/5/2023,0.0007756,0.0007756,0.0007756,0.0007756,0,0
7/6/2023,0.0007715,0.0007715,0.0007715,0.0007715,0,0
7/7/2023,0.000779,0.000779,0.000779,0.000779,0,0
7/10/2023,0.0007774,0.0007774,0.0007774,0.0007774,0,0
7/11/2023,0.0007822,0.0007822,0.0007822,0.0007822,0,0
7/12/2023,0.0007926,0.0007926,0.0007926,0.0007926,0,0
7/13/2023,0.0007981,0.0007981,0.0007981,0.0007981,0,0
7/14/2023,0.0007965,0.0007965,0.0007965,0.0007965,0,0
7/17/2023,0.0007999,0.0007999,0.0007999,0.0007999,0,0
7/18/2023,0.0007986,0.0007986,0.0007986,0.0007986,0,0
7/19/2023,0.0007977,0.0007977,0.0007977,0.0007977,0,0
7/20/2023,0.0007919,0.0007919,0.0007919,0.0007919,0,0
7/21/2023,0.0007846,0.0007846,0.0007846,0.0007846,0,0
7/24/2023,0.00079,0.00079,0.00079,0.00079,0,0
7/25/2023,0.0007913,0.0007913,0.0007913,0.0007913,0,0
7/26/2023,0.0007963,0.0007963,0.0007963,0.0007963,0,0
7/27/2023,0.0007876,0.0007876,0.0007876,0.0007876,0,0
7/28/2023,0.0007913,0.0007913,0.0007913,0.0007913,0,0
7/31/2023,0.0007912,0.0007912,0.0007912,0.0007912,0,0
8/1/2023,0.0007843,0.0007843,0.0007843,0.0007843,0,0
8/2/2023,0.0007762,0.0007762,0.0007762,0.0007762,0,0
8/3/2023,0.000777,0.000777,0.000777,0.000777,0,0
8/4/2023,0.0007742,0.0007742,0.0007742,0.0007742,0,0
8/7/2023,0.0007726,0.0007726,0.0007726,0.0007726,0,0
8/8/2023,0.000767,0.000767,0.000767,0.000767,0,0
8/9/2023,0.0007684,0.0007684,0.0007684,0.0007684,0,0
8/10/2023,0.0007663,0.0007663,0.0007663,0.0007663,0,0
8/11/2023,0.0007576,0.0007576,0.0007576,0.0007576,0,0
8/14/2023,0.0007543,0.0007543,0.0007543,0.0007543,0,0
8/15/2023,0.0007544,0.0007544,0.0007544,0.0007544,0,0
8/16/2023,0.0007514,0.0007514,0.0007514,0.0007514,0,0
8/17/2023,0.0007532,0.0007532,0.0007532,0.0007532,0,0
8/18/2023,0.000753,0.000753,0.000753,0.000753,0,0
8/21/2023,0.0007524,0.0007524,0.0007524,0.0007524,0,0
8/22/2023,0.0007535,0.0007535,0.0007535,0.0007535,0,0
8/23/2023,0.0007574,0.0007574,0.0007574,0.0007574,0,0
8/24/2023,0.0007597,0.0007597,0.0007597,0.0007597,0,0
8/25/2023,0.0007613,0.0007613,0.0007613,0.0007613,0,0
8/28/2023,0.0007609,0.0007609,0.0007609,0.0007609,0,0
8/29/2023,0.0007645,0.0007645,0.0007645,0.0007645,0,0
8/30/2023,0.0007622,0.0007622,0.0007622,0.0007622,0,0
8/31/2023,0.0007603,0.0007603,0.0007603,0.0007603,0,0
9/1/2023,0.0007631,0.0007631,0.0007631,0.0007631,0,0
9/5/2023,0.0007564,0.0007564,0.0007564,0.0007564,0,0
9/6/2023,0.0007542,0.0007542,0.0007542,0.0007542,0,0
9/7/2023,0.0007531,0.0007531,0.0007531,0.0007531,0,0
9/8/2023,0.0007535,0.0007535,0.0007535,0.0007535,0,0
9/11/2023,0.0007588,0.0007588,0.0007588,0.0007588,0,0
9/12/2023,0.0007588,0.0007588,0.0007588,0.0007588,0,0
9/13/2023,0.0007584,0.0007584,0.0007584,0.0007584,0,0
9/14/2023,0.0007569,0.0007569,0.0007569,0.0007569,0,0
9/15/2023,0.0007574,0.0007574,0.0007574,0.0007574,0,0
9/18/2023,0.0007599,0.0007599,0.0007599,0.0007599,0,0
9/19/2023,0.000758,0.000758,0.000758,0.000758,0,0
