Date,Open,High,Low,Close,Vol,OI
5/15/2023,564.0,564.0,564.0,564.0,0,0
5/16/2023,564.5,564.5,564.5,564.5,0,0
5/17/2023,562.0,562.0,562.0,562.0,0,0
5/18/2023,562.0,562.0,562.0,562.0,0,0
5/19/2023,562.0,562.0,562.0,562.0,0,0
5/22/2023,564.5,564.5,564.5,564.5,0,0
5/23/2023,559.5,559.5,559.5,559.5,0,0
5/24/2023,560.0,560.0,560.0,560.0,0,0
5/25/2023,555.0,555.0,555.0,555.0,0,0
5/26/2023,555.0,555.0,555.0,555.0,0,0
5/30/2023,547.0,547.0,547.0,547.0,0,0
5/31/2023,549.0,549.0,549.0,549.0,0,0
6/1/2023,551.0,551.0,551.0,551.0,0,0
6/2/2023,548.0,548.0,548.0,548.0,0,0
6/5/2023,547.0,547.0,547.0,547.0,0,0
6/6/2023,556.5,556.5,556.5,556.5,0,0
6/7/2023,565.5,565.5,565.5,565.5,0,0
6/8/2023,568.0,568.0,568.0,568.0,0,0
6/9/2023,568.0,568.0,568.0,568.0,0,0
6/12/2023,571.0,571.0,571.0,571.0,0,0
6/13/2023,582.5,582.5,582.5,582.5,0,0
6/14/2023,576.5,576.5,576.5,576.5,0,0
6/15/2023,577.0,577.0,577.0,577.0,0,0
6/16/2023,576.0,576.0,576.0,576.0,0,0
6/20/2023,588.0,588.0,588.0,588.0,0,0
6/21/2023,597.5,597.5,597.5,597.5,0,0
6/22/2023,598.0,598.0,598.0,598.0,0,0
6/23/2023,597.0,597.0,597.0,597.0,0,0
6/26/2023,591.5,591.5,591.5,591.5,0,0
6/27/2023,588.0,588.0,588.0,588.0,0,0
6/28/2023,586.0,586.0,586.0,586.0,0,0
6/29/2023,582.0,582.0,582.0,582.0,0,0
6/30/2023,584.0,584.0,584.0,584.0,0,0
7/3/2023,575.5,575.5,575.5,575.5,0,0
7/5/2023,587.0,587.0,587.0,587.0,0,0
7/6/2023,594.0,594.0,594.0,594.0,0,0
7/7/2023,593.0,593.0,593.0,593.0,0,0
7/10/2023,612.0,612.0,612.0,612.0,0,0
7/11/2023,613.0,613.0,613.0,613.0,0,0
7/12/2023,613.0,613.0,613.0,613.0,0,0
7/13/2023,613.0,613.0,613.0,613.0,0,0
7/14/2023,611.0,611.0,611.0,611.0,0,0
7/17/2023,618.0,618.0,618.0,618.0,0,0
7/18/2023,611.5,611.5,611.5,611.5,0,0
7/19/2023,588.0,588.0,588.0,588.0,0,0
7/20/2023,580.0,580.0,580.0,580.0,0,0
7/21/2023,580.5,580.5,580.5,580.5,0,0
7/24/2023,576.0,576.0,576.0,576.0,0,0
7/25/2023,563.5,563.5,563.5,563.5,0,0
7/26/2023,562.5,562.5,562.5,562.5,0,0
7/27/2023,564.0,564.0,564.0,564.0,0,0
7/28/2023,562.5,562.5,562.5,562.5,0,0
7/31/2023,557.0,557.0,557.0,557.0,0,0
8/1/2023,555.5,555.5,555.5,555.5,0,0
8/2/2023,549.0,549.0,549.0,549.0,0,0
8/3/2023,551.5,551.5,551.5,551.5,0,0
8/4/2023,549.0,549.0,549.0,549.0,0,0
8/7/2023,550.5,550.5,550.5,550.5,0,0
8/8/2023,551.0,551.0,551.0,551.0,0,0
8/9/2023,548.5,548.5,548.5,548.5,0,0
8/10/2023,548.5,548.5,548.5,548.5,0,0
8/11/2023,548.5,548.5,548.5,548.5,0,0
8/14/2023,552.5,552.5,552.5,552.5,0,0
8/15/2023,562.5,562.5,562.5,562.5,0,0
8/16/2023,577.0,577.0,577.0,577.0,0,0
8/17/2023,566.0,566.0,566.0,566.0,0,0
8/18/2023,578.5,578.5,578.5,578.5,0,0
8/21/2023,577.0,577.0,577.0,577.0,0,0
8/22/2023,563.0,563.0,563.0,563.0,0,0
8/23/2023,561.0,561.0,561.0,561.0,0,0
8/24/2023,562.5,562.5,562.5,562.5,0,0
8/25/2023,546.5,546.5,546.5,546.5,0,0
8/28/2023,542.0,542.0,542.0,542.0,0,0
8/29/2023,547.0,547.0,547.0,547.0,0,0
8/30/2023,542.0,542.0,542.0,542.0,0,0
8/31/2023,541.5,541.5,541.5,541.5,0,0
9/1/2023,537.5,537.5,537.5,537.5,0,0
9/5/2023,538.5,538.5,538.5,538.5,0,0
9/6/2023,538.5,538.5,538.5,538.5,0,0
9/7/2023,537.0,537.0,537.0,537.0,0,0
9/8/2023,535.5,535.5,535.5,535.5,0,0
9/11/2023,535.5,535.5,535.5,535.5,0,0
9/12/2023,534.0,534.0,534.0,534.0,0,0
9/13/2023,533.5,533.5,533.5,533.5,0,0
9/14/2023,536.0,536.0,536.0,536.0,0,0
9/15/2023,531.5,531.5,531.5,531.5,0,0
9/18/2023,531.5,531.5,531.5,531.5,0,0
9/19/2023,529.5,529.5,529.5,529.5,0,0
