Date,Open,High,Low,Close,Vol,OI
12/30/2022,164.625,165.6,164.625,165.6,0,0
1/3/2023,165.6,165.6,163.2,163.375,56,0
1/4/2023,164.0,164.0,164.0,164.0,56,33
1/5/2023,163.8,163.8,163.2,163.2,6,37
1/6/2023,163.0,163.0,163.0,163.0,20,52
1/9/2023,163.0,163.85,163.0,163.85,0,52
1/10/2023,164.275,164.275,164.275,164.275,4,54
1/11/2023,164.0,164.0,164.0,164.0,1,55
1/12/2023,164.0,164.0,164.0,164.0,2,57
1/13/2023,164.45,164.45,164.45,164.45,2,59
1/17/2023,164.325,164.325,164.325,164.325,0,59
1/18/2023,165.0,165.0,164.5,164.775,1,60
1/19/2023,164.525,164.525,163.9,163.9,52,82
1/20/2023,163.9,164.025,163.9,164.025,17,96
1/23/2023,164.475,164.475,164.475,164.475,16,111
1/24/2023,164.675,164.675,164.675,164.675,0,111
1/25/2023,165.0,165.0,164.975,164.975,0,111
1/26/2023,164.95,165.125,164.3,164.3,10,117
1/27/2023,164.3,164.575,164.25,164.575,24,136
1/30/2023,165.0,165.65,165.0,165.4,2,138
1/31/2023,165.7,165.925,165.45,165.85,48,164
2/1/2023,166.0,166.0,165.45,165.45,8,169
2/2/2023,166.0,166.45,165.95,166.45,26,192
2/3/2023,166.35,166.75,166.275,166.3,23,210
2/6/2023,166.2,166.925,166.2,166.925,29,223
2/7/2023,167.025,167.025,166.5,166.6,5,226
2/8/2023,166.5,166.875,166.4,166.4,13,230
2/9/2023,166.425,166.7,166.2,166.2,24,247
2/10/2023,166.025,166.55,166.025,166.375,28,257
2/13/2023,166.95,166.95,166.05,166.95,14,263
2/14/2023,166.5,166.725,166.5,166.725,11,268
2/15/2023,166.8,166.8,166.8,166.8,11,278
2/16/2023,166.425,166.425,166.425,166.425,1,279
2/17/2023,166.725,166.725,166.725,166.725,1,280
2/21/2023,167.025,167.175,167.025,167.125,2,282
2/22/2023,167.1,167.225,166.925,166.95,14,287
2/23/2023,167.575,167.7,167.4,167.4,28,304
2/24/2023,167.55,167.55,167.125,167.275,50,349
2/27/2023,167.8,167.85,167.3,167.3,74,405
2/28/2023,167.725,167.775,167.675,167.675,8,411
3/1/2023,167.6,168.0,167.0,167.55,13,423
3/2/2023,167.475,167.65,166.85,167.0,143,494
3/3/2023,167.225,168.25,167.225,168.25,52,492
3/6/2023,168.2,169.15,168.2,169.15,35,510
3/7/2023,169.0,169.225,168.8,169.175,88,560
3/8/2023,169.125,169.9,169.125,169.75,98,591
3/9/2023,169.7,170.2,169.175,169.45,142,635
3/10/2023,169.2,169.2,168.75,169.0,113,650
3/13/2023,168.325,168.55,168.0,168.55,67,691
3/14/2023,168.5,168.9,168.5,168.875,107,681
3/15/2023,167.9,168.175,167.25,167.575,62,713
3/16/2023,167.5,168.05,166.7,167.95,44,702
3/17/2023,167.5,168.15,167.4,168.125,192,731
3/20/2023,168.25,168.525,168.2,168.275,55,763
3/21/2023,168.025,168.3,167.5,168.1,97,806
3/22/2023,167.325,167.725,167.075,167.55,77,855
3/23/2023,167.475,167.825,166.925,167.65,122,917
3/24/2023,167.425,167.625,167.2,167.45,214,1057
3/27/2023,167.7,169.175,167.625,169.1,57,1073
3/28/2023,168.75,169.4,168.75,169.325,158,1073
3/29/2023,169.5,169.625,169.175,169.5,26,1075
3/30/2023,169.65,170.6,169.5,170.425,211,1160
3/31/2023,171.0,171.0,170.275,170.75,157,1242
4/3/2023,171.0,171.0,170.25,170.575,55,1257
