Date,Open,High,Low,Close,Vol,OI
6/16/2022,1651.3,1651.3,1651.2,1651.2,0,0
6/17/2022,1668.1,1668.1,1668.1,1668.1,0,0
6/21/2022,1695.8,1695.8,1695.8,1695.8,0,0
6/22/2022,1693.3,1693.3,1693.3,1693.3,0,0
6/23/2022,1713.7,1713.7,1713.7,1713.7,0,0
6/24/2022,1766.6,1766.6,1766.6,1766.6,0,0
6/27/2022,1773.1,1773.1,1773.1,1773.1,0,0
6/28/2022,1741.1,1741.1,1741.1,1741.1,0,0
6/29/2022,1721.8,1721.8,1721.8,1721.8,0,0
6/30/2022,1707.5,1707.5,1707.5,1707.5,0,0
7/1/2022,1746.3,1746.3,1746.3,1746.3,0,0
7/5/2022,1759.6,1759.6,1759.6,1759.6,0,0
7/6/2022,1746.7,1746.7,1746.7,1746.7,0,0
7/7/2022,1789.4,1789.4,1789.4,1789.4,0,0
7/8/2022,1788.5,1788.5,1788.5,1788.5,0,0
7/11/2022,1750.7,1750.7,1750.7,1750.7,0,0
7/12/2022,1747.0,1747.0,1747.0,1747.0,0,0
7/13/2022,1745.8,1745.8,1745.8,1745.8,0,0
7/14/2022,1726.2,1726.2,1726.2,1726.2,0,0
7/15/2022,1762.5,1762.5,1762.5,1762.5,0,0
7/18/2022,1757.8,1757.8,1757.8,1757.8,0,0
7/19/2022,1818.8,1818.8,1818.8,1818.8,0,0
7/20/2022,1847.2,1847.2,1847.2,1847.2,0,0
7/21/2022,1867.1,1867.1,1867.1,1867.1,0,0
7/22/2022,1839.8,1839.8,1839.8,1839.8,0,0
7/25/2022,1851.0,1851.0,1851.0,1851.0,0,0
7/26/2022,1838.6,1838.6,1838.6,1838.6,0,0
7/27/2022,1882.5,1882.5,1882.5,1882.5,0,0
7/28/2022,1907.0,1907.0,1907.0,1907.0,0,0
7/29/2022,1919.5,1919.5,1919.5,1919.5,0,0
8/1/2022,1917.6,1917.6,1917.6,1917.6,0,0
8/2/2022,1916.8,1916.8,1916.8,1916.8,0,0
8/3/2022,1943.4,1943.4,1943.4,1943.4,0,0
8/4/2022,1939.7,1939.7,1939.7,1939.7,0,0
8/5/2022,1955.8,1955.8,1955.8,1955.8,0,0
8/8/2022,1975.9,1975.9,1975.9,1975.9,0,0
8/9/2022,1945.9,1945.9,1945.9,1945.9,0,0
8/10/2022,2003.8,2003.8,2003.8,2003.8,0,0
8/11/2022,2009.4,2009.4,2009.4,2009.4,0,0
8/12/2022,2051.0,2051.0,2051.0,2051.0,0,0
8/15/2022,2055.9,2055.9,2055.9,2055.9,0,0
8/16/2022,2055.6,2055.6,2055.6,2055.6,0,0
8/17/2022,2022.1,2022.1,2022.1,2022.1,0,0
8/18/2022,2022.1,2034.1,2022.1,2034.1,1,0
8/19/2022,1991.6,1991.6,1991.6,1991.6,1,1
8/22/2022,1947.3,1947.3,1947.3,1947.3,0,1
8/23/2022,1953.0,1953.0,1953.0,1953.0,0,1
8/24/2022,1968.6,1968.6,1968.6,1968.6,0,1
8/25/2022,1997.0,1997.0,1997.0,1997.0,0,1
8/26/2022,1932.4,1932.4,1932.4,1932.4,0,1
8/29/2022,1914.8,1914.8,1914.8,1914.8,0,1
8/30/2022,1887.3,1887.3,1887.3,1887.3,0,1
8/31/2022,1875.3,1875.3,1875.3,1875.3,0,1
9/1/2022,1880.0,1880.0,1853.1,1853.1,0,1
9/2/2022,1838.8,1838.8,1838.8,1838.8,1,1
9/6/2022,1821.8,1821.8,1821.8,1821.8,0,1
9/7/2022,1861.1,1861.1,1861.1,1861.1,0,1
9/8/2022,1876.1,1876.1,1876.1,1876.1,0,1
9/9/2022,1913.1,1913.1,1913.1,1913.1,0,1
9/12/2022,1936.6,1936.6,1936.6,1936.6,0,1
9/13/2022,1862.0,1862.0,1862.0,1862.0,0,1
9/14/2022,1867.6,1867.6,1867.6,1867.6,0,1
