Date,Open,High,Low,Close,Vol,OI
6/5/2023,0.66595,0.66595,0.66595,0.66595,0,0
6/6/2023,0.67115,0.67115,0.67115,0.67115,0,0
6/7/2023,0.669,0.669,0.669,0.669,0,0
6/8/2023,0.67475,0.67475,0.67475,0.67475,0,0
6/9/2023,0.6773,0.6773,0.6773,0.6773,0,0
6/12/2023,0.6786,0.6786,0.6786,0.6786,0,0
6/13/2023,0.67945,0.67945,0.67945,0.67945,0,0
6/14/2023,0.68345,0.68345,0.68345,0.68345,0,0
6/15/2023,0.69175,0.69175,0.69175,0.69175,0,0
6/16/2023,0.6907,0.6907,0.6907,0.6907,0,0
6/20/2023,0.6902,0.6902,0.6788,0.6817,21,0
6/21/2023,0.6814,0.6835,0.6776,0.6834,21,12
6/22/2023,0.684,0.684,0.6776,0.6787,19,15
6/23/2023,0.6767,0.6767,0.6693,0.6705,11,24
6/26/2023,0.672,0.6721,0.6699,0.6711,48,59
6/27/2023,0.6705,0.6748,0.6705,0.6719,25,62
6/28/2023,0.67,0.67,0.663,0.6638,38,66
6/29/2023,0.663,0.6663,0.6626,0.6649,69,109
6/30/2023,0.664,0.67,0.664,0.6694,46,112
7/3/2023,0.669,0.6721,0.667,0.6704,45,108
7/5/2023,0.6707,0.6736,0.6675,0.6687,64,115
7/6/2023,0.6684,0.6716,0.6634,0.6657,98,137
7/7/2023,0.666,0.673,0.6654,0.6726,68,153
7/10/2023,0.672,0.6722,0.6656,0.6709,67,141
7/11/2023,0.6709,0.6726,0.6686,0.6712,53,144
7/12/2023,0.6725,0.6826,0.672,0.6826,39,147
7/13/2023,0.6831,0.6926,0.683,0.6925,136,184
7/14/2023,0.6922,0.6934,0.6864,0.6873,121,229
7/17/2023,0.6866,0.6869,0.6822,0.6856,49,215
7/18/2023,0.6847,0.6868,0.6824,0.6846,48,218
7/19/2023,0.6842,0.6842,0.6784,0.6809,35,224
7/20/2023,0.6797,0.6876,0.6797,0.6811,126,235
7/21/2023,0.6799,0.6805,0.675,0.676,225,264
7/24/2023,0.676,0.6783,0.6755,0.6772,220,253
7/25/2023,0.6757,0.6822,0.6757,0.6815,110,206
7/26/2023,0.682,0.682,0.6766,0.6811,168,202
7/27/2023,0.6792,0.6851,0.673,0.6735,50,213
7/28/2023,0.6742,0.6742,0.6657,0.6683,272,197
7/31/2023,0.6685,0.677,0.6685,0.6749,273,207
8/1/2023,0.6747,0.6747,0.6634,0.664,120,203
8/2/2023,0.6651,0.6658,0.6559,0.6577,350,284
8/3/2023,0.6576,0.6598,0.6545,0.6578,442,356
8/4/2023,0.6602,0.6638,0.658,0.6603,364,383
8/7/2023,0.6604,0.6618,0.6587,0.6604,84,378
8/8/2023,0.6602,0.6602,0.6528,0.6568,45,377
8/9/2023,0.6563,0.66,0.655,0.6568,200,397
8/10/2023,0.6561,0.6644,0.6543,0.6566,97,421
8/11/2023,0.6545,0.6562,0.6514,0.6521,293,461
8/14/2023,0.6519,0.6528,0.6483,0.6507,181,564
8/15/2023,0.6518,0.6544,0.648,0.649,280,735
8/16/2023,0.6481,0.6506,0.6442,0.6453,174,685
8/17/2023,0.6446,0.6475,0.6394,0.6423,235,753
8/18/2023,0.643,0.6452,0.6407,0.6433,412,705
8/21/2023,0.6435,0.6447,0.6418,0.6443,250,680
8/22/2023,0.6441,0.6483,0.6435,0.645,108,654
8/23/2023,0.6458,0.6508,0.6438,0.6498,331,623
8/24/2023,0.6509,0.6515,0.644,0.6449,228,630
8/25/2023,0.6443,0.6467,0.6406,0.6446,369,786
8/28/2023,0.6436,0.6461,0.643,0.645,538,950
8/29/2023,0.6458,0.6512,0.6428,0.6501,202,985
8/30/2023,0.6499,0.6545,0.6477,0.6508,616,928
8/31/2023,0.6501,0.6527,0.6486,0.6499,619,1072
9/1/2023,0.6507,0.6545,0.6465,0.6475,433,1189
9/5/2023,0.647,0.6503,0.6382,0.6407,737,1099
9/6/2023,0.6407,0.6428,0.6382,0.6402,1159,1548
9/7/2023,0.6407,0.6417,0.6385,0.6401,742,1590
9/8/2023,0.6401,0.6437,0.6391,0.6394,937,1687
9/11/2023,0.6403,0.6471,0.6403,0.6449,1298,1829
9/12/2023,0.6455,0.6461,0.6431,0.6446,2340,2164
9/13/2023,0.6446,0.6456,0.6402,0.6439,1723,2446
9/14/2023,0.6441,0.648,0.6439,0.6458,2301,2798
9/15/2023,0.646,0.6495,0.6446,0.6454,4166,3076
9/18/2023,0.6451,0.647,0.6437,0.6454,10892,3946
9/19/2023,0.6455,0.6494,0.6448,0.6476,8881,4337
