Date,Open,High,Low,Close,Vol,OI
2/28/2023,1.2105,1.2105,1.2105,1.2105,0,0
3/1/2023,1.2071,1.2071,1.2071,1.2071,0,0
3/2/2023,1.1997,1.1997,1.1997,1.1997,0,0
3/3/2023,1.2099,1.2099,1.2099,1.2099,0,0
3/6/2023,1.2069,1.2069,1.2069,1.2069,0,0
3/7/2023,1.1885,1.1885,1.1885,1.1885,0,0
3/8/2023,1.1902,1.1902,1.1902,1.1902,0,0
3/9/2023,1.1967,1.1967,1.1967,1.1967,0,0
3/10/2023,1.2086,1.2086,1.2086,1.2086,0,0
3/13/2023,1.2236,1.2236,1.2236,1.2236,0,0
3/14/2023,1.2201,1.2214,1.2186,1.2214,7,0
3/15/2023,1.211,1.2117,1.2105,1.2109,7,4
3/16/2023,1.2078,1.2165,1.2078,1.2165,235,234
3/17/2023,1.2194,1.2235,1.2177,1.2235,42,275
3/20/2023,1.2215,1.2322,1.2215,1.2321,30,254
3/21/2023,1.2289,1.229,1.2242,1.226,50,221
3/22/2023,1.2298,1.2343,1.226,1.2337,4,219
3/23/2023,1.2348,1.235,1.23,1.2305,42,203
3/24/2023,1.2285,1.2285,1.2238,1.2256,107,103
3/27/2023,1.226,1.2322,1.2256,1.2322,6,101
3/28/2023,1.2346,1.238,1.232,1.2369,8,103
3/29/2023,1.2356,1.2384,1.2337,1.2346,25,114
3/30/2023,1.2333,1.2425,1.2329,1.2425,178,174
3/31/2023,1.244,1.2447,1.2366,1.2368,124,161
4/3/2023,1.233,1.2455,1.233,1.2444,39,134
4/4/2023,1.2441,1.2545,1.2441,1.2531,32,156
4/5/2023,1.2539,1.2539,1.2468,1.2494,153,265
4/6/2023,1.2489,1.2509,1.245,1.2484,75,220
4/10/2023,1.245,1.2465,1.239,1.2417,1,220
4/11/2023,1.245,1.2473,1.2447,1.2455,56,180
4/12/2023,1.2454,1.2521,1.244,1.2521,33,177
4/13/2023,1.2522,1.2558,1.2522,1.2558,8,175
4/14/2023,1.255,1.2575,1.2433,1.2449,32,158
4/17/2023,1.2449,1.2458,1.2396,1.2409,80,149
4/18/2023,1.2409,1.248,1.2407,1.2462,61,151
4/19/2023,1.2458,1.2503,1.2432,1.2468,13,151
4/20/2023,1.2474,1.2495,1.2468,1.2468,189,169
4/21/2023,1.2466,1.2466,1.24,1.246,7,169
4/24/2023,1.2473,1.2513,1.2447,1.2512,39,195
4/25/2023,1.2515,1.252,1.2415,1.2433,141,237
4/26/2023,1.2433,1.2536,1.2433,1.2483,103,321
4/27/2023,1.2493,1.2523,1.2475,1.2523,32,308
4/28/2023,1.252,1.2604,1.2498,1.2593,45,305
5/1/2023,1.2604,1.2604,1.2515,1.2515,56,262
5/2/2023,1.253,1.2534,1.248,1.2494,38,241
5/3/2023,1.25,1.2608,1.25,1.2592,36,222
5/4/2023,1.2591,1.262,1.2585,1.2606,72,257
5/5/2023,1.2599,1.2675,1.2589,1.2668,85,273
5/8/2023,1.2658,1.2695,1.2644,1.2646,44,297
5/9/2023,1.2644,1.2662,1.2612,1.265,13,295
5/10/2023,1.2656,1.2702,1.2638,1.2649,52,276
5/11/2023,1.2653,1.2653,1.2523,1.2537,99,300
5/12/2023,1.2535,1.2563,1.2469,1.2473,58,316
5/15/2023,1.2474,1.2556,1.2474,1.2555,125,420
5/16/2023,1.2552,1.2565,1.2498,1.2511,46,393
5/17/2023,1.2511,1.2533,1.2453,1.251,122,364
