Date,Open,High,Low,Close,Vol,OI
2/28/2023,1.07015,1.07015,1.07015,1.07015,0,0
3/1/2023,1.07745,1.07745,1.07745,1.07745,0,0
3/2/2023,1.07035,1.07035,1.07035,1.07035,0,0
3/3/2023,1.07475,1.07475,1.07475,1.07475,0,0
3/6/2023,1.07865,1.07865,1.07865,1.07865,0,0
3/7/2023,1.0667,1.0667,1.0667,1.0667,0,0
3/8/2023,1.06645,1.06645,1.06645,1.06645,0,0
3/9/2023,1.069,1.069,1.069,1.069,0,0
3/10/2023,1.0762,1.0762,1.0762,1.0762,0,0
3/13/2023,1.085,1.085,1.08495,1.085,0,0
3/14/2023,1.0842,1.0856,1.0795,1.0846,3513,0
3/15/2023,1.0838,1.0864,1.0625,1.0697,3513,649
3/16/2023,1.069,1.0738,1.0662,1.072,6048,1296
3/17/2023,1.0723,1.0787,1.0719,1.0785,3271,1138
3/20/2023,1.077,1.0834,1.0735,1.0828,1227,1418
3/21/2023,1.0825,1.089,1.0818,1.0868,2834,1537
3/22/2023,1.0874,1.1011,1.0861,1.0979,2039,1880
3/23/2023,1.0952,1.1026,1.0919,1.0938,698,2144
3/24/2023,1.0931,1.0932,1.081,1.0858,1067,1996
3/27/2023,1.0868,1.0895,1.0845,1.0895,1687,1824
3/28/2023,1.09,1.0945,1.09,1.0942,918,1839
3/29/2023,1.0937,1.097,1.092,1.0944,1302,1927
3/30/2023,1.0938,1.1023,1.0922,1.1002,961,1919
3/31/2023,1.1001,1.102,1.0936,1.0951,1242,2010
4/3/2023,1.093,1.101,1.0885,1.0992,827,2076
4/4/2023,1.1,1.1061,1.0978,1.1045,1273,2051
4/5/2023,1.1047,1.1055,1.098,1.0998,1775,2163
4/6/2023,1.0994,1.1025,1.0975,1.1021,2516,2131
4/10/2023,1.0958,1.1008,1.0924,1.0953,349,2344
4/11/2023,1.0957,1.1017,1.0957,1.0997,952,2296
4/12/2023,1.1007,1.1089,1.1006,1.1082,1280,2331
4/13/2023,1.1081,1.1151,1.1063,1.1133,5094,2742
4/14/2023,1.1134,1.1158,1.106,1.1084,3031,3175
4/17/2023,1.1071,1.1084,1.0995,1.1013,3643,3559
4/18/2023,1.1012,1.1068,1.1008,1.1057,1102,3587
4/19/2023,1.1058,1.1068,1.1002,1.1038,758,3550
4/20/2023,1.1038,1.107,1.1018,1.1049,1651,3725
4/21/2023,1.1054,1.1076,1.1021,1.106,1409,3771
4/24/2023,1.1072,1.1131,1.105,1.113,1937,3396
4/25/2023,1.1125,1.1147,1.1047,1.1054,2363,3281
4/26/2023,1.1058,1.1177,1.1051,1.1122,1873,3432
4/27/2023,1.1121,1.1143,1.1074,1.1107,4481,3548
4/28/2023,1.1109,1.1125,1.1045,1.1099,3073,3455
5/1/2023,1.1095,1.1117,1.1048,1.1052,2800,3346
5/2/2023,1.1058,1.1087,1.1024,1.108,1440,3342
5/3/2023,1.1086,1.1171,1.1086,1.1141,627,3559
5/4/2023,1.1149,1.1167,1.1069,1.1095,3095,3246
5/5/2023,1.1099,1.1126,1.1047,1.1105,4918,3486
5/8/2023,1.1099,1.113,1.1079,1.1083,2076,3539
5/9/2023,1.108,1.108,1.1019,1.1043,2089,3716
5/10/2023,1.1041,1.1082,1.1018,1.1052,520,3754
5/11/2023,1.106,1.1072,1.0974,1.0993,530,3707
5/12/2023,1.0989,1.1007,1.0922,1.0927,929,3608
5/15/2023,1.095,1.0963,1.0915,1.0947,1177,3851
5/16/2023,1.0946,1.0975,1.0928,1.094,1324,4018
5/17/2023,1.0937,1.0944,1.0883,1.091,1325,4063
5/18/2023,1.0909,1.0917,1.0833,1.0837,1668,4389
5/19/2023,1.0842,1.0898,1.083,1.0877,1347,4665
5/22/2023,1.0882,1.0899,1.0865,1.0888,2212,4614
5/23/2023,1.0883,1.0888,1.0829,1.0845,1964,4886
5/24/2023,1.084,1.0871,1.0818,1.082,910,4947
5/25/2023,1.0818,1.0824,1.0776,1.079,1910,5194
5/26/2023,1.0793,1.0824,1.0772,1.0799,2338,5238
5/30/2023,1.0798,1.0814,1.074,1.0788,2566,5414
5/31/2023,1.0802,1.0803,1.0703,1.074,3285,5694
6/1/2023,1.0751,1.0832,1.0726,1.0825,4258,5416
6/2/2023,1.0826,1.0841,1.0768,1.0776,4959,4876
6/5/2023,1.0774,1.0784,1.0737,1.0777,6656,5650
6/6/2023,1.0772,1.0796,1.073,1.0757,2862,5749
6/7/2023,1.0757,1.08,1.0729,1.0763,2973,5874
6/8/2023,1.0759,1.0847,1.0756,1.0839,2980,6160
6/9/2023,1.0842,1.0844,1.0802,1.0809,3865,6107
6/12/2023,1.0833,1.0849,1.0792,1.0815,5346,7149
6/13/2023,1.0817,1.0882,1.0816,1.0847,7122,7336
6/14/2023,1.085,1.0919,1.083,1.0889,10582,8029
6/15/2023,1.0888,1.1005,1.0856,1.1003,13925,8334
6/16/2023,1.0999,1.1022,1.097,1.0996,26312,8642
6/20/2023,1.0987,1.0997,1.0943,1.0968,21511,9014
6/21/2023,1.097,1.1041,1.0956,1.1035,27447,9278
6/22/2023,1.1035,1.1062,1.0996,1.1007,20133,9099
6/23/2023,1.1003,1.1007,1.0891,1.0939,21284,9118
6/26/2023,1.0942,1.0966,1.0934,1.0961,24043,9074
6/27/2023,1.0952,1.1022,1.0948,1.1006,13562,9292
6/28/2023,1.1006,1.1008,1.0941,1.0968,19266,9274
6/29/2023,1.0958,1.0985,1.0903,1.0911,23229,9339
6/30/2023,1.091,1.0974,1.0877,1.0953,26278,10173
7/3/2023,1.0952,1.0975,1.0911,1.0953,26122,9498
7/5/2023,1.0955,1.0957,1.0892,1.0894,18533,9611
7/6/2023,1.0894,1.094,1.0872,1.092,33600,10173
7/7/2023,1.0929,1.1013,1.0905,1.1007,32908,9857
7/10/2023,1.0998,1.104,1.0981,1.1038,28545,10530
7/11/2023,1.104,1.1066,1.1015,1.1037,20175,11055
7/12/2023,1.1045,1.1179,1.1045,1.1176,20874,10343
7/13/2023,1.1166,1.1265,1.1166,1.1259,31983,12569
7/14/2023,1.1261,1.1284,1.124,1.127,29091,12640
7/17/2023,1.1266,1.1284,1.1239,1.1278,25494,11874
7/18/2023,1.1274,1.1311,1.1244,1.1264,17391,12313
7/19/2023,1.1264,1.1275,1.1209,1.1236,28467,11758
7/20/2023,1.1234,1.1261,1.115,1.1158,23463,11288
7/21/2023,1.1165,1.1176,1.1139,1.1156,22744,10334
7/24/2023,1.116,1.1177,1.1091,1.1102,15968,10170
7/25/2023,1.1094,1.1117,1.1051,1.1075,24701,9634
7/26/2023,1.1084,1.1137,1.1067,1.1133,21000,9940
7/27/2023,1.1117,1.1178,1.0993,1.1,23011,9558
7/28/2023,1.1005,1.1074,1.0967,1.1051,41872,9935
7/31/2023,1.1042,1.1072,1.1019,1.1025,31588,8812
8/1/2023,1.1023,1.103,1.0977,1.0999,18373,9076
8/2/2023,1.1032,1.1046,1.0942,1.0968,22405,9750
8/3/2023,1.0963,1.0986,1.0935,1.0966,26745,9921
8/4/2023,1.0971,1.1065,1.095,1.1032,24306,10094
8/7/2023,1.1031,1.1037,1.0987,1.1029,25931,9253
8/8/2023,1.1022,1.1033,1.0951,1.0981,16831,9432
8/9/2023,1.0977,1.1016,1.0973,1.0996,20676,9996
