Date,Open,High,Low,Close,Vol,OI
7/28/2022,24175,24175,24175,24175,0,0
7/29/2022,24245,24245,24245,24245,0,0
8/1/2022,23245,23245,23245,23245,0,0
8/2/2022,23255,23255,23255,23255,0,0
8/3/2022,23755,23755,23755,23755,0,0
8/4/2022,22730,22730,22730,22730,0,0
8/5/2022,23215,23215,23215,23215,0,0
8/8/2022,24220,24220,24220,24220,0,0
8/9/2022,23340,23340,23340,23340,0,0
8/10/2022,23915,23915,23915,23915,0,0
8/11/2022,25100,25100,24490,24490,2,0
8/12/2022,24475,24475,24475,24475,2,2
8/15/2022,24260,24260,24260,24260,0,2
8/16/2022,24205,24205,24205,24205,0,2
8/17/2022,23545,23545,23545,23545,0,2
8/18/2022,23600,23600,23600,23600,0,2
8/19/2022,21590,21590,21590,21590,0,2
8/22/2022,21245,21245,21245,21245,0,2
8/23/2022,21745,21745,21745,21745,0,2
8/24/2022,21885,21885,21885,21885,0,2
8/25/2022,21730,21730,21730,21730,0,2
8/26/2022,20645,20645,20645,20645,0,2
8/29/2022,20110,20110,20110,20110,0,2
8/30/2022,19945,19945,19945,19945,0,2
8/31/2022,20230,20230,20230,20230,0,2
9/1/2022,19850,19850,19850,19850,0,2
9/2/2022,19925,19925,19925,19925,0,2
9/6/2022,18790,18790,18790,18790,0,2
9/7/2022,19075,19075,19075,19075,0,2
9/8/2022,19405,19405,19405,19405,0,2
9/9/2022,21460,21460,21460,21460,0,2
9/12/2022,22610,22610,22610,22610,0,2
9/13/2022,20385,20385,20385,20385,0,2
9/14/2022,20550,20550,20075,20075,0,2
9/15/2022,19865,19865,19865,19865,1,3
9/16/2022,19705,19705,19705,19705,0,3
9/19/2022,19600,19600,19600,19600,0,3
9/20/2022,19040,19040,19040,19040,0,3
9/21/2022,19045,19045,19045,19045,0,3
9/22/2022,19345,19345,19345,19345,0,3
9/23/2022,18780,18780,18780,18780,0,3
9/26/2022,19205,19205,19205,19205,0,3
9/27/2022,19085,19095,19085,19095,0,3
9/28/2022,19635,19635,19635,19635,1,4
9/29/2022,19505,19505,19505,19505,0,4
9/30/2022,19800,19800,19525,19525,0,4
10/3/2022,19590,19590,19590,19590,1,4
10/4/2022,20310,20310,20310,20310,0,4
10/5/2022,20160,20160,20160,20160,0,4
10/6/2022,20270,20275,20065,20065,0,4
10/7/2022,19665,19665,19495,19495,8,12
10/10/2022,19565,19565,19185,19185,6,10
10/11/2022,19030,19030,18955,18955,6,14
10/12/2022,19125,19125,19125,19125,3,14
10/13/2022,18700,19350,18270,19350,0,14
10/14/2022,19735,19735,19135,19135,6,18
10/17/2022,19455,19520,19455,19520,6,18
10/18/2022,19575,19575,19205,19205,6,18
10/19/2022,19200,19215,19200,19215,1,18
10/20/2022,18990,19165,18895,19045,3,18
10/21/2022,18975,19185,18975,19185,6,20
10/24/2022,19415,19415,19250,19340,32,52
10/25/2022,19520,20370,19520,20315,7,47
10/26/2022,20170,20945,20145,20830,8,53
10/27/2022,20860,20860,20680,20765,39,40
10/28/2022,20320,20760,20180,20705,13,41
10/31/2022,20600,20600,20375,20385,68,71
11/1/2022,20585,20635,20480,20480,18,87
11/2/2022,20780,20780,20270,20270,3,88
11/3/2022,20220,20285,20220,20285,3,90
11/4/2022,20360,21250,20360,21150,4,93
11/7/2022,21195,21195,20750,20865,15,97
11/8/2022,20430,20430,17800,18090,8,100
11/9/2022,18285,18285,15400,15605,116,195
11/10/2022,15795,17900,15680,17655,444,491
11/11/2022,16355,16355,15705,15770,135,390
11/14/2022,15350,16185,15000,15790,24,389
11/15/2022,16000,16490,16000,16490,20,381
11/16/2022,16105,16110,15850,16040,19,396
11/17/2022,15905,16230,15905,16230,12,401
11/18/2022,16510,16510,15905,16200,9,410
11/21/2022,16030,16030,15110,15290,13,413
11/22/2022,15225,15610,15225,15595,48,429
11/23/2022,15700,16350,15700,16255,47,436
11/25/2022,16550,16550,16000,16220,73,500
11/28/2022,16200,16200,15655,15890,48,521
11/29/2022,16065,16310,16065,16165,67,555
11/30/2022,16165,17080,16095,16985,41,594
12/1/2022,17035,17135,16700,16775,363,760
12/2/2022,16865,16955,16675,16940,167,816
12/5/2022,17205,17400,16740,16775,119,859
12/6/2022,16840,16915,16780,16875,248,903
12/7/2022,16995,17005,16545,16635,72,906
12/8/2022,16650,17205,16650,17100,123,898
12/9/2022,17200,17200,16955,16965,225,960
12/12/2022,16970,17120,16765,17020,362,1081
12/13/2022,17065,17985,17010,17640,145,1093
12/14/2022,17640,18250,17600,17705,367,1051
12/15/2022,17700,17740,17195,17285,366,1108
12/16/2022,17310,17375,16550,16685,227,1197
12/19/2022,16620,16635,16315,16390,400,1278
12/20/2022,16285,16880,16180,16725,519,1390
12/21/2022,16740,16760,16575,16590,340,1467
12/22/2022,16660,16700,16340,16575,244,1495
12/23/2022,16600,16750,16550,16650,366,1475
12/27/2022,16665,16810,16305,16435,1244,1915
