Date,Open,High,Low,Close,Vol,OI
3/1/2023,0.73725,0.73725,0.73725,0.73725,0,0
3/2/2023,0.73775,0.73775,0.73775,0.73775,0,0
3/3/2023,0.7384,0.7384,0.7384,0.7384,0,0
3/6/2023,0.73695,0.73695,0.73695,0.73695,0,0
3/7/2023,0.72975,0.72975,0.72975,0.72975,0,0
3/8/2023,0.7278,0.7278,0.7278,0.7278,0,0
3/9/2023,0.7264,0.7264,0.7264,0.7264,0,0
3/10/2023,0.7257,0.7257,0.7257,0.7257,0,0
3/13/2023,0.731,0.731,0.73095,0.731,0,0
3/14/2023,0.7332,0.7332,0.73315,0.7332,0,0
3/15/2023,0.728,0.7297,0.726,0.7297,12,0
3/16/2023,0.7305,0.7314,0.7278,0.7309,12,7
3/17/2023,0.731,0.7312,0.731,0.7312,7,9
3/20/2023,0.7332,0.7341,0.7331,0.7339,1,9
3/21/2023,0.7342,0.7342,0.73125,0.7313,3,9
3/22/2023,0.7328,0.7328,0.73275,0.7328,21,29
3/23/2023,0.7336,0.7352,0.731,0.731,0,29
3/24/2023,0.7318,0.7318,0.7267,0.7298,2,27
3/27/2023,0.7315,0.7346,0.7315,0.7346,22,41
3/28/2023,0.734,0.7371,0.733,0.7371,7,45
3/29/2023,0.738,0.7395,0.738,0.7391,8,51
3/30/2023,0.74,0.7417,0.7399,0.7417,3,54
3/31/2023,0.742,0.742,0.7395,0.741,4,56
4/3/2023,0.743,0.7476,0.743,0.7474,8,59
4/4/2023,0.7464,0.7464,0.745,0.7451,8,63
4/5/2023,0.7451,0.746,0.7438,0.745,5,61
4/6/2023,0.7438,0.7442,0.7425,0.7442,14,52
4/10/2023,0.7425,0.7429,0.74,0.7422,7,48
4/11/2023,0.743,0.7445,0.742,0.7445,20,50
4/12/2023,0.745,0.7466,0.744,0.7465,8,53
4/13/2023,0.7465,0.7518,0.7465,0.7518,26,68
4/14/2023,0.752,0.7532,0.749,0.7505,12,75
4/17/2023,0.7504,0.751,0.7477,0.7484,42,94
4/18/2023,0.7492,0.75,0.74875,0.7488,16,95
4/19/2023,0.748,0.748,0.74485,0.7449,12,101
4/20/2023,0.7449,0.7454,0.7438,0.7442,30,108
4/21/2023,0.7431,0.7431,0.74,0.7403,24,109
4/24/2023,0.7408,0.7408,0.7401,0.7407,35,104
4/25/2023,0.7393,0.7393,0.7349,0.7349,4,107
4/26/2023,0.736,0.737,0.7347,0.7347,41,129
4/27/2023,0.7352,0.7377,0.7352,0.7372,5,128
4/28/2023,0.7377,0.7408,0.734,0.7408,3,129
5/1/2023,0.7398,0.7406,0.7391,0.7404,38,122
5/2/2023,0.7401,0.7401,0.7354,0.736,8,125
5/3/2023,0.7358,0.7379,0.7354,0.7377,21,126
5/4/2023,0.7376,0.7414,0.7365,0.7406,68,113
5/5/2023,0.7408,0.7498,0.7408,0.7498,11,115
5/8/2023,0.7496,0.7529,0.749,0.7499,35,110
5/9/2023,0.7496,0.75,0.748,0.7496,45,99
5/10/2023,0.7489,0.7516,0.7476,0.7493,23,105
5/11/2023,0.75,0.75,0.743,0.7435,40,117
5/12/2023,0.7428,0.7432,0.7394,0.7394,50,131
5/15/2023,0.7396,0.7447,0.739,0.7444,25,131
5/16/2023,0.7445,0.7479,0.7437,0.7443,37,148
5/17/2023,0.7439,0.7455,0.741,0.7452,28,150
5/18/2023,0.7442,0.7447,0.7418,0.742,65,141
5/19/2023,0.7429,0.7442,0.7415,0.7422,23,142
5/22/2023,0.7428,0.7432,0.7419,0.7422,24,149
5/23/2023,0.7422,0.7429,0.74,0.7426,16,147
5/24/2023,0.7427,0.7427,0.737,0.7373,26,147
5/25/2023,0.7373,0.7376,0.735,0.7352,47,140
5/26/2023,0.7355,0.737,0.7346,0.7364,89,177
5/30/2023,0.7373,0.7389,0.7367,0.7373,13,181
5/31/2023,0.7368,0.7385,0.7346,0.7385,103,195
6/1/2023,0.739,0.7459,0.7383,0.7454,862,988
6/2/2023,0.7451,0.7473,0.7451,0.7463,167,984
6/5/2023,0.7467,0.7468,0.7449,0.7459,101,994
6/6/2023,0.7453,0.7483,0.745,0.7478,67,1016
6/7/2023,0.7477,0.752,0.7465,0.7491,97,1014
6/8/2023,0.749,0.751,0.7483,0.7499,720,1259
6/9/2023,0.7499,0.7523,0.7491,0.7503,292,1316
6/12/2023,0.7506,0.7522,0.7485,0.7491,378,1426
6/13/2023,0.7493,0.7538,0.7485,0.7525,349,1465
6/14/2023,0.7522,0.7545,0.75,0.7522,540,1626
6/15/2023,0.7515,0.7581,0.7498,0.7581,519,1685
6/16/2023,0.7575,0.7598,0.7565,0.7598,1613,1984
6/20/2023,0.7598,0.7598,0.7546,0.7569,1632,2108
6/21/2023,0.757,0.761,0.7561,0.761,2491,2168
6/22/2023,0.7607,0.7621,0.7599,0.7617,2012,2402
6/23/2023,0.7614,0.7618,0.757,0.7591,1942,2623
6/26/2023,0.7598,0.7621,0.7597,0.7618,2362,2523
6/27/2023,0.7613,0.7633,0.7591,0.7598,1848,2771
6/28/2023,0.759,0.7592,0.7543,0.7556,2317,2693
6/29/2023,0.7553,0.7562,0.7537,0.7559,2089,2596
6/30/2023,0.7555,0.758,0.7536,0.7563,2014,2655
7/3/2023,0.756,0.7567,0.7544,0.7555,2014,2599
7/5/2023,0.7556,0.7582,0.7532,0.7538,1195,2574
7/6/2023,0.7537,0.7541,0.7487,0.7495,3219,2589
7/7/2023,0.7489,0.7546,0.7478,0.7543,2726,2437
7/10/2023,0.7538,0.7544,0.7524,0.7538,2337,2379
7/11/2023,0.7538,0.7565,0.7532,0.7558,1498,2524
7/12/2023,0.7565,0.7614,0.7563,0.759,1975,2492
7/13/2023,0.7591,0.7637,0.7586,0.7636,2957,2659
7/14/2023,0.7634,0.7645,0.7567,0.7576,2340,2546
7/17/2023,0.7567,0.7604,0.7563,0.7592,2383,2456
7/18/2023,0.7579,0.7601,0.7558,0.7597,1614,2455
7/19/2023,0.7601,0.7607,0.7585,0.7605,2199,2460
7/20/2023,0.7601,0.7628,0.7585,0.7595,1376,2508
7/21/2023,0.7597,0.7608,0.7566,0.7579,1661,2356
7/24/2023,0.7567,0.7609,0.7565,0.76,1749,2279
7/25/2023,0.7601,0.7612,0.7576,0.7597,2180,2313
7/26/2023,0.7595,0.7598,0.7559,0.7584,4903,2657
7/27/2023,0.7577,0.7604,0.7556,0.7563,1735,2494
7/28/2023,0.7568,0.7584,0.7549,0.7558,2209,2520
7/31/2023,0.7552,0.7609,0.7545,0.7595,2016,2567
8/1/2023,0.7589,0.7589,0.7523,0.7529,2225,2729
8/2/2023,0.7537,0.7541,0.7493,0.7498,2422,2670
8/3/2023,0.7496,0.7507,0.7479,0.7493,2183,2539
8/4/2023,0.7492,0.7511,0.7469,0.7476,1902,2490
8/7/2023,0.7476,0.7492,0.7467,0.7485,2169,2465
