Date,Open,High,Low,Close,Vol,OI
1/6/2023,72.48,72.48,72.48,72.48,0,0
1/9/2023,73.5,73.5,73.5,73.5,0,0
1/10/2023,73.56,73.56,73.56,73.56,0,0
1/11/2023,75.29,75.29,75.29,75.29,0,0
1/12/2023,75.87,75.87,75.87,75.87,0,0
1/13/2023,76.83,76.83,76.83,76.83,0,0
1/17/2023,76.45,76.45,76.45,76.45,0,0
1/18/2023,76.25,76.25,76.25,76.25,0,0
1/19/2023,77.08,77.08,77.08,77.08,0,0
1/20/2023,77.82,77.82,77.82,77.82,0,0
1/23/2023,78.42,78.42,78.42,78.42,0,0
1/24/2023,77.07,77.07,77.06,77.06,0,0
1/25/2023,76.8,76.8,76.8,76.8,0,0
1/26/2023,77.2,77.2,77.2,77.2,0,0
1/27/2023,75.93,75.93,75.93,75.93,0,0
1/30/2023,74.55,74.55,74.55,74.55,0,0
1/31/2023,75.66,75.66,75.66,75.66,0,0
2/1/2023,73.65,73.65,73.65,73.65,0,0
2/2/2023,73.48,73.48,73.48,73.48,0,0
2/3/2023,71.31,71.31,71.31,71.31,0,0
2/6/2023,72.19,72.19,72.19,72.19,0,0
2/7/2023,74.2,74.2,74.2,74.2,0,0
2/8/2023,75.22,75.22,75.22,75.22,0,0
2/9/2023,74.74,74.74,74.74,74.74,0,0
2/10/2023,76.01,76.01,76.01,76.01,0,0
2/13/2023,76.54,76.54,76.54,76.54,0,0
2/14/2023,76.0,76.0,76.0,76.0,0,0
2/15/2023,76.02,76.02,75.71,75.71,1,0
2/16/2023,75.56,75.56,75.56,75.56,1,1
2/17/2023,73.75,73.75,73.75,73.75,0,1
2/21/2023,73.71,73.71,73.71,73.71,0,1
2/22/2023,73.0,73.0,72.08,72.08,0,1
2/23/2023,73.1,73.19,73.1,73.19,1,2
2/24/2023,72.65,73.68,72.65,73.68,1,1
2/27/2023,72.82,72.82,72.82,72.82,8,1
2/28/2023,73.65,73.65,73.65,73.65,0,1
3/1/2023,73.65,74.64,73.65,74.29,0,1
3/2/2023,74.75,74.95,74.75,74.95,8,7
3/3/2023,76.32,76.32,76.32,76.32,2,9
3/6/2023,75.88,76.87,75.88,76.87,0,9
3/7/2023,74.84,74.84,74.5,74.5,1,10
3/8/2023,74.2,74.2,73.72,73.72,9,5
3/9/2023,74.4,74.4,72.83,72.83,3,8
3/10/2023,73.63,73.63,73.63,73.63,3,5
3/13/2023,72.65,72.65,70.23,72.09,0,5
3/14/2023,70.84,70.84,69.35,69.35,18,17
3/15/2023,68.7,68.7,66.14,66.14,7,12
3/16/2023,66.98,66.98,66.6,66.98,2,14
3/17/2023,65.11,65.89,65.07,65.89,3,11
3/20/2023,64.55,66.59,63.58,66.59,4,11
3/21/2023,67.75,67.85,67.75,67.75,5,12
3/22/2023,67.7,68.67,67.7,68.67,1,13
3/23/2023,68.56,68.56,67.58,68.12,3,13
3/24/2023,67.62,68.22,67.42,67.58,6,12
3/27/2023,68.7,70.63,68.7,70.63,7,13
3/28/2023,70.62,71.2,70.62,70.95,1,12
3/29/2023,71.57,71.57,70.59,70.59,6,12
3/30/2023,70.66,71.61,70.64,71.61,6,13
3/31/2023,71.81,72.66,71.6,72.66,3,13
4/3/2023,75.66,75.66,75.66,75.66,8,14
4/4/2023,75.66,75.74,75.32,75.74,0,14
4/5/2023,75.82,75.82,75.53,75.74,2,14
4/6/2023,75.14,75.58,75.12,75.58,3,14
4/10/2023,75.04,75.04,75.04,75.04,0,14
4/11/2023,75.7,76.52,75.7,76.41,0,14
4/12/2023,77.77,77.77,77.62,77.62,19,14
4/13/2023,77.09,77.09,77.09,77.09,1,15
4/14/2023,77.4,77.4,77.4,77.4,0,15
4/17/2023,76.39,76.39,76.35,76.35,0,15
4/18/2023,76.48,76.48,76.47,76.47,2,15
4/19/2023,76.16,76.16,74.98,74.98,1,15
4/20/2023,73.5,73.5,73.43,73.43,5,15
4/21/2023,74.31,74.31,74.31,74.31,1,15
4/24/2023,75.21,75.21,75.21,75.21,0,15
4/25/2023,73.27,73.27,73.27,73.27,0,15
4/26/2023,73.59,73.59,71.2,71.25,0,15
4/27/2023,71.34,71.43,71.34,71.43,2,15
4/28/2023,72.05,73.23,72.05,73.23,1,15
5/1/2023,72.21,72.21,72.21,72.21,2,16
