Date,Open,High,Low,Close,Vol,OI
3/6/2023,4255.0,4255.0,4255.0,4255.0,0,0
3/7/2023,4202.0,4202.0,4202.0,4202.0,0,0
3/8/2023,4210.0,4210.0,4210.0,4210.0,0,0
3/9/2023,4123.0,4123.0,4123.0,4123.0,0,0
3/10/2023,4043.0,4043.0,4043.0,4043.0,0,0
3/13/2023,4025.0,4025.0,4009.0,4009.0,0,0
3/14/2023,4049.0,4074.0,4049.0,4074.0,0,0
3/15/2023,4044.0,4044.0,4044.0,4044.0,0,0
3/16/2023,4119.0,4124.0,4119.0,4124.0,0,0
3/17/2023,4074.0,4074.0,4074.0,4074.0,0,0
3/20/2023,4104.0,4104.0,4104.0,4104.0,0,0
3/21/2023,4159.0,4164.0,4159.0,4164.0,0,0
3/22/2023,4099.0,4099.0,4099.0,4099.0,0,0
3/23/2023,4095.0,4095.0,4095.0,4095.0,0,0
3/24/2023,4118.0,4118.0,4118.0,4118.0,0,0
3/27/2023,4133.0,4133.0,4133.0,4133.0,0,0
3/28/2023,4129.0,4129.0,4129.0,4129.0,0,0
3/29/2023,4191.0,4191.0,4191.0,4191.0,0,0
3/30/2023,4200.0,4215.0,4200.0,4215.0,2,0
3/31/2023,4273.0,4273.0,4273.0,4273.0,2,2
4/3/2023,4289.0,4289.0,4289.0,4289.0,0,2
4/4/2023,4300.0,4300.0,4258.0,4258.0,0,2
4/5/2023,4246.0,4246.0,4246.0,4246.0,2,4
4/6/2023,4261.0,4261.0,4261.0,4261.0,0,4
4/10/2023,4272.0,4272.0,4272.0,4272.0,0,4
4/11/2023,4272.0,4272.0,4272.0,4272.0,0,4
4/12/2023,4254.0,4254.0,4254.0,4254.0,0,4
4/13/2023,4300.0,4309.0,4300.0,4309.0,0,4
4/14/2023,4303.0,4303.0,4303.0,4303.0,2,6
4/17/2023,4318.0,4322.0,4318.0,4322.0,0,6
4/18/2023,4334.0,4334.0,4328.0,4328.0,0,6
4/19/2023,4328.0,4328.0,4328.0,4328.0,0,6
4/20/2023,4300.0,4300.0,4297.0,4297.0,0,6
4/21/2023,4300.0,4301.0,4300.0,4301.0,0,6
4/24/2023,4304.0,4304.0,4304.0,4304.0,1,7
4/25/2023,4265.25,4265.25,4229.0,4229.0,0,7
4/26/2023,4215.0,4215.0,4212.0,4212.0,3,7
4/27/2023,4265.0,4300.0,4265.0,4297.0,1,8
4/28/2023,4332.0,4332.0,4332.0,4332.0,2,10
5/1/2023,4332.0,4332.0,4332.0,4332.0,0,10
5/2/2023,4300.0,4300.0,4277.0,4277.0,0,10
5/3/2023,4244.0,4244.0,4244.0,4244.0,1,11
5/4/2023,4207.0,4207.0,4204.0,4204.0,0,11
5/5/2023,4284.0,4284.0,4284.0,4284.0,0,11
5/8/2023,4294.0,4294.0,4290.0,4290.0,0,11
5/9/2023,4272.0,4272.0,4272.0,4272.0,0,11
5/10/2023,4289.0,4289.0,4289.0,4289.0,0,11
5/11/2023,4279.0,4279.0,4279.0,4279.0,0,11
5/12/2023,4275.0,4275.0,4275.0,4275.0,0,11
5/15/2023,4287.0,4287.0,4287.0,4287.0,0,11
5/16/2023,4262.0,4262.0,4262.0,4262.0,0,11
5/17/2023,4300.0,4312.0,4300.0,4312.0,0,11
5/18/2023,4358.0,4363.0,4358.0,4363.0,2,13
5/19/2023,4356.0,4356.0,4356.0,4356.0,2,15
5/22/2023,4358.0,4358.0,4358.0,4358.0,0,15
5/23/2023,4312.0,4312.0,4312.0,4312.0,0,15
5/24/2023,4280.0,4280.0,4280.0,4280.0,0,15
5/25/2023,4320.0,4320.0,4320.0,4320.0,0,15
5/26/2023,4380.0,4380.0,4380.0,4380.0,0,15
5/30/2023,4390.0,4400.0,4381.0,4381.0,0,15
5/31/2023,4356.0,4356.0,4352.0,4352.0,5,20
6/1/2023,4388.0,4388.0,4388.0,4388.0,0,20
6/2/2023,4398.5,4459.5,4398.5,4459.5,0,20
6/5/2023,4452.0,4452.0,4452.0,4452.0,1,21
6/6/2023,4461.0,4461.0,4461.0,4461.0,0,21
6/7/2023,4448.0,4448.0,4448.0,4448.0,0,21
6/8/2023,4473.0,4473.0,4473.0,4473.0,0,21
6/9/2023,4490.0,4495.0,4481.0,4481.0,0,21
6/12/2023,4500.0,4520.0,4500.0,4520.0,3,22
6/13/2023,4530.0,4554.5,4530.0,4554.5,7,27
6/14/2023,4567.5,4567.5,4557.5,4557.5,2,27
6/15/2023,4550.0,4613.25,4550.0,4613.25,0,27
6/16/2023,4596.0,4596.0,4596.0,4596.0,3,30
6/20/2023,4585.75,4585.75,4577.0,4577.0,0,30
6/21/2023,4570.0,4570.0,4551.0,4551.0,2,30
6/22/2023,4566.0,4566.0,4566.0,4566.0,1,31
6/23/2023,4530.0,4530.0,4530.0,4530.0,0,31
6/26/2023,4510.25,4510.25,4510.25,4510.25,0,31
6/27/2023,4533.75,4563.25,4533.75,4563.25,0,31
6/28/2023,4562.0,4562.0,4562.0,4562.0,4,35
6/29/2023,4584.75,4584.75,4584.75,4584.75,0,35
6/30/2023,4601.0,4638.25,4601.0,4638.25,0,35
7/3/2023,4643.5,4643.5,4643.5,4643.5,3,38
7/5/2023,4634.0,4634.0,4634.0,4634.0,0,38
7/6/2023,4597.0,4597.0,4597.0,4597.0,0,38
7/7/2023,4590.0,4590.0,4582.75,4583.75,0,38
7/10/2023,4580.75,4593.0,4580.75,4593.0,1,39
7/11/2023,4623.0,4623.0,4623.0,4623.0,1,40
7/12/2023,4656.25,4656.5,4656.25,4656.5,0,40
7/13/2023,4699.5,4699.5,4692.0,4692.0,0,40
7/14/2023,4688.0,4688.0,4688.0,4688.0,1,41
7/17/2023,4704.0,4704.0,4704.0,4704.0,0,41
7/18/2023,4740.0,4740.0,4740.0,4740.0,0,41
7/19/2023,4750.25,4750.25,4750.25,4750.25,0,41
7/20/2023,4719.0,4719.0,4719.0,4719.0,0,41
7/21/2023,4718.5,4718.5,4718.5,4718.5,0,41
7/24/2023,4739.0,4739.0,4739.0,4739.0,0,41
7/25/2023,4752.0,4760.0,4752.0,4752.0,0,41
7/26/2023,4751.25,4751.25,4751.25,4751.25,1,40
7/27/2023,4778.0,4778.0,4721.25,4721.25,0,40
7/28/2023,4765.75,4765.75,4765.75,4765.75,20,59
7/31/2023,4774.5,4774.5,4774.5,4774.5,0,59
8/1/2023,4761.5,4768.0,4761.5,4761.5,0,59
8/2/2023,4694.25,4694.25,4694.25,4694.25,1,58
8/3/2023,4678.75,4694.25,4678.75,4678.75,0,58
8/4/2023,4650.0,4652.75,4650.0,4652.75,1,59
8/7/2023,4693.5,4693.5,4693.5,4693.5,1,60
8/8/2023,4672.5,4672.5,4672.5,4672.5,0,60
8/9/2023,4637.25,4639.0,4637.25,4639.0,0,60
8/10/2023,4638.5,4638.5,4638.5,4638.5,1,61
8/11/2023,4633.5,4633.5,4633.5,4633.5,0,61
8/14/2023,4660.5,4660.5,4660.5,4660.5,0,61
8/15/2023,4605.25,4607.0,4605.25,4607.0,0,61
8/16/2023,4613.0,4613.0,4572.0,4572.0,0,61
8/17/2023,4533.25,4533.25,4533.25,4533.25,3,63
8/18/2023,4502.25,4530.5,4502.25,4530.5,0,63
8/21/2023,4518.5,4563.0,4518.25,4563.0,1,62
8/22/2023,4568.0,4568.0,4549.5,4549.5,3,62
8/23/2023,4572.25,4607.0,4572.25,4598.0,1,62
8/24/2023,4596.25,4596.25,4536.0,4536.0,10,71
8/25/2023,4567.75,4567.75,4567.75,4567.75,3,69
8/28/2023,4585.75,4597.0,4579.5,4597.0,0,69
