Date,Open,High,Low,Close,Vol,OI
8/26/2022,121.06,121.06,121.06,121.06,0,0
8/29/2022,121.24,121.24,121.24,121.24,0,0
8/30/2022,121.68,121.68,121.68,121.68,0,0
8/31/2022,122.0,122.0,122.0,122.0,0,0
9/1/2022,121.73,121.73,121.73,121.73,0,0
9/2/2022,121.7,121.7,121.7,121.7,0,0
9/6/2022,121.48,121.48,121.48,121.48,0,0
9/7/2022,121.85,121.85,121.85,121.85,0,0
9/8/2022,121.83,121.83,121.83,121.83,0,0
9/9/2022,121.93,121.93,121.93,121.93,0,0
9/12/2022,122.4,122.4,122.4,122.4,0,0
9/13/2022,122.11,122.11,122.11,122.11,0,0
9/14/2022,122.26,122.26,122.26,122.26,0,0
9/15/2022,121.83,121.83,121.83,121.83,0,0
9/16/2022,121.99,121.99,121.99,121.99,0,0
9/19/2022,122.0,122.0,122.0,122.0,0,0
9/20/2022,121.94,121.94,121.94,121.94,0,0
9/21/2022,121.65,121.65,121.65,121.65,0,0
9/22/2022,119.94,119.94,119.94,119.94,0,0
9/23/2022,119.75,119.75,119.75,119.75,0,0
9/26/2022,119.17,119.17,119.17,119.17,0,0
9/27/2022,118.86,118.86,118.86,118.86,0,0
9/28/2022,119.32,119.32,119.32,119.32,0,0
9/29/2022,118.78,118.78,118.78,118.78,0,0
9/30/2022,119.01,119.01,119.01,119.01,0,0
10/3/2022,118.98,118.98,118.98,118.98,0,0
10/4/2022,119.13,119.13,119.13,119.13,0,0
10/5/2022,119.01,119.01,119.01,119.01,0,0
10/6/2022,117.83,117.83,117.83,117.83,0,0
10/7/2022,116.74,116.74,116.74,116.74,0,0
10/10/2022,117.13,117.13,117.13,117.13,0,0
10/11/2022,117.46,117.46,117.46,117.46,0,0
10/12/2022,117.7,117.7,117.7,117.7,0,0
10/13/2022,118.0,118.0,118.0,118.0,0,0
10/14/2022,117.84,117.84,117.84,117.84,0,0
10/17/2022,117.96,117.96,117.96,117.96,0,0
10/18/2022,117.88,117.88,117.88,117.88,0,0
10/19/2022,116.71,116.71,116.71,116.71,0,0
10/20/2022,117.16,117.16,117.16,117.16,0,0
