Date,Open,High,Low,Close,Vol,OI
10/17/2022,2.1869,2.1869,2.1869,2.1869,0,0
10/18/2022,2.198,2.198,2.198,2.198,0,0
10/19/2022,2.229,2.229,2.229,2.229,0,0
10/20/2022,2.202,2.202,2.202,2.202,0,0
10/21/2022,2.2084,2.2084,2.2084,2.2084,0,0
10/24/2022,2.2009,2.2009,2.2009,2.2009,0,0
10/25/2022,2.2349,2.2349,2.2349,2.2349,0,0
10/26/2022,2.267,2.267,2.267,2.267,0,0
10/27/2022,2.2806,2.2806,2.2806,2.2806,0,0
10/28/2022,2.2443,2.2443,2.2443,2.2443,0,0
10/31/2022,2.2287,2.2287,2.2287,2.2287,0,0
11/1/2022,2.2741,2.2741,2.2741,2.2741,0,0
11/2/2022,2.3212,2.3212,2.3212,2.3212,0,0
11/3/2022,2.296,2.296,2.296,2.296,0,0
11/4/2022,2.3657,2.3657,2.3657,2.3657,0,0
11/7/2022,2.3431,2.3431,2.3431,2.3431,0,0
11/8/2022,2.3004,2.3004,2.3004,2.3004,0,0
11/9/2022,2.247,2.247,2.247,2.247,0,0
11/10/2022,2.2759,2.2759,2.2759,2.2759,0,0
11/11/2022,2.3324,2.3324,2.3324,2.3324,0,0
11/14/2022,2.2758,2.2758,2.2758,2.2758,0,0
11/15/2022,2.2999,2.2999,2.2999,2.2999,0,0
11/16/2022,2.2734,2.2734,2.2734,2.2734,0,0
11/17/2022,2.2278,2.2278,2.2278,2.2278,0,0
11/18/2022,2.1885,2.1885,2.1885,2.1885,0,0
11/21/2022,2.206,2.206,2.206,2.206,0,0
11/22/2022,2.2322,2.2322,2.2322,2.2322,0,0
11/23/2022,2.2148,2.2148,2.2148,2.2148,0,0
11/25/2022,2.1547,2.1547,2.1547,2.1547,0,0
11/28/2022,2.1702,2.1702,2.1702,2.1702,0,0
11/29/2022,2.1995,2.1995,2.1995,2.1995,0,0
11/30/2022,2.2826,2.2826,2.2826,2.2826,0,0
12/1/2022,2.2609,2.2609,2.2609,2.2609,0,0
12/2/2022,2.234,2.234,2.234,2.234,0,0
12/5/2022,2.1743,2.1743,2.1743,2.1743,0,0
12/6/2022,2.122,2.122,2.122,2.122,0,0
12/7/2022,2.063,2.063,2.063,2.063,0,0
12/8/2022,2.035,2.035,2.035,2.035,0,0
12/9/2022,2.0347,2.0347,2.0347,2.0347,0,0
12/12/2022,2.0693,2.0693,2.0693,2.0693,0,0
12/13/2022,2.1121,2.1121,2.1121,2.1121,0,0
12/14/2022,2.1664,2.1664,2.1664,2.1664,0,0
12/15/2022,2.1157,2.1157,2.1157,2.1157,0,0
12/16/2022,2.0634,2.0634,2.0634,2.0634,0,0
12/19/2022,2.0891,2.0891,2.0891,2.0891,0,0
12/20/2022,2.1151,2.1151,2.1151,2.1151,0,0
12/21/2022,2.1635,2.1635,2.1635,2.1635,0,0
12/22/2022,2.145,2.145,2.145,2.145,0,0
12/23/2022,2.2421,2.2421,2.2421,2.2421,0,0
12/27/2022,2.2272,2.2272,2.2272,2.2272,0,0
12/28/2022,2.2195,2.2195,2.2195,2.2195,0,0
12/29/2022,2.2109,2.2109,2.2109,2.2109,0,0
12/30/2022,2.2865,2.2865,2.2865,2.2865,0,0
1/3/2023,2.1927,2.1927,2.1927,2.1927,0,0
1/4/2023,2.1183,2.1183,2.1183,2.1183,0,0
1/5/2023,2.1293,2.1293,2.1293,2.1293,0,0
1/6/2023,2.1169,2.1169,2.1169,2.1169,0,0
1/9/2023,2.1574,2.1574,2.1574,2.1574,0,0
1/10/2023,2.1654,2.1654,2.1654,2.1654,0,0
1/11/2023,2.2357,2.2357,2.2357,2.2357,0,0
1/12/2023,2.2613,2.2613,2.2613,2.2613,0,0
1/13/2023,2.3024,2.3024,2.3024,2.3024,0,0
1/17/2023,2.2994,2.2994,2.2994,2.2994,0,0
1/18/2023,2.2875,2.2875,2.2875,2.2875,0,0
1/19/2023,2.3203,2.3203,2.3203,2.3203,0,0
1/20/2023,2.3426,2.3426,2.3426,2.3426,0,0
1/23/2023,2.3553,2.3553,2.3553,2.3553,0,0
1/24/2023,2.3263,2.3263,2.3263,2.3263,0,0
1/25/2023,2.3004,2.3004,2.3004,2.3004,0,0
1/26/2023,2.324,2.324,2.324,2.324,0,0
1/27/2023,2.2981,2.2981,2.2981,2.2981,0,0
1/30/2023,2.2498,2.2498,2.2498,2.2498,0,0
1/31/2023,2.2889,2.2889,2.2889,2.2889,0,0
2/1/2023,2.2167,2.2167,2.2167,2.2167,0,0
2/2/2023,2.2055,2.2055,2.2055,2.2055,0,0
2/3/2023,2.1202,2.1202,2.1202,2.1202,0,0
2/6/2023,2.1499,2.1499,2.1499,2.1499,0,0
2/7/2023,2.2127,2.2127,2.2127,2.2127,0,0
2/8/2023,2.2465,2.2465,2.2465,2.2465,0,0
2/9/2023,2.2345,2.2345,2.2345,2.2345,0,0
2/10/2023,2.2774,2.2774,2.2774,2.2774,0,0
2/13/2023,2.2934,2.2934,2.2934,2.2934,0,0
2/14/2023,2.2796,2.2796,2.2796,2.2796,0,0
2/15/2023,2.2823,2.2823,2.2823,2.2823,0,0
2/16/2023,2.2778,2.2778,2.2778,2.2778,0,0
2/17/2023,2.2481,2.2481,2.2481,2.2481,0,0
2/21/2023,2.242,2.242,2.242,2.242,0,0
2/22/2023,2.1924,2.1924,2.1924,2.1924,0,0
2/23/2023,2.2164,2.2164,2.2164,2.2164,0,0
2/24/2023,2.2317,2.2317,2.2317,2.2317,0,0
2/27/2023,2.2192,2.2192,2.2192,2.2192,0,0
2/28/2023,2.2601,2.2601,2.2601,2.2601,0,0
3/1/2023,2.2852,2.2852,2.2852,2.2852,0,0
3/2/2023,2.3038,2.3038,2.3038,2.3038,0,0
3/3/2023,2.3514,2.3514,2.3514,2.3514,0,0
3/6/2023,2.3745,2.3745,2.3745,2.3745,0,0
3/7/2023,2.3063,2.3063,2.3063,2.3063,0,0
3/8/2023,2.2887,2.2887,2.2887,2.2887,0,0
3/9/2023,2.2375,2.2375,2.2375,2.2375,0,0
3/10/2023,2.2697,2.2697,2.2697,2.2697,0,0
3/13/2023,2.2209,2.2209,2.2209,2.2209,0,0
3/14/2023,2.1592,2.1592,2.1592,2.1592,0,0
3/15/2023,2.0534,2.0534,2.0534,2.0534,0,0
3/16/2023,2.0832,2.0832,2.0832,2.0832,0,0
3/17/2023,2.0566,2.0566,2.0566,2.0566,0,0
3/20/2023,2.085,2.085,2.085,2.085,0,0
3/21/2023,2.1033,2.1033,2.1033,2.1033,0,0
3/22/2023,2.1321,2.1321,2.1321,2.1321,0,0
3/23/2023,2.1233,2.1233,2.1233,2.1233,0,0
3/24/2023,2.1087,2.1087,2.1087,2.1087,0,0
3/27/2023,2.1924,2.1924,2.1924,2.1924,0,0
3/28/2023,2.1983,2.1983,2.1983,2.1983,0,0
3/29/2023,2.1733,2.1733,2.1733,2.1733,0,0
3/30/2023,2.1873,2.1873,2.1873,2.1873,0,0
3/31/2023,2.2275,2.2275,2.2275,2.2275,0,0
4/3/2023,2.3077,2.3077,2.3077,2.3077,0,0
4/4/2023,2.2979,2.2979,2.2979,2.2979,0,0
4/5/2023,2.3229,2.3229,2.3229,2.3229,0,0
4/6/2023,2.3339,2.3339,2.3339,2.3339,0,0
4/10/2023,2.325,2.325,2.325,2.325,0,0
4/11/2023,2.3605,2.3605,2.3605,2.3605,0,0
4/12/2023,2.3852,2.3852,2.3852,2.3852,0,0
4/13/2023,2.3653,2.3653,2.3653,2.3653,0,0
4/14/2023,2.3701,2.3701,2.3701,2.3701,0,0
4/17/2023,2.3317,2.3317,2.3317,2.3317,0,0
4/18/2023,2.3293,2.3293,2.3293,2.3293,0,0
4/19/2023,2.2711,2.2711,2.2711,2.2711,0,0
4/20/2023,2.2156,2.2156,2.2156,2.2156,0,0
4/21/2023,2.2396,2.2396,2.2396,2.2396,0,0
4/24/2023,2.2688,2.2688,2.2688,2.2688,0,0
4/25/2023,2.2106,2.2106,2.2106,2.2106,0,0
4/26/2023,2.1556,2.1556,2.1556,2.1556,0,0
4/27/2023,2.145,2.145,2.145,2.145,0,0
4/28/2023,2.1823,2.1823,2.1823,2.1823,0,0
5/1/2023,2.1805,2.1805,2.1805,2.1805,0,0
5/2/2023,2.0847,2.0847,2.0847,2.0847,0,0
5/3/2023,2.0024,2.0024,2.0024,2.0024,0,0
5/4/2023,2.0041,2.0041,2.0041,2.0041,0,0
5/5/2023,2.064,2.064,2.064,2.064,0,0
5/8/2023,2.1256,2.1256,2.1256,2.1256,0,0
5/9/2023,2.1466,2.1466,2.1466,2.1466,0,0
5/10/2023,2.1337,2.1337,2.1337,2.1337,0,0
5/11/2023,2.0966,2.0966,2.0966,2.0966,0,0
5/12/2023,2.0609,2.0609,2.0609,2.0609,0,0
5/15/2023,2.0951,2.0951,2.0951,2.0951,0,0
5/16/2023,2.0912,2.0912,2.0912,2.0912,0,0
5/17/2023,2.1604,2.1604,2.1604,2.1604,0,0
5/18/2023,2.1389,2.1389,2.1389,2.1389,0,0
5/19/2023,2.127,2.127,2.127,2.127,0,0
5/22/2023,2.138,2.138,2.138,2.138,0,0
5/23/2023,2.1596,2.1596,2.1596,2.1596,0,0
5/24/2023,2.2037,2.2037,2.2037,2.2037,0,0
5/25/2023,2.1467,2.1467,2.1467,2.1467,0,0
5/26/2023,2.1751,2.1751,2.1751,2.1751,0,0
5/30/2023,2.0843,2.0843,2.0843,2.0843,0,0
5/31/2023,2.0536,2.0536,2.0536,2.0536,0,0
6/1/2023,2.0762,2.0762,2.0762,2.0762,0,0
6/2/2023,2.1283,2.1283,2.1283,2.1283,0,0
6/5/2023,2.1396,2.1396,2.1396,2.1396,0,0
6/6/2023,2.1465,2.1465,2.1465,2.1465,0,0
6/7/2023,2.1787,2.1787,2.1787,2.1787,0,0
6/8/2023,2.1481,2.1481,2.1481,2.1481,0,0
6/9/2023,2.1206,2.1206,2.1206,2.1206,0,0
6/12/2023,2.0459,2.0459,2.0459,2.0459,0,0
6/13/2023,2.1039,2.1039,2.1039,2.1039,0,0
6/14/2023,2.0855,2.0855,2.0855,2.0855,0,0
6/15/2023,2.1548,2.1548,2.1548,2.1548,0,0
6/16/2023,2.1969,2.1969,2.1969,2.1969,0,0
6/20/2023,2.1483,2.1483,2.1483,2.1483,0,0
6/21/2023,2.1704,2.1704,2.1704,2.1704,0,0
6/22/2023,2.1084,2.1084,2.1084,2.1084,0,0
6/23/2023,2.0877,2.0877,2.0877,2.0877,0,0
6/26/2023,2.1002,2.1002,2.1002,2.1002,0,0
6/27/2023,2.0578,2.0578,2.0578,2.0578,0,0
6/28/2023,2.1097,2.1097,2.1097,2.1097,0,0
6/29/2023,2.1199,2.1199,2.1199,2.1199,0,0
6/30/2023,2.1562,2.1562,2.1562,2.1562,0,0
7/3/2023,2.1047,2.1047,2.1047,2.1047,0,0
7/5/2023,2.1595,2.1595,2.1595,2.1595,0,0
7/6/2023,2.1666,2.1666,2.1666,2.1666,0,0
7/7/2023,2.2134,2.2134,2.2134,2.2134,0,0
7/10/2023,2.2078,2.2078,2.2078,2.2078,0,0
7/11/2023,2.2576,2.2576,2.2576,2.2576,0,0
7/12/2023,2.2914,2.2914,2.2914,2.2914,0,0
7/13/2023,2.3155,2.3155,2.3155,2.3155,0,0
7/14/2023,2.2846,2.2846,2.2846,2.2846,0,0
7/17/2023,2.2676,2.2676,2.2676,2.2676,0,0
7/18/2023,2.3087,2.3087,2.3087,2.3087,0,0
7/19/2023,2.3261,2.3261,2.3261,2.3261,0,0
7/20/2023,2.3492,2.3492,2.3492,2.3492,0,0
7/21/2023,2.3975,2.3975,2.3975,2.3975,0,0
7/24/2023,2.4483,2.4483,2.4483,2.4483,0,0
7/25/2023,2.4392,2.4392,2.4392,2.4392,0,0
7/26/2023,2.4519,2.4519,2.4519,2.4519,0,0
7/27/2023,2.4801,2.4801,2.4801,2.4801,0,0
7/28/2023,2.4946,2.4946,2.4946,2.4946,0,0
7/31/2023,2.5089,2.5089,2.5089,2.5089,0,0
8/1/2023,2.4987,2.4987,2.4987,2.4987,0,0
8/2/2023,2.4391,2.4391,2.4391,2.4391,0,0
8/3/2023,2.4428,2.4428,2.4428,2.4428,0,0
8/4/2023,2.4622,2.4622,2.4622,2.4622,0,0
8/7/2023,2.471,2.471,2.471,2.471,0,0
8/8/2023,2.5088,2.5088,2.5088,2.5088,0,0
8/9/2023,2.5668,2.5668,2.5668,2.5668,0,0
8/10/2023,2.541,2.541,2.541,2.541,0,0
8/11/2023,2.5688,2.5688,2.5688,2.5688,0,0
8/14/2023,2.5314,2.5314,2.5314,2.5314,0,0
8/15/2023,2.4964,2.4964,2.4964,2.4964,0,0
8/16/2023,2.4921,2.4921,2.4921,2.4921,0,0
8/17/2023,2.4886,2.4886,2.4886,2.4886,0,0
8/18/2023,2.4904,2.4904,2.4904,2.4904,0,0
8/21/2023,2.4546,2.4546,2.4546,2.4546,0,0
8/22/2023,2.4695,2.4695,2.4695,2.4695,0,0
8/23/2023,2.4545,2.4545,2.4545,2.4545,0,0
8/24/2023,2.4719,2.4719,2.4719,2.4719,0,0
8/25/2023,2.5236,2.5236,2.5236,2.5236,0,0
8/28/2023,2.4663,2.4663,2.4663,2.4663,0,0
8/29/2023,2.4638,2.4638,2.4638,2.4638,0,0
8/30/2023,2.4745,2.4745,2.4745,2.4745,0,0
8/31/2023,2.4803,2.4803,2.4803,2.4803,0,0
9/1/2023,2.5124,2.5124,2.5124,2.5124,0,0
9/5/2023,2.5147,2.5147,2.5147,2.5147,0,0
9/6/2023,2.5349,2.5349,2.5349,2.5349,0,0
9/7/2023,2.5537,2.5537,2.5537,2.5537,0,0
9/8/2023,2.5862,2.5862,2.5862,2.5862,0,0
9/11/2023,2.6365,2.6365,2.6365,2.6365,0,0
9/12/2023,2.6552,2.6552,2.6552,2.6552,0,0
9/13/2023,2.663,2.663,2.663,2.663,0,0
9/14/2023,2.6794,2.6794,2.6794,2.6794,0,0
9/15/2023,2.6489,2.6489,2.6489,2.6489,0,0
9/18/2023,2.6415,2.6415,2.6415,2.6415,0,0
9/19/2023,2.605,2.605,2.605,2.605,0,0
