Date,Open,High,Low,Close,Vol,OI
9/7/2022,1.0393,1.0393,1.0393,1.0393,0,0
9/8/2022,1.0455,1.0455,1.0455,1.0455,0,0
9/9/2022,1.0569,1.0569,1.0569,1.0569,0,0
9/12/2022,1.0644,1.0644,1.0644,1.0644,0,0
9/13/2022,1.0578,1.0578,1.0578,1.0578,0,0
9/14/2022,1.0558,1.0558,1.0558,1.0558,0,0
9/15/2022,1.0576,1.0576,1.0576,1.0576,0,0
9/16/2022,1.0528,1.0528,1.0528,1.0528,0,0
9/19/2022,1.0523,1.0523,1.0523,1.0523,0,0
9/20/2022,1.0537,1.0537,1.0537,1.0537,0,0
9/21/2022,1.0558,1.0558,1.0558,1.0558,0,0
9/22/2022,1.0536,1.0536,1.0383,1.0383,18,0
9/23/2022,1.0346,1.0346,1.0342,1.0342,18,4
9/26/2022,1.0316,1.0316,1.0221,1.0221,25,29
9/27/2022,1.029,1.0315,1.0258,1.0258,30,58
9/28/2022,1.024,1.0425,1.0219,1.0423,26,83
9/29/2022,1.0391,1.042,1.0391,1.0391,96,176
9/30/2022,1.043,1.043,1.0305,1.0306,11,187
10/3/2022,1.0239,1.0239,1.0239,1.0239,7,193
10/4/2022,1.0305,1.0393,1.0305,1.0393,0,193
10/5/2022,1.0346,1.0346,1.0346,1.0346,78,253
10/6/2022,1.0362,1.038,1.0254,1.0254,0,253
10/7/2022,1.0217,1.0217,1.0217,1.0217,14,267
10/10/2022,1.022,1.022,1.017,1.017,0,267
10/11/2022,1.0152,1.025,1.0152,1.0196,11,278
10/12/2022,1.0181,1.0192,1.0181,1.0192,37,293
10/13/2022,1.011,1.02,1.011,1.019,2,295
10/14/2022,1.0159,1.0207,1.0117,1.0117,33,317
10/17/2022,1.0168,1.0225,1.0168,1.0216,13,320
10/18/2022,1.0229,1.025,1.02,1.0221,35,355
10/19/2022,1.0111,1.0111,1.0111,1.0111,21,375
10/20/2022,1.0166,1.0166,1.0124,1.0124,0,375
10/21/2022,1.01,1.0199,1.0061,1.0169,1,376
10/24/2022,1.02,1.0211,1.0153,1.0153,75,451
10/25/2022,1.0215,1.0215,1.0208,1.0208,12,463
10/26/2022,1.022,1.0309,1.022,1.0302,1,464
10/27/2022,1.031,1.0314,1.0241,1.0241,107,562
10/28/2022,1.0215,1.0215,1.0192,1.0192,11,573
10/31/2022,1.0204,1.0204,1.0141,1.0141,1,572
11/1/2022,1.019,1.0238,1.0155,1.0155,10,562
11/2/2022,1.0205,1.0232,1.0171,1.0171,39,600
11/3/2022,1.013,1.013,1.0015,1.0029,26,626
11/4/2022,1.0072,1.0211,1.0072,1.0211,8,627
11/7/2022,1.0219,1.028,1.0219,1.0278,169,782
11/8/2022,1.0255,1.032,1.0255,1.0301,64,846
11/9/2022,1.033,1.035,1.0299,1.0299,63,907
11/10/2022,1.033,1.053,1.033,1.0497,35,938
11/11/2022,1.054,1.0793,1.054,1.0781,277,1053
11/14/2022,1.0755,1.0772,1.0696,1.0772,182,986
11/15/2022,1.0749,1.0805,1.0749,1.0759,4,988
11/16/2022,1.0741,1.0742,1.0737,1.0742,6,990
11/17/2022,1.0735,1.0735,1.0651,1.0651,3,987
11/18/2022,1.0662,1.0662,1.0616,1.0633,1,986
11/21/2022,1.0639,1.0639,1.0567,1.0567,9,980
11/22/2022,1.065,1.0652,1.0644,1.0644,4,983
11/23/2022,1.066,1.0758,1.066,1.0758,10,993
11/25/2022,1.0755,1.0755,1.0712,1.0715,44,1032
11/28/2022,1.0701,1.075,1.0669,1.0669,3,1033
11/29/2022,1.065,1.065,1.061,1.0615,10,1040
11/30/2022,1.0633,1.0732,1.0619,1.0713,16,1030
12/1/2022,1.0729,1.0808,1.0727,1.0805,75,1049
12/2/2022,1.0809,1.0838,1.077,1.0793,75,1083
12/5/2022,1.0826,1.0826,1.0732,1.0732,30,1093
12/6/2022,1.0732,1.0781,1.0718,1.0739,26,1104
12/7/2022,1.0719,1.0795,1.0719,1.0766,23,1110
12/8/2022,1.0731,1.081,1.0731,1.0799,203,1282
12/9/2022,1.0801,1.0846,1.0792,1.0828,35,1285
12/12/2022,1.0804,1.0851,1.078,1.0786,85,1284
12/13/2022,1.0799,1.0946,1.0781,1.0887,450,1631
12/14/2022,1.0882,1.096,1.0875,1.093,213,1699
12/15/2022,1.0929,1.094,1.0842,1.0879,419,1767
12/16/2022,1.0856,1.0913,1.0809,1.0822,411,1706
12/19/2022,1.0818,1.0872,1.0804,1.0855,651,1622
12/20/2022,1.0864,1.0923,1.0848,1.09,757,1605
12/21/2022,1.0896,1.0925,1.0868,1.0899,625,1740
12/22/2022,1.0892,1.0934,1.0823,1.0832,360,1651
12/23/2022,1.0834,1.0859,1.0795,1.0801,519,1585
12/27/2022,1.081,1.0878,1.081,1.0854,385,1608
12/28/2022,1.0852,1.0906,1.0835,1.0859,392,1658
12/29/2022,1.0854,1.094,1.085,1.0934,697,1527
12/30/2022,1.0913,1.0944,1.0872,1.0902,581,1612
1/3/2023,1.0869,1.0915,1.0717,1.0774,707,1564
1/4/2023,1.0766,1.0884,1.0766,1.0839,1829,1405
1/5/2023,1.0831,1.0873,1.0738,1.0759,816,1432
1/6/2023,1.0757,1.086,1.0705,1.0858,652,1421
1/9/2023,1.0867,1.0983,1.0849,1.0947,892,1487
1/10/2023,1.0932,1.0948,1.0884,1.0909,833,1622
1/11/2023,1.0914,1.0934,1.0788,1.081,950,1340
1/12/2023,1.0806,1.0855,1.0711,1.0834,1148,1237
1/13/2023,1.085,1.087,1.08,1.0855,1451,1435
1/17/2023,1.085,1.0948,1.0836,1.091,753,1418
1/18/2023,1.0911,1.1068,1.0879,1.0983,1534,1477
1/19/2023,1.0975,1.0992,1.0945,1.0984,1355,1532
1/20/2023,1.0978,1.0995,1.0887,1.0922,742,1555
1/23/2023,1.0925,1.0971,1.088,1.0895,648,1525
1/24/2023,1.0907,1.0931,1.0835,1.0889,821,1495
1/25/2023,1.0891,1.0958,1.0872,1.0952,777,1483
1/26/2023,1.0953,1.0968,1.0891,1.0922,590,1504
1/27/2023,1.0921,1.0928,1.0872,1.0905,906,1453
1/30/2023,1.091,1.0939,1.0854,1.0855,486,1481
1/31/2023,1.0851,1.0976,1.0814,1.0968,686,1509
2/1/2023,1.0965,1.1071,1.0937,1.1043,1895,1331
2/2/2023,1.1056,1.1078,1.0986,1.099,687,1381
2/3/2023,1.099,1.0998,1.083,1.0845,839,1376
2/6/2023,1.0825,1.0874,1.0803,1.0813,1350,1361
2/7/2023,1.082,1.0918,1.0806,1.0878,778,1233
2/8/2023,1.0891,1.0933,1.0882,1.0906,628,1254
2/9/2023,1.0891,1.095,1.087,1.0876,526,1281
2/10/2023,1.0871,1.0895,1.0843,1.0851,697,1325
2/13/2023,1.0855,1.0911,1.0834,1.0901,431,1325
2/14/2023,1.0914,1.0973,1.0864,1.0883,542,1352
2/15/2023,1.0878,1.0881,1.081,1.0849,894,1457
2/16/2023,1.0851,1.0878,1.0789,1.0845,508,1432
2/17/2023,1.0813,1.0849,1.0739,1.084,811,1517
2/21/2023,1.0838,1.0868,1.0797,1.0805,1151,1265
2/22/2023,1.0802,1.0826,1.0753,1.0755,689,1360
2/23/2023,1.0759,1.078,1.0718,1.0727,524,1416
2/24/2023,1.0731,1.0735,1.0639,1.0649,653,1420
2/27/2023,1.0637,1.0709,1.0622,1.0701,745,1407
2/28/2023,1.0703,1.0716,1.0627,1.0648,657,1353
3/1/2023,1.0629,1.0707,1.0619,1.0649,958,1371
3/2/2023,1.0651,1.0651,1.0602,1.0626,553,1433
3/3/2023,1.0622,1.0695,1.0622,1.0691,601,1460
3/6/2023,1.0684,1.0752,1.068,1.0735,449,1426
3/7/2023,1.0749,1.0776,1.0619,1.0625,1140,1015
3/8/2023,1.0619,1.0654,1.0601,1.0631,822,1029
3/9/2023,1.0631,1.0726,1.0623,1.068,1016,997
3/10/2023,1.0719,1.0899,1.0716,1.0858,829,1068
3/13/2023,1.0926,1.10305,1.0872,1.10305,881,1009
