Date,Open,High,Low,Close,Vol,OI
9/14/2022,31750,31750,31750,31750,0,0
9/15/2022,31596,31596,31596,31596,0,0
9/16/2022,31245,31245,31245,31245,0,0
9/19/2022,31413,31413,31413,31413,0,0
9/20/2022,31115,31115,31115,31115,0,0
9/21/2022,30602,30602,30602,30602,0,0
9/22/2022,30470,30470,30470,30470,0,0
9/23/2022,30000,30000,30000,30000,0,0
9/26/2022,29650,29650,29650,29650,0,0
9/27/2022,29510,29510,29510,29510,0,0
9/28/2022,30072,30072,30072,30072,0,0
9/29/2022,29612,29612,29612,29612,0,0
9/30/2022,29094,29094,29094,29094,0,0
10/3/2022,29865,29865,29865,29865,0,0
10/4/2022,30694,30694,30694,30694,0,0
10/5/2022,30624,30624,30624,30624,0,0
10/6/2022,30315,30315,30315,30315,0,0
10/7/2022,29958,29958,29958,29958,0,0
10/10/2022,29866,29866,29866,29866,0,0
10/11/2022,29856,29856,29856,29856,0,0
10/12/2022,29856,29856,29856,29856,0,0
10/13/2022,30702,30702,30702,30702,0,0
10/14/2022,30291,30291,30291,30291,0,0
10/17/2022,30829,30829,30829,30829,0,0
10/18/2022,31183,31183,31183,31183,0,0
10/19/2022,31077,31077,31077,31077,0,0
10/20/2022,30971,30971,30971,30971,0,0
10/21/2022,31737,31737,31737,31737,0,0
10/24/2022,32168,32168,32168,32168,0,0
10/25/2022,32496,32496,32496,32496,0,0
10/26/2022,32492,32492,32492,32492,0,0
10/27/2022,32696,32696,32696,32696,0,0
10/28/2022,33545,33545,33545,33545,0,0
10/31/2022,33412,33412,33412,33412,0,0
11/1/2022,33325,33325,33325,33325,0,0
11/2/2022,32808,32808,32808,32808,0,0
11/3/2022,32651,32651,32651,32651,0,0
11/4/2022,33069,33069,33069,33069,0,0
11/7/2022,33483,33483,33483,33483,0,0
11/8/2022,33828,33828,33828,33828,0,0
11/9/2022,33152,33152,33152,33152,0,0
11/10/2022,34377,34377,34377,34377,0,0
11/11/2022,34419,34419,34419,34419,0,0
11/14/2022,34191,34191,34191,34191,0,0
11/15/2022,34235,34235,34235,34235,0,0
11/16/2022,34218,34218,34218,34218,0,0
11/17/2022,34192,34192,34192,34192,0,0
11/18/2022,34400,34400,34400,34400,0,0
11/21/2022,34342,34342,34342,34342,0,0
11/22/2022,34761,34761,34761,34761,0,0
11/23/2022,34838,34838,34838,34838,0,0
11/25/2022,34992,34992,34992,34992,0,0
11/28/2022,34495,34495,34495,34495,0,0
11/29/2022,34482,34482,34482,34482,0,0
11/30/2022,35209,35209,35150,35209,1,0
12/1/2022,35026,35026,35026,35026,1,1
12/2/2022,35057,35057,35057,35057,0,1
12/5/2022,34577,34577,34577,34577,0,1
12/6/2022,34213,34213,34213,34213,0,1
12/7/2022,34209,34209,34209,34209,0,1
12/8/2022,34386,34386,34386,34386,0,1
12/9/2022,34552,34552,34067,34067,0,1
12/12/2022,34605,34605,34605,34605,1,1
12/13/2022,34710,34710,34710,34710,0,1
12/14/2022,34587,34587,34587,34587,0,1
12/15/2022,33790,33790,33790,33790,0,1
12/16/2022,33550,33550,33504,33504,0,1
12/19/2022,33330,33330,33330,33330,3,3
12/20/2022,33538,33538,33413,33413,0,3
12/21/2022,33800,33937,33800,33937,1,3
12/22/2022,34000,34000,33595,33595,1,4
12/23/2022,33756,33756,33756,33756,2,4
12/27/2022,33800,33800,33795,33795,0,4
12/28/2022,33600,33600,33430,33430,1,5
12/29/2022,33800,33800,33761,33761,1,4
12/30/2022,33609,33691,33600,33691,1,5
1/3/2023,33800,33800,33585,33684,2,5
1/4/2023,33800,33815,33800,33815,6,9
1/5/2023,33600,33600,33464,33464,1,9
1/6/2023,33570,34200,33570,34170,3,9
1/9/2023,34400,34400,34056,34056,8,16
1/10/2023,34100,34237,34100,34237,3,16
1/11/2023,34306,34511,34306,34511,1,17
1/12/2023,34600,34800,34600,34740,2,19
1/13/2023,34600,34836,34600,34836,3,21
1/17/2023,34600,34600,34432,34432,7,26
1/18/2023,34400,34400,33801,33801,2,26
1/19/2023,33800,33800,33546,33546,4,24
1/20/2023,33800,33888,33800,33884,2,24
1/23/2023,33851,34270,33851,34145,2,25
1/24/2023,34000,34280,34000,34254,6,28
1/25/2023,34200,34242,34000,34242,4,29
1/26/2023,34400,34449,34200,34449,5,27
1/27/2023,34386,34600,34386,34476,4,29
1/30/2023,34400,34400,34202,34202,5,32
1/31/2023,34224,34581,34176,34581,3,32
2/1/2023,34501,34800,34200,34558,7,33
2/2/2023,34500,34600,34400,34542,33,56
2/3/2023,34533,34600,34400,34405,4,55
2/6/2023,34300,34384,34300,34384,4,54
2/7/2023,34500,34654,34200,34654,1,54
2/8/2023,34550,34600,34430,34458,12,59
2/9/2023,34624,34624,34189,34189,5,61
2/10/2023,34350,34350,34350,34350,7,57
2/13/2023,34250,34735,34250,34735,0,57
2/14/2023,34800,34966,34400,34604,14,67
