Date,Open,High,Low,Close,Vol,OI
1/27/2022,1028.9,1028.9,1028.9,1028.9,0,0
1/28/2022,1014.1,1014.1,1014.1,1014.1,0,0
1/31/2022,1027.6,1027.6,1027.6,1027.6,0,0
2/1/2022,1030.6,1030.6,1030.6,1030.6,0,0
2/2/2022,1051.2,1051.2,1051.2,1051.2,0,0
2/3/2022,1039.0,1039.0,1039.0,1039.0,0,0
2/4/2022,1033.7,1033.7,1033.7,1033.7,0,0
2/7/2022,1029.5,1029.5,1029.5,1029.5,0,0
2/8/2022,1044.8,1044.8,1044.8,1044.8,0,0
2/9/2022,1046.4,1046.4,1046.4,1046.4,0,0
2/10/2022,1051.0,1051.0,1051.0,1051.0,0,0
2/11/2022,1027.8,1027.8,1027.8,1027.8,0,0
2/14/2022,1037.4,1037.4,1037.4,1037.4,1,0
2/15/2022,1028.7,1028.7,1028.7,1028.7,1,1
2/16/2022,1070.0,1070.0,1070.0,1070.0,0,1
2/17/2022,1098.7,1098.7,1098.7,1098.7,0,1
2/18/2022,1082.4,1082.4,1082.4,1082.4,0,1
2/22/2022,1092.8,1092.8,1092.8,1092.8,0,1
2/23/2022,1096.9,1096.9,1096.9,1096.9,0,1
2/24/2022,1069.7,1069.7,1069.7,1069.7,2,2
2/25/2022,1057.9,1057.9,1057.9,1057.9,0,2
2/28/2022,1046.8,1046.8,1046.8,1046.8,0,2
3/1/2022,1058.8,1058.8,1058.8,1058.8,0,2
3/2/2022,1072.6,1072.6,1072.6,1072.6,0,2
3/3/2022,1085.8,1085.8,1085.8,1085.8,2,4
3/4/2022,1121.8,1121.8,1121.8,1121.8,0,4
3/7/2022,1121.7,1121.7,1121.7,1121.7,0,4
3/8/2022,1156.4,1156.4,1156.4,1156.4,0,4
3/9/2022,1106.9,1106.9,1106.9,1106.9,0,4
3/10/2022,1095.5,1095.5,1095.5,1095.5,2,6
3/11/2022,1090.1,1090.1,1090.1,1090.1,0,6
3/14/2022,1055.0,1055.0,1055.0,1055.0,0,6
3/15/2022,1001.0,1007.5,1001.0,1007.5,2,8
3/16/2022,1012.3,1012.3,1012.3,1012.3,2,9
3/17/2022,1035.1,1035.1,1030.3,1035.1,0,9
3/18/2022,1040.9,1040.9,1040.9,1040.9,4,11
3/21/2022,1050.4,1050.4,1050.4,1050.4,0,11
3/22/2022,1030.7,1030.7,1030.7,1030.7,0,11
3/23/2022,1028.6,1028.6,1028.6,1028.6,0,11
3/24/2022,1040.3,1040.3,1040.3,1040.3,0,11
3/25/2022,1046.6,1046.6,1020.4,1020.4,0,11
3/28/2022,1005.3,1005.3,1005.3,1005.3,15,19
3/29/2022,989.1,989.1,989.1,989.1,0,19
3/30/2022,1011.1,1011.1,1011.1,1011.1,0,19
3/31/2022,1007.5,1007.5,1007.5,1007.5,0,19
4/1/2022,998.1,998.1,998.1,998.1,0,19
4/4/2022,999.4,999.4,999.4,999.4,0,19
4/5/2022,982.5,982.5,982.5,982.5,2,21
4/6/2022,962.4,962.4,962.4,962.4,0,21
4/7/2022,960.0,967.9,960.0,967.9,0,21
4/8/2022,985.6,985.6,985.6,985.6,2,22
4/11/2022,987.4,987.4,987.4,987.4,0,22
4/12/2022,981.3,981.3,981.3,981.3,0,22
4/13/2022,1000.3,1000.3,1000.3,1000.3,0,22
4/14/2022,1003.5,1003.5,993.5,1003.5,0,22
4/18/2022,1030.7,1030.7,1030.7,1030.7,1,22
4/19/2022,999.9,999.9,998.6,998.6,0,22
4/20/2022,996.5,996.5,996.5,996.5,2,23
4/21/2022,985.0,985.0,978.3,978.3,0,23
4/22/2022,960.2,960.2,939.0,939.0,4,25
4/25/2022,917.1,917.1,917.1,917.1,2,25
4/26/2022,916.0,922.9,916.0,922.9,0,25
4/27/2022,921.6,921.6,921.6,921.6,2,26
4/28/2022,918.0,922.0,918.0,922.0,0,26
4/29/2022,938.0,948.7,938.0,948.7,2,27
5/2/2022,942.1,942.1,942.1,942.1,2,26
5/3/2022,967.0,967.0,967.0,967.0,0,26
5/4/2022,987.1,987.1,987.1,987.1,0,26
5/5/2022,980.6,980.6,980.6,980.6,0,26
5/6/2022,963.3,963.3,963.3,963.3,0,26
5/9/2022,944.8,944.8,944.8,944.8,0,26
5/10/2022,960.6,960.6,951.4,951.4,0,26
5/11/2022,993.7,993.7,993.7,993.7,2,25
5/12/2022,937.3,937.3,937.3,937.3,2,25
5/13/2022,937.5,937.5,937.5,937.5,0,25
5/16/2022,932.9,932.9,932.9,932.9,0,25
5/17/2022,949.9,949.9,949.9,949.9,0,25
5/18/2022,931.0,931.0,931.0,931.0,0,25
5/19/2022,960.6,960.6,959.3,959.3,0,25
5/20/2022,960.0,960.0,946.8,946.8,2,26
5/23/2022,956.7,960.0,956.7,956.7,2,25
5/24/2022,950.4,950.4,950.4,950.4,2,26
5/25/2022,932.0,937.0,932.0,937.0,0,26
5/26/2022,945.6,945.6,945.6,945.6,2,27
5/27/2022,951.5,951.5,951.5,951.5,0,27
5/31/2022,975.5,975.5,975.5,975.5,0,27
6/1/2022,971.0,1003.8,971.0,1003.8,0,27
6/2/2022,1034.8,1034.8,1034.8,1034.8,2,26
6/3/2022,1040.0,1040.0,1023.0,1023.0,0,26
6/6/2022,1040.0,1040.0,1030.0,1035.6,4,26
6/7/2022,1019.5,1019.5,1019.5,1019.5,4,26
6/8/2022,1018.9,1018.9,1018.9,1018.9,0,26
6/9/2022,995.6,995.6,978.2,983.3,0,26
6/10/2022,967.5,979.3,965.0,979.3,3,25
6/13/2022,943.2,943.2,942.4,942.4,8,30
6/14/2022,933.6,933.6,920.0,920.4,4,31
6/15/2022,950.0,953.0,929.7,931.7,5,34
6/16/2022,934.0,959.3,934.0,959.3,15,35
6/17/2022,956.5,956.5,938.9,938.9,3,36
6/21/2022,948.0,948.0,948.0,948.0,4,36
6/22/2022,939.0,939.0,935.2,935.2,0,36
6/23/2022,926.5,926.5,914.0,914.1,4,36
6/24/2022,913.7,913.7,911.0,913.3,12,39
6/27/2022,902.0,910.1,899.3,910.1,4,41
6/28/2022,914.5,918.8,910.3,913.4,20,45
6/29/2022,917.9,917.9,917.9,917.9,12,47
6/30/2022,910.0,910.0,892.0,903.4,0,47
7/1/2022,879.5,879.7,879.5,879.7,14,51
7/5/2022,882.1,882.1,842.2,856.0,14,52
7/6/2022,860.1,861.3,841.2,845.9,34,56
