Date,Open,High,Low,Close,Vol,OI
11/28/2018,2.615,2.617,2.615,2.617,0,0
11/29/2018,2.66,2.66,2.659,2.659,0,0
11/30/2018,2.69,2.69,2.6889999999999996,2.6889999999999996,0,0
12/3/2018,2.66,2.69,2.66,2.69,0,0
12/4/2018,2.645,2.647,2.645,2.647,0,0
12/5/2018,2.64,2.64,2.638,2.638,0,0
12/6/2018,2.65,2.65,2.6489999999999996,2.6489999999999996,0,0
12/7/2018,2.655,2.656,2.655,2.656,0,0
12/10/2018,2.655,2.657,2.655,2.655,0,0
12/11/2018,2.63,2.6319999999999997,2.63,2.6319999999999997,0,0
12/12/2018,2.635,2.635,2.633,2.633,0,0
12/13/2018,2.6,2.6010000000000004,2.6,2.6010000000000004,0,0
12/14/2018,2.61,2.611,2.61,2.611,0,0
12/17/2018,2.61,2.61,2.61,2.61,0,0
12/18/2018,2.61,2.611,2.61,2.611,0,0
12/19/2018,2.635,2.635,2.634,2.634,0,0
12/20/2018,2.65,2.65,2.6489999999999996,2.6489999999999996,0,0
12/21/2018,2.65,2.65,2.648,2.648,0,0
12/24/2018,2.645,2.65,2.645,2.65,0,0
12/26/2018,2.645,2.645,2.6439999999999997,2.6439999999999997,0,0
12/27/2018,2.64,2.642,2.64,2.642,0,0
12/28/2018,2.635,2.637,2.635,2.637,0,0
12/31/2018,2.645,2.645,2.635,2.635,0,0
1/2/2019,2.645,2.645,2.6439999999999997,2.6439999999999997,0,0
1/3/2019,2.63,2.6310000000000002,2.63,2.6310000000000002,0,0
1/4/2019,2.64,2.641,2.64,2.641,0,0
1/7/2019,2.645,2.645,2.64,2.64,0,0
1/8/2019,2.64,2.642,2.64,2.642,0,0
1/9/2019,2.64,2.642,2.64,2.642,0,0
1/10/2019,2.64,2.64,2.639,2.639,0,0
1/11/2019,2.65,2.65,2.6489999999999996,2.6489999999999996,0,0
1/14/2019,2.65,2.65,2.648,2.65,0,0
1/15/2019,2.64,2.64,2.64,2.64,0,0
1/16/2019,2.61,2.61,2.609,2.61,0,0
1/17/2019,2.605,2.605,2.603,2.605,0,0
1/18/2019,2.615,2.616,2.615,2.615,0,0
1/22/2019,2.63,2.63,2.6289999999999996,2.63,0,0
1/23/2019,2.615,2.615,2.615,2.615,0,0
1/24/2019,2.6,2.6,2.5980000000000003,2.6,0,0
1/25/2019,2.645,2.645,2.6430000000000002,2.645,0,0
1/28/2019,2.625,2.625,2.625,2.625,0,0
1/29/2019,2.63,2.63,2.628,2.63,0,0
1/30/2019,2.63,2.63,2.63,2.63,0,0
1/31/2019,2.63,2.6310000000000002,2.63,2.63,0,0
2/1/2019,2.63,2.6319999999999997,2.63,2.63,0,0
2/4/2019,2.62,2.62,2.6189999999999998,2.62,0,0
2/5/2019,2.655,2.657,2.655,2.655,0,0
2/6/2019,2.655,2.655,2.654,2.655,0,0
2/7/2019,2.65,2.65,2.65,2.65,0,0
2/8/2019,2.65,2.6519999999999997,2.65,2.65,0,0
2/11/2019,2.655,2.657,2.655,2.655,0,0
2/12/2019,2.665,2.665,2.665,2.665,0,0
2/13/2019,2.665,2.6660000000000004,2.665,2.665,0,0
2/14/2019,2.67,2.67,2.67,2.67,0,0
2/15/2019,2.655,2.655,2.654,2.655,0,0
2/19/2019,2.655,2.656,2.655,2.655,0,0
2/20/2019,2.655,2.655,2.653,2.655,0,0
2/21/2019,2.645,2.645,2.645,2.645,0,0
2/22/2019,2.64,2.642,2.64,2.64,0,0
2/25/2019,2.635,2.635,2.635,2.635,0,0
2/26/2019,2.615,2.617,2.615,2.615,0,0
2/27/2019,2.655,2.655,2.653,2.655,0,0
2/28/2019,2.665,2.665,2.6630000000000003,2.665,0,0
3/1/2019,2.66,2.662,2.66,2.66,0,0
3/4/2019,2.66,2.66,2.658,2.66,0,0
3/5/2019,2.655,2.656,2.655,2.655,0,0
3/6/2019,2.66,2.66,2.659,2.66,0,0
3/7/2019,2.665,2.665,2.6639999999999997,2.665,0,0
3/8/2019,2.665,2.665,2.6639999999999997,2.665,0,0
3/11/2019,2.69,2.6910000000000003,2.69,2.69,0,0
3/12/2019,2.705,2.7060000000000004,2.705,2.705,0,0
3/13/2019,2.715,2.715,2.715,2.715,0,0
3/14/2019,2.725,2.725,2.7230000000000003,2.725,0,0
3/15/2019,2.725,2.725,2.7239999999999998,2.725,0,0
3/18/2019,2.725,2.725,2.725,2.725,0,0
3/19/2019,2.725,2.7260000000000004,2.725,2.725,0,0
3/20/2019,2.725,2.725,2.7239999999999998,2.725,0,0
3/21/2019,2.73,2.73,2.728,2.73,0,0
3/22/2019,2.72,2.72,2.718,2.72,0,0
3/25/2019,2.715,2.717,2.715,2.715,0,0
3/26/2019,2.72,2.72,2.719,2.72,0,0
3/27/2019,2.71,2.71,2.71,2.71,0,0
3/28/2019,2.715,2.715,2.713,2.715,0,0
3/29/2019,2.715,2.715,2.71,2.71,0,0
4/1/2019,2.71,2.7110000000000003,2.71,2.71,0,0
4/2/2019,2.72,2.72,2.718,2.72,0,0
4/3/2019,2.715,2.717,2.715,2.715,0,0
4/4/2019,2.71,2.7119999999999997,2.71,2.71,0,0
4/5/2019,2.71,2.71,2.708,2.71,0,0
4/8/2019,2.71,2.7110000000000003,2.71,2.71,0,0
4/9/2019,2.72,2.72,2.718,2.72,0,0
4/10/2019,2.72,2.72,2.7,2.7,0,0
4/11/2019,2.7,2.7,2.699,2.7,0,0
4/12/2019,2.7,2.7,2.699,2.7,0,0
4/15/2019,2.7,2.7,2.699,2.7,0,0
4/16/2019,2.7,2.7,2.7,2.7,0,0
4/17/2019,2.69,2.69,2.69,2.69,0,0
4/18/2019,2.675,2.675,2.675,2.675,0,0
4/22/2019,2.665,2.665,2.6630000000000003,2.665,0,0
4/23/2019,2.66,2.66,2.658,2.66,0,0
4/24/2019,2.67,2.67,2.668,2.67,0,0
4/25/2019,2.68,2.68,2.678,2.68,0,0
4/26/2019,2.675,2.675,2.675,2.675,0,0
4/29/2019,2.68,2.682,2.68,2.68,0,0
4/30/2019,2.685,2.687,2.685,2.685,0,0
5/1/2019,2.69,2.69,2.6889999999999996,2.69,0,0
5/2/2019,2.685,2.6860000000000004,2.685,2.685,0,0
5/3/2019,2.665,2.6660000000000004,2.665,2.665,0,0
5/6/2019,2.67,2.67,2.6689999999999996,2.67,0,0
5/7/2019,2.67,2.67,2.6689999999999996,2.67,0,0
5/8/2019,2.665,2.665,2.6630000000000003,2.665,0,0
5/9/2019,2.67,2.67,2.67,2.67,0,0
5/10/2019,2.66,2.661,2.66,2.66,0,0
5/13/2019,2.665,2.665,2.6639999999999997,2.665,0,0
5/14/2019,2.675,2.675,2.675,2.675,0,0
5/15/2019,2.68,2.68,2.678,2.68,0,0
5/16/2019,2.68,2.68,2.678,2.68,0,0
5/17/2019,2.68,2.682,2.68,2.68,0,0
5/20/2019,2.685,2.687,2.685,2.685,0,0
