Date,Open,High,Low,Close,Vol,OI
11/16/2022,2.8872,2.8872,2.8872,2.8872,0,0
11/17/2022,2.8337,2.8337,2.8337,2.8337,0,0
11/18/2022,2.8151,2.8151,2.8151,2.8151,0,0
11/21/2022,2.8269,2.8269,2.8269,2.8269,0,0
11/22/2022,2.8364,2.8364,2.8364,2.8364,0,0
11/23/2022,2.8021,2.8021,2.8021,2.8021,0,0
11/25/2022,2.7581,2.7581,2.7581,2.7581,0,0
11/28/2022,2.777,2.777,2.7766,2.777,0,0
11/29/2022,2.817,2.817,2.8166,2.817,0,0
11/30/2022,2.896,2.896,2.8955,2.896,0,0
12/1/2022,2.849,2.849,2.8487,2.849,0,0
12/2/2022,2.816,2.816,2.816,2.816,0,0
12/5/2022,2.724,2.724,2.7236,2.724,0,0
12/6/2022,2.692,2.692,2.6915,2.692,0,0
12/7/2022,2.624,2.6242,2.624,2.624,0,0
12/8/2022,2.624,2.6241,2.624,2.624,0,0
12/9/2022,2.603,2.6031,2.603,2.603,0,0
12/12/2022,2.67,2.67,2.6699,2.67,0,0
12/13/2022,2.724,2.724,2.7238,2.724,0,0
12/14/2022,2.783,2.7831,2.783,2.783,0,0
12/15/2022,2.741,2.741,2.7405,2.741,0,0
12/16/2022,2.673,2.6733,2.673,2.673,0,0
12/19/2022,2.674,2.674,2.6739,2.674,0,0
12/20/2022,2.712,2.712,2.7119,2.712,0,0
12/21/2022,2.766,2.766,2.7657,2.766,0,0
12/22/2022,2.72,2.7202,2.72,2.72,0,0
12/23/2022,2.804,2.804,2.8039,2.804,0,0
12/27/2022,2.852,2.852,2.8518,2.852,0,0
12/28/2022,2.813,2.8133,2.813,2.813,0,0
12/29/2022,2.783,2.7833,2.783,2.783,0,0
12/30/2022,2.834,2.834,2.8337,2.834,0,0
1/3/2023,2.715,2.715,2.7147,2.715,0,0
1/4/2023,2.653,2.653,2.6527,2.653,0,0
1/5/2023,2.648,2.6481,2.648,2.648,0,0
1/6/2023,2.653,2.653,2.6527,2.653,0,0
1/9/2023,2.682,2.6824,2.682,2.682,0,0
1/10/2023,2.692,2.6924,2.692,2.692,0,0
1/11/2023,2.732,2.732,2.7319,2.732,0,0
1/12/2023,2.76,2.76,2.7597,2.76,0,0
1/13/2023,2.79,2.79,2.7897,2.79,0,0
1/17/2023,2.806,2.8062,2.806,2.806,0,0
1/18/2023,2.803,2.8032,2.803,2.803,0,0
1/19/2023,2.835,2.835,2.8347,2.835,0,0
1/20/2023,2.877,2.877,2.877,2.877,0,0
1/23/2023,2.921,2.9211,2.921,2.921,0,0
1/24/2023,2.871,2.8712,2.871,2.871,0,0
1/25/2023,2.834,2.834,2.834,2.834,0,0
1/26/2023,2.847,2.847,2.8466,2.847,0,0
1/27/2023,2.796,2.7964,2.796,2.796,0,0
1/30/2023,2.746,2.746,2.7458,2.746,0,0
1/31/2023,2.79,2.79,2.7898,2.79,0,0
2/1/2023,2.704,2.704,2.7038,2.704,0,0
2/2/2023,2.674,2.674,2.6739,2.674,0,0
2/3/2023,2.595,2.595,2.5947,2.595,0,0
2/6/2023,2.599,2.599,2.5989,2.599,0,0
2/7/2023,2.683,2.683,2.6825,2.683,0,0
2/8/2023,2.706,2.7064,2.706,2.706,0,0
2/9/2023,2.652,2.652,2.6518,2.652,0,0
2/10/2023,2.693,2.693,2.6928,2.693,0,0
2/13/2023,2.717,2.7171,2.717,2.717,0,0
2/14/2023,2.726,2.726,2.726,2.726,0,0
2/15/2023,2.694,2.694,2.6935,2.694,0,0
2/16/2023,2.681,2.6813,2.681,2.681,0,0
2/17/2023,2.632,2.632,2.6315,2.632,0,0
2/21/2023,2.651,2.651,2.6509,2.651,0,0
2/22/2023,2.594,2.594,2.5936,2.594,0,0
2/23/2023,2.606,2.606,2.606,2.606,0,0
2/24/2023,2.639,2.639,2.6385,2.639,0,0
2/27/2023,2.639,2.639,2.6387,2.639,0,0
2/28/2023,2.658,2.6581,2.658,2.658,0,0
3/1/2023,2.694,2.694,2.6937,2.694,0,0
3/2/2023,2.701,2.7014,2.701,2.701,0,0
3/3/2023,2.739,2.7393,2.739,2.739,0,0
3/6/2023,2.739,2.739,2.7388,2.739,0,0
3/7/2023,2.666,2.666,2.6658,2.666,0,0
3/8/2023,2.639,2.6394,2.639,2.639,0,0
3/9/2023,2.584,2.584,2.5839,2.584,0,0
3/10/2023,2.637,2.637,2.6368,2.637,0,0
