Date,Open,High,Low,Close,Vol,OI
11/5/2020,45.67,45.67,45.67,45.67,0,0
11/6/2020,44.99,44.99,44.99,44.99,0,0
11/9/2020,46.23,46.23,46.23,46.23,0,0
11/10/2020,45.99,45.99,45.99,45.99,0,0
11/11/2020,46.47,46.47,46.47,46.47,0,0
11/12/2020,45.96,45.96,45.96,45.96,0,0
11/13/2020,45.42,45.42,45.42,45.42,0,0
11/16/2020,45.575,45.58,45.575,45.575,0,0
11/17/2020,45.5,45.5,45.49,45.5,0,0
11/18/2020,45.7,45.7,45.69,45.7,0,0
11/19/2020,45.325,45.325,45.32,45.325,0,0
11/20/2020,45.25,45.26,45.25,45.25,0,0
11/23/2020,45.35,45.35,45.35,45.35,0,0
11/24/2020,45.225,45.225,45.22,45.225,0,0
11/25/2020,46.1,46.1,46.1,46.1,0,0
11/27/2020,45.95,45.96,45.95,45.95,0,0
11/30/2020,45.625,45.625,45.62,45.625,0,0
12/1/2020,44.375,44.375,44.37,44.375,0,0
12/2/2020,43.8,43.8,43.8,43.8,0,0
12/3/2020,42.8,42.8,42.8,42.8,0,0
12/4/2020,43.45,43.45,43.44,43.45,0,0
12/7/2020,43.575,43.58,43.575,43.575,0,0
12/8/2020,43.775,43.78,43.775,43.775,0,0
12/9/2020,43.85,43.85,43.84,43.85,0,0
12/10/2020,43.925,43.93,43.925,43.925,0,0
12/11/2020,43.7,43.71,43.7,43.7,0,0
12/14/2020,44.1,44.1,44.09,44.1,0,0
12/15/2020,44.525,44.53,44.525,44.525,0,0
12/16/2020,44.575,44.58,44.575,44.575,0,0
12/17/2020,45.15,45.16,45.15,45.15,0,0
12/18/2020,45.175,45.18,45.175,45.175,0,0
12/21/2020,44.7,44.7,44.7,44.7,0,0
12/22/2020,44.2,44.21,44.2,44.2,0,0
12/23/2020,44.975,44.98,44.975,44.975,0,0
12/24/2020,45.2,45.2,45.19,45.2,0,0
12/28/2020,44.7,44.7,44.7,44.7,0,0
12/29/2020,44.875,44.88,44.875,44.875,0,0
12/30/2020,44.925,44.925,44.92,44.925,0,0
12/31/2020,44.85,44.85,44.85,44.85,0,0
1/4/2021,44.6,44.6,44.6,44.6,0,0
1/5/2021,44.525,44.525,44.52,44.525,0,0
1/6/2021,44.15,44.15,44.15,44.15,0,0
1/7/2021,44.525,44.53,44.525,44.525,0,0
1/8/2021,44.95,44.95,44.95,44.95,0,0
1/11/2021,45.3,45.3,45.3,45.3,0,0
1/12/2021,45.5,45.5,45.5,45.5,0,0
1/13/2021,46.125,46.125,46.12,46.125,0,0
1/14/2021,46.225,46.23,46.225,46.225,0,0
1/15/2021,46.2,46.21,46.2,46.2,0,0
1/19/2021,46.125,46.125,46.12,46.125,0,0
1/20/2021,46.0,46.01,46.0,46.0,0,0
1/21/2021,45.925,45.925,45.92,45.925,0,0
1/22/2021,45.55,45.55,45.54,45.55,0,0
1/25/2021,45.85,45.85,45.85,45.85,0,0
1/26/2021,45.85,45.85,45.84,45.85,0,0
1/27/2021,46.275,46.275,46.27,46.275,0,0
1/28/2021,46.025,46.03,46.025,46.025,0,0
1/29/2021,45.95,45.95,45.95,45.95,0,0
2/1/2021,46.375,46.375,46.37,46.375,0,0
2/2/2021,46.65,46.65,46.64,46.65,0,0
