Date,Open,High,Low,Close,Vol,OI
12/17/2021,1.9013,1.9013,1.9013,1.9013,0,0
12/20/2021,1.8596,1.8596,1.8596,1.8596,0,0
12/21/2021,1.9171,1.9171,1.9171,1.9171,0,0
12/22/2021,1.9428,1.9428,1.9428,1.9428,0,0
12/23/2021,1.9659,1.9659,1.9659,1.9659,0,0
12/27/2021,2.006,2.006,2.0055,2.006,0,0
12/28/2021,2.027,2.027,2.027,2.027,0,0
12/29/2021,2.042,2.042,2.0417,2.042,0,0
12/30/2021,2.057,2.057,2.057,2.057,0,0
12/31/2021,2.002,2.002,2.0016,2.002,0,0
1/3/2022,2.034,2.034,2.0337,2.034,0,0
1/4/2022,2.056,2.056,2.056,2.056,0,0
1/5/2022,2.069,2.0693,2.069,2.069,0,0
1/6/2022,2.088,2.088,2.0877,2.088,0,0
1/7/2022,2.087,2.0873,2.087,2.087,0,0
1/10/2022,2.073,2.073,2.0725,2.073,0,0
1/11/2022,2.127,2.1273,2.127,2.127,0,0
1/12/2022,2.14,2.1404,2.14,2.14,0,0
1/13/2022,2.136,2.136,2.136,2.136,0,0
1/14/2022,2.159,2.1594,2.159,2.159,0,0
1/18/2022,2.175,2.1754,2.175,2.175,0,0
1/19/2022,2.186,2.186,2.186,2.186,0,0
1/20/2022,2.19,2.19,2.1897,2.19,0,0
1/21/2022,2.172,2.172,2.1719,2.172,0,0
1/24/2022,2.138,2.1383,2.138,2.138,0,0
1/25/2022,2.178,2.178,2.1776,2.178,0,0
1/26/2022,2.211,2.2111,2.211,2.211,0,0
1/27/2022,2.2,2.2003,2.2,2.2,0,0
1/28/2022,2.196,2.1964,2.196,2.196,0,0
1/31/2022,2.202,2.2024,2.202,2.202,0,0
2/1/2022,2.206,2.2063,2.206,2.206,0,0
2/2/2022,2.231,2.231,2.2308,2.231,0,0
2/3/2022,2.255,2.255,2.255,2.255,0,0
2/4/2022,2.285,2.2851,2.285,2.285,0,0
2/7/2022,2.287,2.287,2.2866,2.287,0,0
2/8/2022,2.249,2.249,2.2488,2.249,0,0
2/9/2022,2.287,2.287,2.287,2.287,0,0
2/10/2022,2.288,2.2883,2.288,2.288,0,0
2/11/2022,2.327,2.3273,2.327,2.327,0,0
2/14/2022,2.352,2.352,2.3516,2.352,0,0
2/15/2022,2.279,2.279,2.2789,2.279,0,0
2/16/2022,2.304,2.304,2.3039,2.304,0,0
2/17/2022,2.29,2.2904,2.29,2.29,0,0
2/18/2022,2.317,2.3172,2.317,2.317,0,0
2/22/2022,2.347,2.347,2.3469,2.347,0,0
2/23/2022,2.372,2.3723,2.372,2.372,0,0
2/24/2022,2.364,2.3644,2.364,2.364,0,0
2/25/2022,2.335,2.335,2.3345,2.335,0,0
2/28/2022,2.364,2.3642,2.364,2.364,0,0
3/1/2022,2.426,2.426,2.4255,2.426,0,0
3/2/2022,2.537,2.537,2.5366,2.537,0,0
3/3/2022,2.526,2.5261,2.526,2.526,0,0
3/4/2022,2.701,2.7013,2.701,2.701,0,0
3/7/2022,2.736,2.736,2.7358,2.736,0,0
3/8/2022,2.729,2.729,2.7285,2.729,0,0
3/9/2022,2.467,2.467,2.4666,2.467,0,0
3/10/2022,2.456,2.4563,2.456,2.456,0,0
3/11/2022,2.542,2.542,2.542,2.542,0,0
3/14/2022,2.438,2.4381,2.438,2.438,0,0
3/15/2022,2.375,2.3753,2.375,2.375,0,0
3/16/2022,2.349,2.349,2.349,2.349,0,0
3/17/2022,2.481,2.481,2.4806,2.481,0,0
3/18/2022,2.504,2.504,2.5039,2.504,0,0
3/21/2022,2.581,2.581,2.581,2.581,0,0
3/22/2022,2.573,2.573,2.5726,2.573,0,0
3/23/2022,2.643,2.6431,2.643,2.643,0,0
3/24/2022,2.592,2.5921,2.592,2.592,0,0
3/25/2022,2.628,2.6284,2.628,2.628,0,0
3/28/2022,2.505,2.5054,2.505,2.505,0,0
3/29/2022,2.503,2.503,2.503,2.503,0,0
3/30/2022,2.588,2.588,2.5876,2.588,0,0
3/31/2022,2.515,2.5153,2.515,2.515,0,0
4/1/2022,2.572,2.572,2.5719,2.572,0,0
4/4/2022,2.626,2.6261,2.626,2.626,0,0
4/5/2022,2.614,2.614,2.6135,2.614,0,0
4/6/2022,2.531,2.5311,2.531,2.531,0,0
4/7/2022,2.563,2.563,2.5626,2.563,0,0
4/8/2022,2.619,2.619,2.619,2.619,0,0
4/11/2022,2.557,2.5573,2.557,2.557,0,0
4/12/2022,2.672,2.672,2.672,2.672,0,0
4/13/2022,2.725,2.7254,2.725,2.725,0,0
4/14/2022,2.758,2.7584,2.758,2.758,0,0
4/18/2022,2.769,2.7691,2.769,2.769,0,0
4/19/2022,2.668,2.668,2.6677,2.668,0,0
4/20/2022,2.681,2.681,2.6809,2.681,0,0
4/21/2022,2.721,2.721,2.7206,2.721,0,0
4/22/2022,2.673,2.673,2.6725,2.673,0,0
4/25/2022,2.613,2.613,2.613,2.613,0,0
