Date,Open,High,Low,Close,Vol,OI
3/17/2022,1274.2,1274.2,1274.2,1274.2,0,0
3/18/2022,1296.5,1296.5,1296.5,1296.5,0,0
3/21/2022,1276.0,1276.0,1276.0,1276.0,0,0
3/22/2022,1294.9,1294.9,1294.9,1294.9,0,0
3/23/2022,1269.1,1269.1,1269.1,1269.1,0,0
3/24/2022,1286.2,1286.2,1286.2,1286.2,0,0
3/25/2022,1276.9,1276.9,1276.9,1276.9,0,0
3/28/2022,1280.6,1280.6,1280.6,1280.6,0,0
3/29/2022,1322.8,1322.8,1322.8,1322.8,0,0
3/30/2022,1295.2,1295.2,1295.2,1295.2,0,0
3/31/2022,1282.7,1282.7,1282.7,1282.7,0,0
4/1/2022,1297.3,1297.3,1297.3,1297.3,0,0
4/4/2022,1307.6,1307.6,1307.6,1307.6,0,0
4/5/2022,1272.6,1272.6,1272.6,1272.6,0,0
4/6/2022,1248.7,1248.7,1248.7,1248.7,0,0
4/7/2022,1245.7,1245.7,1245.7,1245.7,0,0
4/8/2022,1230.2,1230.2,1230.2,1230.2,0,0
4/11/2022,1220.6,1220.6,1220.6,1220.6,0,0
4/12/2022,1224.9,1224.9,1224.9,1224.9,0,0
4/13/2022,1248.9,1248.9,1248.9,1248.9,0,0
4/14/2022,1229.3,1229.3,1229.3,1229.3,0,0
4/18/2022,1212.8,1212.8,1212.8,1212.8,0,0
4/19/2022,1242.0,1242.0,1242.0,1242.0,0,0
4/20/2022,1242.2,1242.2,1242.2,1242.2,0,0
4/21/2022,1208.0,1208.0,1208.0,1208.0,0,0
4/22/2022,1175.3,1175.3,1175.3,1175.3,0,0
4/25/2022,1191.5,1191.5,1191.5,1191.5,0,0
4/26/2022,1146.4,1146.4,1146.4,1146.4,0,0
4/27/2022,1139.9,1139.9,1139.9,1139.9,0,0
4/28/2022,1158.8,1158.8,1158.8,1158.8,0,0
4/29/2022,1125.0,1125.0,1125.0,1125.0,0,0
5/2/2022,1145.5,1145.5,1145.5,1145.5,0,0
5/3/2022,1148.8,1148.8,1148.8,1148.8,0,0
5/4/2022,1179.6,1179.6,1179.6,1179.6,0,0
5/5/2022,1120.9,1120.9,1120.9,1120.9,0,0
5/6/2022,1095.8,1095.8,1095.8,1095.8,0,0
5/9/2022,1039.6,1039.6,1039.6,1039.6,0,0
5/10/2022,1045.9,1045.9,1045.9,1045.9,0,0
5/11/2022,1008.7,1008.7,1008.7,1008.7,0,0
5/12/2022,1028.3,1028.3,1028.3,1028.3,0,0
5/13/2022,1072.3,1072.3,1072.3,1072.3,0,0
5/16/2022,1059.1,1059.1,1059.1,1059.1,0,0
5/17/2022,1094.3,1094.3,1094.3,1094.3,0,0
5/18/2022,1049.6,1049.6,1049.6,1049.6,0,0
5/19/2022,1058.1,1058.1,1058.1,1058.1,0,0
5/20/2022,1057.6,1057.6,1057.6,1057.6,0,0
5/23/2022,1064.2,1064.2,1064.2,1064.2,0,0
5/24/2022,1037.9,1037.9,1037.9,1037.9,0,0
5/25/2022,1059.7,1059.7,1059.7,1059.7,0,0
5/26/2022,1086.4,1086.4,1086.4,1086.4,0,0
5/27/2022,1121.0,1121.0,1121.0,1121.0,0,0
5/31/2022,1110.3,1110.3,1110.3,1110.3,0,0
6/1/2022,1095.6,1095.6,1095.6,1095.6,0,0
6/2/2022,1129.1,1129.1,1129.1,1129.1,0,0
6/3/2022,1118.5,1118.5,1118.5,1118.5,0,0
6/6/2022,1119.1,1119.1,1119.1,1119.1,0,0
6/7/2022,1138.2,1138.2,1138.2,1138.2,0,0
6/8/2022,1124.6,1124.6,1124.6,1124.6,0,0
6/9/2022,1098.3,1098.3,1098.3,1098.3,0,0
6/10/2022,1064.7,1064.7,1064.7,1064.7,0,0
6/13/2022,1010.7,1010.7,1010.7,1010.7,0,0
6/14/2022,1007.0,1007.0,1007.0,1007.0,0,0
6/15/2022,1024.7,1024.7,1024.7,1024.7,0,0
6/16/2022,973.7,973.7,973.7,973.7,0,0
6/17/2022,1012.7,1012.7,1012.7,1012.7,0,0
6/21/2022,1030.2,1030.2,1030.2,1030.2,0,0
6/22/2022,1034.3,1034.3,1034.3,1034.3,0,0
6/23/2022,1061.5,1061.5,1061.5,1061.5,0,0
6/24/2022,1096.9,1096.9,1096.9,1096.9,0,0
6/27/2022,1100.8,1100.8,1100.8,1100.8,0,0
6/28/2022,1077.8,1077.8,1077.8,1077.8,0,0
6/29/2022,1067.6,1067.6,1067.6,1067.6,0,0
6/30/2022,1057.1,1057.1,1057.1,1057.1,0,0
7/1/2022,1067.0,1067.0,1067.0,1067.0,0,0
7/5/2022,1080.4,1080.4,1080.4,1080.4,0,0
7/6/2022,1074.6,1074.6,1074.6,1074.6,0,0
7/7/2022,1107.0,1107.0,1107.0,1107.0,0,0
7/8/2022,1108.3,1108.3,1108.3,1108.3,0,0
7/11/2022,1081.0,1081.0,1081.0,1081.0,0,0
7/12/2022,1073.8,1073.8,1073.8,1073.8,0,0
7/13/2022,1074.8,1074.8,1074.8,1074.8,0,0
7/14/2022,1064.6,1064.6,1064.6,1064.6,0,0
7/15/2022,1085.8,1085.8,1085.8,1085.8,0,0
7/18/2022,1080.0,1080.0,1080.0,1080.0,0,0
7/19/2022,1118.7,1118.7,1118.7,1118.7,0,0
7/20/2022,1139.9,1139.9,1139.9,1139.9,0,0
7/21/2022,1148.7,1148.7,1148.7,1148.7,0,0
7/22/2022,1127.2,1127.2,1127.2,1127.2,0,0
7/25/2022,1131.4,1131.4,1131.4,1131.4,0,0
7/26/2022,1121.6,1121.6,1121.6,1121.6,0,0
7/27/2022,1150.5,1150.5,1150.5,1150.5,0,0
7/28/2022,1167.9,1167.9,1167.9,1167.9,0,0
7/29/2022,1176.0,1176.0,1176.0,1176.0,0,0
8/1/2022,1174.4,1174.4,1174.4,1174.4,0,0
8/2/2022,1179.4,1179.4,1179.4,1179.4,0,0
8/3/2022,1198.8,1198.8,1198.8,1198.8,0,0
8/4/2022,1198.2,1198.2,1198.2,1198.2,0,0
8/5/2022,1210.4,1210.4,1210.4,1210.4,0,0
8/8/2022,1223.5,1223.5,1223.5,1223.5,0,0
8/9/2022,1198.8,1198.8,1198.8,1198.8,0,0
8/10/2022,1240.1,1240.1,1240.1,1240.1,0,0
8/11/2022,1240.6,1240.6,1240.6,1240.6,0,0
8/12/2022,1267.0,1267.0,1267.0,1267.0,0,0
8/15/2022,1270.6,1270.6,1270.6,1270.6,0,0
8/16/2022,1266.6,1266.6,1266.6,1266.6,0,0
8/17/2022,1245.9,1245.9,1245.9,1245.9,0,0
8/18/2022,1256.4,1256.4,1256.4,1256.4,0,0
8/19/2022,1228.7,1228.7,1228.7,1228.7,0,0
8/22/2022,1203.1,1203.1,1203.1,1203.1,0,0
8/23/2022,1208.5,1208.5,1208.5,1208.5,0,0
8/24/2022,1221.6,1221.6,1221.6,1221.6,0,0
8/25/2022,1239.8,1239.8,1239.8,1239.8,0,0
8/26/2022,1196.2,1196.2,1196.2,1196.2,0,0
8/29/2022,1186.2,1186.2,1186.2,1186.2,0,0
8/30/2022,1168.9,1168.9,1168.9,1168.9,0,0
8/31/2022,1163.1,1163.1,1163.1,1163.1,0,0
9/1/2022,1146.3,1146.3,1146.3,1146.3,0,0
9/2/2022,1137.2,1137.2,1137.2,1137.2,0,0
9/6/2022,1128.6,1128.6,1128.6,1128.6,0,0
9/7/2022,1155.7,1155.7,1155.7,1155.7,0,0
9/8/2022,1167.4,1167.4,1167.4,1167.4,0,0
9/9/2022,1190.7,1190.7,1190.7,1190.7,0,0
9/12/2022,1204.6,1204.6,1204.6,1204.6,0,0
9/13/2022,1157.2,1157.2,1157.2,1157.2,0,0
9/14/2022,1164.1,1164.1,1164.1,1164.1,0,0
9/15/2022,1152.7,1152.7,1152.7,1152.7,0,0
9/16/2022,1130.9,1130.9,1130.9,1130.9,0,0
9/19/2022,1137.7,1137.7,1137.7,1137.7,0,0
9/20/2022,1120.7,1120.7,1120.7,1120.7,0,0
9/21/2022,1106.6,1106.6,1106.6,1106.6,0,0
9/22/2022,1078.2,1078.2,1078.2,1078.2,0,0
9/23/2022,1051.0,1051.0,1051.0,1051.0,0,0
9/26/2022,1038.7,1038.7,1038.7,1038.7,0,0
9/27/2022,1048.3,1048.3,1048.3,1048.3,0,0
9/28/2022,1085.7,1085.7,1085.7,1085.7,0,0
9/29/2022,1063.9,1063.9,1063.9,1063.9,0,0
9/30/2022,1056.6,1056.6,1056.6,1056.6,0,0
10/3/2022,1086.7,1086.7,1086.7,1086.7,0,0
10/4/2022,1127.7,1127.7,1127.7,1127.7,0,0
10/5/2022,1121.9,1121.9,1121.9,1121.9,0,0
10/6/2022,1117.4,1117.4,1117.4,1117.4,0,0
10/7/2022,1081.2,1081.2,1081.2,1081.2,0,0
10/10/2022,1072.1,1072.1,1072.1,1072.1,0,0
10/11/2022,1068.2,1068.2,1068.2,1068.2,0,0
10/12/2022,1065.7,1065.7,1065.7,1065.7,0,0
10/13/2022,1086.5,1086.5,1086.5,1086.5,0,0
10/14/2022,1052.8,1052.8,1052.8,1052.8,0,0
10/17/2022,1088.9,1088.9,1088.9,1088.9,0,0
