Date,Open,High,Low,Close,Vol,OI
11/30/2022,2.0116,2.0116,2.0116,2.0116,0,0
12/1/2022,1.9841,1.9841,1.9841,1.9841,0,0
12/2/2022,1.9695,1.9695,1.9695,1.9695,0,0
12/5/2022,1.9325,1.9325,1.9325,1.9325,0,0
12/6/2022,1.8913,1.8913,1.8913,1.8913,0,0
12/7/2022,1.8388,1.8388,1.8388,1.8388,0,0
12/8/2022,1.8275,1.8275,1.8275,1.8275,0,0
12/9/2022,1.8311,1.8311,1.8311,1.8311,0,0
12/12/2022,1.8667,1.8667,1.8667,1.8667,0,0
12/13/2022,1.9018,1.9018,1.9018,1.9018,0,0
12/14/2022,1.9537,1.9537,1.9537,1.9537,0,0
12/15/2022,1.9034,1.9034,1.9034,1.9034,0,0
12/16/2022,1.8558,1.8558,1.8558,1.8558,0,0
12/19/2022,1.8835,1.8835,1.8835,1.8835,0,0
12/20/2022,1.9072,1.9072,1.9072,1.9072,0,0
12/21/2022,1.9509,1.9509,1.9509,1.9509,0,0
12/22/2022,1.9316,1.9316,1.9316,1.9316,0,0
12/23/2022,2.0007,2.0007,2.0007,2.0007,0,0
12/27/2022,1.9872,1.9872,1.9872,1.9872,0,0
12/28/2022,1.9787,1.9787,1.9787,1.9787,0,0
12/29/2022,1.9698,1.9698,1.9698,1.9698,0,0
12/30/2022,2.0422,2.0422,2.0422,2.0422,0,0
1/3/2023,1.9478,1.9478,1.9478,1.9478,0,0
1/4/2023,1.8803,1.8803,1.8803,1.8803,0,0
1/5/2023,1.8848,1.8848,1.8848,1.8848,0,0
1/6/2023,1.8737,1.8737,1.8737,1.8737,0,0
1/9/2023,1.9136,1.9136,1.9136,1.9136,0,0
1/10/2023,1.9201,1.9201,1.9201,1.9201,0,0
1/11/2023,1.9802,1.9802,1.9802,1.9802,0,0
1/12/2023,1.9977,1.9977,1.9977,1.9977,0,0
1/13/2023,2.0304,2.0304,2.0304,2.0304,0,0
1/17/2023,2.021,2.021,2.021,2.021,0,0
1/18/2023,2.0108,2.0108,2.0108,2.0108,0,0
1/19/2023,2.0216,2.0216,2.0216,2.0216,0,0
1/20/2023,2.027,2.027,2.027,2.027,0,0
1/23/2023,2.0365,2.0365,2.0365,2.0365,0,0
1/24/2023,2.0189,2.0189,2.0189,2.0189,0,0
1/25/2023,2.0015,2.0015,2.0015,2.0015,0,0
1/26/2023,2.0161,2.0161,2.0161,2.0161,0,0
1/27/2023,1.9995,1.9995,1.9995,1.9995,0,0
1/30/2023,1.9557,1.9557,1.9557,1.9557,0,0
1/31/2023,1.9939,1.9939,1.9939,1.9939,0,0
2/1/2023,1.9293,1.9293,1.9293,1.9293,0,0
2/2/2023,1.9273,1.9273,1.9273,1.9273,0,0
2/3/2023,1.8572,1.8572,1.8572,1.8572,0,0
2/6/2023,1.8905,1.8905,1.8905,1.8905,0,0
2/7/2023,1.9386,1.9386,1.9386,1.9386,0,0
2/8/2023,1.9751,1.9751,1.9751,1.9751,0,0
2/9/2023,1.9524,1.9524,1.9524,1.9524,0,0
2/10/2023,1.9751,1.9751,1.9751,1.9751,0,0
2/13/2023,1.9868,1.9868,1.9868,1.9868,0,0
2/14/2023,1.9793,1.9793,1.9793,1.9793,0,0
2/15/2023,1.9817,1.9817,1.9817,1.9817,0,0
2/16/2023,1.9894,1.9894,1.9894,1.9894,0,0
2/17/2023,1.9642,1.9642,1.9642,1.9642,0,0
2/21/2023,1.9561,1.9561,1.9561,1.9561,0,0
2/22/2023,1.9289,1.9289,1.9289,1.9289,0,0
2/23/2023,1.9405,1.9405,1.9405,1.9405,0,0
2/24/2023,1.956,1.956,1.956,1.956,0,0
2/27/2023,1.9348,1.9348,1.9348,1.9348,0,0
2/28/2023,1.9543,1.9543,1.9543,1.9543,0,0
3/1/2023,1.973,1.973,1.973,1.973,0,0
3/2/2023,1.9811,1.9811,1.9811,1.9811,0,0
3/3/2023,2.0157,2.0157,2.0157,2.0157,0,0
3/6/2023,2.0261,2.0261,2.0261,2.0261,0,0
3/7/2023,1.9617,1.9617,1.9617,1.9617,0,0
3/8/2023,1.9543,1.9543,1.9543,1.9543,0,0
3/9/2023,1.9252,1.9252,1.9252,1.9252,0,0
3/10/2023,1.9458,1.9458,1.9458,1.9458,0,0
3/13/2023,1.9135,1.9135,1.9135,1.9135,0,0
3/14/2023,1.8816,1.8816,1.8816,1.8816,0,0
3/15/2023,1.8134,1.8134,1.8134,1.8134,0,0
3/16/2023,1.849,1.849,1.849,1.849,0,0
3/17/2023,1.8323,1.8323,1.8323,1.8323,0,0
3/20/2023,1.8633,1.8633,1.8633,1.8633,0,0
3/21/2023,1.876,1.876,1.876,1.876,0,0
3/22/2023,1.8985,1.8985,1.8985,1.8985,0,0
3/23/2023,1.8787,1.8787,1.8787,1.8787,0,0
3/24/2023,1.864,1.864,1.864,1.864,0,0
3/27/2023,1.9305,1.9305,1.9305,1.9305,0,0
3/28/2023,1.9182,1.9182,1.9182,1.9182,0,0
3/29/2023,1.8942,1.8942,1.8942,1.8942,0,0
3/30/2023,1.9062,1.9062,1.9053,1.9053,0,0
3/31/2023,1.9256,1.9256,1.9256,1.9256,0,0
4/3/2023,1.9482,1.9482,1.9482,1.9482,0,0
4/4/2023,1.9265,1.9265,1.9265,1.9265,0,0
4/5/2023,1.9456,1.9456,1.9456,1.9456,0,0
4/6/2023,1.955,1.955,1.955,1.955,0,0
4/10/2023,1.9541,1.9541,1.9541,1.9541,0,0
4/11/2023,1.9742,1.9742,1.9742,1.9742,0,0
4/12/2023,1.9676,1.9676,1.9676,1.9676,0,0
4/13/2023,1.9534,1.9534,1.9534,1.9534,0,0
4/14/2023,1.9564,1.9564,1.9564,1.9564,0,0
4/17/2023,1.922,1.922,1.922,1.922,0,0
4/18/2023,1.9181,1.9181,1.9181,1.9181,0,0
4/19/2023,1.8751,1.8751,1.8751,1.8751,0,0
4/20/2023,1.8441,1.8441,1.8441,1.8441,0,0
4/21/2023,1.8781,1.8781,1.8781,1.8781,0,0
4/24/2023,1.9036,1.9036,1.9036,1.9036,0,0
4/25/2023,1.86,1.86,1.86,1.86,0,0
4/26/2023,1.826,1.826,1.826,1.826,0,0
4/27/2023,1.8199,1.8199,1.8199,1.8199,0,0
4/28/2023,1.852,1.852,1.852,1.852,0,0
5/1/2023,1.8353,1.8353,1.8353,1.8353,0,0
5/2/2023,1.7873,1.7873,1.7873,1.7873,0,0
5/3/2023,1.7467,1.7467,1.7467,1.7467,0,0
5/4/2023,1.7356,1.737,1.7356,1.737,0,0
5/5/2023,1.7839,1.7839,1.7839,1.7839,0,0
5/8/2023,1.8185,1.8185,1.8185,1.8185,0,0
5/9/2023,1.823,1.823,1.823,1.823,0,0
5/10/2023,1.8144,1.8144,1.8144,1.8144,0,0
5/11/2023,1.7843,1.7843,1.7843,1.7843,0,0
5/12/2023,1.7629,1.7629,1.7629,1.7629,0,0
5/15/2023,1.7982,1.7982,1.7982,1.7982,0,0
5/16/2023,1.7896,1.7896,1.7896,1.7896,0,0
5/17/2023,1.8376,1.8376,1.8376,1.8376,0,0
5/18/2023,1.8201,1.8201,1.8201,1.8201,0,0
5/19/2023,1.8077,1.8077,1.8077,1.8077,0,0
5/22/2023,1.8149,1.8149,1.8149,1.8149,0,0
5/23/2023,1.8248,1.8248,1.8248,1.8248,0,0
5/24/2023,1.8548,1.8548,1.8548,1.8548,0,0
5/25/2023,1.8017,1.8017,1.8017,1.8017,0,0
5/26/2023,1.8215,1.8215,1.8215,1.8215,0,0
5/30/2023,1.7756,1.7756,1.7756,1.7756,0,0
5/31/2023,1.7631,1.7631,1.7631,1.7631,0,0
6/1/2023,1.7925,1.7925,1.7925,1.7925,0,0
6/2/2023,1.8296,1.8296,1.8296,1.8296,0,0
6/5/2023,1.8226,1.8226,1.8226,1.8226,0,0
6/6/2023,1.8063,1.8063,1.8063,1.8063,0,0
6/7/2023,1.8182,1.8182,1.8182,1.8182,0,0
6/8/2023,1.7914,1.7914,1.7914,1.7914,0,0
6/9/2023,1.7748,1.7748,1.7748,1.7748,0,0
6/12/2023,1.7318,1.7318,1.7318,1.7318,0,0
6/13/2023,1.7834,1.7834,1.7834,1.7834,0,0
6/14/2023,1.7659,1.7659,1.7659,1.7659,0,0
6/15/2023,1.8152,1.8152,1.8152,1.8152,0,0
6/16/2023,1.8477,1.8477,1.8477,1.8477,0,0
6/20/2023,1.8179,1.8179,1.8179,1.8179,0,0
6/21/2023,1.8345,1.8345,1.8345,1.8345,0,0
6/22/2023,1.7828,1.7828,1.7828,1.7828,0,0
6/23/2023,1.7768,1.7768,1.7768,1.7768,0,0
6/26/2023,1.7961,1.7961,1.7961,1.7961,0,0
6/27/2023,1.7635,1.7635,1.7635,1.7635,0,0
6/28/2023,1.8046,1.8046,1.8046,1.8046,0,0
6/29/2023,1.8016,1.8016,1.8016,1.8016,0,0
6/30/2023,1.8274,1.8274,1.8274,1.8274,0,0
7/3/2023,1.7844,1.7844,1.7844,1.7844,0,0
7/5/2023,1.8306,1.8306,1.8306,1.8306,0,0
7/6/2023,1.8246,1.8246,1.8246,1.8246,0,0
7/7/2023,1.8433,1.8433,1.8433,1.8433,0,0
7/10/2023,1.8455,1.8455,1.8455,1.8455,0,0
7/11/2023,1.8854,1.8854,1.8854,1.8854,0,0
7/12/2023,1.9089,1.9089,1.9067,1.9067,0,0
7/13/2023,1.9246,1.9246,1.9246,1.9246,0,0
7/14/2023,1.896,1.896,1.896,1.896,0,0
7/17/2023,1.8886,1.8886,1.8886,1.8886,0,0
7/18/2023,1.9181,1.9181,1.9181,1.9181,0,0
7/19/2023,1.9212,1.9212,1.9212,1.9212,0,0
7/20/2023,1.9292,1.9292,1.9292,1.9292,0,0
7/21/2023,1.9411,1.9411,1.9411,1.9411,0,0
7/24/2023,1.9668,1.9668,1.9668,1.9668,0,0
7/25/2023,1.9758,1.9758,1.9758,1.9758,0,0
7/26/2023,1.9692,1.9692,1.9692,1.9692,0,0
7/27/2023,1.9774,1.9774,1.9774,1.9774,0,0
7/28/2023,1.988,1.988,1.988,1.988,0,0
7/31/2023,2.0044,2.0044,2.0044,2.0044,0,0
8/1/2023,1.9971,1.9971,1.9971,1.9971,0,0
8/2/2023,1.9637,1.9637,1.9637,1.9637,0,0
8/3/2023,1.971,1.971,1.971,1.971,0,0
8/4/2023,1.9872,1.9872,1.9872,1.9872,0,0
8/7/2023,1.976,1.976,1.976,1.976,0,0
8/8/2023,1.9959,1.9959,1.9959,1.9959,0,0
8/9/2023,2.0111,2.0111,2.0111,2.0111,0,0
8/10/2023,1.9896,1.9896,1.9896,1.9896,0,0
8/11/2023,1.9876,1.9876,1.9876,1.9876,0,0
8/14/2023,1.9662,1.9662,1.9662,1.9662,0,0
8/15/2023,1.9517,1.9517,1.9517,1.9517,0,0
8/16/2023,1.9422,1.9422,1.9422,1.9422,0,0
8/17/2023,1.9591,1.9591,1.9591,1.9591,0,0
8/18/2023,1.9667,1.9667,1.9667,1.9667,0,0
8/21/2023,1.9637,1.9637,1.9637,1.9637,0,0
8/22/2023,1.9743,1.9743,1.9743,1.9743,0,0
8/23/2023,1.9527,1.9527,1.9527,1.9527,0,0
8/24/2023,1.9489,1.9489,1.9489,1.9489,0,0
8/25/2023,1.9671,1.9671,1.9671,1.9671,0,0
8/28/2023,1.9492,1.9492,1.9492,1.9492,0,0
8/29/2023,1.9624,1.9624,1.9624,1.9624,0,0
8/30/2023,1.9677,1.9677,1.9677,1.9677,0,0
8/31/2023,1.9695,1.9695,1.9695,1.9695,0,0
9/1/2023,2.002,2.002,2.002,2.002,0,0
9/5/2023,2.0061,2.0061,2.0061,2.0061,0,0
9/6/2023,2.012,2.012,2.012,2.012,0,0
9/7/2023,2.015,2.015,2.015,2.015,0,0
9/8/2023,2.018,2.018,2.018,2.018,0,0
9/11/2023,2.0316,2.0316,2.0316,2.0316,0,0
9/12/2023,2.0353,2.0353,2.0353,2.0353,0,0
9/13/2023,2.033,2.033,2.033,2.033,0,0
9/14/2023,2.047,2.047,2.047,2.047,0,0
9/15/2023,2.0339,2.0339,2.0339,2.0339,0,0
9/18/2023,2.0305,2.0305,2.0305,2.0305,0,0
9/19/2023,2.0183,2.0183,2.0183,2.0183,0,0
