Date,Open,High,Low,Close,Vol,OI
5/16/2022,22.168000000000003,22.168000000000003,22.168000000000003,22.168000000000003,0,0
5/17/2022,22.401999999999997,22.401999999999997,22.401999999999997,22.401999999999997,0,0
5/18/2022,22.183000000000003,22.183000000000003,22.183000000000003,22.183000000000003,0,0
5/19/2022,22.546999999999997,22.546999999999997,22.546999999999997,22.546999999999997,0,0
5/20/2022,22.313000000000002,22.313000000000002,22.313000000000002,22.313000000000002,0,0
5/23/2022,22.354,22.354,22.354,22.354,0,0
5/24/2022,22.691999999999997,22.691999999999997,22.691999999999997,22.691999999999997,0,0
5/25/2022,22.491999999999997,22.491999999999997,22.491999999999997,22.491999999999997,0,0
5/26/2022,22.584,22.584,22.584,22.584,0,0
5/27/2022,22.709,22.709,22.709,22.709,0,0
5/31/2022,22.283,22.283,22.283,22.283,0,0
6/1/2022,22.5,22.5,22.5,22.5,0,0
6/2/2022,22.849,22.849,22.849,22.849,0,0
6/3/2022,22.475,22.475,22.475,22.475,0,0
6/6/2022,22.668000000000003,22.668000000000003,22.668000000000003,22.668000000000003,0,0
6/7/2022,22.773000000000003,22.773000000000003,22.773000000000003,22.773000000000003,0,0
6/8/2022,22.689,22.689,22.689,22.689,0,0
6/9/2022,22.412,22.412,22.412,22.412,0,0
6/10/2022,22.559,22.559,22.559,22.559,0,0
6/13/2022,21.894000000000002,21.894000000000002,21.894000000000002,21.894000000000002,0,0
6/14/2022,21.589000000000002,21.589000000000002,21.589000000000002,21.589000000000002,0,0
6/15/2022,22.039,22.039,22.039,22.039,0,0
6/16/2022,22.5,22.5,22.5,22.5,0,0
6/17/2022,22.213,22.213,22.213,22.213,0,0
6/21/2022,22.362,22.362,22.362,22.362,0,0
6/22/2022,22.006,22.006,22.006,22.006,0,0
6/23/2022,21.576,21.576,21.576,21.576,0,0
6/24/2022,21.64,21.64,21.64,21.64,0,0
6/27/2022,21.703000000000003,21.703000000000003,21.703000000000003,21.703000000000003,0,0
6/28/2022,21.392,21.392,21.392,21.392,0,0
6/29/2022,21.226,21.226,21.226,21.226,0,0
6/30/2022,21.21,21.21,20.801,20.801,1,0
7/1/2022,20.12,20.28,20.12,20.12,1,1
7/5/2022,20.21,20.45,19.56,19.56,4,3
7/6/2022,19.295,19.575,19.295,19.575,7,10
7/7/2022,19.637999999999998,19.637999999999998,19.637999999999998,19.637999999999998,3,9
7/8/2022,19.702,19.702,19.702,19.702,0,9
7/11/2022,19.595,19.595,19.595,19.595,0,9
7/12/2022,19.3,19.393,19.3,19.393,0,9
7/13/2022,19.637999999999998,19.637999999999998,19.637999999999998,19.637999999999998,2,9
7/14/2022,18.53,18.662,18.53,18.662,2,9
7/15/2022,19.0,19.0,18.87,18.998,3,11
7/18/2022,19.19,19.19,19.06,19.19,3,8
7/19/2022,19.102999999999998,19.102999999999998,19.102999999999998,19.102999999999998,3,11
7/20/2022,19.075,19.075,19.075,19.075,0,11
7/21/2022,19.13,19.13,19.13,19.13,0,11
7/22/2022,19.035999999999998,19.035999999999998,19.035999999999998,19.035999999999998,0,11
7/25/2022,18.762,18.762,18.762,18.762,0,11
7/26/2022,18.993,18.993,18.993,18.993,0,11
7/27/2022,19.044,19.044,19.044,19.044,0,11
7/28/2022,19.675,20.293,19.675,20.293,8,19
7/29/2022,20.635,20.635,20.635,20.635,2,17
8/1/2022,20.8,20.813000000000002,20.8,20.813000000000002,0,17
8/2/2022,20.605999999999998,20.605999999999998,20.605999999999998,20.605999999999998,3,16
8/3/2022,20.368,20.368,20.368,20.368,0,16
8/4/2022,20.616,20.616,20.616,20.616,0,16
8/5/2022,20.05,20.337,20.05,20.337,10,24
8/8/2022,20.415,21.112,20.415,21.112,6,23
8/9/2022,21.11,21.11,20.967,20.967,5,20
8/10/2022,21.184,21.184,21.184,21.184,5,21
8/11/2022,20.82,20.82,20.82,20.82,1,20
8/12/2022,20.99,21.169,20.925,21.169,1,21
8/15/2022,20.615,20.732,20.615,20.732,8,19
8/16/2022,20.52,20.52,20.52,20.52,6,17
8/17/2022,20.285,20.285,20.153,20.153,0,17
8/18/2022,19.885,19.885,19.885,19.885,1,18
8/19/2022,19.479,19.479,19.479,19.479,0,18
8/22/2022,19.1,19.28,19.065,19.28,1,19
8/23/2022,19.427,19.427,19.385,19.427,3,18
8/24/2022,19.287,19.287,19.287,19.287,2,18
8/25/2022,19.7,19.7,19.44,19.44,0,18
8/26/2022,19.132,19.132,19.132,19.132,1,18
8/29/2022,18.96,18.982,18.96,18.982,0,18
8/30/2022,18.58,18.58,18.58,18.58,1,18
8/31/2022,18.215,18.215,18.157,18.157,0,18
9/1/2022,17.88,17.936,17.76,17.936,1,18
9/2/2022,17.89,18.127,17.89,18.127,6,23
9/6/2022,18.151,18.151,18.151,18.151,6,21
9/7/2022,18.495,18.495,18.425,18.488,1,22
9/8/2022,18.684,18.684,18.684,18.684,2,22
9/9/2022,19.019000000000002,19.019000000000002,19.019000000000002,19.019000000000002,1,23
9/12/2022,20.18,20.18,20.05,20.124000000000002,0,23
9/13/2022,19.995,20.12,19.764,19.764,7,25
9/14/2022,19.852999999999998,19.852999999999998,19.852999999999998,19.852999999999998,6,25
9/15/2022,19.825,19.825,19.535999999999998,19.535999999999998,1,24
9/16/2022,19.632,19.632,19.632,19.632,2,22
9/19/2022,19.623,19.623,19.623,19.623,5,26
9/20/2022,19.46,19.46,19.46,19.46,0,26
9/21/2022,19.750999999999998,19.750999999999998,19.750999999999998,19.750999999999998,1,26
9/22/2022,19.881,19.881,19.881,19.881,2,26
9/23/2022,19.17,19.17,19.17,19.17,3,27
9/26/2022,18.735,18.735,18.735,18.735,5,32
9/27/2022,18.586,18.586,18.586,18.586,1,33
9/28/2022,19.131,19.131,19.131,19.131,24,38
9/29/2022,18.968,18.968,18.968,18.968,5,41
9/30/2022,19.292,19.292,19.292,19.292,2,41
10/3/2022,20.405,20.831,20.405,20.831,12,51
