Date,Open,High,Low,Close,Vol,OI
3/28/2023,115.83,115.83,115.83,115.83,0,0
3/29/2023,115.2,115.2,115.2,115.2,0,0
3/30/2023,115.55,115.55,115.55,115.55,0,0
3/31/2023,115.45,115.45,115.45,115.45,0,0
4/3/2023,115.27,115.27,115.27,115.27,0,0
4/4/2023,115.34,115.34,115.34,115.34,0,0
4/5/2023,115.59,115.59,115.59,115.59,0,0
4/6/2023,116.0,116.0,116.0,116.0,0,0
4/10/2023,115.97,115.97,115.97,115.97,0,0
4/11/2023,115.95,115.95,115.95,115.95,0,0
4/12/2023,116.09,116.09,116.09,116.09,0,0
4/13/2023,116.55,116.55,116.55,116.55,0,0
4/14/2023,116.3,116.3,116.3,116.3,0,0
4/17/2023,116.09,116.09,116.09,116.09,0,0
4/18/2023,116.05,116.05,116.05,116.05,0,0
4/19/2023,115.96,115.96,115.96,115.96,0,0
4/20/2023,116.15,116.15,116.15,116.15,0,0
4/21/2023,116.13,116.13,116.13,116.13,0,0
4/24/2023,116.35,116.35,116.35,116.35,0,0
4/25/2023,116.09,116.09,116.09,116.09,0,0
4/26/2023,116.51,116.51,116.51,116.51,0,0
4/27/2023,116.71,116.71,116.71,116.71,0,0
4/28/2023,116.67,116.67,116.67,116.67,0,0
5/1/2023,116.5,116.5,116.5,116.5,0,0
5/2/2023,116.76,116.76,116.76,116.76,0,0
5/3/2023,116.83,116.83,116.83,116.83,0,0
5/4/2023,116.87,116.87,116.87,116.87,0,0
5/5/2023,116.9,116.9,116.9,116.9,0,0
5/8/2023,116.84,116.84,116.84,116.84,0,0
5/9/2023,116.49,116.49,116.49,116.49,0,0
5/10/2023,116.67,116.67,116.67,116.67,0,0
5/11/2023,116.41,116.41,116.41,116.41,0,0
5/12/2023,116.31,116.31,116.31,116.31,0,0
5/15/2023,116.53,116.53,116.53,116.53,0,0
5/16/2023,116.2,116.2,116.2,116.2,0,0
5/17/2023,116.28,116.28,116.28,116.28,0,0
5/18/2023,115.96,115.96,115.96,115.96,0,0
5/19/2023,115.9,115.9,115.9,115.9,0,0
5/22/2023,115.92,115.92,115.92,115.92,0,0
5/23/2023,115.9,115.9,115.9,115.9,0,0
5/24/2023,116.15,116.15,116.15,116.15,0,0
5/25/2023,116.27,116.27,116.27,116.27,0,0
5/26/2023,116.43,116.43,116.43,116.43,0,0
5/30/2023,116.5,116.5,116.5,116.5,0,0
5/31/2023,116.68,116.68,116.68,116.68,0,0
6/1/2023,117.23,117.23,117.23,117.23,0,0
6/2/2023,116.88,116.88,116.88,116.88,0,0
6/5/2023,116.91,116.91,116.91,116.91,0,0
6/6/2023,116.93,116.93,116.93,116.93,0,0
6/7/2023,116.85,116.85,116.85,116.85,0,0
6/8/2023,116.98,116.98,116.98,116.98,0,0
6/9/2023,117.01,117.01,117.01,117.01,0,0
6/12/2023,117.23,117.23,117.23,117.23,0,0
6/13/2023,117.4,117.4,117.4,117.4,0,0
6/14/2023,117.92,117.92,117.92,117.92,0,0
6/15/2023,118.01,118.01,118.01,118.01,0,0
6/16/2023,117.98,117.98,117.98,117.98,0,0
6/20/2023,117.82,117.82,117.82,117.82,0,0
6/21/2023,117.94,117.94,117.94,117.94,0,0
6/22/2023,117.78,117.78,117.78,117.78,0,0
6/23/2023,117.73,117.73,117.73,117.73,0,0
6/26/2023,117.82,117.82,117.82,117.82,0,0
6/27/2023,117.67,117.67,117.67,117.67,0,0
6/28/2023,117.99,117.99,117.99,117.99,0,0
6/29/2023,118.11,118.11,118.11,118.11,0,0
6/30/2023,118.34,118.34,118.34,118.34,0,0
7/3/2023,118.44,118.44,118.44,118.44,0,0
7/5/2023,117.86,117.86,117.86,117.86,0,0
7/6/2023,117.37,117.37,117.37,117.37,0,0
7/7/2023,117.65,117.65,117.65,117.65,0,0
7/10/2023,117.69,117.69,117.69,117.69,0,0
7/11/2023,117.89,117.89,117.89,117.89,0,0
7/12/2023,118.28,118.28,118.28,118.28,0,0
7/13/2023,118.21,118.21,118.21,118.21,0,0
7/14/2023,118.12,118.12,118.12,118.12,0,0
7/17/2023,118.28,118.28,118.28,118.28,0,0
7/18/2023,118.24,118.24,118.24,118.24,0,0
7/19/2023,118.32,118.32,118.32,118.32,0,0
7/20/2023,118.31,118.31,118.31,118.31,0,0
7/21/2023,118.32,118.32,118.32,118.32,0,0
7/24/2023,118.74,118.74,118.74,118.74,0,0
7/25/2023,118.5,118.5,118.5,118.5,0,0
7/26/2023,118.59,118.59,118.59,118.59,0,0
7/27/2023,118.19,118.19,118.19,118.19,0,0
7/28/2023,118.12,118.12,118.12,118.12,0,0
7/31/2023,118.24,118.24,118.24,118.24,0,0
8/1/2023,118.18,118.18,118.18,118.18,0,0
8/2/2023,117.65,117.65,117.65,117.65,0,0
8/3/2023,117.64,117.64,117.64,117.64,0,0
8/4/2023,117.76,117.76,117.76,117.76,0,0
8/7/2023,117.56,117.56,117.56,117.56,0,0
8/8/2023,117.28,117.28,117.28,117.28,0,0
8/9/2023,117.28,117.28,117.28,117.28,0,0
8/10/2023,117.53,117.53,117.53,117.53,0,0
8/11/2023,117.22,117.22,117.22,117.22,0,0
8/14/2023,116.96,116.96,116.96,116.96,0,0
8/15/2023,116.64,116.64,116.64,116.64,0,0
8/16/2023,116.91,116.91,116.91,116.91,0,0
8/17/2023,116.88,116.88,116.88,116.88,0,0
8/18/2023,116.91,116.91,116.91,116.91,0,0
8/21/2023,116.98,116.98,116.98,116.98,0,0
8/22/2023,117.07,117.07,117.07,117.07,0,0
8/23/2023,118.16,118.16,118.16,118.16,0,0
8/24/2023,117.73,117.73,117.73,117.73,0,0
8/25/2023,117.89,117.89,117.89,117.89,0,0
8/28/2023,117.73,117.73,117.73,117.73,0,0
8/29/2023,117.79,117.79,117.79,117.79,0,0
8/30/2023,117.66,117.66,117.66,117.66,0,0
8/31/2023,117.63,117.63,117.63,117.63,0,0
