Date,Open,High,Low,Close,Vol,OI
4/14/2023,95.34,95.34,95.34,95.34,0,0
4/17/2023,95.245,95.275,95.245,95.275,1,0
4/18/2023,95.25,95.25,95.25,95.25,1,1
4/19/2023,95.2,95.2,95.2,95.2,0,1
4/20/2023,95.26,95.26,95.26,95.26,0,1
4/21/2023,95.28,95.28,95.21,95.235,0,1
4/24/2023,95.26,95.26,95.26,95.26,2,2
4/25/2023,95.43,95.43,95.43,95.43,0,2
4/26/2023,95.425,95.425,95.42,95.42,2,4
4/27/2023,95.26,95.28,95.26,95.26,200,52
4/28/2023,95.24,95.275,95.24,95.275,94,52
5/1/2023,95.215,95.245,95.215,95.215,50,52
5/2/2023,95.4,95.4,95.375,95.375,40,52
5/3/2023,95.37,95.37,95.37,95.37,138,52
5/4/2023,95.52,95.685,95.48,95.625,0,52
5/5/2023,95.515,95.515,95.45,95.46,486,231
5/8/2023,95.455,95.455,95.37,95.385,44,231
5/9/2023,95.37,95.37,95.35,95.37,110,241
5/10/2023,95.465,95.465,95.465,95.465,5,246
5/11/2023,95.45,95.45,95.45,95.45,0,246
5/12/2023,95.43,95.43,95.37,95.37,0,246
5/15/2023,95.355,95.355,95.34,95.355,1,246
5/16/2023,95.295,95.295,95.295,95.295,10,254
5/17/2023,95.245,95.245,95.245,95.245,0,254
5/18/2023,95.145,95.145,95.14,95.14,0,254
5/19/2023,95.16,95.16,95.16,95.16,2,254
5/22/2023,95.1,95.1,95.1,95.1,0,254
5/23/2023,95.075,95.075,95.045,95.075,0,254
5/24/2023,95.0,95.0,95.0,95.0,8,260
5/25/2023,94.86,94.88,94.86,94.88,0,260
5/26/2023,94.835,94.835,94.835,94.835,78,260
5/30/2023,94.855,94.875,94.855,94.855,0,260
5/31/2023,94.91,94.91,94.91,94.91,1,259
6/1/2023,94.955,94.955,94.955,94.955,0,259
6/2/2023,94.875,94.875,94.85,94.85,39,259
6/5/2023,94.85,94.865,94.85,94.865,3,259
6/6/2023,94.86,94.86,94.86,94.86,100,259
6/7/2023,94.845,94.845,94.845,94.845,0,259
6/8/2023,94.86,94.86,94.86,94.86,0,259
6/9/2023,94.82,94.82,94.82,94.82,0,259
6/12/2023,94.795,94.795,94.795,94.795,0,259
6/13/2023,94.785,94.785,94.735,94.765,0,259
6/14/2023,94.76,94.76,94.645,94.725,29,259
6/15/2023,94.695,94.73,94.695,94.73,231,259
6/16/2023,94.71,94.71,94.71,94.71,1,258
6/19/2023,94.7,94.7,94.68,94.68,0,258
6/20/2023,94.7,94.7,94.68,94.69,0,258
6/21/2023,94.68,94.68,94.68,94.68,451,428
6/22/2023,94.66,94.66,94.615,94.65,0,428
6/23/2023,94.67,94.67,94.67,94.67,172,427
6/26/2023,94.66,94.66,94.66,94.66,0,427
6/27/2023,94.66,94.66,94.625,94.635,0,427
6/28/2023,94.62,94.635,94.61,94.635,61,427
6/29/2023,94.605,94.605,94.53,94.565,16,428
6/30/2023,94.56,94.585,94.55,94.585,110,437
7/3/2023,94.555,94.58,94.555,94.58,21,439
7/5/2023,94.59,94.595,94.59,94.59,5,439
7/6/2023,94.58,94.58,94.525,94.545,60,444
7/7/2023,94.56,94.56,94.56,94.56,153,524
7/10/2023,94.57,94.57,94.57,94.57,0,524
7/11/2023,94.555,94.555,94.55,94.555,0,524
7/12/2023,94.565,94.6,94.565,94.6,12,532
7/13/2023,94.645,94.645,94.625,94.625,8,532
7/14/2023,94.59,94.605,94.59,94.6,11,543
7/17/2023,94.595,94.595,94.595,94.595,2,544
7/18/2023,94.595,94.595,94.595,94.595,0,544
7/19/2023,94.595,94.6,94.595,94.6,10,543
7/20/2023,94.575,94.585,94.575,94.575,1,544
7/21/2023,94.585,94.585,94.575,94.585,2,545
7/24/2023,94.57,94.57,94.56,94.57,206,640
7/25/2023,94.56,94.56,94.555,94.555,8,648
7/26/2023,94.55,94.56,94.54,94.56,3,651
7/27/2023,94.56,94.565,94.555,94.565,115,760
7/28/2023,94.575,94.575,94.575,94.575,101,849
7/31/2023,94.585,94.585,94.575,94.575,0,849
8/1/2023,94.575,94.575,94.575,94.575,75,880
8/2/2023,94.58,94.58,94.575,94.58,0,880
8/3/2023,94.58,94.58,94.57,94.575,10,890
8/4/2023,94.565,94.59,94.56,94.585,20,898
8/7/2023,94.59,94.59,94.585,94.585,12,909
8/8/2023,94.595,94.595,94.585,94.585,16,925
8/9/2023,94.585,94.585,94.585,94.585,21,940
8/10/2023,94.595,94.595,94.595,94.595,0,940
8/11/2023,94.585,94.585,94.565,94.58,11,951
8/14/2023,94.56,94.57,94.555,94.565,55,1005
8/15/2023,94.5675,94.5675,94.5675,94.5675,22,1005
8/16/2023,94.58,94.58,94.555,94.56,0,1005
8/17/2023,94.55,94.57,94.55,94.56,13,1011
8/18/2023,94.575,94.575,94.575,94.575,471,1220
8/21/2023,94.565,94.565,94.56,94.56,1,1220
8/22/2023,94.555,94.555,94.55,94.55,2,1218
8/23/2023,94.555,94.57,94.555,94.56,350,1517
8/24/2023,94.535,94.535,94.535,94.535,202,1616
8/25/2023,94.52,94.52,94.515,94.515,0,1616
8/28/2023,94.505,94.51,94.505,94.51,8,1621
8/29/2023,94.495,94.54,94.495,94.535,5,1621
8/30/2023,94.56,94.56,94.54,94.545,40,1621
8/31/2023,94.545,94.565,94.545,94.555,125,1578
9/1/2023,94.545,94.57,94.545,94.57,86,1578
9/4/2023,94.565,94.565,94.565,94.565,50,1599
9/5/2023,94.565,94.565,94.555,94.555,50,1599
9/6/2023,94.565,94.565,94.55,94.55,30,1599
9/7/2023,94.54,94.545,94.54,94.545,25,1599
9/8/2023,94.545,94.545,94.545,94.545,215,1601
9/11/2023,94.54,94.54,94.54,94.54,0,1601
9/12/2023,94.545,94.545,94.545,94.545,0,1601
9/13/2023,94.55,94.56,94.55,94.55,0,1601
9/14/2023,94.57,94.57,94.56,94.56,200,1727
9/15/2023,94.555,94.565,94.555,94.565,6,1727
9/18/2023,94.5625,94.5625,94.56,94.5625,327,1951
9/19/2023,94.565,94.575,94.565,94.565,10,1952
