Date,Open,High,Low,Close,Vol,OI
12/20/2022,138.875,138.875,138.875,138.875,0,0
12/21/2022,138.9375,138.9375,138.9375,138.9375,0,0
12/22/2022,139.40625,139.40625,139.40625,139.40625,0,0
12/23/2022,137.09375,137.09375,137.09375,137.09375,0,0
12/27/2022,134.46875,134.46875,134.46875,134.46875,0,0
12/28/2022,133.71875,133.71875,133.71875,133.71875,0,0
12/29/2022,134.8125,134.8125,134.8125,134.8125,0,0
12/30/2022,134.3125,134.3125,134.3125,134.3125,0,0
1/3/2023,135.625,135.625,135.625,135.625,0,0
1/4/2023,137.34375,137.34375,137.34375,137.34375,0,0
1/5/2023,137.84375,137.84375,137.84375,137.84375,0,0
1/6/2023,140.4375,140.4375,140.4375,140.4375,0,0
1/9/2023,141.59375,141.59375,141.59375,141.59375,0,0
1/10/2023,139.15625,139.15625,139.15625,139.15625,0,0
1/11/2023,141.03125,141.03125,141.03125,141.03125,0,0
1/12/2023,143.59375,143.59375,143.59375,143.59375,0,0
1/13/2023,142.625,142.625,142.625,142.625,0,0
1/17/2023,142.15625,142.15625,142.15625,142.15625,0,0
1/18/2023,145.25,145.25,145.25,145.25,0,0
1/19/2023,144.5625,144.5625,144.5625,144.5625,0,0
1/20/2023,142.5,142.5,142.5,142.5,0,0
1/23/2023,141.6875,141.6875,141.6875,141.6875,0,0
1/24/2023,143.3125,143.3125,143.3125,143.3125,0,0
1/25/2023,143.15625,143.15625,143.15625,143.15625,0,0
1/26/2023,143.03125,143.03125,143.03125,143.03125,0,0
1/27/2023,142.96875,142.96875,142.96875,142.96875,0,0
1/30/2023,142.375,142.375,142.375,142.375,0,0
1/31/2023,142.25,142.25,142.25,142.25,0,0
2/1/2023,145.15625,145.15625,145.15625,145.15625,0,0
2/2/2023,145.21875,145.21875,145.21875,145.21875,0,0
2/3/2023,143.3125,143.3125,143.3125,143.3125,0,0
2/6/2023,142.21875,142.21875,142.21875,142.21875,0,0
2/7/2023,141.3125,141.3125,141.3125,141.3125,0,0
2/8/2023,140.9375,140.9375,140.9375,140.9375,0,0
2/9/2023,140.1875,140.1875,140.1875,140.1875,0,0
2/10/2023,138.53125,138.53125,138.53125,138.53125,0,0
2/13/2023,139.5625,139.5625,139.5625,139.5625,0,0
2/14/2023,139.125,139.125,139.125,139.125,0,0
2/15/2023,137.8125,137.8125,137.8125,137.8125,0,0
2/16/2023,138.0,138.0,136.28125,136.28125,3,0
2/17/2023,135.96875,136.53125,135.96875,136.53125,3,3
2/21/2023,134.28125,134.28125,134.28125,134.28125,3,0
2/22/2023,135.4375,135.4375,135.4375,135.4375,3,0
2/23/2023,136.46875,136.46875,136.46875,136.46875,3,0
2/24/2023,134.78125,134.78125,134.78125,134.78125,3,0
2/27/2023,135.15625,135.15625,135.15625,135.15625,3,0
2/28/2023,135.0625,135.0625,135.0625,135.0625,3,0
3/1/2023,134.40625,134.40625,134.40625,134.40625,3,0
3/2/2023,132.9375,132.9375,132.9375,132.9375,3,0
3/3/2023,135.9375,135.9375,135.9375,135.9375,3,0
3/6/2023,136.0,136.0,135.25,135.25,3,0
3/7/2023,136.0,136.0,135.6875,135.6875,1,1
3/8/2023,136.0625,136.0625,136.0625,136.0625,1,2
3/9/2023,136.34375,136.34375,136.34375,136.34375,0,2
3/10/2023,140.75,140.75,140.75,140.75,0,2
3/13/2023,142.34375,142.34375,142.34375,142.34375,0,2
3/14/2023,140.0,140.0,140.0,140.0,0,2
3/15/2023,142.28125,142.28125,142.28125,142.28125,0,2
3/16/2023,140.96875,140.96875,140.96875,140.96875,0,2
3/17/2023,143.84375,143.84375,143.84375,143.84375,0,2
3/20/2023,141.90625,141.90625,141.90625,141.90625,0,2
3/21/2023,140.25,140.25,140.25,140.25,0,2
3/22/2023,141.28125,141.28125,141.28125,141.28125,0,2
3/23/2023,141.65625,141.65625,141.65625,141.65625,0,2
3/24/2023,142.59375,142.59375,142.59375,142.59375,0,2
3/27/2023,139.6875,139.6875,139.6875,139.6875,0,2
3/28/2023,139.125,139.125,139.125,139.125,0,2
3/29/2023,139.1875,139.1875,139.1875,139.1875,0,2
3/30/2023,139.78125,139.78125,139.78125,139.78125,0,2
3/31/2023,141.125,141.125,141.125,141.125,0,2
4/3/2023,142.21875,142.21875,142.21875,142.21875,0,2
4/4/2023,143.5625,143.5625,143.5625,143.5625,0,2
4/5/2023,144.53125,144.53125,144.53125,144.53125,0,2
4/6/2023,145.03125,145.03125,145.03125,145.03125,0,2
4/7/2023,143.5625,143.5625,143.5625,143.5625,0,2
4/10/2023,142.8125,142.8125,142.8125,142.8125,0,2
4/11/2023,143.09375,143.09375,143.09375,143.09375,0,2
4/12/2023,143.0,143.0,142.4375,142.4375,22,20
4/13/2023,141.8125,141.8125,141.8125,141.8125,178,148
4/14/2023,141.6875,141.6875,140.59375,140.59375,0,148
4/17/2023,139.0,139.15625,138.96875,139.125,1,149
4/18/2023,138.96875,139.65625,138.96875,139.40625,5,154
4/19/2023,138.59375,139.25,138.59375,139.25,16,155
4/20/2023,140.09375,140.09375,140.09375,140.09375,23,177
4/21/2023,140.4375,140.4375,139.46875,139.46875,0,177
4/24/2023,140.3125,140.59375,140.3125,140.59375,15,185
4/25/2023,142.40625,142.71875,142.40625,142.53125,2,183
4/26/2023,142.28125,142.4375,141.65625,141.65625,6,180
4/27/2023,140.5625,140.5625,139.78125,139.9375,25,184
4/28/2023,139.96875,142.34375,139.96875,141.84375,5,186
5/1/2023,140.96875,140.96875,138.78125,138.78125,28,193
5/2/2023,138.8125,141.0,138.75,141.0,86,225
5/3/2023,141.6875,142.5,141.46875,141.46875,19,225
5/4/2023,140.90625,141.34375,140.90625,141.34375,63,245
5/5/2023,141.0,141.0,139.625,140.21875,301,521
5/8/2023,140.09375,140.375,138.5625,138.625,90,543
5/9/2023,138.59375,139.40625,138.0625,138.15625,161,683
5/10/2023,138.40625,139.4375,138.40625,139.3125,3163,3624
5/11/2023,139.4375,141.40625,139.4375,140.625,6842,9895
5/12/2023,140.625,140.96875,139.625,139.71875,1338,10930
5/15/2023,139.3125,139.625,138.09375,138.21875,1639,12534
5/16/2023,138.15625,138.9375,136.71875,137.375,1507,13523
5/17/2023,137.5625,138.15625,136.9375,137.0625,7968,19726
5/18/2023,137.71875,137.9375,136.03125,136.34375,10162,28553
5/19/2023,136.28125,136.53125,134.875,135.25,39268,57524
5/22/2023,135.65625,136.09375,134.53125,134.65625,47918,99405
5/23/2023,134.71875,135.1875,133.875,134.96875,185330,242602
5/24/2023,134.9375,135.6875,134.0625,134.65625,428814,551676
5/25/2023,134.1875,134.65625,133.5,133.65625,822404,1117415
5/26/2023,133.65625,134.78125,133.34375,134.21875,401127,1361258
5/30/2023,134.5625,136.21875,133.71875,135.75,243514,1433860
5/31/2023,135.875,137.4375,135.71875,136.875,260719,1451376
6/1/2023,136.78125,138.3125,136.25,137.46875,346733,1465793
6/2/2023,137.8125,137.90625,136.09375,136.25,200433,1462685
6/5/2023,135.9375,136.75,134.75,136.09375,172204,1458947
6/6/2023,136.1875,137.03125,135.34375,136.40625,184986,1456289
6/7/2023,137.03125,137.3125,134.5,134.71875,143200,1458398
6/8/2023,134.59375,136.125,133.8125,136.0625,206472,1464156
6/9/2023,135.875,136.3125,135.09375,136.03125,209279,1450502
6/12/2023,135.9375,136.8125,134.8125,135.59375,166060,1451002
6/13/2023,135.9375,137.34375,134.59375,134.71875,207384,1453028
6/14/2023,135.21875,136.3125,134.78125,136.0625,262090,1457536
6/15/2023,136.0,137.9375,135.1875,136.875,232148,1464416
6/16/2023,136.9375,137.25,135.78125,136.59375,220417,1464966
6/20/2023,136.5625,137.90625,135.28125,137.5,158029,1467837
6/21/2023,137.5625,137.8125,136.15625,137.625,197668,1470030
6/22/2023,137.59375,137.75,135.875,136.03125,181403,1476080
6/23/2023,136.15625,138.09375,136.0,137.25,166742,1480460
6/26/2023,137.3125,138.5,137.03125,137.3125,151022,1478349
6/27/2023,137.28125,138.03125,136.5,136.8125,156456,1481575
6/28/2023,136.75,137.8125,136.53125,137.59375,156431,1484173
6/29/2023,137.5,137.5625,134.6875,134.96875,171059,1484713
6/30/2023,135.21875,136.71875,134.375,136.21875,202121,1489721
7/3/2023,136.0625,137.34375,135.65625,135.875,354459,1522542
7/5/2023,136.125,136.375,134.0625,134.21875,129939,1522029
7/6/2023,134.65625,134.71875,132.3125,132.8125,207164,1522723
7/7/2023,132.90625,133.15625,131.46875,131.96875,248713,1523893
7/10/2023,131.65625,132.3125,130.875,131.90625,246824,1527879
7/11/2023,131.96875,132.90625,131.875,132.40625,198364,1524124
7/12/2023,132.5,134.28125,132.375,133.96875,146845,1527374
7/13/2023,133.84375,135.3125,133.53125,135.25,242096,1517083
7/14/2023,135.0625,135.5625,134.40625,134.59375,264429,1519783
7/17/2023,134.4375,135.5,133.9375,134.65625,159338,1512978
7/18/2023,134.5,135.53125,134.46875,135.0625,121512,1512857
7/19/2023,135.03125,136.5625,134.96875,136.4375,146025,1513717
7/20/2023,136.3125,136.4375,134.25,134.6875,201058,1511038
7/21/2023,134.6875,135.625,134.625,134.84375,211244,1511116
7/24/2023,134.78125,135.75,134.25,134.53125,125967,1511291
7/25/2023,134.34375,134.59375,133.59375,133.75,147531,1508267
7/26/2023,134.25,134.75,133.6875,134.3125,165529,1506509
7/27/2023,134.09375,134.4375,131.0625,131.3125,166642,1506535
7/28/2023,131.71875,132.5,130.6875,131.9375,273101,1516234
7/31/2023,132.28125,132.8125,131.46875,132.21875,231204,1514883
8/1/2023,132.375,132.53125,130.09375,130.25,286174,1536133
8/2/2023,130.375,130.71875,128.125,129.0,232966,1542698
8/3/2023,128.75,128.84375,125.65625,126.125,303751,1554649
8/4/2023,126.3125,128.375,125.875,128.0625,355845,1564583
8/7/2023,128.21875,128.375,126.71875,127.21875,298532,1566377
8/8/2023,126.90625,129.34375,126.90625,128.3125,184519,1565398
8/9/2023,128.1875,129.125,127.96875,128.875,218227,1559338
8/10/2023,128.90625,130.21875,126.90625,127.5,186030,1556666
8/11/2023,127.09375,127.375,126.28125,126.6875,314025,1563269
8/14/2023,126.65625,127.375,126.0,126.53125,213775,1558378
8/15/2023,126.40625,126.46875,124.90625,125.84375,193059,1557995
8/16/2023,125.875,126.21875,124.53125,124.875,283122,1536604
8/17/2023,125.03125,125.15625,123.5625,123.84375,263396,1529665
8/18/2023,124.34375,125.3125,123.90625,124.40625,241641,1521367
8/21/2023,124.5,124.5625,122.53125,122.875,201211,1501481
8/22/2023,123.0625,123.8125,122.625,123.625,299096,1432908
8/23/2023,123.78125,126.625,123.75,126.25,353857,1357925
8/24/2023,126.34375,126.90625,125.59375,125.78125,474259,1249615
8/25/2023,125.78125,126.4375,125.09375,125.78125,935263,760893
8/28/2023,126.03125,126.625,125.53125,125.8125,677569,483364
8/29/2023,126.09375,127.78125,125.4375,127.3125,538187,214856
8/30/2023,127.28125,127.6875,126.5625,127.40625,408671,54906
8/31/2023,127.4375,128.40625,127.34375,127.96875,66094,27303
9/1/2023,127.71875,128.15625,126.09375,126.46875,22963,25115
9/5/2023,125.9375,125.96875,124.5,124.65625,6971,21968
9/6/2023,124.71875,125.25,124.46875,125.0625,1859,21004
9/7/2023,124.84375,125.375,124.6875,125.0625,2109,19465
9/8/2023,125.90625,126.03125,124.96875,125.59375,564,19236
9/11/2023,124.75,124.84375,124.65625,124.75,538,18835
9/12/2023,125.0,125.40625,124.8125,125.375,731,18482
9/13/2023,124.8125,125.8125,124.625,125.625,476,18211
9/14/2023,125.125,125.53125,124.59375,124.625,7863,11074
9/15/2023,124.125,124.1875,124.125,124.1875,663,10834
9/18/2023,124.53125,124.53125,124.53125,124.53125,47,10833
9/19/2023,124.34375,124.34375,123.875,123.875,5,10827
