Date,Open,High,Low,Close,Vol,OI
9/15/2022,785.6,785.6,785.6,785.6,0,0
9/16/2022,771.4,771.4,771.4,771.4,0,0
9/19/2022,783.3,783.3,783.3,783.3,0,0
9/20/2022,768.5,768.5,768.5,768.5,0,0
9/21/2022,752.1,752.1,752.1,752.1,0,0
9/22/2022,742.6,742.6,742.6,742.6,0,0
9/23/2022,727.5,727.5,727.5,727.5,0,0
9/26/2022,715.6,715.6,715.6,715.6,0,0
9/27/2022,716.8,716.8,716.8,716.8,0,0
9/28/2022,735.8,735.8,735.8,735.8,0,0
9/29/2022,725.0,725.0,725.0,725.0,0,0
9/30/2022,721.6,721.6,721.6,721.6,0,0
10/3/2022,746.7,746.7,746.7,746.7,0,0
10/4/2022,772.8,772.8,772.8,772.8,0,0
10/5/2022,764.3,764.3,764.3,764.3,0,0
10/6/2022,756.8,756.8,756.8,756.8,0,0
10/7/2022,737.7,737.7,737.7,737.7,0,0
10/10/2022,739.7,739.7,739.7,739.7,0,0
10/11/2022,733.5,733.5,733.5,733.5,0,0
10/12/2022,728.2,728.2,728.2,728.2,0,0
10/13/2022,749.2,749.2,749.2,749.2,0,0
10/14/2022,723.5,723.5,723.5,723.5,0,0
10/17/2022,741.6,741.6,741.6,741.6,0,0
10/18/2022,755.8,755.8,755.8,755.8,0,0
10/19/2022,747.6,747.6,747.6,747.6,0,0
10/20/2022,742.4,742.4,742.4,742.4,0,0
10/21/2022,767.9,767.9,767.9,767.9,0,0
10/24/2022,763.0,763.0,763.0,763.0,0,0
10/25/2022,782.1,782.1,782.1,782.1,0,0
10/26/2022,787.4,787.4,787.4,787.4,0,0
10/27/2022,785.5,785.5,785.5,785.5,0,0
10/28/2022,793.9,793.9,793.9,793.9,0,0
10/31/2022,786.3,786.3,786.3,786.3,0,0
11/1/2022,788.6,788.6,788.6,788.6,0,0
11/2/2022,768.2,768.2,768.2,768.2,0,0
11/3/2022,774.1,774.1,774.1,774.1,0,0
11/4/2022,800.3,800.3,800.3,800.3,0,0
11/7/2022,806.6,806.6,806.6,806.6,0,0
11/8/2022,820.5,820.5,820.5,820.5,0,0
11/9/2022,807.1,807.1,807.1,807.1,0,0
11/10/2022,852.0,852.0,852.0,852.0,0,0
11/11/2022,862.1,862.1,862.1,862.1,0,0
11/14/2022,860.4,860.4,860.4,860.4,0,0
11/15/2022,859.0,859.0,859.0,859.0,0,0
11/16/2022,851.2,851.2,851.2,851.2,0,0
11/17/2022,842.6,842.6,842.6,842.6,0,0
11/18/2022,848.2,848.2,848.2,848.2,0,0
11/21/2022,851.3,851.3,851.3,851.3,0,0
11/22/2022,870.6,870.6,870.6,870.6,0,0
11/23/2022,873.8,873.8,873.8,873.8,0,0
11/25/2022,873.0,873.0,873.0,873.0,0,0
11/28/2022,853.9,853.9,853.9,853.9,0,0
11/29/2022,856.4,856.4,856.4,856.4,0,0
11/30/2022,876.5,876.5,876.5,876.5,0,0
12/1/2022,902.4,902.4,902.4,902.4,0,0
12/2/2022,912.4,912.4,912.4,912.4,0,0
12/5/2022,894.7,894.7,894.7,894.7,0,0
12/6/2022,886.2,886.2,886.2,886.2,0,0
12/7/2022,884.2,884.2,884.2,884.2,0,0
12/8/2022,890.2,890.2,890.2,890.2,0,0
12/9/2022,881.2,881.2,881.2,881.2,0,0
12/12/2022,888.9,888.9,888.9,888.9,0,0
12/13/2022,900.8,900.8,900.8,900.8,0,0
12/14/2022,891.5,891.5,891.5,891.5,0,0
12/15/2022,863.5,863.5,863.5,863.5,0,0
12/16/2022,860.2,860.2,860.2,860.2,0,0
12/19/2022,848.6,848.6,848.6,848.6,0,0
12/20/2022,853.9,853.9,853.9,853.9,0,0
12/21/2022,860.6,860.6,860.6,860.6,0,0
12/22/2022,852.8,852.8,852.8,852.8,0,0
12/23/2022,858.6,858.6,858.6,858.6,0,0
12/27/2022,858.9,858.9,858.9,858.9,0,0
12/28/2022,846.1,846.1,846.1,846.1,0,0
12/29/2022,854.6,854.6,854.6,854.6,0,0
12/30/2022,848.0,848.0,848.0,848.0,0,0
1/3/2023,847.2,847.2,847.2,847.2,0,0
1/4/2023,861.9,861.9,861.9,861.9,0,0
1/5/2023,848.2,848.2,848.2,848.2,0,0
1/6/2023,877.1,877.1,877.1,877.1,0,0
1/9/2023,882.2,882.2,882.2,882.2,0,0
1/10/2023,891.2,891.2,891.2,891.2,0,0
1/11/2023,905.5,905.5,905.5,905.5,0,0
1/12/2023,908.4,908.4,908.4,908.4,0,0
1/13/2023,914.2,914.2,914.2,914.2,0,0
1/17/2023,904.3,904.3,904.3,904.3,0,0
1/18/2023,891.4,891.4,891.4,891.4,0,0
1/19/2023,884.7,884.7,884.7,884.7,0,0
1/20/2023,902.6,902.6,902.6,902.6,0,0
1/23/2023,905.2,905.2,905.2,905.2,0,0
1/24/2023,906.0,906.0,906.0,906.0,0,0
1/25/2023,907.6,907.6,907.6,907.6,0,0
1/26/2023,911.6,911.6,911.6,911.6,0,0
1/27/2023,908.4,908.4,908.4,908.4,0,0
1/30/2023,902.0,902.0,902.0,902.0,0,0
1/31/2023,921.9,921.9,921.9,921.9,0,0
2/1/2023,927.3,927.3,927.3,927.3,0,0
2/2/2023,925.2,925.2,925.2,925.2,0,0
2/3/2023,908.1,908.1,908.1,908.1,0,0
2/6/2023,898.6,898.6,898.6,898.6,0,0
2/7/2023,909.9,909.9,909.9,909.9,0,0
2/8/2023,903.1,903.1,903.1,903.1,0,0
2/9/2023,889.6,889.6,889.6,889.6,0,0
2/10/2023,890.7,890.7,890.7,890.7,0,0
2/13/2023,896.7,896.7,896.7,896.7,0,0
2/14/2023,898.8,898.8,898.8,898.8,0,0
2/15/2023,902.8,902.8,902.8,902.8,0,0
2/16/2023,892.6,892.6,892.6,892.6,0,0
2/17/2023,883.7,883.7,883.7,883.7,0,0
2/21/2023,868.9,868.9,868.9,868.9,0,0
2/22/2023,874.8,874.8,874.8,874.8,0,0
2/23/2023,876.2,876.2,876.2,876.2,0,0
2/24/2023,882.2,882.2,882.2,882.2,0,0
2/27/2023,884.1,884.1,884.1,884.1,0,0
2/28/2023,888.6,888.6,888.6,888.6,0,0
3/1/2023,893.7,893.7,893.7,893.7,0,0
3/2/2023,904.4,904.4,904.4,904.4,0,0
3/3/2023,917.1,917.1,917.1,917.1,0,0
3/6/2023,901.9,901.9,901.9,901.9,0,0
3/7/2023,883.9,883.9,883.9,883.9,0,0
