Date,Open,High,Low,Close,Vol,OI
12/15/2022,918.4,918.4,918.4,918.4,0,0
12/16/2022,911.3,911.3,911.3,911.3,0,0
12/19/2022,911.9,911.9,911.9,911.9,0,0
12/20/2022,925.0,925.0,925.0,925.0,0,0
12/21/2022,941.7,941.7,941.7,941.7,0,0
12/22/2022,920.5,920.5,920.5,920.5,0,0
12/23/2022,949.4,949.4,949.4,949.4,0,0
12/27/2022,959.9,959.9,959.9,959.9,0,0
12/28/2022,938.4,938.4,938.4,938.4,0,0
12/29/2022,947.2,947.2,947.2,947.2,0,0
12/30/2022,953.6,953.6,953.6,953.6,0,0
1/3/2023,919.7,919.7,919.7,919.7,0,0
1/4/2023,919.7,919.7,919.7,919.7,0,0
1/5/2023,937.2,937.2,937.2,937.2,0,0
1/6/2023,953.3,953.3,953.3,953.3,0,0
1/9/2023,950.3,950.3,950.3,950.3,0,0
1/10/2023,956.5,956.5,956.5,956.5,0,0
1/11/2023,959.8,959.8,959.8,959.8,0,0
1/12/2023,978.3,978.3,978.3,978.3,0,0
1/13/2023,979.3,979.3,979.3,979.3,0,0
1/17/2023,980.6,980.6,980.6,980.6,0,0
1/18/2023,962.5,962.5,962.5,962.5,0,0
1/19/2023,974.3,974.3,974.3,974.3,0,0
1/20/2023,986.5,986.5,986.5,986.5,0,0
1/23/2023,985.0,985.0,985.0,985.0,0,0
1/24/2023,983.0,983.0,983.0,983.0,0,0
1/25/2023,980.6,980.6,980.6,980.6,0,0
1/26/2023,1012.5,1012.5,1012.5,1012.5,0,0
1/27/2023,992.2,992.2,992.2,992.2,0,0
1/30/2023,968.5,968.5,968.5,968.5,0,0
1/31/2023,976.4,976.4,976.4,976.4,0,0
2/1/2023,957.3,957.3,957.3,957.3,0,0
2/2/2023,936.1,936.1,936.1,936.1,0,0
2/3/2023,933.8,933.8,933.8,933.8,0,0
2/6/2023,930.0,930.0,930.0,930.0,0,0
2/7/2023,958.5,958.5,958.5,958.5,0,0
2/8/2023,950.8,950.8,950.8,950.8,0,0
2/9/2023,942.6,942.6,942.6,942.6,0,0
2/10/2023,974.3,974.3,974.3,974.3,0,0
2/13/2023,973.7,973.7,973.7,973.7,0,0
2/14/2023,973.9,973.9,973.9,973.9,0,0
2/15/2023,955.5,955.5,955.5,955.5,0,0
2/16/2023,946.2,946.2,946.2,946.2,0,0
2/17/2023,911.7,911.7,911.7,911.7,0,0
2/21/2023,907.9,907.9,907.9,907.9,0,0
2/22/2023,901.9,901.9,901.9,901.9,0,0
2/23/2023,913.2,913.2,913.2,913.2,0,0
2/24/2023,913.1,913.1,913.1,913.1,0,0
2/27/2023,916.2,916.2,916.2,916.2,0,0
2/28/2023,903.2,903.2,903.2,903.2,0,0
3/1/2023,920.2,920.2,920.2,920.2,0,0
3/2/2023,927.5,927.5,927.5,927.5,0,0
3/3/2023,940.2,940.2,940.2,940.2,0,0
3/6/2023,940.0,940.0,940.0,940.0,0,0
3/7/2023,923.6,923.6,923.6,923.6,0,0
3/8/2023,913.9,913.9,913.9,913.9,0,0
3/9/2023,900.7,900.7,900.7,900.7,0,0
3/10/2023,888.1,888.1,888.1,888.1,0,0
3/13/2023,870.3,870.3,870.3,870.3,0,0
3/14/2023,879.3,879.3,879.3,879.3,0,0
3/15/2023,830.1,830.1,830.1,830.1,0,0
3/16/2023,839.4,839.4,839.4,839.4,0,0
3/17/2023,825.8,825.8,825.8,825.8,0,0
3/20/2023,843.1,843.1,843.1,843.1,0,0
3/21/2023,871.0,871.0,871.0,871.0,0,0
3/22/2023,853.6,853.6,853.6,853.6,0,0
3/23/2023,842.1,842.1,842.1,842.1,0,0
3/24/2023,843.5,843.5,843.5,843.5,0,0
3/27/2023,861.5,861.5,861.5,861.5,0,0
3/28/2023,875.0,875.0,875.0,875.0,0,0
3/29/2023,887.5,887.5,887.5,887.5,0,0
3/30/2023,891.3,891.3,891.3,891.3,0,0
3/31/2023,897.0,897.0,897.0,897.0,0,0
4/3/2023,937.7,937.7,937.7,937.7,0,0
4/4/2023,920.7,920.7,920.7,920.7,0,0
4/5/2023,933.9,933.9,933.9,933.9,0,0
4/6/2023,920.2,920.2,920.2,920.2,0,0
4/10/2023,927.2,927.2,927.2,927.2,0,0
4/11/2023,935.4,935.4,935.4,935.4,0,0
4/12/2023,936.3,936.3,936.3,936.3,0,0
4/13/2023,942.0,942.0,942.0,942.0,0,0
4/14/2023,944.2,944.2,944.2,944.2,0,0
4/17/2023,932.3,932.3,932.3,932.3,0,0
4/18/2023,935.9,935.9,935.9,935.9,0,0
4/19/2023,932.5,932.5,932.5,932.5,0,0
4/20/2023,924.1,924.1,924.1,924.1,0,0
4/21/2023,918.6,918.6,918.6,918.6,0,0
4/24/2023,932.2,932.2,932.2,932.2,0,0
4/25/2023,914.6,914.6,914.6,914.6,0,0
4/26/2023,903.2,903.2,903.2,903.2,0,0
4/27/2023,905.5,905.5,905.5,905.5,0,0
4/28/2023,918.8,918.8,918.8,918.8,0,0
5/1/2023,908.9,908.9,908.9,908.9,0,0
5/2/2023,869.5,869.5,869.5,869.5,0,0
5/3/2023,852.8,852.8,852.8,852.8,0,0
5/4/2023,842.7,842.7,842.7,842.7,0,0
5/5/2023,865.6,865.6,865.6,865.6,0,0
5/8/2023,865.9,865.9,865.9,865.9,0,0
5/9/2023,865.8,865.8,865.8,865.8,0,0
5/10/2023,856.4,856.4,856.4,856.4,0,0
5/11/2023,845.9,845.9,845.9,845.9,0,0
5/12/2023,847.1,847.1,847.1,847.1,0,0
5/15/2023,848.3,848.3,848.3,848.3,0,0
5/16/2023,826.9,826.9,826.9,826.9,0,0
5/17/2023,843.4,843.4,843.4,843.4,0,0
5/18/2023,848.2,848.2,848.2,848.2,0,0
5/19/2023,854.0,854.0,854.0,854.0,0,0
5/22/2023,850.0,850.0,850.0,850.0,0,0
5/23/2023,858.9,858.9,858.9,858.9,0,0
5/24/2023,863.0,863.0,863.0,863.0,0,0
5/25/2023,846.9,846.9,846.9,846.9,0,0
5/26/2023,843.7,843.7,843.7,843.7,0,0
5/30/2023,835.4,835.4,835.4,835.4,0,0
5/31/2023,819.2,819.2,819.2,819.2,0,0
6/1/2023,829.6,829.6,829.6,829.6,0,0
6/2/2023,854.9,854.9,854.9,854.9,0,0
6/5/2023,849.6,849.6,849.6,849.6,0,0
6/6/2023,855.3,855.3,855.3,855.3,0,0
6/7/2023,878.3,878.3,878.3,878.3,0,0
6/8/2023,874.1,874.1,874.1,874.1,0,0
6/9/2023,869.5,869.5,869.5,869.5,0,0
6/12/2023,860.4,860.4,860.4,860.4,0,0
6/13/2023,864.6,864.6,864.6,864.6,0,0
6/14/2023,854.8,854.8,854.8,854.8,0,0
6/15/2023,863.3,863.3,863.3,863.3,0,0
6/16/2023,863.2,863.2,863.2,863.2,0,0
6/20/2023,843.5,843.5,843.5,843.5,0,0
6/21/2023,850.5,850.5,850.5,850.5,0,0
6/22/2023,839.2,839.2,839.2,839.2,0,0
6/23/2023,832.6,832.6,832.6,832.6,0,0
6/26/2023,846.9,846.9,846.9,846.9,0,0
6/27/2023,849.3,849.3,849.3,849.3,0,0
6/28/2023,857.1,857.1,857.1,857.1,0,0
6/29/2023,867.2,867.2,867.2,867.2,0,0
6/30/2023,872.9,872.9,872.9,872.9,0,0
7/3/2023,875.2,875.2,875.2,875.2,0,0
7/5/2023,870.1,870.1,870.1,870.1,0,0
7/6/2023,850.3,850.3,850.3,850.3,0,0
7/7/2023,868.6,868.6,868.6,868.6,0,0
7/10/2023,874.0,874.0,874.0,874.0,0,0
7/11/2023,894.1,894.1,894.1,894.1,0,0
7/12/2023,901.8,901.8,901.8,901.8,0,0
7/13/2023,899.0,899.0,899.0,899.0,0,0
7/14/2023,873.4,873.4,873.4,873.4,0,0
7/17/2023,872.6,872.6,872.6,872.6,0,0
7/18/2023,881.9,881.9,881.9,881.9,0,0
7/19/2023,886.4,886.4,886.4,886.4,0,0
7/20/2023,897.1,897.1,897.1,897.1,0,0
7/21/2023,904.7,904.7,904.7,904.7,0,0
7/24/2023,919.3,919.3,919.3,919.3,0,0
7/25/2023,924.4,924.4,924.4,924.4,0,0
7/26/2023,923.6,923.6,923.6,923.6,0,0
7/27/2023,918.7,918.7,918.7,918.7,0,0
7/28/2023,920.1,920.1,920.1,920.1,0,0
7/31/2023,937.3,937.3,937.3,937.3,0,0
8/1/2023,932.9,932.9,932.9,932.9,0,0
8/2/2023,920.9,920.9,920.9,920.9,0,0
8/3/2023,929.9,929.9,929.9,929.9,0,0
8/4/2023,930.1,930.1,930.1,930.1,0,0
8/7/2023,931.2,931.2,931.2,931.2,0,0
8/8/2023,935.9,935.9,935.9,935.9,0,0
8/9/2023,947.2,947.2,947.2,947.2,0,0
8/10/2023,947.7,947.7,947.7,947.7,0,0
8/11/2023,961.9,961.9,961.9,961.9,0,0
8/14/2023,957.9,957.9,957.9,957.9,0,0
8/15/2023,935.7,935.7,935.7,935.7,0,0
8/16/2023,927.2,927.2,927.2,927.2,0,0
8/17/2023,937.1,937.1,937.1,937.1,0,0
8/18/2023,944.4,944.4,944.4,944.4,0,0
8/21/2023,938.8,938.8,938.8,938.8,0,0
8/22/2023,931.6,931.6,931.6,931.6,0,0
8/23/2023,929.2,929.2,929.2,929.2,0,0
8/24/2023,922.6,922.6,922.6,922.6,0,0
8/25/2023,931.4,931.4,931.4,931.4,0,0
8/28/2023,937.9,937.9,937.9,937.9,0,0
8/29/2023,940.6,940.6,940.6,940.6,0,0
8/30/2023,944.9,944.9,944.9,944.9,0,0
8/31/2023,946.2,946.2,946.2,946.2,0,0
9/1/2023,964.7,964.7,964.7,964.7,0,0
9/5/2023,969.1,969.1,969.1,969.1,0,0
9/6/2023,969.8,969.8,969.8,969.8,0,0
9/7/2023,968.5,968.5,968.5,968.5,0,0
9/8/2023,977.3,977.3,977.3,977.3,0,0
9/11/2023,964.5,964.5,964.5,964.5,0,0
9/12/2023,986.4,986.4,986.4,986.4,0,0
9/13/2023,979.0,979.0,979.0,979.0,0,0
9/14/2023,990.4,990.4,990.4,990.4,0,0
9/15/2023,977.2,977.2,977.2,977.2,0,0
9/18/2023,983.7,983.7,983.7,983.7,0,0
9/19/2023,974.6,974.6,974.6,974.6,0,0
