Date,Open,High,Low,Close,Vol,OI
9/15/2022,415.05,415.05,415.05,415.05,0,0
9/16/2022,410.45,410.45,410.45,410.45,0,0
9/19/2022,414.65,414.65,414.65,414.65,0,0
9/20/2022,408.8,408.8,408.8,408.8,0,0
9/21/2022,400.35,400.35,400.35,400.35,0,0
9/22/2022,393.55,393.55,393.55,393.55,0,0
9/23/2022,387.5,387.5,387.5,387.5,0,0
9/26/2022,380.9,380.9,380.9,380.9,0,0
9/27/2022,379.6,379.6,379.6,379.6,0,0
9/28/2022,386.8,386.8,386.8,386.8,0,0
9/29/2022,382.15,382.15,382.15,382.15,0,0
9/30/2022,377.5,377.5,377.5,377.5,0,0
10/3/2022,388.55,388.55,388.55,388.55,0,0
10/4/2022,403.2,403.2,403.2,403.2,0,0
10/5/2022,399.55,399.55,399.55,399.55,0,0
10/6/2022,394.1,394.1,394.1,394.1,0,0
10/7/2022,384.9,384.9,384.9,384.9,0,0
10/10/2022,383.3,383.3,383.3,383.3,0,0
10/11/2022,377.75,377.75,377.75,377.75,0,0
10/12/2022,376.95,376.95,376.95,376.95,0,0
10/13/2022,392.45,392.45,392.45,392.45,0,0
10/14/2022,385.7,385.7,385.7,385.7,0,0
10/17/2022,395.25,395.25,395.25,395.25,0,0
10/18/2022,401.9,401.9,401.9,401.9,0,0
10/19/2022,395.6,395.6,395.6,395.6,0,0
10/20/2022,389.15,389.15,389.15,389.15,0,0
10/21/2022,400.5,400.5,400.5,400.5,0,0
10/24/2022,405.95,405.95,405.95,405.95,0,0
10/25/2022,410.65,410.65,410.65,410.65,0,0
10/26/2022,411.8,411.8,411.8,411.8,0,0
10/27/2022,415.05,415.05,415.05,415.05,0,0
10/28/2022,425.45,425.45,425.45,425.45,0,0
10/31/2022,422.25,422.25,422.25,422.25,0,0
11/1/2022,424.05,424.05,424.05,424.05,0,0
11/2/2022,418.6,418.6,418.6,418.6,0,0
11/3/2022,413.95,413.95,413.95,413.95,0,0
11/4/2022,421.7,421.7,421.7,421.7,0,0
11/7/2022,425.45,425.45,425.45,425.45,0,0
11/8/2022,427.95,427.95,427.95,427.95,0,0
11/9/2022,420.5,420.5,420.5,420.5,0,0
11/10/2022,442.1,442.1,442.1,442.1,0,0
11/11/2022,445.85,445.85,445.85,445.85,0,0
11/14/2022,438.9,438.9,438.9,438.9,0,0
11/15/2022,439.95,439.95,439.95,439.95,0,0
11/16/2022,438.15,438.15,438.15,438.15,0,0
11/17/2022,435.55,435.55,435.55,435.55,0,0
11/18/2022,439.1,439.1,439.1,439.1,0,0
11/21/2022,440.5,440.5,440.5,440.5,0,0
11/22/2022,445.2,445.2,445.2,445.2,0,0
11/23/2022,446.6,446.6,446.6,446.6,0,0
11/25/2022,448.55,448.55,448.55,448.55,0,0
11/28/2022,440.6,440.6,440.6,440.6,0,0
11/29/2022,443.4,443.4,443.4,443.4,0,0
11/30/2022,450.4,450.4,450.4,450.4,0,0
12/1/2022,457.1,457.1,457.1,457.1,0,0
12/2/2022,455.25,455.25,455.25,455.25,0,0
12/5/2022,443.85,443.85,443.85,443.85,0,0
12/6/2022,439.8,439.8,439.8,439.8,0,0
12/7/2022,437.85,437.85,437.85,437.85,0,0
12/8/2022,438.5,438.5,438.5,438.5,0,0
12/9/2022,437.0,437.0,437.0,437.0,0,0
12/12/2022,442.6,442.6,442.6,442.6,0,0
12/13/2022,443.75,443.75,443.75,443.75,0,0
12/14/2022,438.3,438.3,438.3,438.3,0,0
12/15/2022,429.15,429.15,429.15,429.15,0,0
12/16/2022,426.1,426.1,426.1,426.1,0,0
12/19/2022,425.0,425.0,425.0,425.0,0,0
12/20/2022,426.15,426.15,426.15,426.15,0,0
12/21/2022,433.1,433.1,433.1,433.1,0,0
12/22/2022,429.1,429.1,429.1,429.1,0,0
12/23/2022,431.55,431.55,431.55,431.55,0,0
12/27/2022,431.4,431.4,431.4,431.4,0,0
12/28/2022,429.75,429.75,429.75,429.75,0,0
12/29/2022,435.5,435.5,435.5,435.5,0,0
12/30/2022,434.2,434.2,434.2,434.2,0,0
1/3/2023,436.0,436.0,436.0,436.0,0,0
1/4/2023,442.75,442.75,442.75,442.75,0,0
1/5/2023,438.75,438.75,438.75,438.75,0,0
1/6/2023,448.55,448.55,448.55,448.55,0,0
1/9/2023,446.65,446.65,446.65,446.65,0,0
1/10/2023,449.35,449.35,449.35,449.35,0,0
1/11/2023,453.3,453.3,453.3,453.3,0,0
1/12/2023,454.5,454.5,454.5,454.5,0,0
1/13/2023,457.55,457.55,457.55,457.55,0,0
1/17/2023,454.35,454.35,454.35,454.35,0,0
1/18/2023,445.85,445.85,445.85,445.85,0,0
1/19/2023,440.6,440.6,440.6,440.6,0,0
1/20/2023,447.75,447.75,447.75,447.75,0,0
1/23/2023,452.8,452.8,452.8,452.8,0,0
1/24/2023,453.25,453.25,453.25,453.25,0,0
1/25/2023,456.4,456.4,456.4,456.4,0,0
1/26/2023,458.6,458.6,458.6,458.6,0,0
1/27/2023,458.75,458.75,458.75,458.75,0,0
1/30/2023,456.25,456.25,456.25,456.25,0,0
1/31/2023,462.3,462.3,462.3,462.3,0,0
2/1/2023,462.05,462.05,462.05,462.05,0,0
2/2/2023,463.25,463.25,463.25,463.25,0,0
2/3/2023,462.65,462.65,462.65,462.65,0,0
2/6/2023,461.95,461.95,461.95,461.95,0,0
2/7/2023,467.4,467.4,467.4,467.4,0,0
2/8/2023,464.95,464.95,464.95,464.95,0,0
2/9/2023,458.9,458.9,458.9,458.9,0,0
2/10/2023,459.8,459.8,459.8,459.8,0,0
2/13/2023,465.5,465.5,465.5,465.5,0,0
2/14/2023,463.1,463.1,463.1,463.1,0,0
2/15/2023,463.85,463.85,463.85,463.85,0,0
2/16/2023,458.95,458.95,458.95,458.95,0,0
2/17/2023,459.0,459.0,459.0,459.0,0,0
2/21/2023,449.65,449.65,449.65,449.65,0,0
2/22/2023,448.7,448.7,448.7,448.7,0,0
2/23/2023,449.2,449.2,449.2,449.2,0,0
2/24/2023,449.7,449.7,449.7,449.7,0,0
2/27/2023,449.4,449.4,449.4,449.4,0,0
2/28/2023,450.5,450.5,450.5,450.5,0,0
3/1/2023,448.2,448.2,448.2,448.2,0,0
3/2/2023,445.7,445.7,445.7,445.7,0,0
3/3/2023,453.0,453.0,453.0,453.0,0,0
3/6/2023,453.25,453.25,453.25,453.25,0,0
3/7/2023,441.6,441.6,441.6,441.6,0,0
3/8/2023,439.65,439.65,439.65,439.65,0,0
3/9/2023,421.55,421.55,421.55,421.55,0,0
3/10/2023,414.15,414.15,414.15,414.15,0,0
3/13/2023,398.2,398.2,398.2,398.2,0,0
3/14/2023,407.45,407.45,407.45,407.45,0,0
3/15/2023,394.1,394.1,394.1,394.1,0,0
3/16/2023,402.0,402.0,402.0,402.0,0,0
3/17/2023,388.8,388.8,388.8,388.8,0,0
3/20/2023,393.4,393.4,393.4,393.4,0,0
3/21/2023,403.15,403.15,403.15,403.15,0,0
3/22/2023,394.1,394.1,394.1,394.1,0,0
3/23/2023,391.35,391.35,391.35,391.35,0,0
3/24/2023,390.65,390.65,390.65,390.65,0,0
3/27/2023,396.1,396.1,396.1,396.1,0,0
3/28/2023,395.9,395.9,395.9,395.9,0,0
3/29/2023,401.75,401.75,401.75,401.75,0,0
3/30/2023,400.7,400.7,400.7,400.7,0,0
3/31/2023,405.2,405.2,405.2,405.2,0,0
4/3/2023,406.05,406.05,406.05,406.05,0,0
4/4/2023,401.75,401.75,401.75,401.75,0,0
4/5/2023,401.2,401.2,401.2,401.2,0,0
4/6/2023,402.35,402.35,402.35,402.35,0,0
4/10/2023,403.15,403.15,403.15,403.15,0,0
4/11/2023,406.65,406.65,406.65,406.65,0,0
4/12/2023,405.8,405.8,405.8,405.8,0,0
4/13/2023,409.35,409.35,409.35,409.35,0,0
4/14/2023,413.65,413.65,413.65,413.65,0,0
4/17/2023,418.15,418.15,418.15,418.15,0,0
4/18/2023,419.55,419.55,419.55,419.55,0,0
4/19/2023,420.4,420.4,420.4,420.4,0,0
4/20/2023,419.05,419.05,419.05,419.05,0,0
4/21/2023,417.6,417.6,417.6,417.6,0,0
