Date,Open,High,Low,Close,Vol,OI
12/15/2022,1026.6,1026.6,1026.6,1026.6,0,0
12/16/2022,1021.9,1021.9,1021.9,1021.9,0,0
12/19/2022,1016.4,1016.4,1016.4,1016.4,0,0
12/20/2022,1017.4,1017.4,1017.4,1017.4,0,0
12/21/2022,1035.9,1035.9,1035.9,1035.9,0,0
12/22/2022,1023.2,1023.2,1023.2,1023.2,0,0
12/23/2022,1028.6,1028.6,1028.6,1028.6,0,0
12/27/2022,1031.9,1031.9,1031.9,1031.9,0,0
12/28/2022,1018.6,1018.6,1018.6,1018.6,0,0
12/29/2022,1030.5,1030.5,1030.5,1030.5,0,0
12/30/2022,1026.2,1026.2,1026.2,1026.2,0,0
1/3/2023,1028.6,1028.6,1028.6,1028.6,0,0
1/4/2023,1037.8,1037.8,1037.8,1037.8,0,0
1/5/2023,1026.1,1026.1,1026.1,1026.1,0,0
1/6/2023,1053.9,1053.9,1053.9,1053.9,0,0
1/9/2023,1049.3,1049.3,1049.3,1049.3,0,0
1/10/2023,1054.7,1054.7,1054.7,1054.7,0,0
1/11/2023,1065.0,1065.0,1065.0,1065.0,0,0
1/12/2023,1071.1,1071.1,1071.1,1071.1,0,0
1/13/2023,1069.5,1069.5,1069.5,1069.5,0,0
1/17/2023,1060.1,1060.1,1060.1,1060.1,0,0
1/18/2023,1040.4,1040.4,1040.4,1040.4,0,0
1/19/2023,1018.9,1018.9,1018.9,1018.9,0,0
1/20/2023,1033.0,1033.0,1033.0,1033.0,0,0
1/23/2023,1044.1,1044.1,1044.1,1044.1,0,0
1/24/2023,1051.3,1051.3,1051.3,1051.3,0,0
1/25/2023,1045.2,1045.2,1045.2,1045.2,0,0
1/26/2023,1050.7,1050.7,1050.7,1050.7,0,0
1/27/2023,1054.3,1054.3,1054.3,1054.3,0,0
1/30/2023,1044.0,1044.0,1044.0,1044.0,0,0
1/31/2023,1061.6,1061.6,1061.6,1061.6,0,0
2/1/2023,1068.6,1068.6,1068.6,1068.6,0,0
2/2/2023,1077.2,1077.2,1077.2,1077.2,0,0
2/3/2023,1071.6,1071.6,1071.6,1071.6,0,0
2/6/2023,1069.5,1069.5,1069.5,1069.5,0,0
2/7/2023,1072.0,1072.0,1072.0,1072.0,0,0
2/8/2023,1066.0,1066.0,1066.0,1066.0,0,0
2/9/2023,1056.2,1056.2,1056.2,1056.2,0,0
2/10/2023,1062.0,1062.0,1062.0,1062.0,0,0
2/13/2023,1072.4,1072.4,1072.4,1072.4,0,0
2/14/2023,1069.5,1069.5,1069.5,1069.5,0,0
2/15/2023,1076.3,1076.3,1076.3,1076.3,0,0
2/16/2023,1064.7,1064.7,1064.7,1064.7,0,0
2/17/2023,1071.0,1071.0,1071.0,1071.0,0,0
2/21/2023,1046.2,1046.2,1046.2,1046.2,0,0
2/22/2023,1043.1,1043.1,1043.1,1043.1,0,0
2/23/2023,1047.4,1047.4,1047.4,1047.4,0,0
2/24/2023,1041.2,1041.2,1041.2,1041.2,0,0
2/27/2023,1049.8,1049.8,1049.8,1049.8,0,0
2/28/2023,1047.5,1047.5,1047.5,1047.5,0,0
3/1/2023,1050.7,1050.7,1050.7,1050.7,0,0
3/2/2023,1063.0,1063.0,1063.0,1063.0,0,0
3/3/2023,1074.6,1074.6,1074.6,1074.6,0,0
3/6/2023,1072.4,1072.4,1072.4,1072.4,0,0
3/7/2023,1058.5,1058.5,1058.5,1058.5,0,0
3/8/2023,1060.6,1060.6,1060.6,1060.6,0,0
3/9/2023,1044.6,1044.6,1044.6,1044.6,0,0
3/10/2023,1025.9,1025.9,1025.9,1025.9,0,0
3/13/2023,1019.2,1019.2,1019.2,1019.2,0,0
3/14/2023,1030.9,1030.9,1030.9,1030.9,0,0
3/15/2023,1003.2,1003.2,1003.2,1003.2,0,0
3/16/2023,1017.0,1017.0,1017.0,1017.0,0,0
3/17/2023,1000.1,1000.1,1000.1,1000.1,0,0
3/20/2023,1013.5,1013.5,1013.5,1013.5,0,0
3/21/2023,1024.6,1024.6,1024.6,1024.6,0,0
3/22/2023,1006.3,1006.3,1006.3,1006.3,0,0
3/23/2023,1003.6,1003.6,1003.6,1003.6,0,0
3/24/2023,1006.0,1006.0,1006.0,1006.0,0,0
3/27/2023,1014.2,1014.2,1014.2,1014.2,0,0
3/28/2023,1019.9,1019.9,1019.9,1019.9,0,0
3/29/2023,1034.2,1034.2,1034.2,1034.2,0,0
3/30/2023,1036.9,1036.9,1036.9,1036.9,0,0
3/31/2023,1050.2,1050.2,1050.2,1050.2,0,0
4/3/2023,1052.0,1052.0,1052.0,1052.0,0,0
4/4/2023,1027.9,1027.9,1027.9,1027.9,0,0
4/5/2023,1014.6,1014.6,1014.6,1014.6,0,0
4/6/2023,1014.3,1014.3,1014.3,1014.3,0,0
4/10/2023,1022.7,1022.7,1022.7,1022.7,0,0
4/11/2023,1028.6,1028.6,1028.6,1028.6,0,0
4/12/2023,1032.1,1032.1,1032.1,1032.1,0,0
4/13/2023,1036.2,1036.2,1036.2,1036.2,0,0
4/14/2023,1035.0,1035.0,1035.0,1035.0,0,0
4/17/2023,1042.6,1042.6,1042.6,1042.6,0,0
4/18/2023,1047.7,1047.7,1047.7,1047.7,0,0
4/19/2023,1046.5,1046.5,1046.5,1046.5,0,0
4/20/2023,1044.4,1044.4,1044.4,1044.4,0,0
4/21/2023,1042.4,1042.4,1042.4,1042.4,0,0
4/24/2023,1044.1,1044.1,1044.1,1044.1,0,0
4/25/2023,1025.1,1025.1,1025.1,1025.1,0,0
4/26/2023,1006.1,1006.1,1006.1,1006.1,0,0
4/27/2023,1025.2,1025.2,1025.2,1025.2,0,0
4/28/2023,1035.1,1035.1,1035.1,1035.1,0,0
5/1/2023,1040.8,1040.8,1040.8,1040.8,0,0
